STATISTIC,Quarter,Nationality,ILO Economic Status,value
Persons aged 15 years and over,2014Q4,All nationalities,In labour force,2259.9
Persons aged 15 years and over,2014Q4,All nationalities,In employment,2025.0
Persons aged 15 years and over,2014Q4,All nationalities,Unemployed,234.9
Persons aged 15 years and over,2014Q4,All nationalities,Not in labour force,1407.9
Persons aged 15 years and over,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,52.7
Persons aged 15 years and over,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,39.6
Persons aged 15 years and over,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,36.9
Persons aged 15 years and over,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,13.2
Persons aged 15 years and over,2014Q4,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,207.5
Persons aged 15 years and over,2014Q4,EU15 to EU27 (accession countries joined post 2004),In labour force,165.6
Persons aged 15 years and over,2014Q4,EU15 to EU27 (accession countries joined post 2004),In employment,147.6
Persons aged 15 years and over,2014Q4,EU15 to EU27 (accession countries joined post 2004),Unemployed,18.0
Persons aged 15 years and over,2014Q4,EU15 to EU27 (accession countries joined post 2004),Not in labour force,41.9
Persons aged 15 years and over,2014Q4,UK,All ILO economic status,99.1
Persons aged 15 years and over,2014Q4,UK,In labour force,56.5
Persons aged 15 years and over,2014Q4,UK,In employment,48.7
Persons aged 15 years and over,2014Q4,UK,Unemployed,7.8
Persons aged 15 years and over,2014Q4,UK,Not in labour force,42.6
Persons aged 15 years and over,2014Q4,Irish,All ILO economic status,3205.6
Persons aged 15 years and over,2014Q4,Irish,In labour force,1937.9
Persons aged 15 years and over,2014Q4,Irish,In employment,1740.3
Persons aged 15 years and over,2014Q4,Irish,Unemployed,197.6
Persons aged 15 years and over,2014Q4,Irish,Not in labour force,1267.7
Persons aged 15 years and over,2014Q4,Non-Irish,All ILO economic status,462.2
Persons aged 15 years and over,2014Q4,Non-Irish,In labour force,322.0
Persons aged 15 years and over,2014Q4,Non-Irish,In employment,284.7
Persons aged 15 years and over,2014Q4,Non-Irish,Unemployed,37.3
Persons aged 15 years and over,2014Q4,Non-Irish,Not in labour force,140.3
Persons aged 15 years and over,2014Q4,Other nationalities (7),All ILO economic status,102.9
Persons aged 15 years and over,2014Q4,Other nationalities (7),In labour force,60.3
Persons aged 15 years and over,2014Q4,Other nationalities (7),In employment,51.5
Persons aged 15 years and over,2014Q4,Other nationalities (7),Unemployed,8.7
Persons aged 15 years and over,2014Q4,Other nationalities (7),Not in labour force,42.6
Persons aged 15 years and over,2015Q1,All nationalities,All ILO economic status,3676.2
Persons aged 15 years and over,2015Q1,All nationalities,In labour force,2246.4
Persons aged 15 years and over,2015Q1,All nationalities,In employment,2012.4
Persons aged 15 years and over,2015Q1,All nationalities,Unemployed,234.0
Persons aged 15 years and over,2015Q1,All nationalities,Not in labour force,1429.8
Persons aged 15 years and over,2015Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,53.7
Persons aged 15 years and over,2015Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,39.6
Persons aged 15 years and over,2015Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,36.4
Persons aged 15 years and over,2015Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2015Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,14.1
Persons aged 15 years and over,2015Q1,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,208.9
Persons aged 15 years and over,2015Q1,EU15 to EU27 (accession countries joined post 2004),In labour force,163.2
Persons aged 15 years and over,2015Q1,EU15 to EU27 (accession countries joined post 2004),In employment,143.6
Persons aged 15 years and over,2015Q1,EU15 to EU27 (accession countries joined post 2004),Unemployed,19.7
Persons aged 15 years and over,2015Q1,EU15 to EU27 (accession countries joined post 2004),Not in labour force,45.7
Persons aged 15 years and over,2015Q1,UK,All ILO economic status,98.9
Persons aged 15 years and over,2015Q1,UK,In labour force,55.5
Persons aged 15 years and over,2015Q1,UK,In employment,46.2
Persons aged 15 years and over,2015Q1,UK,Unemployed,9.3
Persons aged 15 years and over,2015Q1,UK,Not in labour force,43.3
Persons aged 15 years and over,2015Q1,Irish,All ILO economic status,3211.3
Persons aged 15 years and over,2015Q1,Irish,In labour force,1928.3
Persons aged 15 years and over,2015Q1,Irish,In employment,1735.2
Persons aged 15 years and over,2015Q1,Irish,Unemployed,193.1
Persons aged 15 years and over,2015Q1,Irish,Not in labour force,1283.0
Persons aged 15 years and over,2015Q1,Non-Irish,All ILO economic status,464.9
Persons aged 15 years and over,2015Q1,Non-Irish,In labour force,318.1
Persons aged 15 years and over,2015Q1,Non-Irish,In employment,277.2
Persons aged 15 years and over,2015Q1,Non-Irish,Unemployed,40.9
Persons aged 15 years and over,2015Q1,Non-Irish,Not in labour force,146.9
Persons aged 15 years and over,2015Q1,Other nationalities (7),All ILO economic status,103.5
Persons aged 15 years and over,2015Q1,Other nationalities (7),In labour force,59.7
Persons aged 15 years and over,2015Q1,Other nationalities (7),In employment,51.0
Persons aged 15 years and over,2015Q1,Other nationalities (7),Unemployed,8.8
Persons aged 15 years and over,2015Q1,Other nationalities (7),Not in labour force,43.7
Persons aged 15 years and over,2015Q2,All nationalities,All ILO economic status,3686.1
Persons aged 15 years and over,2015Q2,All nationalities,In labour force,2281.8
Persons aged 15 years and over,2015Q2,All nationalities,In employment,2047.7
Persons aged 15 years and over,2015Q2,All nationalities,Unemployed,234.1
Persons aged 15 years and over,2015Q2,All nationalities,Not in labour force,1404.3
Persons aged 15 years and over,2015Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,54.6
Persons aged 15 years and over,2015Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,40.5
Persons aged 15 years and over,2015Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,38.2
Persons aged 15 years and over,2015Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2015Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,14.1
Persons aged 15 years and over,2015Q2,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,210.7
Persons aged 15 years and over,2015Q2,EU15 to EU27 (accession countries joined post 2004),In labour force,166.7
Persons aged 15 years and over,2015Q2,EU15 to EU27 (accession countries joined post 2004),In employment,147.7
Persons aged 15 years and over,2015Q2,EU15 to EU27 (accession countries joined post 2004),Unemployed,19.0
Persons aged 15 years and over,2015Q2,EU15 to EU27 (accession countries joined post 2004),Not in labour force,44.0
Persons aged 15 years and over,2015Q2,UK,All ILO economic status,98.7
Persons aged 15 years and over,2015Q2,UK,In labour force,57.2
Persons aged 15 years and over,2015Q2,UK,In employment,49.3
Persons aged 15 years and over,2015Q2,UK,Unemployed,7.8
Persons aged 15 years and over,2015Q2,UK,Not in labour force,41.5
Persons aged 15 years and over,2015Q2,Irish,All ILO economic status,3218.4
Persons aged 15 years and over,2015Q2,Irish,In labour force,1956.3
Persons aged 15 years and over,2015Q2,Irish,In employment,1758.9
Persons aged 15 years and over,2015Q2,Irish,Unemployed,197.4
Persons aged 15 years and over,2015Q2,Irish,Not in labour force,1262.2
Persons aged 15 years and over,2015Q2,Non-Irish,All ILO economic status,467.6
Persons aged 15 years and over,2015Q2,Non-Irish,In labour force,325.5
Persons aged 15 years and over,2015Q2,Non-Irish,In employment,288.8
Persons aged 15 years and over,2015Q2,Non-Irish,Unemployed,36.7
Persons aged 15 years and over,2015Q2,Non-Irish,Not in labour force,142.1
Persons aged 15 years and over,2015Q2,Other nationalities (7),All ILO economic status,103.7
Persons aged 15 years and over,2015Q2,Other nationalities (7),In labour force,61.1
Persons aged 15 years and over,2015Q2,Other nationalities (7),In employment,53.6
Persons aged 15 years and over,2015Q2,Other nationalities (7),Unemployed,7.5
Persons aged 15 years and over,2015Q2,Other nationalities (7),Not in labour force,42.6
Persons aged 15 years and over,2015Q3,All nationalities,All ILO economic status,3699.7
Persons aged 15 years and over,2015Q3,All nationalities,In labour force,2304.6
Persons aged 15 years and over,2015Q3,All nationalities,In employment,2078.6
Persons aged 15 years and over,2015Q3,All nationalities,Unemployed,226.0
Persons aged 15 years and over,2015Q3,All nationalities,Not in labour force,1395.2
Persons aged 15 years and over,2015Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,55.9
Persons aged 15 years and over,2015Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,41.1
Persons aged 15 years and over,2015Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,38.9
Persons aged 15 years and over,2015Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2015Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,14.8
Persons aged 15 years and over,2015Q3,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,204.1
Persons aged 15 years and over,2015Q3,EU15 to EU27 (accession countries joined post 2004),In labour force,164.3
Persons aged 15 years and over,2015Q3,EU15 to EU27 (accession countries joined post 2004),In employment,144.4
Persons aged 15 years and over,2015Q3,EU15 to EU27 (accession countries joined post 2004),Unemployed,20.0
Persons aged 15 years and over,2015Q3,EU15 to EU27 (accession countries joined post 2004),Not in labour force,39.8
Persons aged 15 years and over,2015Q3,UK,All ILO economic status,98.8
Persons aged 15 years and over,2015Q3,UK,In labour force,59.5
Persons aged 15 years and over,2015Q3,UK,In employment,52.7
Persons aged 15 years and over,2015Q3,UK,Unemployed,6.9
Persons aged 15 years and over,2015Q3,UK,Not in labour force,39.2
Persons aged 15 years and over,2015Q3,Irish,All ILO economic status,3228.4
Persons aged 15 years and over,2015Q3,Irish,In labour force,1966.8
Persons aged 15 years and over,2015Q3,Irish,In employment,1779.6
Persons aged 15 years and over,2015Q3,Irish,Unemployed,187.2
Persons aged 15 years and over,2015Q3,Irish,Not in labour force,1261.7
Persons aged 15 years and over,2015Q3,Non-Irish,All ILO economic status,471.3
Persons aged 15 years and over,2015Q3,Non-Irish,In labour force,337.8
Persons aged 15 years and over,2015Q3,Non-Irish,In employment,299.0
Persons aged 15 years and over,2015Q3,Non-Irish,Unemployed,38.8
Persons aged 15 years and over,2015Q3,Non-Irish,Not in labour force,133.5
Persons aged 15 years and over,2015Q3,Other nationalities (7),All ILO economic status,112.5
Persons aged 15 years and over,2015Q3,Other nationalities (7),In labour force,72.8
Persons aged 15 years and over,2015Q3,Other nationalities (7),In employment,63.1
Persons aged 15 years and over,2015Q3,Other nationalities (7),Unemployed,9.7
Persons aged 15 years and over,2015Q3,Other nationalities (7),Not in labour force,39.7
Persons aged 15 years and over,2015Q4,All nationalities,All ILO economic status,3711.9
Persons aged 15 years and over,2015Q4,All nationalities,In labour force,2290.4
Persons aged 15 years and over,2015Q4,All nationalities,In employment,2083.9
Persons aged 15 years and over,2015Q4,All nationalities,Unemployed,206.5
Persons aged 15 years and over,2015Q4,All nationalities,Not in labour force,1421.5
Persons aged 15 years and over,2015Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,56.9
Persons aged 15 years and over,2015Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,42.7
Persons aged 15 years and over,2015Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,40.6
Persons aged 15 years and over,2015Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2015Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,14.2
Persons aged 15 years and over,2015Q4,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,209.3
Persons aged 15 years and over,2015Q4,EU15 to EU27 (accession countries joined post 2004),In labour force,166.8
Persons aged 15 years and over,2015Q4,EU15 to EU27 (accession countries joined post 2004),In employment,150.6
Persons aged 15 years and over,2015Q4,EU15 to EU27 (accession countries joined post 2004),Unemployed,16.2
Persons aged 15 years and over,2015Q4,EU15 to EU27 (accession countries joined post 2004),Not in labour force,42.6
Persons aged 15 years and over,2015Q4,UK,All ILO economic status,98.8
Persons aged 15 years and over,2015Q4,UK,In labour force,56.4
Persons aged 15 years and over,2015Q4,UK,In employment,50.2
Persons aged 15 years and over,2015Q4,UK,Unemployed,6.2
Persons aged 15 years and over,2015Q4,UK,Not in labour force,42.4
Persons aged 15 years and over,2015Q4,Irish,All ILO economic status,3237.1
Persons aged 15 years and over,2015Q4,Irish,In labour force,1955.7
Persons aged 15 years and over,2015Q4,Irish,In employment,1782.8
Persons aged 15 years and over,2015Q4,Irish,Unemployed,172.9
Persons aged 15 years and over,2015Q4,Irish,Not in labour force,1281.4
Persons aged 15 years and over,2015Q4,Non-Irish,All ILO economic status,474.8
Persons aged 15 years and over,2015Q4,Non-Irish,In labour force,334.7
Persons aged 15 years and over,2015Q4,Non-Irish,In employment,301.1
Persons aged 15 years and over,2015Q4,Non-Irish,Unemployed,33.6
Persons aged 15 years and over,2015Q4,Non-Irish,Not in labour force,140.1
Persons aged 15 years and over,2015Q4,Other nationalities (7),All ILO economic status,109.7
Persons aged 15 years and over,2015Q4,Other nationalities (7),In labour force,68.8
Persons aged 15 years and over,2015Q4,Other nationalities (7),In employment,59.7
Persons aged 15 years and over,2015Q4,Other nationalities (7),Unemployed,9.1
Persons aged 15 years and over,2015Q4,Other nationalities (7),Not in labour force,41.0
Persons aged 15 years and over,2016Q1,All nationalities,All ILO economic status,3721.8
Persons aged 15 years and over,2016Q1,All nationalities,In labour force,2278.0
Persons aged 15 years and over,2016Q1,All nationalities,In employment,2079.0
Persons aged 15 years and over,2016Q1,All nationalities,Unemployed,199.0
Persons aged 15 years and over,2016Q1,All nationalities,Not in labour force,1443.7
Persons aged 15 years and over,2016Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,58.4
Persons aged 15 years and over,2016Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,45.2
Persons aged 15 years and over,2016Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,43.5
Persons aged 15 years and over,2016Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2016Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,13.2
Persons aged 15 years and over,2016Q1,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,209.5
Persons aged 15 years and over,2016Q1,EU15 to EU27 (accession countries joined post 2004),In labour force,169.1
Persons aged 15 years and over,2016Q1,EU15 to EU27 (accession countries joined post 2004),In employment,151.5
Persons aged 15 years and over,2016Q1,EU15 to EU27 (accession countries joined post 2004),Unemployed,17.6
Persons aged 15 years and over,2016Q1,EU15 to EU27 (accession countries joined post 2004),Not in labour force,40.4
Persons aged 15 years and over,2016Q1,UK,All ILO economic status,99.0
Persons aged 15 years and over,2016Q1,UK,In labour force,56.5
Persons aged 15 years and over,2016Q1,UK,In employment,50.7
Persons aged 15 years and over,2016Q1,UK,Unemployed,5.8
Persons aged 15 years and over,2016Q1,UK,Not in labour force,42.5
Persons aged 15 years and over,2016Q1,Irish,All ILO economic status,3242.8
Persons aged 15 years and over,2016Q1,Irish,In labour force,1938.3
Persons aged 15 years and over,2016Q1,Irish,In employment,1771.1
Persons aged 15 years and over,2016Q1,Irish,Unemployed,167.2
Persons aged 15 years and over,2016Q1,Irish,Not in labour force,1304.5
Persons aged 15 years and over,2016Q1,Non-Irish,All ILO economic status,479.0
Persons aged 15 years and over,2016Q1,Non-Irish,In labour force,339.8
Persons aged 15 years and over,2016Q1,Non-Irish,In employment,307.9
Persons aged 15 years and over,2016Q1,Non-Irish,Unemployed,31.8
Persons aged 15 years and over,2016Q1,Non-Irish,Not in labour force,139.2
Persons aged 15 years and over,2016Q1,Other nationalities (7),All ILO economic status,112.0
Persons aged 15 years and over,2016Q1,Other nationalities (7),In labour force,68.9
Persons aged 15 years and over,2016Q1,Other nationalities (7),In employment,62.2
Persons aged 15 years and over,2016Q1,Other nationalities (7),Unemployed,6.7
Persons aged 15 years and over,2016Q1,Other nationalities (7),Not in labour force,43.1
Persons aged 15 years and over,2016Q2,All nationalities,All ILO economic status,3734.1
Persons aged 15 years and over,2016Q2,All nationalities,In labour force,2335.7
Persons aged 15 years and over,2016Q2,All nationalities,In employment,2124.4
Persons aged 15 years and over,2016Q2,All nationalities,Unemployed,211.3
Persons aged 15 years and over,2016Q2,All nationalities,Not in labour force,1398.4
Persons aged 15 years and over,2016Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,59.5
Persons aged 15 years and over,2016Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,48.0
Persons aged 15 years and over,2016Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,45.1
Persons aged 15 years and over,2016Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2016Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,11.5
Persons aged 15 years and over,2016Q2,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,210.9
Persons aged 15 years and over,2016Q2,EU15 to EU27 (accession countries joined post 2004),In labour force,171.2
Persons aged 15 years and over,2016Q2,EU15 to EU27 (accession countries joined post 2004),In employment,155.9
Persons aged 15 years and over,2016Q2,EU15 to EU27 (accession countries joined post 2004),Unemployed,15.3
Persons aged 15 years and over,2016Q2,EU15 to EU27 (accession countries joined post 2004),Not in labour force,39.7
Persons aged 15 years and over,2016Q2,UK,All ILO economic status,99.1
Persons aged 15 years and over,2016Q2,UK,In labour force,57.7
Persons aged 15 years and over,2016Q2,UK,In employment,50.2
Persons aged 15 years and over,2016Q2,UK,Unemployed,7.4
Persons aged 15 years and over,2016Q2,UK,Not in labour force,41.4
Persons aged 15 years and over,2016Q2,Irish,All ILO economic status,3251.0
Persons aged 15 years and over,2016Q2,Irish,In labour force,1985.3
Persons aged 15 years and over,2016Q2,Irish,In employment,1808.9
Persons aged 15 years and over,2016Q2,Irish,Unemployed,176.5
Persons aged 15 years and over,2016Q2,Irish,Not in labour force,1265.7
Persons aged 15 years and over,2016Q2,Non-Irish,All ILO economic status,483.1
Persons aged 15 years and over,2016Q2,Non-Irish,In labour force,350.4
Persons aged 15 years and over,2016Q2,Non-Irish,In employment,315.6
Persons aged 15 years and over,2016Q2,Non-Irish,Unemployed,34.8
Persons aged 15 years and over,2016Q2,Non-Irish,Not in labour force,132.7
Persons aged 15 years and over,2016Q2,Other nationalities (7),All ILO economic status,113.7
Persons aged 15 years and over,2016Q2,Other nationalities (7),In labour force,73.5
Persons aged 15 years and over,2016Q2,Other nationalities (7),In employment,64.3
Persons aged 15 years and over,2016Q2,Other nationalities (7),Unemployed,9.2
Persons aged 15 years and over,2016Q2,Other nationalities (7),Not in labour force,40.2
Persons aged 15 years and over,2016Q3,All nationalities,All ILO economic status,3753.6
Persons aged 15 years and over,2016Q3,All nationalities,In labour force,2360.8
Persons aged 15 years and over,2016Q3,All nationalities,In employment,2159.9
Persons aged 15 years and over,2016Q3,All nationalities,Unemployed,200.8
Persons aged 15 years and over,2016Q3,All nationalities,Not in labour force,1392.9
Persons aged 15 years and over,2016Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,61.1
Persons aged 15 years and over,2016Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,49.5
Persons aged 15 years and over,2016Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,46.6
Persons aged 15 years and over,2016Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2016Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,11.5
Persons aged 15 years and over,2016Q3,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,211.7
Persons aged 15 years and over,2016Q3,EU15 to EU27 (accession countries joined post 2004),In labour force,169.4
Persons aged 15 years and over,2016Q3,EU15 to EU27 (accession countries joined post 2004),In employment,154.2
Persons aged 15 years and over,2016Q3,EU15 to EU27 (accession countries joined post 2004),Unemployed,15.2
Persons aged 15 years and over,2016Q3,EU15 to EU27 (accession countries joined post 2004),Not in labour force,42.3
Persons aged 15 years and over,2016Q3,UK,All ILO economic status,100.0
Persons aged 15 years and over,2016Q3,UK,In labour force,59.7
Persons aged 15 years and over,2016Q3,UK,In employment,54.0
Persons aged 15 years and over,2016Q3,UK,Unemployed,5.8
Persons aged 15 years and over,2016Q3,UK,Not in labour force,40.2
Persons aged 15 years and over,2016Q3,Irish,All ILO economic status,3261.3
Persons aged 15 years and over,2016Q3,Irish,In labour force,2000.3
Persons aged 15 years and over,2016Q3,Irish,In employment,1833.4
Persons aged 15 years and over,2016Q3,Irish,Unemployed,166.9
Persons aged 15 years and over,2016Q3,Irish,Not in labour force,1261.1
Persons aged 15 years and over,2016Q3,Non-Irish,All ILO economic status,492.3
Persons aged 15 years and over,2016Q3,Non-Irish,In labour force,360.5
Persons aged 15 years and over,2016Q3,Non-Irish,In employment,326.6
Persons aged 15 years and over,2016Q3,Non-Irish,Unemployed,33.9
Persons aged 15 years and over,2016Q3,Non-Irish,Not in labour force,131.8
Persons aged 15 years and over,2016Q3,Other nationalities (7),All ILO economic status,119.6
Persons aged 15 years and over,2016Q3,Other nationalities (7),In labour force,81.8
Persons aged 15 years and over,2016Q3,Other nationalities (7),In employment,71.8
Persons aged 15 years and over,2016Q3,Other nationalities (7),Unemployed,10.0
Persons aged 15 years and over,2016Q3,Other nationalities (7),Not in labour force,37.8
Persons aged 15 years and over,2016Q4,All nationalities,All ILO economic status,3771.6
Persons aged 15 years and over,2016Q4,All nationalities,In labour force,2333.1
Persons aged 15 years and over,2016Q4,All nationalities,In employment,2165.5
Persons aged 15 years and over,2016Q4,All nationalities,Unemployed,167.6
Persons aged 15 years and over,2016Q4,All nationalities,Not in labour force,1438.5
Persons aged 15 years and over,2016Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,62.4
Persons aged 15 years and over,2016Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,47.7
Persons aged 15 years and over,2016Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,45.4
Persons aged 15 years and over,2016Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2016Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,14.8
Persons aged 15 years and over,2016Q4,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,212.0
Persons aged 15 years and over,2016Q4,EU15 to EU27 (accession countries joined post 2004),In labour force,168.2
Persons aged 15 years and over,2016Q4,EU15 to EU27 (accession countries joined post 2004),In employment,155.8
Persons aged 15 years and over,2016Q4,EU15 to EU27 (accession countries joined post 2004),Unemployed,12.3
Persons aged 15 years and over,2016Q4,EU15 to EU27 (accession countries joined post 2004),Not in labour force,43.8
Persons aged 15 years and over,2016Q4,UK,All ILO economic status,99.7
Persons aged 15 years and over,2016Q4,UK,In labour force,56.6
Persons aged 15 years and over,2016Q4,UK,In employment,52.1
Persons aged 15 years and over,2016Q4,UK,Unemployed,4.6
Persons aged 15 years and over,2016Q4,UK,Not in labour force,43.0
Persons aged 15 years and over,2016Q4,Irish,All ILO economic status,3275.9
Persons aged 15 years and over,2016Q4,Irish,In labour force,1982.2
Persons aged 15 years and over,2016Q4,Irish,In employment,1840.7
Persons aged 15 years and over,2016Q4,Irish,Unemployed,141.5
Persons aged 15 years and over,2016Q4,Irish,Not in labour force,1293.7
Persons aged 15 years and over,2016Q4,Non-Irish,All ILO economic status,495.6
Persons aged 15 years and over,2016Q4,Non-Irish,In labour force,350.8
Persons aged 15 years and over,2016Q4,Non-Irish,In employment,324.8
Persons aged 15 years and over,2016Q4,Non-Irish,Unemployed,26.1
Persons aged 15 years and over,2016Q4,Non-Irish,Not in labour force,144.8
Persons aged 15 years and over,2016Q4,Other nationalities (7),All ILO economic status,121.6
Persons aged 15 years and over,2016Q4,Other nationalities (7),In labour force,78.4
Persons aged 15 years and over,2016Q4,Other nationalities (7),In employment,71.5
Persons aged 15 years and over,2016Q4,Other nationalities (7),Unemployed,6.9
Persons aged 15 years and over,2016Q4,Other nationalities (7),Not in labour force,43.2
Persons aged 15 years and over,2017Q1,All nationalities,All ILO economic status,3786.9
Persons aged 15 years and over,2017Q1,All nationalities,In labour force,2326.7
Persons aged 15 years and over,2017Q1,All nationalities,In employment,2162.8
Persons aged 15 years and over,2017Q1,All nationalities,Unemployed,163.9
Persons aged 15 years and over,2017Q1,All nationalities,Not in labour force,1460.2
Persons aged 15 years and over,2017Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,63.3
Persons aged 15 years and over,2017Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,48.6
Persons aged 15 years and over,2017Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,46.8
Persons aged 15 years and over,2017Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2017Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,14.7
Persons aged 15 years and over,2017Q1,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,210.8
Persons aged 15 years and over,2017Q1,EU15 to EU27 (accession countries joined post 2004),In labour force,168.9
Persons aged 15 years and over,2017Q1,EU15 to EU27 (accession countries joined post 2004),In employment,156.2
Persons aged 15 years and over,2017Q1,EU15 to EU27 (accession countries joined post 2004),Unemployed,12.7
Persons aged 15 years and over,2017Q1,EU15 to EU27 (accession countries joined post 2004),Not in labour force,41.9
Persons aged 15 years and over,2017Q1,UK,All ILO economic status,99.1
Persons aged 15 years and over,2017Q1,UK,In labour force,56.3
Persons aged 15 years and over,2017Q1,UK,In employment,52.3
Persons aged 15 years and over,2017Q1,UK,Unemployed,
Persons aged 15 years and over,2017Q1,UK,Not in labour force,42.9
Persons aged 15 years and over,2017Q1,Irish,All ILO economic status,3289.2
Persons aged 15 years and over,2017Q1,Irish,In labour force,1973.8
Persons aged 15 years and over,2017Q1,Irish,In employment,1835.4
Persons aged 15 years and over,2017Q1,Irish,Unemployed,138.4
Persons aged 15 years and over,2017Q1,Irish,Not in labour force,1315.4
Persons aged 15 years and over,2017Q1,Non-Irish,All ILO economic status,497.7
Persons aged 15 years and over,2017Q1,Non-Irish,In labour force,352.9
Persons aged 15 years and over,2017Q1,Non-Irish,In employment,327.4
Persons aged 15 years and over,2017Q1,Non-Irish,Unemployed,25.5
Persons aged 15 years and over,2017Q1,Non-Irish,Not in labour force,144.8
Persons aged 15 years and over,2017Q1,Other nationalities (7),All ILO economic status,124.4
Persons aged 15 years and over,2017Q1,Other nationalities (7),In labour force,79.1
Persons aged 15 years and over,2017Q1,Other nationalities (7),In employment,72.1
Persons aged 15 years and over,2017Q1,Other nationalities (7),Unemployed,7.0
Persons aged 15 years and over,2017Q1,Other nationalities (7),Not in labour force,45.3
