Statistic,Quarter,NACE Rev 2 Economic Sector,value
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,Education (P),30.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,Human health and social work activities (Q),33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,Industry (B to E),39.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,"Financial, insurance and real estate activities (K, L)",38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,Other NACE activities (R to U),30.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,Industry and Construction (B to F),40.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,Services (G to U),34.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,Not stated,36.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,All NACE economic sectors,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,"Agriculture, forestry and fishing (A)",47.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,Construction (F),41.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,Transportation and storage (H),38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,Accommodation and food service activities (I),30.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,Information and communication (J),40.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,"Professional, scientific and technical activities (M)",39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,Administrative and support service activities (N),34.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,Public administration and defence; compulsory social security (O),38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,Education (P),30.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,Human health and social work activities (Q),33.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,Industry (B to E),39.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,"Financial, insurance and real estate activities (K, L)",37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,Other NACE activities (R to U),30.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,Industry and Construction (B to F),40.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,Services (G to U),34.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,Not stated,38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,All NACE economic sectors,37.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,"Agriculture, forestry and fishing (A)",48.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,Construction (F),41.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,Transportation and storage (H),39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,Accommodation and food service activities (I),33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,Information and communication (J),39.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,"Professional, scientific and technical activities (M)",39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,Administrative and support service activities (N),35.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,Public administration and defence; compulsory social security (O),38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,Education (P),31.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,Human health and social work activities (Q),34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,Industry (B to E),39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,"Financial, insurance and real estate activities (K, L)",38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,Other NACE activities (R to U),32.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,Industry and Construction (B to F),40.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,Services (G to U),35.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,Not stated,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,All NACE economic sectors,36.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,"Agriculture, forestry and fishing (A)",48.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,Construction (F),41.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,Transportation and storage (H),38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,Accommodation and food service activities (I),32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,Information and communication (J),39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,"Professional, scientific and technical activities (M)",38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,Administrative and support service activities (N),35.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,Public administration and defence; compulsory social security (O),37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,Education (P),31.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,Human health and social work activities (Q),33.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,Industry (B to E),39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,"Financial, insurance and real estate activities (K, L)",38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,Other NACE activities (R to U),30.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,Industry and Construction (B to F),39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,Services (G to U),35.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,Not stated,38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,All NACE economic sectors,36.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,"Agriculture, forestry and fishing (A)",47.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,Construction (F),41.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,Transportation and storage (H),39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,Accommodation and food service activities (I),32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,Information and communication (J),39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,"Professional, scientific and technical activities (M)",38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,Administrative and support service activities (N),35.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,Public administration and defence; compulsory social security (O),37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,Education (P),30.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,Human health and social work activities (Q),33.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,Industry (B to E),39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,"Financial, insurance and real estate activities (K, L)",37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,Other NACE activities (R to U),31.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,Industry and Construction (B to F),39.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,Services (G to U),35.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,Not stated,38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,All NACE economic sectors,36.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,"Agriculture, forestry and fishing (A)",45.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,Construction (F),40.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,Transportation and storage (H),37.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,Accommodation and food service activities (I),31.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,Information and communication (J),39.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,"Professional, scientific and technical activities (M)",38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,Administrative and support service activities (N),34.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,Public administration and defence; compulsory social security (O),37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,Education (P),30.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,Human health and social work activities (Q),33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,Industry (B to E),39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,"Financial, insurance and real estate activities (K, L)",38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,Other NACE activities (R to U),32.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,Industry and Construction (B to F),39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,Services (G to U),34.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,Not stated,30.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,All NACE economic sectors,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,"Agriculture, forestry and fishing (A)",46.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,Construction (F),40.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,Transportation and storage (H),36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,Accommodation and food service activities (I),30.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,Information and communication (J),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,"Professional, scientific and technical activities (M)",38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,Administrative and support service activities (N),34.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,Public administration and defence; compulsory social security (O),37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,Education (P),30.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,Human health and social work activities (Q),33.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,Industry (B to E),39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,"Financial, insurance and real estate activities (K, L)",38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,Other NACE activities (R to U),31.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,Industry and Construction (B to F),39.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,Services (G to U),34.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,Not stated,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,All NACE economic sectors,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,"Agriculture, forestry and fishing (A)",45.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,Construction (F),40.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,Transportation and storage (H),37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,Accommodation and food service activities (I),31.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,Information and communication (J),39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,"Professional, scientific and technical activities (M)",37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,Administrative and support service activities (N),34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,Public administration and defence; compulsory social security (O),38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,Education (P),30.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,Human health and social work activities (Q),34.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,Industry (B to E),39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,"Financial, insurance and real estate activities (K, L)",38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,Other NACE activities (R to U),31.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,Industry and Construction (B to F),39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,Services (G to U),34.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,Not stated,28.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,All NACE economic sectors,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,"Agriculture, forestry and fishing (A)",43.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,Construction (F),40.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,Transportation and storage (H),37.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,Accommodation and food service activities (I),28.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,Information and communication (J),40.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,"Professional, scientific and technical activities (M)",37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,Administrative and support service activities (N),33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,Public administration and defence; compulsory social security (O),38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,Education (P),30.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,Human health and social work activities (Q),33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,Industry (B to E),39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,"Financial, insurance and real estate activities (K, L)",39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,Other NACE activities (R to U),30.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,Industry and Construction (B to F),39.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,Services (G to U),34.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,Not stated,38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,All NACE economic sectors,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,"Agriculture, forestry and fishing (A)",43.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,Construction (F),40.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,Transportation and storage (H),38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,Accommodation and food service activities (I),29.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,Information and communication (J),40.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,"Professional, scientific and technical activities (M)",37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,Administrative and support service activities (N),34.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,Public administration and defence; compulsory social security (O),38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,Education (P),30.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,Human health and social work activities (Q),33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,Industry (B to E),39.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,"Financial, insurance and real estate activities (K, L)",38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,Other NACE activities (R to U),31.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,Industry and Construction (B to F),40.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,Services (G to U),34.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,Not stated,37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,All NACE economic sectors,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,"Agriculture, forestry and fishing (A)",46.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,Construction (F),40.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,Transportation and storage (H),38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,Accommodation and food service activities (I),30.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,Information and communication (J),40.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,"Professional, scientific and technical activities (M)",38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,Administrative and support service activities (N),33.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,Public administration and defence; compulsory social security (O),38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,Education (P),30.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,Human health and social work activities (Q),33.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,Industry (B to E),40.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,"Financial, insurance and real estate activities (K, L)",39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,Other NACE activities (R to U),30.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,Industry and Construction (B to F),40.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,Services (G to U),34.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,Not stated,37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,All NACE economic sectors,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,"Agriculture, forestry and fishing (A)",45.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,Construction (F),41.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,Transportation and storage (H),37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,Accommodation and food service activities (I),30.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,Information and communication (J),40.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,"Professional, scientific and technical activities (M)",38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,Administrative and support service activities (N),34.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,Public administration and defence; compulsory social security (O),37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,Education (P),30.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,Human health and social work activities (Q),33.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,Industry (B to E),39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,"Financial, insurance and real estate activities (K, L)",39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,Other NACE activities (R to U),31.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,Industry and Construction (B to F),40.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,Services (G to U),34.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,Not stated,34.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,All NACE economic sectors,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,"Agriculture, forestry and fishing (A)",44.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,Construction (F),40.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),32.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,Transportation and storage (H),38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,Accommodation and food service activities (I),29.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,Information and communication (J),40.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,"Professional, scientific and technical activities (M)",37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,Administrative and support service activities (N),32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,Public administration and defence; compulsory social security (O),37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,Education (P),29.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,Human health and social work activities (Q),33.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,Industry (B to E),39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,"Financial, insurance and real estate activities (K, L)",38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,Other NACE activities (R to U),31.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,Industry and Construction (B to F),39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,Services (G to U),34.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,Not stated,33.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,All NACE economic sectors,35.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,"Agriculture, forestry and fishing (A)",44.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,Construction (F),40.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),32.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,Transportation and storage (H),38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,Accommodation and food service activities (I),29.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,Information and communication (J),39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,"Professional, scientific and technical activities (M)",38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,Administrative and support service activities (N),34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,Public administration and defence; compulsory social security (O),38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,Education (P),29.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,Human health and social work activities (Q),33.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,Industry (B to E),39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,"Financial, insurance and real estate activities (K, L)",38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,Other NACE activities (R to U),30.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,Industry and Construction (B to F),39.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,Services (G to U),34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,Not stated,34.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,All NACE economic sectors,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,"Agriculture, forestry and fishing (A)",46.0
