Statistic,Quarter,Full and Part Time Status,Detailed Occupational Group,value
Persons aged 15 years and over in Employment (ILO),2020Q3,All employment status,"8 Process, plant and machine operatives",170.6
Persons aged 15 years and over in Employment (ILO),2020Q3,All employment status,9 Elementary,217.5
Persons aged 15 years and over in Employment (ILO),2020Q3,All employment status,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2020Q3,Full-time,All occupational groups,1849.5
Persons aged 15 years and over in Employment (ILO),2020Q3,Full-time,"1 Managers, directors and senior officials",176.4
Persons aged 15 years and over in Employment (ILO),2020Q3,Full-time,2 Professional,435.4
Persons aged 15 years and over in Employment (ILO),2020Q3,Full-time,3 Associate professional and technical,254.4
Persons aged 15 years and over in Employment (ILO),2020Q3,Full-time,4 Administrative and secreterial,184.0
Persons aged 15 years and over in Employment (ILO),2020Q3,Full-time,5 Skilled trades,268.3
Persons aged 15 years and over in Employment (ILO),2020Q3,Full-time,"6 Caring, leisure and other services",129.4
Persons aged 15 years and over in Employment (ILO),2020Q3,Full-time,7 Sales and customer service,108.2
Persons aged 15 years and over in Employment (ILO),2020Q3,Full-time,"8 Process, plant and machine operatives",152.4
Persons aged 15 years and over in Employment (ILO),2020Q3,Full-time,9 Elementary,137.2
Persons aged 15 years and over in Employment (ILO),2020Q3,Full-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2020Q3,Part-time,All occupational groups,425.5
Persons aged 15 years and over in Employment (ILO),2020Q3,Part-time,"1 Managers, directors and senior officials",12.8
Persons aged 15 years and over in Employment (ILO),2020Q3,Part-time,2 Professional,55.3
Persons aged 15 years and over in Employment (ILO),2020Q3,Part-time,3 Associate professional and technical,33.0
Persons aged 15 years and over in Employment (ILO),2020Q3,Part-time,4 Administrative and secreterial,59.3
Persons aged 15 years and over in Employment (ILO),2020Q3,Part-time,5 Skilled trades,33.5
Persons aged 15 years and over in Employment (ILO),2020Q3,Part-time,"6 Caring, leisure and other services",62.8
Persons aged 15 years and over in Employment (ILO),2020Q3,Part-time,7 Sales and customer service,68.8
Persons aged 15 years and over in Employment (ILO),2020Q3,Part-time,"8 Process, plant and machine operatives",18.2
Persons aged 15 years and over in Employment (ILO),2020Q3,Part-time,9 Elementary,80.3
Persons aged 15 years and over in Employment (ILO),2020Q3,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2020Q4,All employment status,All occupational groups,2305.1
Persons aged 15 years and over in Employment (ILO),2020Q4,All employment status,"1 Managers, directors and senior officials",201.8
Persons aged 15 years and over in Employment (ILO),2020Q4,All employment status,2 Professional,503.5
Persons aged 15 years and over in Employment (ILO),2020Q4,All employment status,3 Associate professional and technical,290.7
Persons aged 15 years and over in Employment (ILO),2020Q4,All employment status,4 Administrative and secreterial,255.1
Persons aged 15 years and over in Employment (ILO),2020Q4,All employment status,5 Skilled trades,295.6
Persons aged 15 years and over in Employment (ILO),2020Q4,All employment status,"6 Caring, leisure and other services",190.4
Persons aged 15 years and over in Employment (ILO),2020Q4,All employment status,7 Sales and customer service,185.2
Persons aged 15 years and over in Employment (ILO),2020Q4,All employment status,"8 Process, plant and machine operatives",170.6
Persons aged 15 years and over in Employment (ILO),2020Q4,All employment status,9 Elementary,206.9
Persons aged 15 years and over in Employment (ILO),2020Q4,All employment status,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2020Q4,Full-time,All occupational groups,1877.5
Persons aged 15 years and over in Employment (ILO),2020Q4,Full-time,"1 Managers, directors and senior officials",188.1
Persons aged 15 years and over in Employment (ILO),2020Q4,Full-time,2 Professional,443.8
Persons aged 15 years and over in Employment (ILO),2020Q4,Full-time,3 Associate professional and technical,257.7
Persons aged 15 years and over in Employment (ILO),2020Q4,Full-time,4 Administrative and secreterial,193.5
Persons aged 15 years and over in Employment (ILO),2020Q4,Full-time,5 Skilled trades,263.3
Persons aged 15 years and over in Employment (ILO),2020Q4,Full-time,"6 Caring, leisure and other services",131.2
Persons aged 15 years and over in Employment (ILO),2020Q4,Full-time,7 Sales and customer service,111.1
Persons aged 15 years and over in Employment (ILO),2020Q4,Full-time,"8 Process, plant and machine operatives",150.4
Persons aged 15 years and over in Employment (ILO),2020Q4,Full-time,9 Elementary,133.8
Persons aged 15 years and over in Employment (ILO),2020Q4,Full-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2020Q4,Part-time,All occupational groups,427.5
Persons aged 15 years and over in Employment (ILO),2020Q4,Part-time,"1 Managers, directors and senior officials",13.7
Persons aged 15 years and over in Employment (ILO),2020Q4,Part-time,2 Professional,59.6
Persons aged 15 years and over in Employment (ILO),2020Q4,Part-time,3 Associate professional and technical,33.0
Persons aged 15 years and over in Employment (ILO),2020Q4,Part-time,4 Administrative and secreterial,61.6
Persons aged 15 years and over in Employment (ILO),2020Q4,Part-time,5 Skilled trades,32.3
Persons aged 15 years and over in Employment (ILO),2020Q4,Part-time,"6 Caring, leisure and other services",59.2
Persons aged 15 years and over in Employment (ILO),2020Q4,Part-time,7 Sales and customer service,74.1
Persons aged 15 years and over in Employment (ILO),2020Q4,Part-time,"8 Process, plant and machine operatives",20.2
Persons aged 15 years and over in Employment (ILO),2020Q4,Part-time,9 Elementary,73.2
Persons aged 15 years and over in Employment (ILO),2020Q4,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2021Q1,All employment status,All occupational groups,2259.9
Persons aged 15 years and over in Employment (ILO),2021Q1,All employment status,"1 Managers, directors and senior officials",193.9
Persons aged 15 years and over in Employment (ILO),2021Q1,All employment status,2 Professional,525.9
Persons aged 15 years and over in Employment (ILO),2021Q1,All employment status,3 Associate professional and technical,291.8
Persons aged 15 years and over in Employment (ILO),2021Q1,All employment status,4 Administrative and secreterial,253.7
Persons aged 15 years and over in Employment (ILO),2021Q1,All employment status,5 Skilled trades,273.5
Persons aged 15 years and over in Employment (ILO),2021Q1,All employment status,"6 Caring, leisure and other services",186.7
Persons aged 15 years and over in Employment (ILO),2021Q1,All employment status,7 Sales and customer service,177.9
Persons aged 15 years and over in Employment (ILO),2021Q1,All employment status,"8 Process, plant and machine operatives",156.5
Persons aged 15 years and over in Employment (ILO),2021Q1,All employment status,9 Elementary,193.0
Persons aged 15 years and over in Employment (ILO),2021Q1,All employment status,X1 Other/Not stated,7.0
Persons aged 15 years and over in Employment (ILO),2021Q1,Full-time,All occupational groups,1821.0
Persons aged 15 years and over in Employment (ILO),2021Q1,Full-time,"1 Managers, directors and senior officials",178.6
Persons aged 15 years and over in Employment (ILO),2021Q1,Full-time,2 Professional,462.9
Persons aged 15 years and over in Employment (ILO),2021Q1,Full-time,3 Associate professional and technical,261.7
Persons aged 15 years and over in Employment (ILO),2021Q1,Full-time,4 Administrative and secreterial,188.2
Persons aged 15 years and over in Employment (ILO),2021Q1,Full-time,5 Skilled trades,242.5
Persons aged 15 years and over in Employment (ILO),2021Q1,Full-time,"6 Caring, leisure and other services",127.4
Persons aged 15 years and over in Employment (ILO),2021Q1,Full-time,7 Sales and customer service,103.0
Persons aged 15 years and over in Employment (ILO),2021Q1,Full-time,"8 Process, plant and machine operatives",137.3
Persons aged 15 years and over in Employment (ILO),2021Q1,Full-time,9 Elementary,113.9
Persons aged 15 years and over in Employment (ILO),2021Q1,Full-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2021Q1,Part-time,All occupational groups,438.9
Persons aged 15 years and over in Employment (ILO),2021Q1,Part-time,"1 Managers, directors and senior officials",15.4
Persons aged 15 years and over in Employment (ILO),2021Q1,Part-time,2 Professional,63.0
Persons aged 15 years and over in Employment (ILO),2021Q1,Part-time,3 Associate professional and technical,30.1
Persons aged 15 years and over in Employment (ILO),2021Q1,Part-time,4 Administrative and secreterial,65.5
Persons aged 15 years and over in Employment (ILO),2021Q1,Part-time,5 Skilled trades,31.0
Persons aged 15 years and over in Employment (ILO),2021Q1,Part-time,"6 Caring, leisure and other services",59.3
Persons aged 15 years and over in Employment (ILO),2021Q1,Part-time,7 Sales and customer service,74.9
Persons aged 15 years and over in Employment (ILO),2021Q1,Part-time,"8 Process, plant and machine operatives",19.2
Persons aged 15 years and over in Employment (ILO),2021Q1,Part-time,9 Elementary,79.0
Persons aged 15 years and over in Employment (ILO),2021Q1,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2021Q2,All employment status,All occupational groups,2382.2
Persons aged 15 years and over in Employment (ILO),2021Q2,All employment status,"1 Managers, directors and senior officials",198.0
Persons aged 15 years and over in Employment (ILO),2021Q2,All employment status,2 Professional,538.2
Persons aged 15 years and over in Employment (ILO),2021Q2,All employment status,3 Associate professional and technical,321.1
Persons aged 15 years and over in Employment (ILO),2021Q2,All employment status,4 Administrative and secreterial,265.5
Persons aged 15 years and over in Employment (ILO),2021Q2,All employment status,5 Skilled trades,287.8
Persons aged 15 years and over in Employment (ILO),2021Q2,All employment status,"6 Caring, leisure and other services",189.8
Persons aged 15 years and over in Employment (ILO),2021Q2,All employment status,7 Sales and customer service,186.5
Persons aged 15 years and over in Employment (ILO),2021Q2,All employment status,"8 Process, plant and machine operatives",167.3
Persons aged 15 years and over in Employment (ILO),2021Q2,All employment status,9 Elementary,219.4
Persons aged 15 years and over in Employment (ILO),2021Q2,All employment status,X1 Other/Not stated,8.8
Persons aged 15 years and over in Employment (ILO),2021Q2,Full-time,All occupational groups,1901.1
Persons aged 15 years and over in Employment (ILO),2021Q2,Full-time,"1 Managers, directors and senior officials",180.8
Persons aged 15 years and over in Employment (ILO),2021Q2,Full-time,2 Professional,472.7
Persons aged 15 years and over in Employment (ILO),2021Q2,Full-time,3 Associate professional and technical,284.3
Persons aged 15 years and over in Employment (ILO),2021Q2,Full-time,4 Administrative and secreterial,198.7
Persons aged 15 years and over in Employment (ILO),2021Q2,Full-time,5 Skilled trades,246.8
Persons aged 15 years and over in Employment (ILO),2021Q2,Full-time,"6 Caring, leisure and other services",128.1
Persons aged 15 years and over in Employment (ILO),2021Q2,Full-time,7 Sales and customer service,105.7
Persons aged 15 years and over in Employment (ILO),2021Q2,Full-time,"8 Process, plant and machine operatives",146.2
Persons aged 15 years and over in Employment (ILO),2021Q2,Full-time,9 Elementary,130.4
Persons aged 15 years and over in Employment (ILO),2021Q2,Full-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2021Q2,Part-time,All occupational groups,481.1
Persons aged 15 years and over in Employment (ILO),2021Q2,Part-time,"1 Managers, directors and senior officials",17.2
Persons aged 15 years and over in Employment (ILO),2021Q2,Part-time,2 Professional,65.5
Persons aged 15 years and over in Employment (ILO),2021Q2,Part-time,3 Associate professional and technical,36.7
Persons aged 15 years and over in Employment (ILO),2021Q2,Part-time,4 Administrative and secreterial,66.8
Persons aged 15 years and over in Employment (ILO),2021Q2,Part-time,5 Skilled trades,41.0
Persons aged 15 years and over in Employment (ILO),2021Q2,Part-time,"6 Caring, leisure and other services",61.7
Persons aged 15 years and over in Employment (ILO),2021Q2,Part-time,7 Sales and customer service,80.8
Persons aged 15 years and over in Employment (ILO),2021Q2,Part-time,"8 Process, plant and machine operatives",21.1
Persons aged 15 years and over in Employment (ILO),2021Q2,Part-time,9 Elementary,89.0
Persons aged 15 years and over in Employment (ILO),2021Q2,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,All occupational groups,2515.0
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,"1 Managers, directors and senior officials",223.9
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,2 Professional,550.3
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,3 Associate professional and technical,324.3
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,4 Administrative and secreterial,265.7
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,5 Skilled trades,305.4
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,"6 Caring, leisure and other services",198.0
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,7 Sales and customer service,189.9
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,"8 Process, plant and machine operatives",186.5
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,9 Elementary,260.6
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,X1 Other/Not stated,10.4
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,All occupational groups,1975.1
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,"1 Managers, directors and senior officials",205.7
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,2 Professional,482.5
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,3 Associate professional and technical,286.0
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,4 Administrative and secreterial,194.6
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,5 Skilled trades,266.1
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,"6 Caring, leisure and other services",128.6
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,7 Sales and customer service,101.9
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,"8 Process, plant and machine operatives",163.8
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,9 Elementary,137.3
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,X1 Other/Not stated,8.5
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,All occupational groups,540.0
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,"1 Managers, directors and senior officials",18.1
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,2 Professional,67.8
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,3 Associate professional and technical,38.3
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,4 Administrative and secreterial,71.0
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,5 Skilled trades,39.3
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,"6 Caring, leisure and other services",69.4
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,7 Sales and customer service,88.1
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,"8 Process, plant and machine operatives",22.8
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,9 Elementary,123.2
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,All occupational groups,2551.4
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,"1 Managers, directors and senior officials",222.1
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,2 Professional,584.6
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,3 Associate professional and technical,333.5
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,4 Administrative and secreterial,270.9
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,5 Skilled trades,311.4
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,"6 Caring, leisure and other services",195.8
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,7 Sales and customer service,185.1
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,"8 Process, plant and machine operatives",194.3
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,9 Elementary,243.7
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,X1 Other/Not stated,10.0
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,All occupational groups,1993.4
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,"1 Managers, directors and senior officials",201.8
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,2 Professional,513.1
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,3 Associate professional and technical,291.0
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,4 Administrative and secreterial,196.8
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,5 Skilled trades,268.7
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,"6 Caring, leisure and other services",125.2
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,7 Sales and customer service,97.6
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,"8 Process, plant and machine operatives",167.8
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,9 Elementary,123.1
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,X1 Other/Not stated,8.4
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,All occupational groups,558.0
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,"1 Managers, directors and senior officials",20.3
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,2 Professional,71.5
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,3 Associate professional and technical,42.5
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,4 Administrative and secreterial,74.2
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,5 Skilled trades,42.7
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,"6 Caring, leisure and other services",70.6
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,7 Sales and customer service,87.4
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,"8 Process, plant and machine operatives",26.5
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,9 Elementary,120.6
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,All occupational groups,2559.4
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,"1 Managers, directors and senior officials",233.6
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,2 Professional,572.6
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,3 Associate professional and technical,332.6
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,4 Administrative and secreterial,281.3
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,5 Skilled trades,318.7
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,"6 Caring, leisure and other services",202.1
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,7 Sales and customer service,177.6
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,"8 Process, plant and machine operatives",192.5
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,9 Elementary,238.9
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,X1 Other/Not stated,9.5
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,All occupational groups,2018.9
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,"1 Managers, directors and senior officials",215.4
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,2 Professional,493.9
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,3 Associate professional and technical,297.3
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,4 Administrative and secreterial,210.3
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,5 Skilled trades,275.4
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,"6 Caring, leisure and other services",126.4
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,7 Sales and customer service,95.0
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,"8 Process, plant and machine operatives",170.6
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,9 Elementary,126.6
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,X1 Other/Not stated,8.1
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,All occupational groups,540.5
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,"1 Managers, directors and senior officials",18.2
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,2 Professional,78.7
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,3 Associate professional and technical,35.4
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,4 Administrative and secreterial,71.0
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,5 Skilled trades,43.3
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,"6 Caring, leisure and other services",75.7
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,7 Sales and customer service,82.7
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,"8 Process, plant and machine operatives",21.9
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,9 Elementary,112.3
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,All occupational groups,2601.2
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,"1 Managers, directors and senior officials",228.9
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,2 Professional,574.0
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,3 Associate professional and technical,329.7
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,4 Administrative and secreterial,265.2
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,5 Skilled trades,330.8
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,"6 Caring, leisure and other services",215.8
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,7 Sales and customer service,187.0
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,"8 Process, plant and machine operatives",202.5
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,9 Elementary,253.2
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,X1 Other/Not stated,14.0
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,All occupational groups,2050.3
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,"1 Managers, directors and senior officials",209.4
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,2 Professional,503.1
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,3 Associate professional and technical,292.7
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,4 Administrative and secreterial,194.5
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,5 Skilled trades,289.9
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,"6 Caring, leisure and other services",129.5
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,7 Sales and customer service,100.6
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,"8 Process, plant and machine operatives",178.6
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,9 Elementary,139.1
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,X1 Other/Not stated,12.7
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,All occupational groups,551.0
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,"1 Managers, directors and senior officials",19.5
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,2 Professional,70.9
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,3 Associate professional and technical,37.0
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,4 Administrative and secreterial,70.7
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,5 Skilled trades,40.9
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,"6 Caring, leisure and other services",86.2
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,7 Sales and customer service,86.4
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,"8 Process, plant and machine operatives",23.9
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,9 Elementary,114.1
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,All occupational groups,2602.6
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,"1 Managers, directors and senior officials",227.4
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,2 Professional,575.7
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,3 Associate professional and technical,336.5
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,4 Administrative and secreterial,259.3
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,5 Skilled trades,334.7
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,"6 Caring, leisure and other services",212.1
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,7 Sales and customer service,190.0
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,"8 Process, plant and machine operatives",199.0
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,9 Elementary,245.5
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,X1 Other/Not stated,22.4
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,All occupational groups,2059.3
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,"1 Managers, directors and senior officials",209.5
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,2 Professional,510.3
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,3 Associate professional and technical,298.5
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,4 Administrative and secreterial,191.6
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,5 Skilled trades,295.2
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,"6 Caring, leisure and other services",132.5
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,7 Sales and customer service,99.7
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,"8 Process, plant and machine operatives",172.5
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,9 Elementary,131.7
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,X1 Other/Not stated,18.0
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,All occupational groups,543.2
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,"1 Managers, directors and senior officials",18.0
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,2 Professional,65.4
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,3 Associate professional and technical,38.1
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,4 Administrative and secreterial,67.7
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,5 Skilled trades,39.5
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,"6 Caring, leisure and other services",79.6
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,7 Sales and customer service,90.3
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,"8 Process, plant and machine operatives",26.6
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,9 Elementary,113.9
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,All occupational groups,2616.7
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,"1 Managers, directors and senior officials",241.6
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,2 Professional,569.2
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,3 Associate professional and technical,350.3
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,4 Administrative and secreterial,257.3
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,5 Skilled trades,339.4
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,"6 Caring, leisure and other services",211.2
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,7 Sales and customer service,187.8
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,"8 Process, plant and machine operatives",189.3
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,9 Elementary,249.0
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,X1 Other/Not stated,21.6
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,All occupational groups,2055.4
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,"1 Managers, directors and senior officials",223.6
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,2 Professional,501.7
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,3 Associate professional and technical,306.7
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,4 Administrative and secreterial,190.7
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,5 Skilled trades,297.4
