STATISTIC,Quarter,Nationality,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment,2014Q1,Other nationalities (7),Transportation and storage (H),
Persons aged 15 years and over in Employment,2014Q1,Other nationalities (7),Accommodation and food service activities (I),12.5
Persons aged 15 years and over in Employment,2014Q1,Other nationalities (7),Information and communication (J),4.2
Persons aged 15 years and over in Employment,2014Q1,Other nationalities (7),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2014Q1,Other nationalities (7),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2014Q1,Other nationalities (7),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2014Q1,Other nationalities (7),Education (P),
Persons aged 15 years and over in Employment,2014Q1,Other nationalities (7),Human health and social work activities (Q),9.5
Persons aged 15 years and over in Employment,2014Q1,Other nationalities (7),Industry (B to E),5.5
Persons aged 15 years and over in Employment,2014Q1,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2014Q1,Other nationalities (7),Other NACE activities (R to U),4.8
Persons aged 15 years and over in Employment,2014Q1,Other nationalities (7),Not stated,
Persons aged 15 years and over in Employment,2014Q2,All nationalities,All NACE economic sectors,1968.9
Persons aged 15 years and over in Employment,2014Q2,All nationalities,"Agriculture, forestry and fishing (A)",108.7
Persons aged 15 years and over in Employment,2014Q2,All nationalities,Construction (F),90.6
Persons aged 15 years and over in Employment,2014Q2,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),283.7
Persons aged 15 years and over in Employment,2014Q2,All nationalities,Transportation and storage (H),86.2
Persons aged 15 years and over in Employment,2014Q2,All nationalities,Accommodation and food service activities (I),143.4
Persons aged 15 years and over in Employment,2014Q2,All nationalities,Information and communication (J),98.4
Persons aged 15 years and over in Employment,2014Q2,All nationalities,"Professional, scientific and technical activities (M)",124.6
Persons aged 15 years and over in Employment,2014Q2,All nationalities,Administrative and support service activities (N),79.2
Persons aged 15 years and over in Employment,2014Q2,All nationalities,Public administration and defence; compulsory social security (O),88.2
Persons aged 15 years and over in Employment,2014Q2,All nationalities,Education (P),146.3
Persons aged 15 years and over in Employment,2014Q2,All nationalities,Human health and social work activities (Q),261.8
Persons aged 15 years and over in Employment,2014Q2,All nationalities,Industry (B to E),245.3
Persons aged 15 years and over in Employment,2014Q2,All nationalities,"Financial, insurance and real estate activities (K, L)",101.1
Persons aged 15 years and over in Employment,2014Q2,All nationalities,Other NACE activities (R to U),107.5
Persons aged 15 years and over in Employment,2014Q2,All nationalities,Not stated,3.9
Persons aged 15 years and over in Employment,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All NACE economic sectors,35.8
Persons aged 15 years and over in Employment,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Construction (F),
Persons aged 15 years and over in Employment,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),3.4
Persons aged 15 years and over in Employment,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Transportation and storage (H),
Persons aged 15 years and over in Employment,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Accommodation and food service activities (I),3.3
Persons aged 15 years and over in Employment,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Information and communication (J),5.6
Persons aged 15 years and over in Employment,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Professional, scientific and technical activities (M)",3.1
Persons aged 15 years and over in Employment,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Education (P),2.7
Persons aged 15 years and over in Employment,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Human health and social work activities (Q),2.7
Persons aged 15 years and over in Employment,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Industry (B to E),4.9
Persons aged 15 years and over in Employment,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not stated,
Persons aged 15 years and over in Employment,2014Q2,EU15 to EU27 (accession countries joined post 2004),All NACE economic sectors,142.8
Persons aged 15 years and over in Employment,2014Q2,EU15 to EU27 (accession countries joined post 2004),"Agriculture, forestry and fishing (A)",7.1
Persons aged 15 years and over in Employment,2014Q2,EU15 to EU27 (accession countries joined post 2004),Construction (F),7.0
Persons aged 15 years and over in Employment,2014Q2,EU15 to EU27 (accession countries joined post 2004),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),31.3
Persons aged 15 years and over in Employment,2014Q2,EU15 to EU27 (accession countries joined post 2004),Transportation and storage (H),5.1
Persons aged 15 years and over in Employment,2014Q2,EU15 to EU27 (accession countries joined post 2004),Accommodation and food service activities (I),25.3
Persons aged 15 years and over in Employment,2014Q2,EU15 to EU27 (accession countries joined post 2004),Information and communication (J),4.4
Persons aged 15 years and over in Employment,2014Q2,EU15 to EU27 (accession countries joined post 2004),"Professional, scientific and technical activities (M)",3.7
Persons aged 15 years and over in Employment,2014Q2,EU15 to EU27 (accession countries joined post 2004),Administrative and support service activities (N),10.4
Persons aged 15 years and over in Employment,2014Q2,EU15 to EU27 (accession countries joined post 2004),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2014Q2,EU15 to EU27 (accession countries joined post 2004),Education (P),
Persons aged 15 years and over in Employment,2014Q2,EU15 to EU27 (accession countries joined post 2004),Human health and social work activities (Q),5.7
Persons aged 15 years and over in Employment,2014Q2,EU15 to EU27 (accession countries joined post 2004),Industry (B to E),30.7
Persons aged 15 years and over in Employment,2014Q2,EU15 to EU27 (accession countries joined post 2004),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2014Q2,EU15 to EU27 (accession countries joined post 2004),Other NACE activities (R to U),7.1
Persons aged 15 years and over in Employment,2014Q2,EU15 to EU27 (accession countries joined post 2004),Not stated,
Persons aged 15 years and over in Employment,2014Q2,UK,All NACE economic sectors,46.3
Persons aged 15 years and over in Employment,2014Q2,UK,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2014Q2,UK,Construction (F),
Persons aged 15 years and over in Employment,2014Q2,UK,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),7.4
Persons aged 15 years and over in Employment,2014Q2,UK,Transportation and storage (H),
Persons aged 15 years and over in Employment,2014Q2,UK,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment,2014Q2,UK,Information and communication (J),4.9
Persons aged 15 years and over in Employment,2014Q2,UK,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2014Q2,UK,Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2014Q2,UK,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2014Q2,UK,Education (P),
Persons aged 15 years and over in Employment,2014Q2,UK,Human health and social work activities (Q),7.5
Persons aged 15 years and over in Employment,2014Q2,UK,Industry (B to E),5.7
Persons aged 15 years and over in Employment,2014Q2,UK,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2014Q2,UK,Other NACE activities (R to U),
Persons aged 15 years and over in Employment,2014Q2,UK,Not stated,
Persons aged 15 years and over in Employment,2014Q2,Irish,All NACE economic sectors,1689.6
Persons aged 15 years and over in Employment,2014Q2,Irish,"Agriculture, forestry and fishing (A)",99.5
Persons aged 15 years and over in Employment,2014Q2,Irish,Construction (F),81.2
Persons aged 15 years and over in Employment,2014Q2,Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),236.3
Persons aged 15 years and over in Employment,2014Q2,Irish,Transportation and storage (H),76.6
Persons aged 15 years and over in Employment,2014Q2,Irish,Accommodation and food service activities (I),98.7
Persons aged 15 years and over in Employment,2014Q2,Irish,Information and communication (J),79.3
Persons aged 15 years and over in Employment,2014Q2,Irish,"Professional, scientific and technical activities (M)",111.4
Persons aged 15 years and over in Employment,2014Q2,Irish,Administrative and support service activities (N),60.4
Persons aged 15 years and over in Employment,2014Q2,Irish,Public administration and defence; compulsory social security (O),86.1
Persons aged 15 years and over in Employment,2014Q2,Irish,Education (P),136.3
Persons aged 15 years and over in Employment,2014Q2,Irish,Human health and social work activities (Q),238.1
Persons aged 15 years and over in Employment,2014Q2,Irish,Industry (B to E),198.9
Persons aged 15 years and over in Employment,2014Q2,Irish,"Financial, insurance and real estate activities (K, L)",92.2
Persons aged 15 years and over in Employment,2014Q2,Irish,Other NACE activities (R to U),91.3
Persons aged 15 years and over in Employment,2014Q2,Irish,Not stated,3.4
Persons aged 15 years and over in Employment,2014Q2,Non-Irish,All NACE economic sectors,279.3
Persons aged 15 years and over in Employment,2014Q2,Non-Irish,"Agriculture, forestry and fishing (A)",9.2
Persons aged 15 years and over in Employment,2014Q2,Non-Irish,Construction (F),9.4
Persons aged 15 years and over in Employment,2014Q2,Non-Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),47.4
Persons aged 15 years and over in Employment,2014Q2,Non-Irish,Transportation and storage (H),9.6
Persons aged 15 years and over in Employment,2014Q2,Non-Irish,Accommodation and food service activities (I),44.7
Persons aged 15 years and over in Employment,2014Q2,Non-Irish,Information and communication (J),19.1
Persons aged 15 years and over in Employment,2014Q2,Non-Irish,"Professional, scientific and technical activities (M)",13.2
Persons aged 15 years and over in Employment,2014Q2,Non-Irish,Administrative and support service activities (N),18.8
Persons aged 15 years and over in Employment,2014Q2,Non-Irish,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2014Q2,Non-Irish,Education (P),10.0
Persons aged 15 years and over in Employment,2014Q2,Non-Irish,Human health and social work activities (Q),23.7
Persons aged 15 years and over in Employment,2014Q2,Non-Irish,Industry (B to E),46.4
Persons aged 15 years and over in Employment,2014Q2,Non-Irish,"Financial, insurance and real estate activities (K, L)",8.9
Persons aged 15 years and over in Employment,2014Q2,Non-Irish,Other NACE activities (R to U),16.3
Persons aged 15 years and over in Employment,2014Q2,Non-Irish,Not stated,
Persons aged 15 years and over in Employment,2014Q2,Other nationalities (7),All NACE economic sectors,54.4
Persons aged 15 years and over in Employment,2014Q2,Other nationalities (7),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2014Q2,Other nationalities (7),Construction (F),
Persons aged 15 years and over in Employment,2014Q2,Other nationalities (7),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),5.3
Persons aged 15 years and over in Employment,2014Q2,Other nationalities (7),Transportation and storage (H),
Persons aged 15 years and over in Employment,2014Q2,Other nationalities (7),Accommodation and food service activities (I),14.0
Persons aged 15 years and over in Employment,2014Q2,Other nationalities (7),Information and communication (J),4.3
Persons aged 15 years and over in Employment,2014Q2,Other nationalities (7),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2014Q2,Other nationalities (7),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2014Q2,Other nationalities (7),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2014Q2,Other nationalities (7),Education (P),
Persons aged 15 years and over in Employment,2014Q2,Other nationalities (7),Human health and social work activities (Q),7.9
Persons aged 15 years and over in Employment,2014Q2,Other nationalities (7),Industry (B to E),5.2
Persons aged 15 years and over in Employment,2014Q2,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2014Q2,Other nationalities (7),Other NACE activities (R to U),5.0
Persons aged 15 years and over in Employment,2014Q2,Other nationalities (7),Not stated,
Persons aged 15 years and over in Employment,2014Q3,All nationalities,All NACE economic sectors,2009.4
Persons aged 15 years and over in Employment,2014Q3,All nationalities,"Agriculture, forestry and fishing (A)",108.9
Persons aged 15 years and over in Employment,2014Q3,All nationalities,Construction (F),96.8
Persons aged 15 years and over in Employment,2014Q3,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),290.2
Persons aged 15 years and over in Employment,2014Q3,All nationalities,Transportation and storage (H),84.1
Persons aged 15 years and over in Employment,2014Q3,All nationalities,Accommodation and food service activities (I),148.6
Persons aged 15 years and over in Employment,2014Q3,All nationalities,Information and communication (J),95.8
Persons aged 15 years and over in Employment,2014Q3,All nationalities,"Professional, scientific and technical activities (M)",128.6
Persons aged 15 years and over in Employment,2014Q3,All nationalities,Administrative and support service activities (N),79.9
Persons aged 15 years and over in Employment,2014Q3,All nationalities,Public administration and defence; compulsory social security (O),90.3
Persons aged 15 years and over in Employment,2014Q3,All nationalities,Education (P),140.7
Persons aged 15 years and over in Employment,2014Q3,All nationalities,Human health and social work activities (Q),266.7
Persons aged 15 years and over in Employment,2014Q3,All nationalities,Industry (B to E),250.3
Persons aged 15 years and over in Employment,2014Q3,All nationalities,"Financial, insurance and real estate activities (K, L)",108.1
Persons aged 15 years and over in Employment,2014Q3,All nationalities,Other NACE activities (R to U),110.5
Persons aged 15 years and over in Employment,2014Q3,All nationalities,Not stated,9.9
Persons aged 15 years and over in Employment,2014Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All NACE economic sectors,37.1
Persons aged 15 years and over in Employment,2014Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2014Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Construction (F),
Persons aged 15 years and over in Employment,2014Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),3.8
Persons aged 15 years and over in Employment,2014Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Transportation and storage (H),
Persons aged 15 years and over in Employment,2014Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Accommodation and food service activities (I),4.0
Persons aged 15 years and over in Employment,2014Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Information and communication (J),5.1
Persons aged 15 years and over in Employment,2014Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2014Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2014Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2014Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Education (P),
Persons aged 15 years and over in Employment,2014Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,2014Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Industry (B to E),4.7
Persons aged 15 years and over in Employment,2014Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2014Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,2014Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not stated,
Persons aged 15 years and over in Employment,2014Q3,EU15 to EU27 (accession countries joined post 2004),All NACE economic sectors,143.3
Persons aged 15 years and over in Employment,2014Q3,EU15 to EU27 (accession countries joined post 2004),"Agriculture, forestry and fishing (A)",5.4
Persons aged 15 years and over in Employment,2014Q3,EU15 to EU27 (accession countries joined post 2004),Construction (F),8.2
Persons aged 15 years and over in Employment,2014Q3,EU15 to EU27 (accession countries joined post 2004),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),29.7
Persons aged 15 years and over in Employment,2014Q3,EU15 to EU27 (accession countries joined post 2004),Transportation and storage (H),5.6
Persons aged 15 years and over in Employment,2014Q3,EU15 to EU27 (accession countries joined post 2004),Accommodation and food service activities (I),23.9
Persons aged 15 years and over in Employment,2014Q3,EU15 to EU27 (accession countries joined post 2004),Information and communication (J),
Persons aged 15 years and over in Employment,2014Q3,EU15 to EU27 (accession countries joined post 2004),"Professional, scientific and technical activities (M)",5.4
Persons aged 15 years and over in Employment,2014Q3,EU15 to EU27 (accession countries joined post 2004),Administrative and support service activities (N),9.7
Persons aged 15 years and over in Employment,2014Q3,EU15 to EU27 (accession countries joined post 2004),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2014Q3,EU15 to EU27 (accession countries joined post 2004),Education (P),
Persons aged 15 years and over in Employment,2014Q3,EU15 to EU27 (accession countries joined post 2004),Human health and social work activities (Q),7.0
Persons aged 15 years and over in Employment,2014Q3,EU15 to EU27 (accession countries joined post 2004),Industry (B to E),31.6
Persons aged 15 years and over in Employment,2014Q3,EU15 to EU27 (accession countries joined post 2004),"Financial, insurance and real estate activities (K, L)",4.0
Persons aged 15 years and over in Employment,2014Q3,EU15 to EU27 (accession countries joined post 2004),Other NACE activities (R to U),6.7
Persons aged 15 years and over in Employment,2014Q3,EU15 to EU27 (accession countries joined post 2004),Not stated,
Persons aged 15 years and over in Employment,2014Q3,UK,All NACE economic sectors,47.0
Persons aged 15 years and over in Employment,2014Q3,UK,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2014Q3,UK,Construction (F),
Persons aged 15 years and over in Employment,2014Q3,UK,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),6.4
Persons aged 15 years and over in Employment,2014Q3,UK,Transportation and storage (H),
Persons aged 15 years and over in Employment,2014Q3,UK,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment,2014Q3,UK,Information and communication (J),5.2
Persons aged 15 years and over in Employment,2014Q3,UK,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2014Q3,UK,Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2014Q3,UK,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2014Q3,UK,Education (P),
Persons aged 15 years and over in Employment,2014Q3,UK,Human health and social work activities (Q),7.5
Persons aged 15 years and over in Employment,2014Q3,UK,Industry (B to E),6.5
Persons aged 15 years and over in Employment,2014Q3,UK,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2014Q3,UK,Other NACE activities (R to U),
Persons aged 15 years and over in Employment,2014Q3,UK,Not stated,
Persons aged 15 years and over in Employment,2014Q3,Irish,All NACE economic sectors,1725.3
Persons aged 15 years and over in Employment,2014Q3,Irish,"Agriculture, forestry and fishing (A)",100.9
Persons aged 15 years and over in Employment,2014Q3,Irish,Construction (F),85.9
Persons aged 15 years and over in Employment,2014Q3,Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),243.2
Persons aged 15 years and over in Employment,2014Q3,Irish,Transportation and storage (H),74.6
Persons aged 15 years and over in Employment,2014Q3,Irish,Accommodation and food service activities (I),105.4
Persons aged 15 years and over in Employment,2014Q3,Irish,Information and communication (J),78.5
Persons aged 15 years and over in Employment,2014Q3,Irish,"Professional, scientific and technical activities (M)",114.0
Persons aged 15 years and over in Employment,2014Q3,Irish,Administrative and support service activities (N),61.2
Persons aged 15 years and over in Employment,2014Q3,Irish,Public administration and defence; compulsory social security (O),87.5
Persons aged 15 years and over in Employment,2014Q3,Irish,Education (P),132.7
Persons aged 15 years and over in Employment,2014Q3,Irish,Human health and social work activities (Q),240.7
Persons aged 15 years and over in Employment,2014Q3,Irish,Industry (B to E),203.0
Persons aged 15 years and over in Employment,2014Q3,Irish,"Financial, insurance and real estate activities (K, L)",96.9
Persons aged 15 years and over in Employment,2014Q3,Irish,Other NACE activities (R to U),93.7
Persons aged 15 years and over in Employment,2014Q3,Irish,Not stated,7.3
Persons aged 15 years and over in Employment,2014Q3,Non-Irish,All NACE economic sectors,284.1
Persons aged 15 years and over in Employment,2014Q3,Non-Irish,"Agriculture, forestry and fishing (A)",8.1
Persons aged 15 years and over in Employment,2014Q3,Non-Irish,Construction (F),10.8
Persons aged 15 years and over in Employment,2014Q3,Non-Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),47.0
Persons aged 15 years and over in Employment,2014Q3,Non-Irish,Transportation and storage (H),9.5
Persons aged 15 years and over in Employment,2014Q3,Non-Irish,Accommodation and food service activities (I),43.2
Persons aged 15 years and over in Employment,2014Q3,Non-Irish,Information and communication (J),17.3
Persons aged 15 years and over in Employment,2014Q3,Non-Irish,"Professional, scientific and technical activities (M)",14.6
Persons aged 15 years and over in Employment,2014Q3,Non-Irish,Administrative and support service activities (N),18.8
Persons aged 15 years and over in Employment,2014Q3,Non-Irish,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2014Q3,Non-Irish,Education (P),8.0
Persons aged 15 years and over in Employment,2014Q3,Non-Irish,Human health and social work activities (Q),26.1
Persons aged 15 years and over in Employment,2014Q3,Non-Irish,Industry (B to E),47.3
Persons aged 15 years and over in Employment,2014Q3,Non-Irish,"Financial, insurance and real estate activities (K, L)",11.2
Persons aged 15 years and over in Employment,2014Q3,Non-Irish,Other NACE activities (R to U),16.9
Persons aged 15 years and over in Employment,2014Q3,Non-Irish,Not stated,
Persons aged 15 years and over in Employment,2014Q3,Other nationalities (7),All NACE economic sectors,56.7
Persons aged 15 years and over in Employment,2014Q3,Other nationalities (7),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2014Q3,Other nationalities (7),Construction (F),
Persons aged 15 years and over in Employment,2014Q3,Other nationalities (7),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),7.1
Persons aged 15 years and over in Employment,2014Q3,Other nationalities (7),Transportation and storage (H),
Persons aged 15 years and over in Employment,2014Q3,Other nationalities (7),Accommodation and food service activities (I),12.8
Persons aged 15 years and over in Employment,2014Q3,Other nationalities (7),Information and communication (J),
Persons aged 15 years and over in Employment,2014Q3,Other nationalities (7),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2014Q3,Other nationalities (7),Administrative and support service activities (N),4.2
Persons aged 15 years and over in Employment,2014Q3,Other nationalities (7),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2014Q3,Other nationalities (7),Education (P),
Persons aged 15 years and over in Employment,2014Q3,Other nationalities (7),Human health and social work activities (Q),8.7
Persons aged 15 years and over in Employment,2014Q3,Other nationalities (7),Industry (B to E),4.5
Persons aged 15 years and over in Employment,2014Q3,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2014Q3,Other nationalities (7),Other NACE activities (R to U),5.3
Persons aged 15 years and over in Employment,2014Q3,Other nationalities (7),Not stated,
Persons aged 15 years and over in Employment,2014Q4,All nationalities,All NACE economic sectors,2025.0
Persons aged 15 years and over in Employment,2014Q4,All nationalities,"Agriculture, forestry and fishing (A)",104.7
Persons aged 15 years and over in Employment,2014Q4,All nationalities,Construction (F),100.4
Persons aged 15 years and over in Employment,2014Q4,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),292.8
Persons aged 15 years and over in Employment,2014Q4,All nationalities,Transportation and storage (H),86.6
Persons aged 15 years and over in Employment,2014Q4,All nationalities,Accommodation and food service activities (I),146.9
Persons aged 15 years and over in Employment,2014Q4,All nationalities,Information and communication (J),101.1
Persons aged 15 years and over in Employment,2014Q4,All nationalities,"Professional, scientific and technical activities (M)",130.1
Persons aged 15 years and over in Employment,2014Q4,All nationalities,Administrative and support service activities (N),80.8
Persons aged 15 years and over in Employment,2014Q4,All nationalities,Public administration and defence; compulsory social security (O),87.5
Persons aged 15 years and over in Employment,2014Q4,All nationalities,Education (P),150.9
Persons aged 15 years and over in Employment,2014Q4,All nationalities,Human health and social work activities (Q),265.1
Persons aged 15 years and over in Employment,2014Q4,All nationalities,Industry (B to E),257.2
Persons aged 15 years and over in Employment,2014Q4,All nationalities,"Financial, insurance and real estate activities (K, L)",106.6
Persons aged 15 years and over in Employment,2014Q4,All nationalities,Other NACE activities (R to U),107.4
Persons aged 15 years and over in Employment,2014Q4,All nationalities,Not stated,7.0
Persons aged 15 years and over in Employment,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All NACE economic sectors,36.9
Persons aged 15 years and over in Employment,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Construction (F),
Persons aged 15 years and over in Employment,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),3.2
Persons aged 15 years and over in Employment,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Transportation and storage (H),
Persons aged 15 years and over in Employment,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Accommodation and food service activities (I),4.8
Persons aged 15 years and over in Employment,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Information and communication (J),6.5
Persons aged 15 years and over in Employment,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Education (P),
Persons aged 15 years and over in Employment,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Industry (B to E),5.2
Persons aged 15 years and over in Employment,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,2014Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not stated,
Persons aged 15 years and over in Employment,2014Q4,EU15 to EU27 (accession countries joined post 2004),All NACE economic sectors,147.6
Persons aged 15 years and over in Employment,2014Q4,EU15 to EU27 (accession countries joined post 2004),"Agriculture, forestry and fishing (A)",5.5
Persons aged 15 years and over in Employment,2014Q4,EU15 to EU27 (accession countries joined post 2004),Construction (F),8.9
Persons aged 15 years and over in Employment,2014Q4,EU15 to EU27 (accession countries joined post 2004),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),30.1
Persons aged 15 years and over in Employment,2014Q4,EU15 to EU27 (accession countries joined post 2004),Transportation and storage (H),5.9
Persons aged 15 years and over in Employment,2014Q4,EU15 to EU27 (accession countries joined post 2004),Accommodation and food service activities (I),24.4
Persons aged 15 years and over in Employment,2014Q4,EU15 to EU27 (accession countries joined post 2004),Information and communication (J),
Persons aged 15 years and over in Employment,2014Q4,EU15 to EU27 (accession countries joined post 2004),"Professional, scientific and technical activities (M)",6.5
