Statistic,Quarter,Region,value
ILO Unemployment Rate (15 - 74 years),2021Q2,Northern and Western,6.3
ILO Unemployment Rate (15 - 74 years),2021Q2,Border,5.6
ILO Unemployment Rate (15 - 74 years),2021Q2,West,6.9
ILO Unemployment Rate (15 - 74 years),2021Q2,Southern,8.0
ILO Unemployment Rate (15 - 74 years),2021Q2,Mid-West,7.3
ILO Unemployment Rate (15 - 74 years),2021Q2,South-East,8.8
ILO Unemployment Rate (15 - 74 years),2021Q2,South-West,7.9
ILO Unemployment Rate (15 - 74 years),2021Q2,Eastern and Midland,7.2
ILO Unemployment Rate (15 - 74 years),2021Q2,Dublin,7.3
ILO Unemployment Rate (15 - 74 years),2021Q2,Mid-East,6.7
ILO Unemployment Rate (15 - 74 years),2021Q2,Midland,7.8
ILO Unemployment Rate (15 - 74 years),2021Q3,State,5.7
ILO Unemployment Rate (15 - 74 years),2021Q3,Northern and Western,4.2
ILO Unemployment Rate (15 - 74 years),2021Q3,Border,3.7
ILO Unemployment Rate (15 - 74 years),2021Q3,West,4.7
ILO Unemployment Rate (15 - 74 years),2021Q3,Southern,5.7
ILO Unemployment Rate (15 - 74 years),2021Q3,Mid-West,6.9
ILO Unemployment Rate (15 - 74 years),2021Q3,South-East,5.7
ILO Unemployment Rate (15 - 74 years),2021Q3,South-West,4.9
ILO Unemployment Rate (15 - 74 years),2021Q3,Eastern and Midland,6.2
ILO Unemployment Rate (15 - 74 years),2021Q3,Dublin,6.2
ILO Unemployment Rate (15 - 74 years),2021Q3,Mid-East,6.1
ILO Unemployment Rate (15 - 74 years),2021Q3,Midland,6.2
ILO Unemployment Rate (15 - 74 years),2021Q4,State,4.9
ILO Unemployment Rate (15 - 74 years),2021Q4,Northern and Western,4.2
ILO Unemployment Rate (15 - 74 years),2021Q4,Border,3.7
ILO Unemployment Rate (15 - 74 years),2021Q4,West,4.5
ILO Unemployment Rate (15 - 74 years),2021Q4,Southern,4.6
ILO Unemployment Rate (15 - 74 years),2021Q4,Mid-West,4.5
ILO Unemployment Rate (15 - 74 years),2021Q4,South-East,6.5
ILO Unemployment Rate (15 - 74 years),2021Q4,South-West,3.6
ILO Unemployment Rate (15 - 74 years),2021Q4,Eastern and Midland,5.3
ILO Unemployment Rate (15 - 74 years),2021Q4,Dublin,5.4
ILO Unemployment Rate (15 - 74 years),2021Q4,Mid-East,5.3
ILO Unemployment Rate (15 - 74 years),2021Q4,Midland,4.6
ILO Unemployment Rate (15 - 74 years),2022Q1,State,4.8
ILO Unemployment Rate (15 - 74 years),2022Q1,Northern and Western,3.9
ILO Unemployment Rate (15 - 74 years),2022Q1,Border,4.6
ILO Unemployment Rate (15 - 74 years),2022Q1,West,3.4
ILO Unemployment Rate (15 - 74 years),2022Q1,Southern,4.3
ILO Unemployment Rate (15 - 74 years),2022Q1,Mid-West,4.3
ILO Unemployment Rate (15 - 74 years),2022Q1,South-East,5.9
ILO Unemployment Rate (15 - 74 years),2022Q1,South-West,3.5
ILO Unemployment Rate (15 - 74 years),2022Q1,Eastern and Midland,5.4
ILO Unemployment Rate (15 - 74 years),2022Q1,Dublin,5.8
ILO Unemployment Rate (15 - 74 years),2022Q1,Mid-East,4.8
ILO Unemployment Rate (15 - 74 years),2022Q1,Midland,4.6
ILO Unemployment Rate (15 - 74 years),2022Q2,State,4.5
ILO Unemployment Rate (15 - 74 years),2022Q2,Northern and Western,3.7
ILO Unemployment Rate (15 - 74 years),2022Q2,Border,3.8
ILO Unemployment Rate (15 - 74 years),2022Q2,West,3.6
ILO Unemployment Rate (15 - 74 years),2022Q2,Southern,4.8
ILO Unemployment Rate (15 - 74 years),2022Q2,Mid-West,4.4
ILO Unemployment Rate (15 - 74 years),2022Q2,South-East,5.4
ILO Unemployment Rate (15 - 74 years),2022Q2,South-West,4.8
ILO Unemployment Rate (15 - 74 years),2022Q2,Eastern and Midland,4.5
ILO Unemployment Rate (15 - 74 years),2022Q2,Dublin,4.6
ILO Unemployment Rate (15 - 74 years),2022Q2,Mid-East,4.9
ILO Unemployment Rate (15 - 74 years),2022Q2,Midland,2.8
ILO Unemployment Rate (15 - 74 years),2022Q3,State,4.4
ILO Unemployment Rate (15 - 74 years),2022Q3,Northern and Western,4.6
ILO Unemployment Rate (15 - 74 years),2022Q3,Border,5.0
ILO Unemployment Rate (15 - 74 years),2022Q3,West,4.3
ILO Unemployment Rate (15 - 74 years),2022Q3,Southern,3.8
ILO Unemployment Rate (15 - 74 years),2022Q3,Mid-West,4.5
ILO Unemployment Rate (15 - 74 years),2022Q3,South-East,3.6
ILO Unemployment Rate (15 - 74 years),2022Q3,South-West,3.5
ILO Unemployment Rate (15 - 74 years),2022Q3,Eastern and Midland,4.8
ILO Unemployment Rate (15 - 74 years),2022Q3,Dublin,5.1
ILO Unemployment Rate (15 - 74 years),2022Q3,Mid-East,4.1
ILO Unemployment Rate (15 - 74 years),2022Q3,Midland,4.8
ILO Unemployment Rate (15 - 74 years),2022Q4,State,4.1
ILO Unemployment Rate (15 - 74 years),2022Q4,Northern and Western,3.9
ILO Unemployment Rate (15 - 74 years),2022Q4,Border,4.3
ILO Unemployment Rate (15 - 74 years),2022Q4,West,3.5
ILO Unemployment Rate (15 - 74 years),2022Q4,Southern,4.0
ILO Unemployment Rate (15 - 74 years),2022Q4,Mid-West,4.3
ILO Unemployment Rate (15 - 74 years),2022Q4,South-East,5.4
ILO Unemployment Rate (15 - 74 years),2022Q4,South-West,2.9
ILO Unemployment Rate (15 - 74 years),2022Q4,Eastern and Midland,4.3
ILO Unemployment Rate (15 - 74 years),2022Q4,Dublin,4.7
ILO Unemployment Rate (15 - 74 years),2022Q4,Mid-East,4.0
ILO Unemployment Rate (15 - 74 years),2022Q4,Midland,3.5
ILO Unemployment Rate (15 - 74 years),2023Q1,State,4.0
ILO Unemployment Rate (15 - 74 years),2023Q1,Northern and Western,3.9
ILO Unemployment Rate (15 - 74 years),2023Q1,Border,3.9
ILO Unemployment Rate (15 - 74 years),2023Q1,West,3.8
ILO Unemployment Rate (15 - 74 years),2023Q1,Southern,3.3
ILO Unemployment Rate (15 - 74 years),2023Q1,Mid-West,4.0
ILO Unemployment Rate (15 - 74 years),2023Q1,South-East,3.7
ILO Unemployment Rate (15 - 74 years),2023Q1,South-West,2.5
ILO Unemployment Rate (15 - 74 years),2023Q1,Eastern and Midland,4.6
ILO Unemployment Rate (15 - 74 years),2023Q1,Dublin,5.1
ILO Unemployment Rate (15 - 74 years),2023Q1,Mid-East,4.0
ILO Unemployment Rate (15 - 74 years),2023Q1,Midland,3.8
ILO Unemployment Rate (15 - 74 years),2023Q2,State,4.4
ILO Unemployment Rate (15 - 74 years),2023Q2,Northern and Western,3.8
ILO Unemployment Rate (15 - 74 years),2023Q2,Border,3.8
ILO Unemployment Rate (15 - 74 years),2023Q2,West,3.7
ILO Unemployment Rate (15 - 74 years),2023Q2,Southern,4.8
ILO Unemployment Rate (15 - 74 years),2023Q2,Mid-West,4.8
ILO Unemployment Rate (15 - 74 years),2023Q2,South-East,5.8
ILO Unemployment Rate (15 - 74 years),2023Q2,South-West,4.1
ILO Unemployment Rate (15 - 74 years),2023Q2,Eastern and Midland,4.3
ILO Unemployment Rate (15 - 74 years),2023Q2,Dublin,5.0
ILO Unemployment Rate (15 - 74 years),2023Q2,Mid-East,3.3
ILO Unemployment Rate (15 - 74 years),2023Q2,Midland,3.6
ILO Unemployment Rate (15 - 74 years),2023Q3,State,4.6
ILO Unemployment Rate (15 - 74 years),2023Q3,Northern and Western,3.8
ILO Unemployment Rate (15 - 74 years),2023Q3,Border,4.2
ILO Unemployment Rate (15 - 74 years),2023Q3,West,3.4
ILO Unemployment Rate (15 - 74 years),2023Q3,Southern,5.0
ILO Unemployment Rate (15 - 74 years),2023Q3,Mid-West,5.2
ILO Unemployment Rate (15 - 74 years),2023Q3,South-East,4.8
ILO Unemployment Rate (15 - 74 years),2023Q3,South-West,4.9
ILO Unemployment Rate (15 - 74 years),2023Q3,Eastern and Midland,4.7
ILO Unemployment Rate (15 - 74 years),2023Q3,Dublin,5.0
ILO Unemployment Rate (15 - 74 years),2023Q3,Mid-East,3.9
ILO Unemployment Rate (15 - 74 years),2023Q3,Midland,4.9
ILO Unemployment Rate (15 - 74 years),2023Q4,State,4.2
ILO Unemployment Rate (15 - 74 years),2023Q4,Northern and Western,3.7
ILO Unemployment Rate (15 - 74 years),2023Q4,Border,3.5
ILO Unemployment Rate (15 - 74 years),2023Q4,West,3.9
ILO Unemployment Rate (15 - 74 years),2023Q4,Southern,4.0
ILO Unemployment Rate (15 - 74 years),2023Q4,Mid-West,4.2
ILO Unemployment Rate (15 - 74 years),2023Q4,South-East,4.3
ILO Unemployment Rate (15 - 74 years),2023Q4,South-West,3.6
ILO Unemployment Rate (15 - 74 years),2023Q4,Eastern and Midland,4.5
ILO Unemployment Rate (15 - 74 years),2023Q4,Dublin,4.7
ILO Unemployment Rate (15 - 74 years),2023Q4,Mid-East,3.6
ILO Unemployment Rate (15 - 74 years),2023Q4,Midland,5.6
ILO Unemployment Rate (15 - 74 years),2024Q1,State,4.1
ILO Unemployment Rate (15 - 74 years),2024Q1,Northern and Western,3.8
ILO Unemployment Rate (15 - 74 years),2024Q1,Border,3.9
ILO Unemployment Rate (15 - 74 years),2024Q1,West,3.7
ILO Unemployment Rate (15 - 74 years),2024Q1,Southern,4.0
ILO Unemployment Rate (15 - 74 years),2024Q1,Mid-West,3.7
ILO Unemployment Rate (15 - 74 years),2024Q1,South-East,3.8
ILO Unemployment Rate (15 - 74 years),2024Q1,South-West,4.4
ILO Unemployment Rate (15 - 74 years),2024Q1,Eastern and Midland,4.3
ILO Unemployment Rate (15 - 74 years),2024Q1,Dublin,4.6
ILO Unemployment Rate (15 - 74 years),2024Q1,Mid-East,3.3
ILO Unemployment Rate (15 - 74 years),2024Q1,Midland,5.2
ILO Unemployment Rate (15 - 74 years),2024Q2,State,4.6
ILO Unemployment Rate (15 - 74 years),2024Q2,Northern and Western,4.5
ILO Unemployment Rate (15 - 74 years),2024Q2,Border,4.1
ILO Unemployment Rate (15 - 74 years),2024Q2,West,4.8
ILO Unemployment Rate (15 - 74 years),2024Q2,Southern,4.9
ILO Unemployment Rate (15 - 74 years),2024Q2,Mid-West,3.5
ILO Unemployment Rate (15 - 74 years),2024Q2,South-East,7.0
ILO Unemployment Rate (15 - 74 years),2024Q2,South-West,4.5
ILO Unemployment Rate (15 - 74 years),2024Q2,Eastern and Midland,4.4
ILO Unemployment Rate (15 - 74 years),2024Q2,Dublin,4.7
ILO Unemployment Rate (15 - 74 years),2024Q2,Mid-East,3.6
ILO Unemployment Rate (15 - 74 years),2024Q2,Midland,5.3
ILO Unemployment Rate (15 - 74 years),2024Q3,State,4.5
ILO Unemployment Rate (15 - 74 years),2024Q3,Northern and Western,4.1
ILO Unemployment Rate (15 - 74 years),2024Q3,Border,3.4
ILO Unemployment Rate (15 - 74 years),2024Q3,West,4.6
ILO Unemployment Rate (15 - 74 years),2024Q3,Southern,4.4
ILO Unemployment Rate (15 - 74 years),2024Q3,Mid-West,4.5
ILO Unemployment Rate (15 - 74 years),2024Q3,South-East,3.9
ILO Unemployment Rate (15 - 74 years),2024Q3,South-West,4.6
ILO Unemployment Rate (15 - 74 years),2024Q3,Eastern and Midland,4.6
ILO Unemployment Rate (15 - 74 years),2024Q3,Dublin,4.9
ILO Unemployment Rate (15 - 74 years),2024Q3,Mid-East,3.9
ILO Unemployment Rate (15 - 74 years),2024Q3,Midland,5.2
ILO Unemployment Rate (15 - 74 years),2024Q4,State,4.0
ILO Unemployment Rate (15 - 74 years),2024Q4,Northern and Western,4.6
ILO Unemployment Rate (15 - 74 years),2024Q4,Border,5.3
ILO Unemployment Rate (15 - 74 years),2024Q4,West,4.0
ILO Unemployment Rate (15 - 74 years),2024Q4,Southern,3.3
ILO Unemployment Rate (15 - 74 years),2024Q4,Mid-West,3.4
ILO Unemployment Rate (15 - 74 years),2024Q4,South-East,3.7
ILO Unemployment Rate (15 - 74 years),2024Q4,South-West,3.1
ILO Unemployment Rate (15 - 74 years),2024Q4,Eastern and Midland,4.3
ILO Unemployment Rate (15 - 74 years),2024Q4,Dublin,4.6
ILO Unemployment Rate (15 - 74 years),2024Q4,Mid-East,3.4
ILO Unemployment Rate (15 - 74 years),2024Q4,Midland,5.0
ILO Unemployment Rate (15 - 74 years),2025Q1,State,4.3
ILO Unemployment Rate (15 - 74 years),2025Q1,Northern and Western,4.6
ILO Unemployment Rate (15 - 74 years),2025Q1,Border,4.9
ILO Unemployment Rate (15 - 74 years),2025Q1,West,4.4
ILO Unemployment Rate (15 - 74 years),2025Q1,Southern,4.2
ILO Unemployment Rate (15 - 74 years),2025Q1,Mid-West,4.5
ILO Unemployment Rate (15 - 74 years),2025Q1,South-East,5.2
ILO Unemployment Rate (15 - 74 years),2025Q1,South-West,3.4
ILO Unemployment Rate (15 - 74 years),2025Q1,Eastern and Midland,4.2
ILO Unemployment Rate (15 - 74 years),2025Q1,Dublin,4.3
ILO Unemployment Rate (15 - 74 years),2025Q1,Mid-East,4.1
ILO Unemployment Rate (15 - 74 years),2025Q1,Midland,4.3
ILO Participation Rate (15 years and over),2012Q1,State,61.3
ILO Participation Rate (15 years and over),2012Q1,Northern and Western,58.3
ILO Participation Rate (15 years and over),2012Q1,Border,55.1
ILO Participation Rate (15 years and over),2012Q1,West,61.2
ILO Participation Rate (15 years and over),2012Q1,Southern,61.2
ILO Participation Rate (15 years and over),2012Q1,Mid-West,63.3
ILO Participation Rate (15 years and over),2012Q1,South-East,58.2
ILO Participation Rate (15 years and over),2012Q1,South-West,61.6
ILO Participation Rate (15 years and over),2012Q1,Eastern and Midland,62.6
ILO Participation Rate (15 years and over),2012Q1,Dublin,62.0
ILO Participation Rate (15 years and over),2012Q1,Mid-East,65.7
ILO Participation Rate (15 years and over),2012Q1,Midland,58.0
ILO Participation Rate (15 years and over),2012Q2,State,61.8
ILO Participation Rate (15 years and over),2012Q2,Northern and Western,59.6
ILO Participation Rate (15 years and over),2012Q2,Border,56.5
ILO Participation Rate (15 years and over),2012Q2,West,62.3
ILO Participation Rate (15 years and over),2012Q2,Southern,62.1
ILO Participation Rate (15 years and over),2012Q2,Mid-West,63.2
ILO Participation Rate (15 years and over),2012Q2,South-East,59.4
ILO Participation Rate (15 years and over),2012Q2,South-West,63.0
ILO Participation Rate (15 years and over),2012Q2,Eastern and Midland,62.4
ILO Participation Rate (15 years and over),2012Q2,Dublin,62.1
ILO Participation Rate (15 years and over),2012Q2,Mid-East,65.2
ILO Participation Rate (15 years and over),2012Q2,Midland,57.7
ILO Participation Rate (15 years and over),2012Q3,State,62.1
ILO Participation Rate (15 years and over),2012Q3,Northern and Western,60.0
ILO Participation Rate (15 years and over),2012Q3,Border,56.9
ILO Participation Rate (15 years and over),2012Q3,West,62.7
ILO Participation Rate (15 years and over),2012Q3,Southern,62.2
ILO Participation Rate (15 years and over),2012Q3,Mid-West,64.1
ILO Participation Rate (15 years and over),2012Q3,South-East,58.8
ILO Participation Rate (15 years and over),2012Q3,South-West,63.0
ILO Participation Rate (15 years and over),2012Q3,Eastern and Midland,62.9
ILO Participation Rate (15 years and over),2012Q3,Dublin,62.8
ILO Participation Rate (15 years and over),2012Q3,Mid-East,65.4
ILO Participation Rate (15 years and over),2012Q3,Midland,57.1
ILO Participation Rate (15 years and over),2012Q4,State,61.2
ILO Participation Rate (15 years and over),2012Q4,Northern and Western,58.8
ILO Participation Rate (15 years and over),2012Q4,Border,56.2
ILO Participation Rate (15 years and over),2012Q4,West,61.0
ILO Participation Rate (15 years and over),2012Q4,Southern,61.3
ILO Participation Rate (15 years and over),2012Q4,Mid-West,63.0
ILO Participation Rate (15 years and over),2012Q4,South-East,57.4
ILO Participation Rate (15 years and over),2012Q4,South-West,62.5
ILO Participation Rate (15 years and over),2012Q4,Eastern and Midland,62.1
ILO Participation Rate (15 years and over),2012Q4,Dublin,62.2
ILO Participation Rate (15 years and over),2012Q4,Mid-East,64.1
ILO Participation Rate (15 years and over),2012Q4,Midland,56.7
ILO Participation Rate (15 years and over),2013Q1,State,61.1
ILO Participation Rate (15 years and over),2013Q1,Northern and Western,59.0
ILO Participation Rate (15 years and over),2013Q1,Border,56.6
ILO Participation Rate (15 years and over),2013Q1,West,61.1
ILO Participation Rate (15 years and over),2013Q1,Southern,61.1
ILO Participation Rate (15 years and over),2013Q1,Mid-West,62.4
ILO Participation Rate (15 years and over),2013Q1,South-East,58.2
ILO Participation Rate (15 years and over),2013Q1,South-West,62.0
ILO Participation Rate (15 years and over),2013Q1,Eastern and Midland,61.9
ILO Participation Rate (15 years and over),2013Q1,Dublin,61.2
ILO Participation Rate (15 years and over),2013Q1,Mid-East,65.3
ILO Participation Rate (15 years and over),2013Q1,Midland,57.7
ILO Participation Rate (15 years and over),2013Q2,State,62.2
ILO Participation Rate (15 years and over),2013Q2,Northern and Western,60.5
ILO Participation Rate (15 years and over),2013Q2,Border,58.6
ILO Participation Rate (15 years and over),2013Q2,West,62.2
ILO Participation Rate (15 years and over),2013Q2,Southern,62.0
ILO Participation Rate (15 years and over),2013Q2,Mid-West,63.2
ILO Participation Rate (15 years and over),2013Q2,South-East,58.6
ILO Participation Rate (15 years and over),2013Q2,South-West,63.2
ILO Participation Rate (15 years and over),2013Q2,Eastern and Midland,63.1
ILO Participation Rate (15 years and over),2013Q2,Dublin,63.0
ILO Participation Rate (15 years and over),2013Q2,Mid-East,65.6
ILO Participation Rate (15 years and over),2013Q2,Midland,57.7
ILO Participation Rate (15 years and over),2013Q3,State,62.6
ILO Participation Rate (15 years and over),2013Q3,Northern and Western,61.4
ILO Participation Rate (15 years and over),2013Q3,Border,59.2
ILO Participation Rate (15 years and over),2013Q3,West,63.3
ILO Participation Rate (15 years and over),2013Q3,Southern,62.7
ILO Participation Rate (15 years and over),2013Q3,Mid-West,63.8
ILO Participation Rate (15 years and over),2013Q3,South-East,59.2
ILO Participation Rate (15 years and over),2013Q3,South-West,64.0
ILO Participation Rate (15 years and over),2013Q3,Eastern and Midland,63.0
ILO Participation Rate (15 years and over),2013Q3,Dublin,63.3
ILO Participation Rate (15 years and over),2013Q3,Mid-East,64.8
ILO Participation Rate (15 years and over),2013Q3,Midland,58.0
ILO Participation Rate (15 years and over),2013Q4,State,61.8
ILO Participation Rate (15 years and over),2013Q4,Northern and Western,61.0
ILO Participation Rate (15 years and over),2013Q4,Border,59.7
ILO Participation Rate (15 years and over),2013Q4,West,62.1
ILO Participation Rate (15 years and over),2013Q4,Southern,60.7
ILO Participation Rate (15 years and over),2013Q4,Mid-West,60.6
ILO Participation Rate (15 years and over),2013Q4,South-East,59.7
ILO Participation Rate (15 years and over),2013Q4,South-West,61.4
ILO Participation Rate (15 years and over),2013Q4,Eastern and Midland,62.8
ILO Participation Rate (15 years and over),2013Q4,Dublin,62.8
ILO Participation Rate (15 years and over),2013Q4,Mid-East,65.3
ILO Participation Rate (15 years and over),2013Q4,Midland,57.5
ILO Participation Rate (15 years and over),2014Q1,State,61.3
ILO Participation Rate (15 years and over),2014Q1,Northern and Western,59.9
ILO Participation Rate (15 years and over),2014Q1,Border,59.7
ILO Participation Rate (15 years and over),2014Q1,West,60.1
ILO Participation Rate (15 years and over),2014Q1,Southern,60.2
ILO Participation Rate (15 years and over),2014Q1,Mid-West,60.5
ILO Participation Rate (15 years and over),2014Q1,South-East,59.1
ILO Participation Rate (15 years and over),2014Q1,South-West,60.6
ILO Participation Rate (15 years and over),2014Q1,Eastern and Midland,62.6
ILO Participation Rate (15 years and over),2014Q1,Dublin,63.1
ILO Participation Rate (15 years and over),2014Q1,Mid-East,64.2
ILO Participation Rate (15 years and over),2014Q1,Midland,57.0
ILO Participation Rate (15 years and over),2014Q2,State,61.6
ILO Participation Rate (15 years and over),2014Q2,Northern and Western,60.2
ILO Participation Rate (15 years and over),2014Q2,Border,60.0
ILO Participation Rate (15 years and over),2014Q2,West,60.3
ILO Participation Rate (15 years and over),2014Q2,Southern,60.5
ILO Participation Rate (15 years and over),2014Q2,Mid-West,61.3
ILO Participation Rate (15 years and over),2014Q2,South-East,59.2
ILO Participation Rate (15 years and over),2014Q2,South-West,60.7
ILO Participation Rate (15 years and over),2014Q2,Eastern and Midland,63.0
ILO Participation Rate (15 years and over),2014Q2,Dublin,63.4
ILO Participation Rate (15 years and over),2014Q2,Mid-East,64.2
ILO Participation Rate (15 years and over),2014Q2,Midland,58.0
ILO Participation Rate (15 years and over),2014Q3,State,62.4
ILO Participation Rate (15 years and over),2014Q3,Northern and Western,61.0
ILO Participation Rate (15 years and over),2014Q3,Border,61.6
ILO Participation Rate (15 years and over),2014Q3,West,60.5
ILO Participation Rate (15 years and over),2014Q3,Southern,61.7
ILO Participation Rate (15 years and over),2014Q3,Mid-West,62.8
ILO Participation Rate (15 years and over),2014Q3,South-East,60.5
ILO Participation Rate (15 years and over),2014Q3,South-West,61.5
ILO Participation Rate (15 years and over),2014Q3,Eastern and Midland,63.4
ILO Participation Rate (15 years and over),2014Q3,Dublin,63.8
ILO Participation Rate (15 years and over),2014Q3,Mid-East,64.7
ILO Participation Rate (15 years and over),2014Q3,Midland,58.5
ILO Participation Rate (15 years and over),2014Q4,State,61.6
ILO Participation Rate (15 years and over),2014Q4,Northern and Western,59.5
ILO Participation Rate (15 years and over),2014Q4,Border,59.4
ILO Participation Rate (15 years and over),2014Q4,West,59.6
ILO Participation Rate (15 years and over),2014Q4,Southern,60.6
ILO Participation Rate (15 years and over),2014Q4,Mid-West,60.6
ILO Participation Rate (15 years and over),2014Q4,South-East,59.7
ILO Participation Rate (15 years and over),2014Q4,South-West,61.2
ILO Participation Rate (15 years and over),2014Q4,Eastern and Midland,63.1
ILO Participation Rate (15 years and over),2014Q4,Dublin,63.6
ILO Participation Rate (15 years and over),2014Q4,Mid-East,64.5
ILO Participation Rate (15 years and over),2014Q4,Midland,57.6
ILO Participation Rate (15 years and over),2015Q1,State,61.1
ILO Participation Rate (15 years and over),2015Q1,Northern and Western,60.0
ILO Participation Rate (15 years and over),2015Q1,Border,60.8
ILO Participation Rate (15 years and over),2015Q1,West,59.2
ILO Participation Rate (15 years and over),2015Q1,Southern,60.1
ILO Participation Rate (15 years and over),2015Q1,Mid-West,59.7
ILO Participation Rate (15 years and over),2015Q1,South-East,59.1
ILO Participation Rate (15 years and over),2015Q1,South-West,61.1
ILO Participation Rate (15 years and over),2015Q1,Eastern and Midland,62.2
ILO Participation Rate (15 years and over),2015Q1,Dublin,62.7
ILO Participation Rate (15 years and over),2015Q1,Mid-East,63.4
ILO Participation Rate (15 years and over),2015Q1,Midland,57.0
ILO Participation Rate (15 years and over),2015Q2,State,61.9
ILO Participation Rate (15 years and over),2015Q2,Northern and Western,60.9
ILO Participation Rate (15 years and over),2015Q2,Border,61.6
ILO Participation Rate (15 years and over),2015Q2,West,60.2
ILO Participation Rate (15 years and over),2015Q2,Southern,61.7
ILO Participation Rate (15 years and over),2015Q2,Mid-West,61.9
ILO Participation Rate (15 years and over),2015Q2,South-East,60.4
ILO Participation Rate (15 years and over),2015Q2,South-West,62.3
ILO Participation Rate (15 years and over),2015Q2,Eastern and Midland,62.4
ILO Participation Rate (15 years and over),2015Q2,Dublin,62.8
ILO Participation Rate (15 years and over),2015Q2,Mid-East,63.9
ILO Participation Rate (15 years and over),2015Q2,Midland,57.5
ILO Participation Rate (15 years and over),2015Q3,State,62.3
ILO Participation Rate (15 years and over),2015Q3,Northern and Western,61.0
ILO Participation Rate (15 years and over),2015Q3,Border,62.5
ILO Participation Rate (15 years and over),2015Q3,West,59.7
ILO Participation Rate (15 years and over),2015Q3,Southern,61.9
ILO Participation Rate (15 years and over),2015Q3,Mid-West,63.0
ILO Participation Rate (15 years and over),2015Q3,South-East,60.2
ILO Participation Rate (15 years and over),2015Q3,South-West,62.1
ILO Participation Rate (15 years and over),2015Q3,Eastern and Midland,63.0
ILO Participation Rate (15 years and over),2015Q3,Dublin,63.7
ILO Participation Rate (15 years and over),2015Q3,Mid-East,63.6
ILO Participation Rate (15 years and over),2015Q3,Midland,58.6
ILO Participation Rate (15 years and over),2015Q4,State,61.7
ILO Participation Rate (15 years and over),2015Q4,Northern and Western,60.5
ILO Participation Rate (15 years and over),2015Q4,Border,62.4
ILO Participation Rate (15 years and over),2015Q4,West,58.9
ILO Participation Rate (15 years and over),2015Q4,Southern,60.3
ILO Participation Rate (15 years and over),2015Q4,Mid-West,60.5
ILO Participation Rate (15 years and over),2015Q4,South-East,59.4
ILO Participation Rate (15 years and over),2015Q4,South-West,60.7
ILO Participation Rate (15 years and over),2015Q4,Eastern and Midland,63.1
ILO Participation Rate (15 years and over),2015Q4,Dublin,63.7
ILO Participation Rate (15 years and over),2015Q4,Mid-East,64.0
ILO Participation Rate (15 years and over),2015Q4,Midland,58.0
ILO Participation Rate (15 years and over),2016Q1,State,61.2
ILO Participation Rate (15 years and over),2016Q1,Northern and Western,59.7
ILO Participation Rate (15 years and over),2016Q1,Border,61.7
ILO Participation Rate (15 years and over),2016Q1,West,58.0
ILO Participation Rate (15 years and over),2016Q1,Southern,60.4
ILO Participation Rate (15 years and over),2016Q1,Mid-West,60.2
ILO Participation Rate (15 years and over),2016Q1,South-East,59.5
ILO Participation Rate (15 years and over),2016Q1,South-West,61.1
ILO Participation Rate (15 years and over),2016Q1,Eastern and Midland,62.3
ILO Participation Rate (15 years and over),2016Q1,Dublin,63.6
ILO Participation Rate (15 years and over),2016Q1,Mid-East,61.8
ILO Participation Rate (15 years and over),2016Q1,Midland,56.9
ILO Participation Rate (15 years and over),2016Q2,State,62.6
ILO Participation Rate (15 years and over),2016Q2,Northern and Western,61.2
ILO Participation Rate (15 years and over),2016Q2,Border,62.5
ILO Participation Rate (15 years and over),2016Q2,West,60.1
ILO Participation Rate (15 years and over),2016Q2,Southern,61.4
ILO Participation Rate (15 years and over),2016Q2,Mid-West,62.1
ILO Participation Rate (15 years and over),2016Q2,South-East,61.2
ILO Participation Rate (15 years and over),2016Q2,South-West,61.1
ILO Participation Rate (15 years and over),2016Q2,Eastern and Midland,63.8
ILO Participation Rate (15 years and over),2016Q2,Dublin,64.9
ILO Participation Rate (15 years and over),2016Q2,Mid-East,64.5
ILO Participation Rate (15 years and over),2016Q2,Midland,56.8
ILO Participation Rate (15 years and over),2016Q3,State,62.9
ILO Participation Rate (15 years and over),2016Q3,Northern and Western,61.2
ILO Participation Rate (15 years and over),2016Q3,Border,63.0
ILO Participation Rate (15 years and over),2016Q3,West,59.6
ILO Participation Rate (15 years and over),2016Q3,Southern,62.7
ILO Participation Rate (15 years and over),2016Q3,Mid-West,63.3
ILO Participation Rate (15 years and over),2016Q3,South-East,61.3
ILO Participation Rate (15 years and over),2016Q3,South-West,63.2
ILO Participation Rate (15 years and over),2016Q3,Eastern and Midland,63.6
ILO Participation Rate (15 years and over),2016Q3,Dublin,65.1
ILO Participation Rate (15 years and over),2016Q3,Mid-East,63.1
ILO Participation Rate (15 years and over),2016Q3,Midland,57.8
ILO Participation Rate (15 years and over),2016Q4,State,61.9
ILO Participation Rate (15 years and over),2016Q4,Northern and Western,60.6
ILO Participation Rate (15 years and over),2016Q4,Border,62.4
ILO Participation Rate (15 years and over),2016Q4,West,59.0
ILO Participation Rate (15 years and over),2016Q4,Southern,61.2
ILO Participation Rate (15 years and over),2016Q4,Mid-West,63.0
ILO Participation Rate (15 years and over),2016Q4,South-East,60.3
ILO Participation Rate (15 years and over),2016Q4,South-West,60.5
ILO Participation Rate (15 years and over),2016Q4,Eastern and Midland,62.8
ILO Participation Rate (15 years and over),2016Q4,Dublin,64.2
ILO Participation Rate (15 years and over),2016Q4,Mid-East,62.4
ILO Participation Rate (15 years and over),2016Q4,Midland,56.8
