Statistic,Quarter,NACE Rev 2 Economic Sector,Citizenship,value
Persons aged 15 years and over in Employment,2024Q2,Transportation and storage (H),All Countries,120.1
Persons aged 15 years and over in Employment,2024Q2,Transportation and storage (H),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q2,Transportation and storage (H),EU15 to EU27 (accession countries joined post 2004),10.3
Persons aged 15 years and over in Employment,2024Q2,Transportation and storage (H),United Kingdom,
Persons aged 15 years and over in Employment,2024Q2,Transportation and storage (H),Ireland,95.0
Persons aged 15 years and over in Employment,2024Q2,Transportation and storage (H),All countries excluding Ireland,25.2
Persons aged 15 years and over in Employment,2024Q2,Transportation and storage (H),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2024Q2,Accommodation and food service activities (I),All Countries,184.2
Persons aged 15 years and over in Employment,2024Q2,Accommodation and food service activities (I),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q2,Accommodation and food service activities (I),EU15 to EU27 (accession countries joined post 2004),17.4
Persons aged 15 years and over in Employment,2024Q2,Accommodation and food service activities (I),United Kingdom,
Persons aged 15 years and over in Employment,2024Q2,Accommodation and food service activities (I),Ireland,127.5
Persons aged 15 years and over in Employment,2024Q2,Accommodation and food service activities (I),All countries excluding Ireland,56.7
Persons aged 15 years and over in Employment,2024Q2,Accommodation and food service activities (I),"All countries excluding Ireland,United Kingdom and EU272020",27.7
Persons aged 15 years and over in Employment,2024Q2,Information and communication (J),All Countries,187.2
Persons aged 15 years and over in Employment,2024Q2,Information and communication (J),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),15.8
Persons aged 15 years and over in Employment,2024Q2,Information and communication (J),EU15 to EU27 (accession countries joined post 2004),8.7
Persons aged 15 years and over in Employment,2024Q2,Information and communication (J),United Kingdom,
Persons aged 15 years and over in Employment,2024Q2,Information and communication (J),Ireland,124.1
Persons aged 15 years and over in Employment,2024Q2,Information and communication (J),All countries excluding Ireland,63.2
Persons aged 15 years and over in Employment,2024Q2,Information and communication (J),"All countries excluding Ireland,United Kingdom and EU272020",32.0
Persons aged 15 years and over in Employment,2024Q2,"Professional, scientific and technical activities (M)",All Countries,200.9
Persons aged 15 years and over in Employment,2024Q2,"Professional, scientific and technical activities (M)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q2,"Professional, scientific and technical activities (M)",EU15 to EU27 (accession countries joined post 2004),8.5
Persons aged 15 years and over in Employment,2024Q2,"Professional, scientific and technical activities (M)",United Kingdom,
Persons aged 15 years and over in Employment,2024Q2,"Professional, scientific and technical activities (M)",Ireland,156.7
Persons aged 15 years and over in Employment,2024Q2,"Professional, scientific and technical activities (M)",All countries excluding Ireland,44.1
Persons aged 15 years and over in Employment,2024Q2,"Professional, scientific and technical activities (M)","All countries excluding Ireland,United Kingdom and EU272020",21.2
Persons aged 15 years and over in Employment,2024Q2,Administrative and support service activities (N),All Countries,112.2
Persons aged 15 years and over in Employment,2024Q2,Administrative and support service activities (N),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q2,Administrative and support service activities (N),EU15 to EU27 (accession countries joined post 2004),13.4
Persons aged 15 years and over in Employment,2024Q2,Administrative and support service activities (N),United Kingdom,
Persons aged 15 years and over in Employment,2024Q2,Administrative and support service activities (N),Ireland,80.6
Persons aged 15 years and over in Employment,2024Q2,Administrative and support service activities (N),All countries excluding Ireland,31.6
Persons aged 15 years and over in Employment,2024Q2,Administrative and support service activities (N),"All countries excluding Ireland,United Kingdom and EU272020",11.8
Persons aged 15 years and over in Employment,2024Q2,"Public administration and defence, compulsory social security (O)",All Countries,152.1
Persons aged 15 years and over in Employment,2024Q2,"Public administration and defence, compulsory social security (O)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q2,"Public administration and defence, compulsory social security (O)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q2,"Public administration and defence, compulsory social security (O)",United Kingdom,
Persons aged 15 years and over in Employment,2024Q2,"Public administration and defence, compulsory social security (O)",Ireland,142.7
Persons aged 15 years and over in Employment,2024Q2,"Public administration and defence, compulsory social security (O)",All countries excluding Ireland,9.5
Persons aged 15 years and over in Employment,2024Q2,"Public administration and defence, compulsory social security (O)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2024Q2,Education (P),All Countries,233.2
Persons aged 15 years and over in Employment,2024Q2,Education (P),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q2,Education (P),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q2,Education (P),United Kingdom,
Persons aged 15 years and over in Employment,2024Q2,Education (P),Ireland,211.6
Persons aged 15 years and over in Employment,2024Q2,Education (P),All countries excluding Ireland,21.6
Persons aged 15 years and over in Employment,2024Q2,Education (P),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2024Q2,Human health and social work activities (Q),All Countries,376.6
Persons aged 15 years and over in Employment,2024Q2,Human health and social work activities (Q),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q2,Human health and social work activities (Q),EU15 to EU27 (accession countries joined post 2004),12.0
Persons aged 15 years and over in Employment,2024Q2,Human health and social work activities (Q),United Kingdom,
Persons aged 15 years and over in Employment,2024Q2,Human health and social work activities (Q),Ireland,297.4
Persons aged 15 years and over in Employment,2024Q2,Human health and social work activities (Q),All countries excluding Ireland,79.2
Persons aged 15 years and over in Employment,2024Q2,Human health and social work activities (Q),"All countries excluding Ireland,United Kingdom and EU272020",55.7
Persons aged 15 years and over in Employment,2024Q2,Industry (B to E),All Countries,341.8
Persons aged 15 years and over in Employment,2024Q2,Industry (B to E),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),14.3
Persons aged 15 years and over in Employment,2024Q2,Industry (B to E),EU15 to EU27 (accession countries joined post 2004),38.5
Persons aged 15 years and over in Employment,2024Q2,Industry (B to E),United Kingdom,
Persons aged 15 years and over in Employment,2024Q2,Industry (B to E),Ireland,256.4
Persons aged 15 years and over in Employment,2024Q2,Industry (B to E),All countries excluding Ireland,85.5
Persons aged 15 years and over in Employment,2024Q2,Industry (B to E),"All countries excluding Ireland,United Kingdom and EU272020",28.4
Persons aged 15 years and over in Employment,2024Q2,Industry and Construction (B to F),All Countries,502.6
Persons aged 15 years and over in Employment,2024Q2,Industry and Construction (B to F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),15.3
Persons aged 15 years and over in Employment,2024Q2,Industry and Construction (B to F),EU15 to EU27 (accession countries joined post 2004),55.4
Persons aged 15 years and over in Employment,2024Q2,Industry and Construction (B to F),United Kingdom,
Persons aged 15 years and over in Employment,2024Q2,Industry and Construction (B to F),Ireland,389.6
Persons aged 15 years and over in Employment,2024Q2,Industry and Construction (B to F),All countries excluding Ireland,113.0
Persons aged 15 years and over in Employment,2024Q2,Industry and Construction (B to F),"All countries excluding Ireland,United Kingdom and EU272020",35.8
Persons aged 15 years and over in Employment,2024Q2,Services (G to U),All Countries,2136.5
Persons aged 15 years and over in Employment,2024Q2,Services (G to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),66.8
Persons aged 15 years and over in Employment,2024Q2,Services (G to U),EU15 to EU27 (accession countries joined post 2004),111.8
Persons aged 15 years and over in Employment,2024Q2,Services (G to U),United Kingdom,42.0
Persons aged 15 years and over in Employment,2024Q2,Services (G to U),Ireland,1708.5
Persons aged 15 years and over in Employment,2024Q2,Services (G to U),All countries excluding Ireland,428.1
Persons aged 15 years and over in Employment,2024Q2,Services (G to U),"All countries excluding Ireland,United Kingdom and EU272020",207.5
Persons aged 15 years and over in Employment,2024Q2,"Financial, insurance and real estate activities (K,L)",All Countries,135.0
Persons aged 15 years and over in Employment,2024Q2,"Financial, insurance and real estate activities (K,L)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q2,"Financial, insurance and real estate activities (K,L)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q2,"Financial, insurance and real estate activities (K,L)",United Kingdom,
Persons aged 15 years and over in Employment,2024Q2,"Financial, insurance and real estate activities (K,L)",Ireland,109.9
Persons aged 15 years and over in Employment,2024Q2,"Financial, insurance and real estate activities (K,L)",All countries excluding Ireland,25.1
Persons aged 15 years and over in Employment,2024Q2,"Financial, insurance and real estate activities (K,L)","All countries excluding Ireland,United Kingdom and EU272020",11.7
Persons aged 15 years and over in Employment,2024Q2,Other NACE activities (R to U),All Countries,120.5
Persons aged 15 years and over in Employment,2024Q2,Other NACE activities (R to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q2,Other NACE activities (R to U),EU15 to EU27 (accession countries joined post 2004),7.8
Persons aged 15 years and over in Employment,2024Q2,Other NACE activities (R to U),United Kingdom,
Persons aged 15 years and over in Employment,2024Q2,Other NACE activities (R to U),Ireland,100.5
Persons aged 15 years and over in Employment,2024Q2,Other NACE activities (R to U),All countries excluding Ireland,20.0
Persons aged 15 years and over in Employment,2024Q2,Other NACE activities (R to U),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2024Q2,Not stated,All Countries,10.4
Persons aged 15 years and over in Employment,2024Q2,Not stated,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q2,Not stated,EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q2,Not stated,United Kingdom,
Persons aged 15 years and over in Employment,2024Q2,Not stated,Ireland,6.2
Persons aged 15 years and over in Employment,2024Q2,Not stated,All countries excluding Ireland,
Persons aged 15 years and over in Employment,2024Q2,Not stated,"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2024Q3,All NACE economic sectors,All Countries,2794.8
Persons aged 15 years and over in Employment,2024Q3,All NACE economic sectors,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),88.4
Persons aged 15 years and over in Employment,2024Q3,All NACE economic sectors,EU15 to EU27 (accession countries joined post 2004),174.6
Persons aged 15 years and over in Employment,2024Q3,All NACE economic sectors,United Kingdom,45.4
Persons aged 15 years and over in Employment,2024Q3,All NACE economic sectors,Ireland,2229.9
Persons aged 15 years and over in Employment,2024Q3,All NACE economic sectors,All countries excluding Ireland,564.9
Persons aged 15 years and over in Employment,2024Q3,All NACE economic sectors,"All countries excluding Ireland,United Kingdom and EU272020",256.5
Persons aged 15 years and over in Employment,2024Q3,"Agriculture, forestry and fishing (A)",All Countries,112.9
Persons aged 15 years and over in Employment,2024Q3,"Agriculture, forestry and fishing (A)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q3,"Agriculture, forestry and fishing (A)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q3,"Agriculture, forestry and fishing (A)",United Kingdom,
Persons aged 15 years and over in Employment,2024Q3,"Agriculture, forestry and fishing (A)",Ireland,106.9
Persons aged 15 years and over in Employment,2024Q3,"Agriculture, forestry and fishing (A)",All countries excluding Ireland,
Persons aged 15 years and over in Employment,2024Q3,"Agriculture, forestry and fishing (A)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2024Q3,Construction (F),All Countries,176.3
Persons aged 15 years and over in Employment,2024Q3,Construction (F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q3,Construction (F),EU15 to EU27 (accession countries joined post 2004),19.3
Persons aged 15 years and over in Employment,2024Q3,Construction (F),United Kingdom,
Persons aged 15 years and over in Employment,2024Q3,Construction (F),Ireland,147.0
Persons aged 15 years and over in Employment,2024Q3,Construction (F),All countries excluding Ireland,29.2
Persons aged 15 years and over in Employment,2024Q3,Construction (F),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2024Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All Countries,323.5
Persons aged 15 years and over in Employment,2024Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU15 to EU27 (accession countries joined post 2004),29.5
Persons aged 15 years and over in Employment,2024Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",United Kingdom,
Persons aged 15 years and over in Employment,2024Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Ireland,259.8
Persons aged 15 years and over in Employment,2024Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All countries excluding Ireland,63.6
Persons aged 15 years and over in Employment,2024Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","All countries excluding Ireland,United Kingdom and EU272020",21.6
Persons aged 15 years and over in Employment,2024Q3,Transportation and storage (H),All Countries,118.4
Persons aged 15 years and over in Employment,2024Q3,Transportation and storage (H),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q3,Transportation and storage (H),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q3,Transportation and storage (H),United Kingdom,
Persons aged 15 years and over in Employment,2024Q3,Transportation and storage (H),Ireland,95.9
Persons aged 15 years and over in Employment,2024Q3,Transportation and storage (H),All countries excluding Ireland,22.5
Persons aged 15 years and over in Employment,2024Q3,Transportation and storage (H),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2024Q3,Accommodation and food service activities (I),All Countries,200.0
Persons aged 15 years and over in Employment,2024Q3,Accommodation and food service activities (I),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q3,Accommodation and food service activities (I),EU15 to EU27 (accession countries joined post 2004),22.5
Persons aged 15 years and over in Employment,2024Q3,Accommodation and food service activities (I),United Kingdom,
Persons aged 15 years and over in Employment,2024Q3,Accommodation and food service activities (I),Ireland,137.9
Persons aged 15 years and over in Employment,2024Q3,Accommodation and food service activities (I),All countries excluding Ireland,62.1
Persons aged 15 years and over in Employment,2024Q3,Accommodation and food service activities (I),"All countries excluding Ireland,United Kingdom and EU272020",28.3
Persons aged 15 years and over in Employment,2024Q3,Information and communication (J),All Countries,188.6
Persons aged 15 years and over in Employment,2024Q3,Information and communication (J),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),16.2
Persons aged 15 years and over in Employment,2024Q3,Information and communication (J),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q3,Information and communication (J),United Kingdom,
Persons aged 15 years and over in Employment,2024Q3,Information and communication (J),Ireland,125.5
Persons aged 15 years and over in Employment,2024Q3,Information and communication (J),All countries excluding Ireland,63.1
Persons aged 15 years and over in Employment,2024Q3,Information and communication (J),"All countries excluding Ireland,United Kingdom and EU272020",34.1
Persons aged 15 years and over in Employment,2024Q3,"Professional, scientific and technical activities (M)",All Countries,202.2
Persons aged 15 years and over in Employment,2024Q3,"Professional, scientific and technical activities (M)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q3,"Professional, scientific and technical activities (M)",EU15 to EU27 (accession countries joined post 2004),9.2
Persons aged 15 years and over in Employment,2024Q3,"Professional, scientific and technical activities (M)",United Kingdom,
Persons aged 15 years and over in Employment,2024Q3,"Professional, scientific and technical activities (M)",Ireland,159.1
Persons aged 15 years and over in Employment,2024Q3,"Professional, scientific and technical activities (M)",All countries excluding Ireland,43.0
Persons aged 15 years and over in Employment,2024Q3,"Professional, scientific and technical activities (M)","All countries excluding Ireland,United Kingdom and EU272020",22.6
Persons aged 15 years and over in Employment,2024Q3,Administrative and support service activities (N),All Countries,103.4
Persons aged 15 years and over in Employment,2024Q3,Administrative and support service activities (N),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q3,Administrative and support service activities (N),EU15 to EU27 (accession countries joined post 2004),9.9
Persons aged 15 years and over in Employment,2024Q3,Administrative and support service activities (N),United Kingdom,
Persons aged 15 years and over in Employment,2024Q3,Administrative and support service activities (N),Ireland,75.1
Persons aged 15 years and over in Employment,2024Q3,Administrative and support service activities (N),All countries excluding Ireland,28.3
Persons aged 15 years and over in Employment,2024Q3,Administrative and support service activities (N),"All countries excluding Ireland,United Kingdom and EU272020",10.7
Persons aged 15 years and over in Employment,2024Q3,"Public administration and defence, compulsory social security (O)",All Countries,153.6
Persons aged 15 years and over in Employment,2024Q3,"Public administration and defence, compulsory social security (O)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q3,"Public administration and defence, compulsory social security (O)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q3,"Public administration and defence, compulsory social security (O)",United Kingdom,
Persons aged 15 years and over in Employment,2024Q3,"Public administration and defence, compulsory social security (O)",Ireland,141.9
Persons aged 15 years and over in Employment,2024Q3,"Public administration and defence, compulsory social security (O)",All countries excluding Ireland,11.7
Persons aged 15 years and over in Employment,2024Q3,"Public administration and defence, compulsory social security (O)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2024Q3,Education (P),All Countries,228.2
Persons aged 15 years and over in Employment,2024Q3,Education (P),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q3,Education (P),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q3,Education (P),United Kingdom,
Persons aged 15 years and over in Employment,2024Q3,Education (P),Ireland,204.9
Persons aged 15 years and over in Employment,2024Q3,Education (P),All countries excluding Ireland,23.3
Persons aged 15 years and over in Employment,2024Q3,Education (P),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2024Q3,Human health and social work activities (Q),All Countries,379.2
Persons aged 15 years and over in Employment,2024Q3,Human health and social work activities (Q),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q3,Human health and social work activities (Q),EU15 to EU27 (accession countries joined post 2004),12.2
Persons aged 15 years and over in Employment,2024Q3,Human health and social work activities (Q),United Kingdom,
Persons aged 15 years and over in Employment,2024Q3,Human health and social work activities (Q),Ireland,297.4
Persons aged 15 years and over in Employment,2024Q3,Human health and social work activities (Q),All countries excluding Ireland,81.8
Persons aged 15 years and over in Employment,2024Q3,Human health and social work activities (Q),"All countries excluding Ireland,United Kingdom and EU272020",54.9
Persons aged 15 years and over in Employment,2024Q3,Industry (B to E),All Countries,343.1
Persons aged 15 years and over in Employment,2024Q3,Industry (B to E),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),15.6
Persons aged 15 years and over in Employment,2024Q3,Industry (B to E),EU15 to EU27 (accession countries joined post 2004),36.2
Persons aged 15 years and over in Employment,2024Q3,Industry (B to E),United Kingdom,
Persons aged 15 years and over in Employment,2024Q3,Industry (B to E),Ireland,256.4
Persons aged 15 years and over in Employment,2024Q3,Industry (B to E),All countries excluding Ireland,86.7
Persons aged 15 years and over in Employment,2024Q3,Industry (B to E),"All countries excluding Ireland,United Kingdom and EU272020",31.0
Persons aged 15 years and over in Employment,2024Q3,Industry and Construction (B to F),All Countries,519.4
Persons aged 15 years and over in Employment,2024Q3,Industry and Construction (B to F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),16.6
Persons aged 15 years and over in Employment,2024Q3,Industry and Construction (B to F),EU15 to EU27 (accession countries joined post 2004),55.5
Persons aged 15 years and over in Employment,2024Q3,Industry and Construction (B to F),United Kingdom,
Persons aged 15 years and over in Employment,2024Q3,Industry and Construction (B to F),Ireland,403.4
Persons aged 15 years and over in Employment,2024Q3,Industry and Construction (B to F),All countries excluding Ireland,115.9
Persons aged 15 years and over in Employment,2024Q3,Industry and Construction (B to F),"All countries excluding Ireland,United Kingdom and EU272020",39.1
Persons aged 15 years and over in Employment,2024Q3,Services (G to U),All Countries,2158.1
Persons aged 15 years and over in Employment,2024Q3,Services (G to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),71.9
Persons aged 15 years and over in Employment,2024Q3,Services (G to U),EU15 to EU27 (accession countries joined post 2004),117.1
Persons aged 15 years and over in Employment,2024Q3,Services (G to U),United Kingdom,40.1
Persons aged 15 years and over in Employment,2024Q3,Services (G to U),Ireland,1716.1
Persons aged 15 years and over in Employment,2024Q3,Services (G to U),All countries excluding Ireland,442.0
Persons aged 15 years and over in Employment,2024Q3,Services (G to U),"All countries excluding Ireland,United Kingdom and EU272020",213.0
Persons aged 15 years and over in Employment,2024Q3,"Financial, insurance and real estate activities (K,L)",All Countries,137.0
Persons aged 15 years and over in Employment,2024Q3,"Financial, insurance and real estate activities (K,L)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q3,"Financial, insurance and real estate activities (K,L)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q3,"Financial, insurance and real estate activities (K,L)",United Kingdom,
Persons aged 15 years and over in Employment,2024Q3,"Financial, insurance and real estate activities (K,L)",Ireland,112.0
Persons aged 15 years and over in Employment,2024Q3,"Financial, insurance and real estate activities (K,L)",All countries excluding Ireland,25.0
Persons aged 15 years and over in Employment,2024Q3,"Financial, insurance and real estate activities (K,L)","All countries excluding Ireland,United Kingdom and EU272020",11.8
Persons aged 15 years and over in Employment,2024Q3,Other NACE activities (R to U),All Countries,124.1
Persons aged 15 years and over in Employment,2024Q3,Other NACE activities (R to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q3,Other NACE activities (R to U),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q3,Other NACE activities (R to U),United Kingdom,
Persons aged 15 years and over in Employment,2024Q3,Other NACE activities (R to U),Ireland,106.5
Persons aged 15 years and over in Employment,2024Q3,Other NACE activities (R to U),All countries excluding Ireland,17.7
Persons aged 15 years and over in Employment,2024Q3,Other NACE activities (R to U),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2024Q3,Not stated,All Countries,
Persons aged 15 years and over in Employment,2024Q3,Not stated,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q3,Not stated,EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q3,Not stated,United Kingdom,
Persons aged 15 years and over in Employment,2024Q3,Not stated,Ireland,
Persons aged 15 years and over in Employment,2024Q3,Not stated,All countries excluding Ireland,
Persons aged 15 years and over in Employment,2024Q3,Not stated,"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2024Q4,All NACE economic sectors,All Countries,2776.4
Persons aged 15 years and over in Employment,2024Q4,All NACE economic sectors,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),85.9
Persons aged 15 years and over in Employment,2024Q4,All NACE economic sectors,EU15 to EU27 (accession countries joined post 2004),167.6
Persons aged 15 years and over in Employment,2024Q4,All NACE economic sectors,United Kingdom,47.0
Persons aged 15 years and over in Employment,2024Q4,All NACE economic sectors,Ireland,2213.8
Persons aged 15 years and over in Employment,2024Q4,All NACE economic sectors,All countries excluding Ireland,562.6
Persons aged 15 years and over in Employment,2024Q4,All NACE economic sectors,"All countries excluding Ireland,United Kingdom and EU272020",262.1
Persons aged 15 years and over in Employment,2024Q4,"Agriculture, forestry and fishing (A)",All Countries,107.7
Persons aged 15 years and over in Employment,2024Q4,"Agriculture, forestry and fishing (A)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q4,"Agriculture, forestry and fishing (A)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q4,"Agriculture, forestry and fishing (A)",United Kingdom,
Persons aged 15 years and over in Employment,2024Q4,"Agriculture, forestry and fishing (A)",Ireland,102.8
Persons aged 15 years and over in Employment,2024Q4,"Agriculture, forestry and fishing (A)",All countries excluding Ireland,
Persons aged 15 years and over in Employment,2024Q4,"Agriculture, forestry and fishing (A)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2024Q4,Construction (F),All Countries,176.0
Persons aged 15 years and over in Employment,2024Q4,Construction (F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q4,Construction (F),EU15 to EU27 (accession countries joined post 2004),18.5
Persons aged 15 years and over in Employment,2024Q4,Construction (F),United Kingdom,
Persons aged 15 years and over in Employment,2024Q4,Construction (F),Ireland,145.1
Persons aged 15 years and over in Employment,2024Q4,Construction (F),All countries excluding Ireland,30.9
Persons aged 15 years and over in Employment,2024Q4,Construction (F),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2024Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All Countries,326.5
Persons aged 15 years and over in Employment,2024Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),10.4
Persons aged 15 years and over in Employment,2024Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU15 to EU27 (accession countries joined post 2004),31.2
Persons aged 15 years and over in Employment,2024Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",United Kingdom,
Persons aged 15 years and over in Employment,2024Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Ireland,258.6
Persons aged 15 years and over in Employment,2024Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All countries excluding Ireland,67.9
Persons aged 15 years and over in Employment,2024Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","All countries excluding Ireland,United Kingdom and EU272020",20.8
Persons aged 15 years and over in Employment,2024Q4,Transportation and storage (H),All Countries,121.8
Persons aged 15 years and over in Employment,2024Q4,Transportation and storage (H),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q4,Transportation and storage (H),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q4,Transportation and storage (H),United Kingdom,
Persons aged 15 years and over in Employment,2024Q4,Transportation and storage (H),Ireland,98.5
Persons aged 15 years and over in Employment,2024Q4,Transportation and storage (H),All countries excluding Ireland,23.3
Persons aged 15 years and over in Employment,2024Q4,Transportation and storage (H),"All countries excluding Ireland,United Kingdom and EU272020",10.9
Persons aged 15 years and over in Employment,2024Q4,Accommodation and food service activities (I),All Countries,184.4
Persons aged 15 years and over in Employment,2024Q4,Accommodation and food service activities (I),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q4,Accommodation and food service activities (I),EU15 to EU27 (accession countries joined post 2004),19.2
Persons aged 15 years and over in Employment,2024Q4,Accommodation and food service activities (I),United Kingdom,
Persons aged 15 years and over in Employment,2024Q4,Accommodation and food service activities (I),Ireland,124.1
Persons aged 15 years and over in Employment,2024Q4,Accommodation and food service activities (I),All countries excluding Ireland,60.3
