STATISTIC,Quarter,Sex,NACE Rev 2 Economic Sector,Region,value
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Transportation and storage (H),South-West,10.4
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Transportation and storage (H),Dublin,38.2
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Transportation and storage (H),Mid-East,20.6
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Transportation and storage (H),Midland,6.6
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Accommodation and food service activities (I),State,162.9
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Accommodation and food service activities (I),Border,14.2
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Accommodation and food service activities (I),West,18.5
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Accommodation and food service activities (I),Mid-West,14.6
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Accommodation and food service activities (I),South-East,14.7
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Accommodation and food service activities (I),South-West,29.0
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Accommodation and food service activities (I),Dublin,41.8
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Accommodation and food service activities (I),Mid-East,20.8
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Accommodation and food service activities (I),Midland,9.2
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Information and communication (J),State,172.9
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Information and communication (J),Border,
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Information and communication (J),West,12.2
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Information and communication (J),Mid-West,11.3
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Information and communication (J),South-East,8.1
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Information and communication (J),South-West,19.0
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Information and communication (J),Dublin,92.9
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Information and communication (J),Mid-East,18.3
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Information and communication (J),Midland,
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Professional, scientific and technical activities (M)",State,176.1
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Professional, scientific and technical activities (M)",Border,9.3
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Professional, scientific and technical activities (M)",West,10.8
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Professional, scientific and technical activities (M)",Mid-West,14.4
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Professional, scientific and technical activities (M)",South-East,9.9
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Professional, scientific and technical activities (M)",South-West,22.5
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Professional, scientific and technical activities (M)",Dublin,76.9
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Professional, scientific and technical activities (M)",Mid-East,24.3
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Professional, scientific and technical activities (M)",Midland,8.0
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Administrative and support service activities (N),State,96.5
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Administrative and support service activities (N),Border,6.7
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Administrative and support service activities (N),West,7.6
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Administrative and support service activities (N),Mid-West,8.4
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Administrative and support service activities (N),South-East,
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Administrative and support service activities (N),South-West,13.4
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Administrative and support service activities (N),Dublin,35.8
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Administrative and support service activities (N),Mid-East,13.7
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Administrative and support service activities (N),Midland,
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Public administration and defence, compulsory social security (O)",State,137.1
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Public administration and defence, compulsory social security (O)",Border,13.7
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Public administration and defence, compulsory social security (O)",West,10.0
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Public administration and defence, compulsory social security (O)",Mid-West,11.0
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Public administration and defence, compulsory social security (O)",South-East,11.7
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Public administration and defence, compulsory social security (O)",South-West,10.2
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Public administration and defence, compulsory social security (O)",Dublin,44.3
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Public administration and defence, compulsory social security (O)",Mid-East,24.3
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Public administration and defence, compulsory social security (O)",Midland,12.0
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Education (P),State,215.4
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Education (P),Border,15.9
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Education (P),West,22.0
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Education (P),Mid-West,22.8
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Education (P),South-East,18.6
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Education (P),South-West,31.3
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Education (P),Dublin,58.0
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Education (P),Mid-East,33.7
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Education (P),Midland,13.0
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Human health and social work activities (Q),State,327.7
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Human health and social work activities (Q),Border,24.1
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Human health and social work activities (Q),West,32.6
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Human health and social work activities (Q),Mid-West,28.9
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Human health and social work activities (Q),South-East,27.8
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Human health and social work activities (Q),South-West,49.6
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Human health and social work activities (Q),Dublin,101.3
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Human health and social work activities (Q),Mid-East,42.7
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Human health and social work activities (Q),Midland,20.7
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry (B to E),State,317.9
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry (B to E),Border,27.8
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry (B to E),West,36.4
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry (B to E),Mid-West,42.4
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry (B to E),South-East,30.9
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry (B to E),South-West,59.0
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry (B to E),Dublin,59.6
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry (B to E),Mid-East,42.0
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry (B to E),Midland,19.8
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry and Construction (B to F),State,479.0
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry and Construction (B to F),Border,42.0
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry and Construction (B to F),West,52.7
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry and Construction (B to F),Mid-West,57.5
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry and Construction (B to F),South-East,46.4
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry and Construction (B to F),South-West,81.3
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry and Construction (B to F),Dublin,92.9
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry and Construction (B to F),Mid-East,73.5
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry and Construction (B to F),Midland,32.7
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Services (G to U),State,1955.3
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Services (G to U),Border,130.9
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Services (G to U),West,164.6
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Services (G to U),Mid-West,170.5
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Services (G to U),South-East,153.5
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Services (G to U),South-West,260.4
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Services (G to U),Dublin,676.4
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Services (G to U),Mid-East,286.8
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Services (G to U),Midland,112.2
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",State,134.3
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",Border,
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",West,8.4
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",Mid-West,6.1
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",South-East,10.7
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",South-West,10.6
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",Dublin,68.8
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",Mid-East,19.3
Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",Midland,
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Other NACE activities (R to U),State,113.8
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Other NACE activities (R to U),Border,7.9
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Other NACE activities (R to U),West,7.5
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Other NACE activities (R to U),Mid-West,11.1
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Other NACE activities (R to U),South-East,12.2
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Other NACE activities (R to U),South-West,17.4
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Other NACE activities (R to U),Dublin,33.5
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Other NACE activities (R to U),Mid-East,19.5
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Other NACE activities (R to U),Midland,
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Not stated,State,7.5
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Not stated,Border,
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Not stated,West,
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Not stated,Mid-West,
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Not stated,South-East,
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Not stated,South-West,
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Not stated,Dublin,
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Not stated,Mid-East,
Persons aged 15-89 years in Employment,2021Q4,Both sexes,Not stated,Midland,
Persons aged 15-89 years in Employment,2021Q4,Male,All NACE economic sectors,State,1353.7
Persons aged 15-89 years in Employment,2021Q4,Male,All NACE economic sectors,Border,105.6
Persons aged 15-89 years in Employment,2021Q4,Male,All NACE economic sectors,West,127.4
Persons aged 15-89 years in Employment,2021Q4,Male,All NACE economic sectors,Mid-West,130.6
Persons aged 15-89 years in Employment,2021Q4,Male,All NACE economic sectors,South-East,110.1
Persons aged 15-89 years in Employment,2021Q4,Male,All NACE economic sectors,South-West,193.3
Persons aged 15-89 years in Employment,2021Q4,Male,All NACE economic sectors,Dublin,403.0
Persons aged 15-89 years in Employment,2021Q4,Male,All NACE economic sectors,Mid-East,199.8
Persons aged 15-89 years in Employment,2021Q4,Male,All NACE economic sectors,Midland,83.9
Persons aged 15-89 years in Employment,2021Q4,Male,"Agriculture, forestry and fishing (A)",State,94.6
Persons aged 15-89 years in Employment,2021Q4,Male,"Agriculture, forestry and fishing (A)",Border,16.2
Persons aged 15-89 years in Employment,2021Q4,Male,"Agriculture, forestry and fishing (A)",West,15.7
Persons aged 15-89 years in Employment,2021Q4,Male,"Agriculture, forestry and fishing (A)",Mid-West,15.3
Persons aged 15-89 years in Employment,2021Q4,Male,"Agriculture, forestry and fishing (A)",South-East,9.9
Persons aged 15-89 years in Employment,2021Q4,Male,"Agriculture, forestry and fishing (A)",South-West,15.1
Persons aged 15-89 years in Employment,2021Q4,Male,"Agriculture, forestry and fishing (A)",Dublin,
Persons aged 15-89 years in Employment,2021Q4,Male,"Agriculture, forestry and fishing (A)",Mid-East,10.7
Persons aged 15-89 years in Employment,2021Q4,Male,"Agriculture, forestry and fishing (A)",Midland,10.1
Persons aged 15-89 years in Employment,2021Q4,Male,Construction (F),State,146.3
Persons aged 15-89 years in Employment,2021Q4,Male,Construction (F),Border,13.4
Persons aged 15-89 years in Employment,2021Q4,Male,Construction (F),West,15.0
Persons aged 15-89 years in Employment,2021Q4,Male,Construction (F),Mid-West,13.5
Persons aged 15-89 years in Employment,2021Q4,Male,Construction (F),South-East,14.2
Persons aged 15-89 years in Employment,2021Q4,Male,Construction (F),South-West,20.3
Persons aged 15-89 years in Employment,2021Q4,Male,Construction (F),Dublin,29.7
Persons aged 15-89 years in Employment,2021Q4,Male,Construction (F),Mid-East,28.8
Persons aged 15-89 years in Employment,2021Q4,Male,Construction (F),Midland,11.4
Persons aged 15-89 years in Employment,2021Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",State,162.4
Persons aged 15-89 years in Employment,2021Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Border,11.6
Persons aged 15-89 years in Employment,2021Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",West,14.7
Persons aged 15-89 years in Employment,2021Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Mid-West,16.2
Persons aged 15-89 years in Employment,2021Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",South-East,12.0
Persons aged 15-89 years in Employment,2021Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",South-West,28.0
Persons aged 15-89 years in Employment,2021Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,43.4
Persons aged 15-89 years in Employment,2021Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Mid-East,25.0
Persons aged 15-89 years in Employment,2021Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Midland,11.6
Persons aged 15-89 years in Employment,2021Q4,Male,Transportation and storage (H),State,83.8
Persons aged 15-89 years in Employment,2021Q4,Male,Transportation and storage (H),Border,6.7
Persons aged 15-89 years in Employment,2021Q4,Male,Transportation and storage (H),West,5.4
Persons aged 15-89 years in Employment,2021Q4,Male,Transportation and storage (H),Mid-West,6.7
Persons aged 15-89 years in Employment,2021Q4,Male,Transportation and storage (H),South-East,
Persons aged 15-89 years in Employment,2021Q4,Male,Transportation and storage (H),South-West,7.9
Persons aged 15-89 years in Employment,2021Q4,Male,Transportation and storage (H),Dublin,30.3
Persons aged 15-89 years in Employment,2021Q4,Male,Transportation and storage (H),Mid-East,15.2
Persons aged 15-89 years in Employment,2021Q4,Male,Transportation and storage (H),Midland,
Persons aged 15-89 years in Employment,2021Q4,Male,Accommodation and food service activities (I),State,65.9
Persons aged 15-89 years in Employment,2021Q4,Male,Accommodation and food service activities (I),Border,
Persons aged 15-89 years in Employment,2021Q4,Male,Accommodation and food service activities (I),West,9.0
Persons aged 15-89 years in Employment,2021Q4,Male,Accommodation and food service activities (I),Mid-West,5.5
Persons aged 15-89 years in Employment,2021Q4,Male,Accommodation and food service activities (I),South-East,
Persons aged 15-89 years in Employment,2021Q4,Male,Accommodation and food service activities (I),South-West,10.8
Persons aged 15-89 years in Employment,2021Q4,Male,Accommodation and food service activities (I),Dublin,20.5
Persons aged 15-89 years in Employment,2021Q4,Male,Accommodation and food service activities (I),Mid-East,8.1
Persons aged 15-89 years in Employment,2021Q4,Male,Accommodation and food service activities (I),Midland,
Persons aged 15-89 years in Employment,2021Q4,Male,Information and communication (J),State,118.0
Persons aged 15-89 years in Employment,2021Q4,Male,Information and communication (J),Border,
Persons aged 15-89 years in Employment,2021Q4,Male,Information and communication (J),West,7.3
Persons aged 15-89 years in Employment,2021Q4,Male,Information and communication (J),Mid-West,7.6
Persons aged 15-89 years in Employment,2021Q4,Male,Information and communication (J),South-East,
Persons aged 15-89 years in Employment,2021Q4,Male,Information and communication (J),South-West,12.4
Persons aged 15-89 years in Employment,2021Q4,Male,Information and communication (J),Dublin,62.4
Persons aged 15-89 years in Employment,2021Q4,Male,Information and communication (J),Mid-East,13.0
Persons aged 15-89 years in Employment,2021Q4,Male,Information and communication (J),Midland,
Persons aged 15-89 years in Employment,2021Q4,Male,"Professional, scientific and technical activities (M)",State,88.9
Persons aged 15-89 years in Employment,2021Q4,Male,"Professional, scientific and technical activities (M)",Border,
Persons aged 15-89 years in Employment,2021Q4,Male,"Professional, scientific and technical activities (M)",West,6.1
Persons aged 15-89 years in Employment,2021Q4,Male,"Professional, scientific and technical activities (M)",Mid-West,7.7
Persons aged 15-89 years in Employment,2021Q4,Male,"Professional, scientific and technical activities (M)",South-East,
Persons aged 15-89 years in Employment,2021Q4,Male,"Professional, scientific and technical activities (M)",South-West,13.0
Persons aged 15-89 years in Employment,2021Q4,Male,"Professional, scientific and technical activities (M)",Dublin,36.0
Persons aged 15-89 years in Employment,2021Q4,Male,"Professional, scientific and technical activities (M)",Mid-East,11.3
Persons aged 15-89 years in Employment,2021Q4,Male,"Professional, scientific and technical activities (M)",Midland,
Persons aged 15-89 years in Employment,2021Q4,Male,Administrative and support service activities (N),State,57.5
Persons aged 15-89 years in Employment,2021Q4,Male,Administrative and support service activities (N),Border,
Persons aged 15-89 years in Employment,2021Q4,Male,Administrative and support service activities (N),West,
Persons aged 15-89 years in Employment,2021Q4,Male,Administrative and support service activities (N),Mid-West,
Persons aged 15-89 years in Employment,2021Q4,Male,Administrative and support service activities (N),South-East,
Persons aged 15-89 years in Employment,2021Q4,Male,Administrative and support service activities (N),South-West,7.3
Persons aged 15-89 years in Employment,2021Q4,Male,Administrative and support service activities (N),Dublin,18.9
Persons aged 15-89 years in Employment,2021Q4,Male,Administrative and support service activities (N),Mid-East,8.9
Persons aged 15-89 years in Employment,2021Q4,Male,Administrative and support service activities (N),Midland,
Persons aged 15-89 years in Employment,2021Q4,Male,"Public administration and defence, compulsory social security (O)",State,63.1
Persons aged 15-89 years in Employment,2021Q4,Male,"Public administration and defence, compulsory social security (O)",Border,
Persons aged 15-89 years in Employment,2021Q4,Male,"Public administration and defence, compulsory social security (O)",West,4.6
Persons aged 15-89 years in Employment,2021Q4,Male,"Public administration and defence, compulsory social security (O)",Mid-West,5.1
Persons aged 15-89 years in Employment,2021Q4,Male,"Public administration and defence, compulsory social security (O)",South-East,
Persons aged 15-89 years in Employment,2021Q4,Male,"Public administration and defence, compulsory social security (O)",South-West,5.6
Persons aged 15-89 years in Employment,2021Q4,Male,"Public administration and defence, compulsory social security (O)",Dublin,20.6
Persons aged 15-89 years in Employment,2021Q4,Male,"Public administration and defence, compulsory social security (O)",Mid-East,12.3
Persons aged 15-89 years in Employment,2021Q4,Male,"Public administration and defence, compulsory social security (O)",Midland,
Persons aged 15-89 years in Employment,2021Q4,Male,Education (P),State,60.8
Persons aged 15-89 years in Employment,2021Q4,Male,Education (P),Border,
Persons aged 15-89 years in Employment,2021Q4,Male,Education (P),West,6.5
Persons aged 15-89 years in Employment,2021Q4,Male,Education (P),Mid-West,6.1
Persons aged 15-89 years in Employment,2021Q4,Male,Education (P),South-East,
Persons aged 15-89 years in Employment,2021Q4,Male,Education (P),South-West,8.2
Persons aged 15-89 years in Employment,2021Q4,Male,Education (P),Dublin,19.7
Persons aged 15-89 years in Employment,2021Q4,Male,Education (P),Mid-East,7.7
Persons aged 15-89 years in Employment,2021Q4,Male,Education (P),Midland,
Persons aged 15-89 years in Employment,2021Q4,Male,Human health and social work activities (Q),State,68.0
Persons aged 15-89 years in Employment,2021Q4,Male,Human health and social work activities (Q),Border,
Persons aged 15-89 years in Employment,2021Q4,Male,Human health and social work activities (Q),West,5.7
Persons aged 15-89 years in Employment,2021Q4,Male,Human health and social work activities (Q),Mid-West,5.1
Persons aged 15-89 years in Employment,2021Q4,Male,Human health and social work activities (Q),South-East,
Persons aged 15-89 years in Employment,2021Q4,Male,Human health and social work activities (Q),South-West,10.2
Persons aged 15-89 years in Employment,2021Q4,Male,Human health and social work activities (Q),Dublin,25.5
Persons aged 15-89 years in Employment,2021Q4,Male,Human health and social work activities (Q),Mid-East,9.4
Persons aged 15-89 years in Employment,2021Q4,Male,Human health and social work activities (Q),Midland,
Persons aged 15-89 years in Employment,2021Q4,Male,Industry (B to E),State,218.4
Persons aged 15-89 years in Employment,2021Q4,Male,Industry (B to E),Border,20.7
Persons aged 15-89 years in Employment,2021Q4,Male,Industry (B to E),West,24.9
Persons aged 15-89 years in Employment,2021Q4,Male,Industry (B to E),Mid-West,28.8
Persons aged 15-89 years in Employment,2021Q4,Male,Industry (B to E),South-East,20.8
Persons aged 15-89 years in Employment,2021Q4,Male,Industry (B to E),South-West,40.7
Persons aged 15-89 years in Employment,2021Q4,Male,Industry (B to E),Dublin,40.1
Persons aged 15-89 years in Employment,2021Q4,Male,Industry (B to E),Mid-East,30.4
Persons aged 15-89 years in Employment,2021Q4,Male,Industry (B to E),Midland,12.1
Persons aged 15-89 years in Employment,2021Q4,Male,Industry and Construction (B to F),State,364.7
Persons aged 15-89 years in Employment,2021Q4,Male,Industry and Construction (B to F),Border,34.2
Persons aged 15-89 years in Employment,2021Q4,Male,Industry and Construction (B to F),West,39.9
Persons aged 15-89 years in Employment,2021Q4,Male,Industry and Construction (B to F),Mid-West,42.3
Persons aged 15-89 years in Employment,2021Q4,Male,Industry and Construction (B to F),South-East,35.0
Persons aged 15-89 years in Employment,2021Q4,Male,Industry and Construction (B to F),South-West,61.0
Persons aged 15-89 years in Employment,2021Q4,Male,Industry and Construction (B to F),Dublin,69.8
Persons aged 15-89 years in Employment,2021Q4,Male,Industry and Construction (B to F),Mid-East,59.2
Persons aged 15-89 years in Employment,2021Q4,Male,Industry and Construction (B to F),Midland,23.5
Persons aged 15-89 years in Employment,2021Q4,Male,Services (G to U),State,891.0
Persons aged 15-89 years in Employment,2021Q4,Male,Services (G to U),Border,55.0
Persons aged 15-89 years in Employment,2021Q4,Male,Services (G to U),West,71.7
Persons aged 15-89 years in Employment,2021Q4,Male,Services (G to U),Mid-West,72.5
Persons aged 15-89 years in Employment,2021Q4,Male,Services (G to U),South-East,65.3
Persons aged 15-89 years in Employment,2021Q4,Male,Services (G to U),South-West,116.4
Persons aged 15-89 years in Employment,2021Q4,Male,Services (G to U),Dublin,330.6
Persons aged 15-89 years in Employment,2021Q4,Male,Services (G to U),Mid-East,129.4
Persons aged 15-89 years in Employment,2021Q4,Male,Services (G to U),Midland,50.1
Persons aged 15-89 years in Employment,2021Q4,Male,"Financial, insurance and real estate activities (K,L)",State,72.8
Persons aged 15-89 years in Employment,2021Q4,Male,"Financial, insurance and real estate activities (K,L)",Border,
Persons aged 15-89 years in Employment,2021Q4,Male,"Financial, insurance and real estate activities (K,L)",West,
Persons aged 15-89 years in Employment,2021Q4,Male,"Financial, insurance and real estate activities (K,L)",Mid-West,
Persons aged 15-89 years in Employment,2021Q4,Male,"Financial, insurance and real estate activities (K,L)",South-East,
Persons aged 15-89 years in Employment,2021Q4,Male,"Financial, insurance and real estate activities (K,L)",South-West,5.4
Persons aged 15-89 years in Employment,2021Q4,Male,"Financial, insurance and real estate activities (K,L)",Dublin,39.0
Persons aged 15-89 years in Employment,2021Q4,Male,"Financial, insurance and real estate activities (K,L)",Mid-East,9.1
Persons aged 15-89 years in Employment,2021Q4,Male,"Financial, insurance and real estate activities (K,L)",Midland,
Persons aged 15-89 years in Employment,2021Q4,Male,Other NACE activities (R to U),State,49.7
Persons aged 15-89 years in Employment,2021Q4,Male,Other NACE activities (R to U),Border,
Persons aged 15-89 years in Employment,2021Q4,Male,Other NACE activities (R to U),West,
Persons aged 15-89 years in Employment,2021Q4,Male,Other NACE activities (R to U),Mid-West,5.3
Persons aged 15-89 years in Employment,2021Q4,Male,Other NACE activities (R to U),South-East,
Persons aged 15-89 years in Employment,2021Q4,Male,Other NACE activities (R to U),South-West,7.8
Persons aged 15-89 years in Employment,2021Q4,Male,Other NACE activities (R to U),Dublin,14.3
Persons aged 15-89 years in Employment,2021Q4,Male,Other NACE activities (R to U),Mid-East,9.4
Persons aged 15-89 years in Employment,2021Q4,Male,Other NACE activities (R to U),Midland,
Persons aged 15-89 years in Employment,2021Q4,Male,Not stated,State,
Persons aged 15-89 years in Employment,2021Q4,Male,Not stated,Border,
Persons aged 15-89 years in Employment,2021Q4,Male,Not stated,West,
Persons aged 15-89 years in Employment,2021Q4,Male,Not stated,Mid-West,
Persons aged 15-89 years in Employment,2021Q4,Male,Not stated,South-East,
Persons aged 15-89 years in Employment,2021Q4,Male,Not stated,South-West,
Persons aged 15-89 years in Employment,2021Q4,Male,Not stated,Dublin,
Persons aged 15-89 years in Employment,2021Q4,Male,Not stated,Mid-East,
Persons aged 15-89 years in Employment,2021Q4,Male,Not stated,Midland,
Persons aged 15-89 years in Employment,2021Q4,Female,All NACE economic sectors,State,1197.7
Persons aged 15-89 years in Employment,2021Q4,Female,All NACE economic sectors,Border,86.2
Persons aged 15-89 years in Employment,2021Q4,Female,All NACE economic sectors,West,107.7
Persons aged 15-89 years in Employment,2021Q4,Female,All NACE economic sectors,Mid-West,114.6
Persons aged 15-89 years in Employment,2021Q4,Female,All NACE economic sectors,South-East,102.4
Persons aged 15-89 years in Employment,2021Q4,Female,All NACE economic sectors,South-West,166.9
Persons aged 15-89 years in Employment,2021Q4,Female,All NACE economic sectors,Dublin,371.2
Persons aged 15-89 years in Employment,2021Q4,Female,All NACE economic sectors,Mid-East,175.6
Persons aged 15-89 years in Employment,2021Q4,Female,All NACE economic sectors,Midland,73.2
Persons aged 15-89 years in Employment,2021Q4,Female,"Agriculture, forestry and fishing (A)",State,15.0
Persons aged 15-89 years in Employment,2021Q4,Female,"Agriculture, forestry and fishing (A)",Border,
Persons aged 15-89 years in Employment,2021Q4,Female,"Agriculture, forestry and fishing (A)",West,
Persons aged 15-89 years in Employment,2021Q4,Female,"Agriculture, forestry and fishing (A)",Mid-West,
Persons aged 15-89 years in Employment,2021Q4,Female,"Agriculture, forestry and fishing (A)",South-East,
Persons aged 15-89 years in Employment,2021Q4,Female,"Agriculture, forestry and fishing (A)",South-West,
Persons aged 15-89 years in Employment,2021Q4,Female,"Agriculture, forestry and fishing (A)",Dublin,
Persons aged 15-89 years in Employment,2021Q4,Female,"Agriculture, forestry and fishing (A)",Mid-East,
Persons aged 15-89 years in Employment,2021Q4,Female,"Agriculture, forestry and fishing (A)",Midland,
Persons aged 15-89 years in Employment,2021Q4,Female,Construction (F),State,14.7
Persons aged 15-89 years in Employment,2021Q4,Female,Construction (F),Border,
Persons aged 15-89 years in Employment,2021Q4,Female,Construction (F),West,
Persons aged 15-89 years in Employment,2021Q4,Female,Construction (F),Mid-West,
Persons aged 15-89 years in Employment,2021Q4,Female,Construction (F),South-East,
