Statistic,Quarter,NACE Rev 2 Economic Sector,value
Proportion of total students in employment (PES),2018Q3,Information and communication (J),
Proportion of total students in employment (PES),2018Q3,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2018Q3,Administrative and support service activities (N),
Proportion of total students in employment (PES),2018Q3,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2018Q3,Education (P),
Proportion of total students in employment (PES),2018Q3,Human health and social work activities (Q),
Proportion of total students in employment (PES),2018Q3,Industry (B to E),
Proportion of total students in employment (PES),2018Q3,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2018Q3,Other NACE activities (R to U),9.8
Proportion of total students in employment (PES),2018Q3,Industry and Construction (B to F),5.8
Proportion of total students in employment (PES),2018Q3,Services (G to U),88.3
Proportion of total students in employment (PES),2018Q3,Not stated,
Proportion of total students in employment (PES),2018Q4,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2018Q4,"Agriculture, forestry and fishing (A)",6.0
Proportion of total students in employment (PES),2018Q4,Construction (F),
Proportion of total students in employment (PES),2018Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.2
Proportion of total students in employment (PES),2018Q4,Transportation and storage (H),
Proportion of total students in employment (PES),2018Q4,Accommodation and food service activities (I),31.3
Proportion of total students in employment (PES),2018Q4,Information and communication (J),
Proportion of total students in employment (PES),2018Q4,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2018Q4,Administrative and support service activities (N),
Proportion of total students in employment (PES),2018Q4,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2018Q4,Education (P),
Proportion of total students in employment (PES),2018Q4,Human health and social work activities (Q),
Proportion of total students in employment (PES),2018Q4,Industry (B to E),
Proportion of total students in employment (PES),2018Q4,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2018Q4,Other NACE activities (R to U),8.7
Proportion of total students in employment (PES),2018Q4,Industry and Construction (B to F),
Proportion of total students in employment (PES),2018Q4,Services (G to U),89.3
Proportion of total students in employment (PES),2018Q4,Not stated,
Proportion of total students in employment (PES),2019Q1,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2019Q1,"Agriculture, forestry and fishing (A)",5.7
Proportion of total students in employment (PES),2019Q1,Construction (F),
Proportion of total students in employment (PES),2019Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),30.6
Proportion of total students in employment (PES),2019Q1,Transportation and storage (H),
Proportion of total students in employment (PES),2019Q1,Accommodation and food service activities (I),32.6
Proportion of total students in employment (PES),2019Q1,Information and communication (J),
Proportion of total students in employment (PES),2019Q1,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2019Q1,Administrative and support service activities (N),
Proportion of total students in employment (PES),2019Q1,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2019Q1,Education (P),4.8
Proportion of total students in employment (PES),2019Q1,Human health and social work activities (Q),
Proportion of total students in employment (PES),2019Q1,Industry (B to E),
Proportion of total students in employment (PES),2019Q1,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2019Q1,Other NACE activities (R to U),8.1
Proportion of total students in employment (PES),2019Q1,Industry and Construction (B to F),5.6
Proportion of total students in employment (PES),2019Q1,Services (G to U),88.6
Proportion of total students in employment (PES),2019Q1,Not stated,
Proportion of total students in employment (PES),2019Q2,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2019Q2,"Agriculture, forestry and fishing (A)",5.9
Proportion of total students in employment (PES),2019Q2,Construction (F),
Proportion of total students in employment (PES),2019Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),24.9
Proportion of total students in employment (PES),2019Q2,Transportation and storage (H),
Proportion of total students in employment (PES),2019Q2,Accommodation and food service activities (I),34.0
Proportion of total students in employment (PES),2019Q2,Information and communication (J),
Proportion of total students in employment (PES),2019Q2,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2019Q2,Administrative and support service activities (N),
Proportion of total students in employment (PES),2019Q2,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2019Q2,Education (P),
Proportion of total students in employment (PES),2019Q2,Human health and social work activities (Q),
Proportion of total students in employment (PES),2019Q2,Industry (B to E),
Proportion of total students in employment (PES),2019Q2,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2019Q2,Other NACE activities (R to U),8.8
Proportion of total students in employment (PES),2019Q2,Industry and Construction (B to F),7.3
Proportion of total students in employment (PES),2019Q2,Services (G to U),86.3
Proportion of total students in employment (PES),2019Q2,Not stated,
Proportion of total students in employment (PES),2019Q3,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2019Q3,"Agriculture, forestry and fishing (A)",5.8
Proportion of total students in employment (PES),2019Q3,Construction (F),
Proportion of total students in employment (PES),2019Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),25.4
Proportion of total students in employment (PES),2019Q3,Transportation and storage (H),
Proportion of total students in employment (PES),2019Q3,Accommodation and food service activities (I),31.0
Proportion of total students in employment (PES),2019Q3,Information and communication (J),
Proportion of total students in employment (PES),2019Q3,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2019Q3,Administrative and support service activities (N),
Proportion of total students in employment (PES),2019Q3,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2019Q3,Education (P),
Proportion of total students in employment (PES),2019Q3,Human health and social work activities (Q),7.1
Proportion of total students in employment (PES),2019Q3,Industry (B to E),6.0
Proportion of total students in employment (PES),2019Q3,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2019Q3,Other NACE activities (R to U),8.2
Proportion of total students in employment (PES),2019Q3,Industry and Construction (B to F),9.2
Proportion of total students in employment (PES),2019Q3,Services (G to U),84.3
Proportion of total students in employment (PES),2019Q3,Not stated,
Proportion of total students in employment (PES),2019Q4,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2019Q4,"Agriculture, forestry and fishing (A)",6.0
Proportion of total students in employment (PES),2019Q4,Construction (F),
Proportion of total students in employment (PES),2019Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),29.8
Proportion of total students in employment (PES),2019Q4,Transportation and storage (H),
Proportion of total students in employment (PES),2019Q4,Accommodation and food service activities (I),29.6
Proportion of total students in employment (PES),2019Q4,Information and communication (J),
Proportion of total students in employment (PES),2019Q4,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2019Q4,Administrative and support service activities (N),
Proportion of total students in employment (PES),2019Q4,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2019Q4,Education (P),
Proportion of total students in employment (PES),2019Q4,Human health and social work activities (Q),6.0
Proportion of total students in employment (PES),2019Q4,Industry (B to E),
Proportion of total students in employment (PES),2019Q4,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2019Q4,Other NACE activities (R to U),9.2
Proportion of total students in employment (PES),2019Q4,Industry and Construction (B to F),4.6
Proportion of total students in employment (PES),2019Q4,Services (G to U),89.4
Proportion of total students in employment (PES),2019Q4,Not stated,
Proportion of total students in employment (PES),2020Q1,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2020Q1,"Agriculture, forestry and fishing (A)",7.6
Proportion of total students in employment (PES),2020Q1,Construction (F),
Proportion of total students in employment (PES),2020Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),30.5
Proportion of total students in employment (PES),2020Q1,Transportation and storage (H),
Proportion of total students in employment (PES),2020Q1,Accommodation and food service activities (I),26.6
Proportion of total students in employment (PES),2020Q1,Information and communication (J),
Proportion of total students in employment (PES),2020Q1,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2020Q1,Administrative and support service activities (N),
Proportion of total students in employment (PES),2020Q1,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2020Q1,Education (P),
Proportion of total students in employment (PES),2020Q1,Human health and social work activities (Q),5.3
Proportion of total students in employment (PES),2020Q1,Industry (B to E),
Proportion of total students in employment (PES),2020Q1,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2020Q1,Other NACE activities (R to U),9.0
Proportion of total students in employment (PES),2020Q1,Industry and Construction (B to F),7.6
Proportion of total students in employment (PES),2020Q1,Services (G to U),84.6
Proportion of total students in employment (PES),2020Q1,Not stated,
Proportion of total students in employment (PES),2020Q2,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2020Q2,"Agriculture, forestry and fishing (A)",10.1
Proportion of total students in employment (PES),2020Q2,Construction (F),
Proportion of total students in employment (PES),2020Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),36.0
Proportion of total students in employment (PES),2020Q2,Transportation and storage (H),
Proportion of total students in employment (PES),2020Q2,Accommodation and food service activities (I),19.3
Proportion of total students in employment (PES),2020Q2,Information and communication (J),
Proportion of total students in employment (PES),2020Q2,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2020Q2,Administrative and support service activities (N),
Proportion of total students in employment (PES),2020Q2,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2020Q2,Education (P),
Proportion of total students in employment (PES),2020Q2,Human health and social work activities (Q),
Proportion of total students in employment (PES),2020Q2,Industry (B to E),
Proportion of total students in employment (PES),2020Q2,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2020Q2,Other NACE activities (R to U),
Proportion of total students in employment (PES),2020Q2,Industry and Construction (B to F),
Proportion of total students in employment (PES),2020Q2,Services (G to U),81.9
Proportion of total students in employment (PES),2020Q2,Not stated,
Proportion of total students in employment (PES),2020Q3,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2020Q3,"Agriculture, forestry and fishing (A)",7.0
Proportion of total students in employment (PES),2020Q3,Construction (F),
Proportion of total students in employment (PES),2020Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),32.9
Proportion of total students in employment (PES),2020Q3,Transportation and storage (H),
Proportion of total students in employment (PES),2020Q3,Accommodation and food service activities (I),23.7
Proportion of total students in employment (PES),2020Q3,Information and communication (J),
Proportion of total students in employment (PES),2020Q3,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2020Q3,Administrative and support service activities (N),
Proportion of total students in employment (PES),2020Q3,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2020Q3,Education (P),
Proportion of total students in employment (PES),2020Q3,Human health and social work activities (Q),
Proportion of total students in employment (PES),2020Q3,Industry (B to E),
Proportion of total students in employment (PES),2020Q3,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2020Q3,Other NACE activities (R to U),
Proportion of total students in employment (PES),2020Q3,Industry and Construction (B to F),8.3
Proportion of total students in employment (PES),2020Q3,Services (G to U),84.8
Proportion of total students in employment (PES),2020Q3,Not stated,
Proportion of total students in employment (PES),2020Q4,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2020Q4,"Agriculture, forestry and fishing (A)",7.7
Proportion of total students in employment (PES),2020Q4,Construction (F),
Proportion of total students in employment (PES),2020Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),39.1
Proportion of total students in employment (PES),2020Q4,Transportation and storage (H),
Proportion of total students in employment (PES),2020Q4,Accommodation and food service activities (I),23.1
Proportion of total students in employment (PES),2020Q4,Information and communication (J),
Proportion of total students in employment (PES),2020Q4,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2020Q4,Administrative and support service activities (N),
Proportion of total students in employment (PES),2020Q4,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2020Q4,Education (P),
Proportion of total students in employment (PES),2020Q4,Human health and social work activities (Q),
Proportion of total students in employment (PES),2020Q4,Industry (B to E),
Proportion of total students in employment (PES),2020Q4,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2020Q4,Other NACE activities (R to U),
Proportion of total students in employment (PES),2020Q4,Industry and Construction (B to F),
Proportion of total students in employment (PES),2020Q4,Services (G to U),87.3
Proportion of total students in employment (PES),2020Q4,Not stated,
Proportion of total students in employment (PES),2021Q1,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2021Q1,"Agriculture, forestry and fishing (A)",9.4
Proportion of total students in employment (PES),2021Q1,Construction (F),
Proportion of total students in employment (PES),2021Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),40.6
Proportion of total students in employment (PES),2021Q1,Transportation and storage (H),
Proportion of total students in employment (PES),2021Q1,Accommodation and food service activities (I),17.3
Proportion of total students in employment (PES),2021Q1,Information and communication (J),
Proportion of total students in employment (PES),2021Q1,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2021Q1,Administrative and support service activities (N),
Proportion of total students in employment (PES),2021Q1,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2021Q1,Education (P),
Proportion of total students in employment (PES),2021Q1,Human health and social work activities (Q),
Proportion of total students in employment (PES),2021Q1,Industry (B to E),
Proportion of total students in employment (PES),2021Q1,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2021Q1,Other NACE activities (R to U),
Proportion of total students in employment (PES),2021Q1,Industry and Construction (B to F),7.1
Proportion of total students in employment (PES),2021Q1,Services (G to U),83.4
Proportion of total students in employment (PES),2021Q1,Not stated,
Proportion of total students in employment (PES),2021Q2,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2021Q2,"Agriculture, forestry and fishing (A)",7.4
Proportion of total students in employment (PES),2021Q2,Construction (F),
Proportion of total students in employment (PES),2021Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.7
Proportion of total students in employment (PES),2021Q2,Transportation and storage (H),
Proportion of total students in employment (PES),2021Q2,Accommodation and food service activities (I),21.1
Proportion of total students in employment (PES),2021Q2,Information and communication (J),
Proportion of total students in employment (PES),2021Q2,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2021Q2,Administrative and support service activities (N),
Proportion of total students in employment (PES),2021Q2,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2021Q2,Education (P),
Proportion of total students in employment (PES),2021Q2,Human health and social work activities (Q),8.3
Proportion of total students in employment (PES),2021Q2,Industry (B to E),
Proportion of total students in employment (PES),2021Q2,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2021Q2,Other NACE activities (R to U),
Proportion of total students in employment (PES),2021Q2,Industry and Construction (B to F),6.9
Proportion of total students in employment (PES),2021Q2,Services (G to U),85.7
Proportion of total students in employment (PES),2021Q2,Not stated,
Proportion of total students in employment (PES),2021Q3,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2021Q3,"Agriculture, forestry and fishing (A)",6.0
Proportion of total students in employment (PES),2021Q3,Construction (F),
Proportion of total students in employment (PES),2021Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),27.6
Proportion of total students in employment (PES),2021Q3,Transportation and storage (H),
Proportion of total students in employment (PES),2021Q3,Accommodation and food service activities (I),31.9
Proportion of total students in employment (PES),2021Q3,Information and communication (J),
Proportion of total students in employment (PES),2021Q3,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2021Q3,Administrative and support service activities (N),
Proportion of total students in employment (PES),2021Q3,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2021Q3,Education (P),
Proportion of total students in employment (PES),2021Q3,Human health and social work activities (Q),7.4
Proportion of total students in employment (PES),2021Q3,Industry (B to E),5.2
Proportion of total students in employment (PES),2021Q3,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2021Q3,Other NACE activities (R to U),5.5
Proportion of total students in employment (PES),2021Q3,Industry and Construction (B to F),8.5
Proportion of total students in employment (PES),2021Q3,Services (G to U),85.4
Proportion of total students in employment (PES),2021Q3,Not stated,
Proportion of total students in employment (PES),2021Q4,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2021Q4,"Agriculture, forestry and fishing (A)",4.3
Proportion of total students in employment (PES),2021Q4,Construction (F),
Proportion of total students in employment (PES),2021Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),31.9
Proportion of total students in employment (PES),2021Q4,Transportation and storage (H),
Proportion of total students in employment (PES),2021Q4,Accommodation and food service activities (I),33.7
Proportion of total students in employment (PES),2021Q4,Information and communication (J),
Proportion of total students in employment (PES),2021Q4,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2021Q4,Administrative and support service activities (N),
Proportion of total students in employment (PES),2021Q4,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2021Q4,Education (P),
Proportion of total students in employment (PES),2021Q4,Human health and social work activities (Q),6.5
Proportion of total students in employment (PES),2021Q4,Industry (B to E),
Proportion of total students in employment (PES),2021Q4,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2021Q4,Other NACE activities (R to U),5.0
Proportion of total students in employment (PES),2021Q4,Industry and Construction (B to F),5.4
Proportion of total students in employment (PES),2021Q4,Services (G to U),89.8
Proportion of total students in employment (PES),2021Q4,Not stated,
Proportion of total students in employment (PES),2022Q1,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2022Q1,"Agriculture, forestry and fishing (A)",5.7
Proportion of total students in employment (PES),2022Q1,Construction (F),
Proportion of total students in employment (PES),2022Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),28.9
Proportion of total students in employment (PES),2022Q1,Transportation and storage (H),
Proportion of total students in employment (PES),2022Q1,Accommodation and food service activities (I),32.3
Proportion of total students in employment (PES),2022Q1,Information and communication (J),
Proportion of total students in employment (PES),2022Q1,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2022Q1,Administrative and support service activities (N),
Proportion of total students in employment (PES),2022Q1,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2022Q1,Education (P),5.3
Proportion of total students in employment (PES),2022Q1,Human health and social work activities (Q),4.6
Proportion of total students in employment (PES),2022Q1,Industry (B to E),
Proportion of total students in employment (PES),2022Q1,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2022Q1,Other NACE activities (R to U),5.2
Proportion of total students in employment (PES),2022Q1,Industry and Construction (B to F),7.1
Proportion of total students in employment (PES),2022Q1,Services (G to U),86.9
Proportion of total students in employment (PES),2022Q1,Not stated,
Proportion of total students in employment (PES),2022Q2,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2022Q2,"Agriculture, forestry and fishing (A)",6.5
Proportion of total students in employment (PES),2022Q2,Construction (F),
Proportion of total students in employment (PES),2022Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),27.6
Proportion of total students in employment (PES),2022Q2,Transportation and storage (H),
Proportion of total students in employment (PES),2022Q2,Accommodation and food service activities (I),32.5
Proportion of total students in employment (PES),2022Q2,Information and communication (J),
Proportion of total students in employment (PES),2022Q2,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2022Q2,Administrative and support service activities (N),
Proportion of total students in employment (PES),2022Q2,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2022Q2,Education (P),
Proportion of total students in employment (PES),2022Q2,Human health and social work activities (Q),5.0
Proportion of total students in employment (PES),2022Q2,Industry (B to E),
Proportion of total students in employment (PES),2022Q2,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2022Q2,Other NACE activities (R to U),7.6
Proportion of total students in employment (PES),2022Q2,Industry and Construction (B to F),6.4
Proportion of total students in employment (PES),2022Q2,Services (G to U),86.7
Proportion of total students in employment (PES),2022Q2,Not stated,
Proportion of total students in employment (PES),2022Q3,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2022Q3,"Agriculture, forestry and fishing (A)",5.0
Proportion of total students in employment (PES),2022Q3,Construction (F),
Proportion of total students in employment (PES),2022Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),29.9
Proportion of total students in employment (PES),2022Q3,Transportation and storage (H),
Proportion of total students in employment (PES),2022Q3,Accommodation and food service activities (I),34.0
Proportion of total students in employment (PES),2022Q3,Information and communication (J),
Proportion of total students in employment (PES),2022Q3,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2022Q3,Administrative and support service activities (N),
Proportion of total students in employment (PES),2022Q3,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2022Q3,Education (P),
Proportion of total students in employment (PES),2022Q3,Human health and social work activities (Q),
Proportion of total students in employment (PES),2022Q3,Industry (B to E),5.2
Proportion of total students in employment (PES),2022Q3,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2022Q3,Other NACE activities (R to U),6.3
Proportion of total students in employment (PES),2022Q3,Industry and Construction (B to F),8.0
Proportion of total students in employment (PES),2022Q3,Services (G to U),86.7
Proportion of total students in employment (PES),2022Q3,Not stated,
Proportion of total students in employment (PES),2022Q4,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2022Q4,"Agriculture, forestry and fishing (A)",
Proportion of total students in employment (PES),2022Q4,Construction (F),
Proportion of total students in employment (PES),2022Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),31.4
Proportion of total students in employment (PES),2022Q4,Transportation and storage (H),
Proportion of total students in employment (PES),2022Q4,Accommodation and food service activities (I),33.4
Proportion of total students in employment (PES),2022Q4,Information and communication (J),
Proportion of total students in employment (PES),2022Q4,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2022Q4,Administrative and support service activities (N),
Proportion of total students in employment (PES),2022Q4,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2022Q4,Education (P),
Proportion of total students in employment (PES),2022Q4,Human health and social work activities (Q),7.0
Proportion of total students in employment (PES),2022Q4,Industry (B to E),
Proportion of total students in employment (PES),2022Q4,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2022Q4,Other NACE activities (R to U),6.0
Proportion of total students in employment (PES),2022Q4,Industry and Construction (B to F),4.4
Proportion of total students in employment (PES),2022Q4,Services (G to U),91.3
Proportion of total students in employment (PES),2022Q4,Not stated,
Proportion of total students in employment (PES),2023Q1,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2023Q1,"Agriculture, forestry and fishing (A)",4.4
Proportion of total students in employment (PES),2023Q1,Construction (F),
Proportion of total students in employment (PES),2023Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.1
Proportion of total students in employment (PES),2023Q1,Transportation and storage (H),
Proportion of total students in employment (PES),2023Q1,Accommodation and food service activities (I),31.9
Proportion of total students in employment (PES),2023Q1,Information and communication (J),
Proportion of total students in employment (PES),2023Q1,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2023Q1,Administrative and support service activities (N),
Proportion of total students in employment (PES),2023Q1,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2023Q1,Education (P),
Proportion of total students in employment (PES),2023Q1,Human health and social work activities (Q),5.7
Proportion of total students in employment (PES),2023Q1,Industry (B to E),4.2
Proportion of total students in employment (PES),2023Q1,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2023Q1,Other NACE activities (R to U),6.3
Proportion of total students in employment (PES),2023Q1,Industry and Construction (B to F),5.4
Proportion of total students in employment (PES),2023Q1,Services (G to U),89.9
Proportion of total students in employment (PES),2023Q1,Not stated,
Proportion of total students in employment (PES),2023Q2,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2023Q2,"Agriculture, forestry and fishing (A)",4.8
Proportion of total students in employment (PES),2023Q2,Construction (F),
Proportion of total students in employment (PES),2023Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.1
Proportion of total students in employment (PES),2023Q2,Transportation and storage (H),
Proportion of total students in employment (PES),2023Q2,Accommodation and food service activities (I),32.8
Proportion of total students in employment (PES),2023Q2,Information and communication (J),
Proportion of total students in employment (PES),2023Q2,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2023Q2,Administrative and support service activities (N),
Proportion of total students in employment (PES),2023Q2,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2023Q2,Education (P),
Proportion of total students in employment (PES),2023Q2,Human health and social work activities (Q),6.3
Proportion of total students in employment (PES),2023Q2,Industry (B to E),
Proportion of total students in employment (PES),2023Q2,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2023Q2,Other NACE activities (R to U),5.2
Proportion of total students in employment (PES),2023Q2,Industry and Construction (B to F),5.8
Proportion of total students in employment (PES),2023Q2,Services (G to U),89.3
Proportion of total students in employment (PES),2023Q2,Not stated,
Proportion of total students in employment (PES),2023Q3,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2023Q3,"Agriculture, forestry and fishing (A)",6.9
Proportion of total students in employment (PES),2023Q3,Construction (F),
Proportion of total students in employment (PES),2023Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),27.1
Proportion of total students in employment (PES),2023Q3,Transportation and storage (H),
Proportion of total students in employment (PES),2023Q3,Accommodation and food service activities (I),33.0
Proportion of total students in employment (PES),2023Q3,Information and communication (J),
Proportion of total students in employment (PES),2023Q3,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2023Q3,Administrative and support service activities (N),4.4
Proportion of total students in employment (PES),2023Q3,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2023Q3,Education (P),
Proportion of total students in employment (PES),2023Q3,Human health and social work activities (Q),4.7
Proportion of total students in employment (PES),2023Q3,Industry (B to E),3.8
Proportion of total students in employment (PES),2023Q3,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2023Q3,Other NACE activities (R to U),6.1
Proportion of total students in employment (PES),2023Q3,Industry and Construction (B to F),6.6
Proportion of total students in employment (PES),2023Q3,Services (G to U),86.1
Proportion of total students in employment (PES),2023Q3,Not stated,
Proportion of total students in employment (PES),2023Q4,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2023Q4,"Agriculture, forestry and fishing (A)",6.2
Proportion of total students in employment (PES),2023Q4,Construction (F),
Proportion of total students in employment (PES),2023Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.6
Proportion of total students in employment (PES),2023Q4,Transportation and storage (H),
Proportion of total students in employment (PES),2023Q4,Accommodation and food service activities (I),33.1
Proportion of total students in employment (PES),2023Q4,Information and communication (J),
Proportion of total students in employment (PES),2023Q4,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2023Q4,Administrative and support service activities (N),
Proportion of total students in employment (PES),2023Q4,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2023Q4,Education (P),
Proportion of total students in employment (PES),2023Q4,Human health and social work activities (Q),4.6
Proportion of total students in employment (PES),2023Q4,Industry (B to E),
Proportion of total students in employment (PES),2023Q4,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2023Q4,Other NACE activities (R to U),4.9
Proportion of total students in employment (PES),2023Q4,Industry and Construction (B to F),3.7
Proportion of total students in employment (PES),2023Q4,Services (G to U),90.2
Proportion of total students in employment (PES),2023Q4,Not stated,
Proportion of total students in employment (PES),2024Q1,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2024Q1,"Agriculture, forestry and fishing (A)",6.6
Proportion of total students in employment (PES),2024Q1,Construction (F),
Proportion of total students in employment (PES),2024Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),32.0
Proportion of total students in employment (PES),2024Q1,Transportation and storage (H),
Proportion of total students in employment (PES),2024Q1,Accommodation and food service activities (I),27.8
Proportion of total students in employment (PES),2024Q1,Information and communication (J),
Proportion of total students in employment (PES),2024Q1,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2024Q1,Administrative and support service activities (N),
Proportion of total students in employment (PES),2024Q1,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2024Q1,Education (P),
Proportion of total students in employment (PES),2024Q1,Human health and social work activities (Q),
Proportion of total students in employment (PES),2024Q1,Industry (B to E),
Proportion of total students in employment (PES),2024Q1,"Financial, insurance and real estate activities (K, L)",
