STATISTIC,Quarter,Age Group,Sex,Marital Status,value
ILO Participation Rates  (%),2019Q2,25 - 34 years,Male,Married,93.5
ILO Participation Rates  (%),2019Q2,25 - 34 years,Male,Widowed,
ILO Participation Rates  (%),2019Q2,25 - 34 years,Male,Separated or divorced,
ILO Participation Rates  (%),2019Q2,25 - 34 years,Male,All marital status,91.0
ILO Participation Rates  (%),2019Q2,25 - 34 years,Female,Single - never married,82.3
ILO Participation Rates  (%),2019Q2,25 - 34 years,Female,Married,69.3
ILO Participation Rates  (%),2019Q2,25 - 34 years,Female,Widowed,
ILO Participation Rates  (%),2019Q2,25 - 34 years,Female,Separated or divorced,
ILO Participation Rates  (%),2019Q2,25 - 34 years,Female,All marital status,78.0
ILO Participation Rates  (%),2019Q2,35 - 44 years,Both sexes,Single - never married,81.9
ILO Participation Rates  (%),2019Q2,35 - 44 years,Both sexes,Married,85.2
ILO Participation Rates  (%),2019Q2,35 - 44 years,Both sexes,Widowed,
ILO Participation Rates  (%),2019Q2,35 - 44 years,Both sexes,Separated or divorced,82.6
ILO Participation Rates  (%),2019Q2,35 - 44 years,Both sexes,All marital status,84.1
ILO Participation Rates  (%),2019Q2,35 - 44 years,Male,Single - never married,84.7
ILO Participation Rates  (%),2019Q2,35 - 44 years,Male,Married,94.4
ILO Participation Rates  (%),2019Q2,35 - 44 years,Male,Widowed,
ILO Participation Rates  (%),2019Q2,35 - 44 years,Male,Separated or divorced,91.7
ILO Participation Rates  (%),2019Q2,35 - 44 years,Male,All marital status,91.3
ILO Participation Rates  (%),2019Q2,35 - 44 years,Female,Single - never married,79.1
ILO Participation Rates  (%),2019Q2,35 - 44 years,Female,Married,76.3
ILO Participation Rates  (%),2019Q2,35 - 44 years,Female,Widowed,
ILO Participation Rates  (%),2019Q2,35 - 44 years,Female,Separated or divorced,78.7
ILO Participation Rates  (%),2019Q2,35 - 44 years,Female,All marital status,77.2
ILO Participation Rates  (%),2019Q2,45 - 54 years,Both sexes,Single - never married,73.9
ILO Participation Rates  (%),2019Q2,45 - 54 years,Both sexes,Married,83.2
ILO Participation Rates  (%),2019Q2,45 - 54 years,Both sexes,Widowed,55.0
ILO Participation Rates  (%),2019Q2,45 - 54 years,Both sexes,Separated or divorced,76.5
ILO Participation Rates  (%),2019Q2,45 - 54 years,Both sexes,All marital status,80.4
ILO Participation Rates  (%),2019Q2,45 - 54 years,Male,Single - never married,74.2
ILO Participation Rates  (%),2019Q2,45 - 54 years,Male,Married,93.4
ILO Participation Rates  (%),2019Q2,45 - 54 years,Male,Widowed,
ILO Participation Rates  (%),2019Q2,45 - 54 years,Male,Separated or divorced,82.2
ILO Participation Rates  (%),2019Q2,45 - 54 years,Male,All marital status,88.4
ILO Participation Rates  (%),2019Q2,45 - 54 years,Female,Single - never married,73.6
ILO Participation Rates  (%),2019Q2,45 - 54 years,Female,Married,72.6
ILO Participation Rates  (%),2019Q2,45 - 54 years,Female,Widowed,50.9
ILO Participation Rates  (%),2019Q2,45 - 54 years,Female,Separated or divorced,73.4
ILO Participation Rates  (%),2019Q2,45 - 54 years,Female,All marital status,72.5
ILO Participation Rates  (%),2019Q2,55 - 59 years,Both sexes,Single - never married,68.5
ILO Participation Rates  (%),2019Q2,55 - 59 years,Both sexes,Married,73.2
ILO Participation Rates  (%),2019Q2,55 - 59 years,Both sexes,Widowed,56.9
ILO Participation Rates  (%),2019Q2,55 - 59 years,Both sexes,Separated or divorced,68.2
ILO Participation Rates  (%),2019Q2,55 - 59 years,Both sexes,All marital status,71.5
ILO Participation Rates  (%),2019Q2,55 - 59 years,Male,Single - never married,67.7
ILO Participation Rates  (%),2019Q2,55 - 59 years,Male,Married,84.7
ILO Participation Rates  (%),2019Q2,55 - 59 years,Male,Widowed,
ILO Participation Rates  (%),2019Q2,55 - 59 years,Male,Separated or divorced,82.1
ILO Participation Rates  (%),2019Q2,55 - 59 years,Male,All marital status,81.0
ILO Participation Rates  (%),2019Q2,55 - 59 years,Female,Single - never married,69.5
ILO Participation Rates  (%),2019Q2,55 - 59 years,Female,Married,62.1
ILO Participation Rates  (%),2019Q2,55 - 59 years,Female,Widowed,54.4
ILO Participation Rates  (%),2019Q2,55 - 59 years,Female,Separated or divorced,57.3
ILO Participation Rates  (%),2019Q2,55 - 59 years,Female,All marital status,62.2
ILO Participation Rates  (%),2019Q2,60 - 64 years,Both sexes,Single - never married,48.4
ILO Participation Rates  (%),2019Q2,60 - 64 years,Both sexes,Married,57.5
ILO Participation Rates  (%),2019Q2,60 - 64 years,Both sexes,Widowed,46.7
ILO Participation Rates  (%),2019Q2,60 - 64 years,Both sexes,Separated or divorced,51.9
ILO Participation Rates  (%),2019Q2,60 - 64 years,Both sexes,All marital status,55.1
ILO Participation Rates  (%),2019Q2,60 - 64 years,Male,Single - never married,47.1
ILO Participation Rates  (%),2019Q2,60 - 64 years,Male,Married,68.5
ILO Participation Rates  (%),2019Q2,60 - 64 years,Male,Widowed,44.6
ILO Participation Rates  (%),2019Q2,60 - 64 years,Male,Separated or divorced,48.6
ILO Participation Rates  (%),2019Q2,60 - 64 years,Male,All marital status,63.1
ILO Participation Rates  (%),2019Q2,60 - 64 years,Female,Single - never married,49.7
ILO Participation Rates  (%),2019Q2,60 - 64 years,Female,Married,45.5
ILO Participation Rates  (%),2019Q2,60 - 64 years,Female,Widowed,47.7
ILO Participation Rates  (%),2019Q2,60 - 64 years,Female,Separated or divorced,53.8
ILO Participation Rates  (%),2019Q2,60 - 64 years,Female,All marital status,47.3
ILO Participation Rates  (%),2019Q2,65 years and over,Both sexes,Single - never married,11.6
ILO Participation Rates  (%),2019Q2,65 years and over,Both sexes,Married,13.3
ILO Participation Rates  (%),2019Q2,65 years and over,Both sexes,Widowed,5.3
ILO Participation Rates  (%),2019Q2,65 years and over,Both sexes,Separated or divorced,14.0
ILO Participation Rates  (%),2019Q2,65 years and over,Both sexes,All marital status,11.3
ILO Participation Rates  (%),2019Q2,65 years and over,Male,Single - never married,14.9
ILO Participation Rates  (%),2019Q2,65 years and over,Male,Married,17.9
ILO Participation Rates  (%),2019Q2,65 years and over,Male,Widowed,8.3
ILO Participation Rates  (%),2019Q2,65 years and over,Male,Separated or divorced,20.4
ILO Participation Rates  (%),2019Q2,65 years and over,Male,All marital status,16.5
ILO Participation Rates  (%),2019Q2,65 years and over,Female,Single - never married,7.8
ILO Participation Rates  (%),2019Q2,65 years and over,Female,Married,7.9
ILO Participation Rates  (%),2019Q2,65 years and over,Female,Widowed,4.3
ILO Participation Rates  (%),2019Q2,65 years and over,Female,Separated or divorced,7.5
ILO Participation Rates  (%),2019Q2,65 years and over,Female,All marital status,6.7
ILO Participation Rates  (%),2019Q3,15 - 19 years,Both sexes,Single - never married,27.2
ILO Participation Rates  (%),2019Q3,15 - 19 years,Both sexes,Married,
ILO Participation Rates  (%),2019Q3,15 - 19 years,Both sexes,Widowed,
ILO Participation Rates  (%),2019Q3,15 - 19 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),2019Q3,15 - 19 years,Both sexes,All marital status,27.2
ILO Participation Rates  (%),2019Q3,15 - 19 years,Male,Single - never married,27.5
ILO Participation Rates  (%),2019Q3,15 - 19 years,Male,Married,
ILO Participation Rates  (%),2019Q3,15 - 19 years,Male,Widowed,
ILO Participation Rates  (%),2019Q3,15 - 19 years,Male,Separated or divorced,
ILO Participation Rates  (%),2019Q3,15 - 19 years,Male,All marital status,27.5
ILO Participation Rates  (%),2019Q3,15 - 19 years,Female,Single - never married,26.9
ILO Participation Rates  (%),2019Q3,15 - 19 years,Female,Married,
ILO Participation Rates  (%),2019Q3,15 - 19 years,Female,Widowed,
ILO Participation Rates  (%),2019Q3,15 - 19 years,Female,Separated or divorced,
ILO Participation Rates  (%),2019Q3,15 - 19 years,Female,All marital status,26.9
ILO Participation Rates  (%),2019Q3,15 years and over,Both sexes,Single - never married,65.2
ILO Participation Rates  (%),2019Q3,15 years and over,Both sexes,Married,65.5
ILO Participation Rates  (%),2019Q3,15 years and over,Both sexes,Widowed,14.4
ILO Participation Rates  (%),2019Q3,15 years and over,Both sexes,Separated or divorced,56.4
ILO Participation Rates  (%),2019Q3,15 years and over,Both sexes,All marital status,62.4
ILO Participation Rates  (%),2019Q3,15 years and over,Male,Single - never married,67.8
ILO Participation Rates  (%),2019Q3,15 years and over,Male,Married,73.4
ILO Participation Rates  (%),2019Q3,15 years and over,Male,Widowed,18.0
ILO Participation Rates  (%),2019Q3,15 years and over,Male,Separated or divorced,58.8
ILO Participation Rates  (%),2019Q3,15 years and over,Male,All marital status,69.1
ILO Participation Rates  (%),2019Q3,15 years and over,Female,Single - never married,62.4
ILO Participation Rates  (%),2019Q3,15 years and over,Female,Married,57.5
ILO Participation Rates  (%),2019Q3,15 years and over,Female,Widowed,13.2
ILO Participation Rates  (%),2019Q3,15 years and over,Female,Separated or divorced,55.0
ILO Participation Rates  (%),2019Q3,15 years and over,Female,All marital status,56.0
ILO Participation Rates  (%),2019Q3,20 - 24 years,Both sexes,Single - never married,73.9
ILO Participation Rates  (%),2019Q3,20 - 24 years,Both sexes,Married,64.6
ILO Participation Rates  (%),2019Q3,20 - 24 years,Both sexes,Widowed,
ILO Participation Rates  (%),2019Q3,20 - 24 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),2019Q3,20 - 24 years,Both sexes,All marital status,73.6
ILO Participation Rates  (%),2019Q3,20 - 24 years,Male,Single - never married,77.6
ILO Participation Rates  (%),2019Q3,20 - 24 years,Male,Married,
ILO Participation Rates  (%),2019Q3,20 - 24 years,Male,Widowed,
ILO Participation Rates  (%),2019Q3,20 - 24 years,Male,Separated or divorced,
ILO Participation Rates  (%),2019Q3,20 - 24 years,Male,All marital status,77.7
ILO Participation Rates  (%),2019Q3,20 - 24 years,Female,Single - never married,69.9
ILO Participation Rates  (%),2019Q3,20 - 24 years,Female,Married,
ILO Participation Rates  (%),2019Q3,20 - 24 years,Female,Widowed,
ILO Participation Rates  (%),2019Q3,20 - 24 years,Female,Separated or divorced,
ILO Participation Rates  (%),2019Q3,20 - 24 years,Female,All marital status,69.2
ILO Participation Rates  (%),2019Q3,25 - 34 years,Both sexes,Single - never married,85.2
ILO Participation Rates  (%),2019Q3,25 - 34 years,Both sexes,Married,81.1
ILO Participation Rates  (%),2019Q3,25 - 34 years,Both sexes,Widowed,
ILO Participation Rates  (%),2019Q3,25 - 34 years,Both sexes,Separated or divorced,61.0
ILO Participation Rates  (%),2019Q3,25 - 34 years,Both sexes,All marital status,83.8
ILO Participation Rates  (%),2019Q3,25 - 34 years,Male,Single - never married,89.3
ILO Participation Rates  (%),2019Q3,25 - 34 years,Male,Married,96.1
ILO Participation Rates  (%),2019Q3,25 - 34 years,Male,Widowed,
ILO Participation Rates  (%),2019Q3,25 - 34 years,Male,Separated or divorced,
ILO Participation Rates  (%),2019Q3,25 - 34 years,Male,All marital status,90.9
ILO Participation Rates  (%),2019Q3,25 - 34 years,Female,Single - never married,80.8
ILO Participation Rates  (%),2019Q3,25 - 34 years,Female,Married,70.0
ILO Participation Rates  (%),2019Q3,25 - 34 years,Female,Widowed,
ILO Participation Rates  (%),2019Q3,25 - 34 years,Female,Separated or divorced,
ILO Participation Rates  (%),2019Q3,25 - 34 years,Female,All marital status,77.0
ILO Participation Rates  (%),2019Q3,35 - 44 years,Both sexes,Single - never married,81.3
ILO Participation Rates  (%),2019Q3,35 - 44 years,Both sexes,Married,85.7
ILO Participation Rates  (%),2019Q3,35 - 44 years,Both sexes,Widowed,
ILO Participation Rates  (%),2019Q3,35 - 44 years,Both sexes,Separated or divorced,84.1
ILO Participation Rates  (%),2019Q3,35 - 44 years,Both sexes,All marital status,84.2
ILO Participation Rates  (%),2019Q3,35 - 44 years,Male,Single - never married,85.9
ILO Participation Rates  (%),2019Q3,35 - 44 years,Male,Married,94.6
ILO Participation Rates  (%),2019Q3,35 - 44 years,Male,Widowed,
ILO Participation Rates  (%),2019Q3,35 - 44 years,Male,Separated or divorced,87.2
ILO Participation Rates  (%),2019Q3,35 - 44 years,Male,All marital status,91.6
ILO Participation Rates  (%),2019Q3,35 - 44 years,Female,Single - never married,76.5
ILO Participation Rates  (%),2019Q3,35 - 44 years,Female,Married,77.2
ILO Participation Rates  (%),2019Q3,35 - 44 years,Female,Widowed,
ILO Participation Rates  (%),2019Q3,35 - 44 years,Female,Separated or divorced,82.9
ILO Participation Rates  (%),2019Q3,35 - 44 years,Female,All marital status,77.2
ILO Participation Rates  (%),2019Q3,45 - 54 years,Both sexes,Single - never married,75.4
ILO Participation Rates  (%),2019Q3,45 - 54 years,Both sexes,Married,83.9
ILO Participation Rates  (%),2019Q3,45 - 54 years,Both sexes,Widowed,65.8
ILO Participation Rates  (%),2019Q3,45 - 54 years,Both sexes,Separated or divorced,71.5
ILO Participation Rates  (%),2019Q3,45 - 54 years,Both sexes,All marital status,81.0
ILO Participation Rates  (%),2019Q3,45 - 54 years,Male,Single - never married,75.5
ILO Participation Rates  (%),2019Q3,45 - 54 years,Male,Married,93.5
ILO Participation Rates  (%),2019Q3,45 - 54 years,Male,Widowed,
ILO Participation Rates  (%),2019Q3,45 - 54 years,Male,Separated or divorced,81.2
ILO Participation Rates  (%),2019Q3,45 - 54 years,Male,All marital status,89.0
ILO Participation Rates  (%),2019Q3,45 - 54 years,Female,Single - never married,75.2
ILO Participation Rates  (%),2019Q3,45 - 54 years,Female,Married,73.6
ILO Participation Rates  (%),2019Q3,45 - 54 years,Female,Widowed,66.4
ILO Participation Rates  (%),2019Q3,45 - 54 years,Female,Separated or divorced,66.9
ILO Participation Rates  (%),2019Q3,45 - 54 years,Female,All marital status,73.1
ILO Participation Rates  (%),2019Q3,55 - 59 years,Both sexes,Single - never married,67.4
ILO Participation Rates  (%),2019Q3,55 - 59 years,Both sexes,Married,73.5
ILO Participation Rates  (%),2019Q3,55 - 59 years,Both sexes,Widowed,55.8
ILO Participation Rates  (%),2019Q3,55 - 59 years,Both sexes,Separated or divorced,67.7
ILO Participation Rates  (%),2019Q3,55 - 59 years,Both sexes,All marital status,71.4
ILO Participation Rates  (%),2019Q3,55 - 59 years,Male,Single - never married,66.0
ILO Participation Rates  (%),2019Q3,55 - 59 years,Male,Married,85.3
ILO Participation Rates  (%),2019Q3,55 - 59 years,Male,Widowed,
ILO Participation Rates  (%),2019Q3,55 - 59 years,Male,Separated or divorced,72.8
ILO Participation Rates  (%),2019Q3,55 - 59 years,Male,All marital status,80.6
ILO Participation Rates  (%),2019Q3,55 - 59 years,Female,Single - never married,69.1
ILO Participation Rates  (%),2019Q3,55 - 59 years,Female,Married,61.5
ILO Participation Rates  (%),2019Q3,55 - 59 years,Female,Widowed,48.6
ILO Participation Rates  (%),2019Q3,55 - 59 years,Female,Separated or divorced,63.9
ILO Participation Rates  (%),2019Q3,55 - 59 years,Female,All marital status,62.4
ILO Participation Rates  (%),2019Q3,60 - 64 years,Both sexes,Single - never married,48.9
ILO Participation Rates  (%),2019Q3,60 - 64 years,Both sexes,Married,56.0
ILO Participation Rates  (%),2019Q3,60 - 64 years,Both sexes,Widowed,49.2
ILO Participation Rates  (%),2019Q3,60 - 64 years,Both sexes,Separated or divorced,53.3
ILO Participation Rates  (%),2019Q3,60 - 64 years,Both sexes,All marital status,54.4
ILO Participation Rates  (%),2019Q3,60 - 64 years,Male,Single - never married,48.1
ILO Participation Rates  (%),2019Q3,60 - 64 years,Male,Married,65.9
ILO Participation Rates  (%),2019Q3,60 - 64 years,Male,Widowed,
ILO Participation Rates  (%),2019Q3,60 - 64 years,Male,Separated or divorced,55.1
ILO Participation Rates  (%),2019Q3,60 - 64 years,Male,All marital status,61.6
ILO Participation Rates  (%),2019Q3,60 - 64 years,Female,Single - never married,50.1
ILO Participation Rates  (%),2019Q3,60 - 64 years,Female,Married,45.6
ILO Participation Rates  (%),2019Q3,60 - 64 years,Female,Widowed,52.0
ILO Participation Rates  (%),2019Q3,60 - 64 years,Female,Separated or divorced,52.4
ILO Participation Rates  (%),2019Q3,60 - 64 years,Female,All marital status,47.5
ILO Participation Rates  (%),2019Q3,65 years and over,Both sexes,Single - never married,14.0
ILO Participation Rates  (%),2019Q3,65 years and over,Both sexes,Married,14.2
ILO Participation Rates  (%),2019Q3,65 years and over,Both sexes,Widowed,6.4
ILO Participation Rates  (%),2019Q3,65 years and over,Both sexes,Separated or divorced,13.3
ILO Participation Rates  (%),2019Q3,65 years and over,Both sexes,All marital status,12.3
ILO Participation Rates  (%),2019Q3,65 years and over,Male,Single - never married,18.9
ILO Participation Rates  (%),2019Q3,65 years and over,Male,Married,18.6
ILO Participation Rates  (%),2019Q3,65 years and over,Male,Widowed,10.1
ILO Participation Rates  (%),2019Q3,65 years and over,Male,Separated or divorced,17.3
ILO Participation Rates  (%),2019Q3,65 years and over,Male,All marital status,17.5
ILO Participation Rates  (%),2019Q3,65 years and over,Female,Single - never married,7.9
ILO Participation Rates  (%),2019Q3,65 years and over,Female,Married,9.1
ILO Participation Rates  (%),2019Q3,65 years and over,Female,Widowed,5.1
ILO Participation Rates  (%),2019Q3,65 years and over,Female,Separated or divorced,9.7
ILO Participation Rates  (%),2019Q3,65 years and over,Female,All marital status,7.7
ILO Participation Rates  (%),2019Q4,15 - 19 years,Both sexes,Single - never married,24.0
ILO Participation Rates  (%),2019Q4,15 - 19 years,Both sexes,Married,
ILO Participation Rates  (%),2019Q4,15 - 19 years,Both sexes,Widowed,
ILO Participation Rates  (%),2019Q4,15 - 19 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),2019Q4,15 - 19 years,Both sexes,All marital status,24.0
ILO Participation Rates  (%),2019Q4,15 - 19 years,Male,Single - never married,23.3
ILO Participation Rates  (%),2019Q4,15 - 19 years,Male,Married,
ILO Participation Rates  (%),2019Q4,15 - 19 years,Male,Widowed,
ILO Participation Rates  (%),2019Q4,15 - 19 years,Male,Separated or divorced,
ILO Participation Rates  (%),2019Q4,15 - 19 years,Male,All marital status,23.2
ILO Participation Rates  (%),2019Q4,15 - 19 years,Female,Single - never married,24.8
ILO Participation Rates  (%),2019Q4,15 - 19 years,Female,Married,
ILO Participation Rates  (%),2019Q4,15 - 19 years,Female,Widowed,
ILO Participation Rates  (%),2019Q4,15 - 19 years,Female,Separated or divorced,
ILO Participation Rates  (%),2019Q4,15 - 19 years,Female,All marital status,24.8
ILO Participation Rates  (%),2019Q4,15 years and over,Both sexes,Single - never married,64.4
ILO Participation Rates  (%),2019Q4,15 years and over,Both sexes,Married,66.1
ILO Participation Rates  (%),2019Q4,15 years and over,Both sexes,Widowed,15.0
ILO Participation Rates  (%),2019Q4,15 years and over,Both sexes,Separated or divorced,60.4
ILO Participation Rates  (%),2019Q4,15 years and over,Both sexes,All marital status,62.5
ILO Participation Rates  (%),2019Q4,15 years and over,Male,Single - never married,66.6
ILO Participation Rates  (%),2019Q4,15 years and over,Male,Married,73.9
ILO Participation Rates  (%),2019Q4,15 years and over,Male,Widowed,19.6
ILO Participation Rates  (%),2019Q4,15 years and over,Male,Separated or divorced,61.2
ILO Participation Rates  (%),2019Q4,15 years and over,Male,All marital status,68.9
ILO Participation Rates  (%),2019Q4,15 years and over,Female,Single - never married,61.9
ILO Participation Rates  (%),2019Q4,15 years and over,Female,Married,58.2
ILO Participation Rates  (%),2019Q4,15 years and over,Female,Widowed,13.4
ILO Participation Rates  (%),2019Q4,15 years and over,Female,Separated or divorced,60.0
ILO Participation Rates  (%),2019Q4,15 years and over,Female,All marital status,56.4
ILO Participation Rates  (%),2019Q4,20 - 24 years,Both sexes,Single - never married,70.0
ILO Participation Rates  (%),2019Q4,20 - 24 years,Both sexes,Married,83.0
ILO Participation Rates  (%),2019Q4,20 - 24 years,Both sexes,Widowed,
ILO Participation Rates  (%),2019Q4,20 - 24 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),2019Q4,20 - 24 years,Both sexes,All marital status,70.3
ILO Participation Rates  (%),2019Q4,20 - 24 years,Male,Single - never married,71.7
ILO Participation Rates  (%),2019Q4,20 - 24 years,Male,Married,
ILO Participation Rates  (%),2019Q4,20 - 24 years,Male,Widowed,
ILO Participation Rates  (%),2019Q4,20 - 24 years,Male,Separated or divorced,
ILO Participation Rates  (%),2019Q4,20 - 24 years,Male,All marital status,72.2
ILO Participation Rates  (%),2019Q4,20 - 24 years,Female,Single - never married,68.2
ILO Participation Rates  (%),2019Q4,20 - 24 years,Female,Married,
ILO Participation Rates  (%),2019Q4,20 - 24 years,Female,Widowed,
ILO Participation Rates  (%),2019Q4,20 - 24 years,Female,Separated or divorced,
ILO Participation Rates  (%),2019Q4,20 - 24 years,Female,All marital status,68.4
ILO Participation Rates  (%),2019Q4,25 - 34 years,Both sexes,Single - never married,86.1
ILO Participation Rates  (%),2019Q4,25 - 34 years,Both sexes,Married,81.4
ILO Participation Rates  (%),2019Q4,25 - 34 years,Both sexes,Widowed,
ILO Participation Rates  (%),2019Q4,25 - 34 years,Both sexes,Separated or divorced,72.3
ILO Participation Rates  (%),2019Q4,25 - 34 years,Both sexes,All marital status,84.6
ILO Participation Rates  (%),2019Q4,25 - 34 years,Male,Single - never married,90.2
ILO Participation Rates  (%),2019Q4,25 - 34 years,Male,Married,92.3
ILO Participation Rates  (%),2019Q4,25 - 34 years,Male,Widowed,
ILO Participation Rates  (%),2019Q4,25 - 34 years,Male,Separated or divorced,
ILO Participation Rates  (%),2019Q4,25 - 34 years,Male,All marital status,90.6
ILO Participation Rates  (%),2019Q4,25 - 34 years,Female,Single - never married,81.6
ILO Participation Rates  (%),2019Q4,25 - 34 years,Female,Married,73.2
ILO Participation Rates  (%),2019Q4,25 - 34 years,Female,Widowed,
ILO Participation Rates  (%),2019Q4,25 - 34 years,Female,Separated or divorced,
ILO Participation Rates  (%),2019Q4,25 - 34 years,Female,All marital status,78.7
ILO Participation Rates  (%),2019Q4,35 - 44 years,Both sexes,Single - never married,81.5
ILO Participation Rates  (%),2019Q4,35 - 44 years,Both sexes,Married,85.9
ILO Participation Rates  (%),2019Q4,35 - 44 years,Both sexes,Widowed,
ILO Participation Rates  (%),2019Q4,35 - 44 years,Both sexes,Separated or divorced,86.7
ILO Participation Rates  (%),2019Q4,35 - 44 years,Both sexes,All marital status,84.5
ILO Participation Rates  (%),2019Q4,35 - 44 years,Male,Single - never married,85.5
ILO Participation Rates  (%),2019Q4,35 - 44 years,Male,Married,95.4
ILO Participation Rates  (%),2019Q4,35 - 44 years,Male,Widowed,
ILO Participation Rates  (%),2019Q4,35 - 44 years,Male,Separated or divorced,87.3
ILO Participation Rates  (%),2019Q4,35 - 44 years,Male,All marital status,92.0
ILO Participation Rates  (%),2019Q4,35 - 44 years,Female,Single - never married,77.2
ILO Participation Rates  (%),2019Q4,35 - 44 years,Female,Married,76.8
ILO Participation Rates  (%),2019Q4,35 - 44 years,Female,Widowed,
ILO Participation Rates  (%),2019Q4,35 - 44 years,Female,Separated or divorced,86.5
ILO Participation Rates  (%),2019Q4,35 - 44 years,Female,All marital status,77.4
ILO Participation Rates  (%),2019Q4,45 - 54 years,Both sexes,Single - never married,76.6
ILO Participation Rates  (%),2019Q4,45 - 54 years,Both sexes,Married,84.3
ILO Participation Rates  (%),2019Q4,45 - 54 years,Both sexes,Widowed,72.5
ILO Participation Rates  (%),2019Q4,45 - 54 years,Both sexes,Separated or divorced,78.0
ILO Participation Rates  (%),2019Q4,45 - 54 years,Both sexes,All marital status,82.1
ILO Participation Rates  (%),2019Q4,45 - 54 years,Male,Single - never married,80.6
ILO Participation Rates  (%),2019Q4,45 - 54 years,Male,Married,93.5
ILO Participation Rates  (%),2019Q4,45 - 54 years,Male,Widowed,
ILO Participation Rates  (%),2019Q4,45 - 54 years,Male,Separated or divorced,84.2
ILO Participation Rates  (%),2019Q4,45 - 54 years,Male,All marital status,90.1
ILO Participation Rates  (%),2019Q4,45 - 54 years,Female,Single - never married,72.2
ILO Participation Rates  (%),2019Q4,45 - 54 years,Female,Married,74.6
ILO Participation Rates  (%),2019Q4,45 - 54 years,Female,Widowed,73.9
ILO Participation Rates  (%),2019Q4,45 - 54 years,Female,Separated or divorced,74.8
ILO Participation Rates  (%),2019Q4,45 - 54 years,Female,All marital status,74.2
ILO Participation Rates  (%),2019Q4,55 - 59 years,Both sexes,Single - never married,68.1
ILO Participation Rates  (%),2019Q4,55 - 59 years,Both sexes,Married,75.1
ILO Participation Rates  (%),2019Q4,55 - 59 years,Both sexes,Widowed,51.9
ILO Participation Rates  (%),2019Q4,55 - 59 years,Both sexes,Separated or divorced,69.2
ILO Participation Rates  (%),2019Q4,55 - 59 years,Both sexes,All marital status,72.7
ILO Participation Rates  (%),2019Q4,55 - 59 years,Male,Single - never married,66.4
ILO Participation Rates  (%),2019Q4,55 - 59 years,Male,Married,85.8
ILO Participation Rates  (%),2019Q4,55 - 59 years,Male,Widowed,
ILO Participation Rates  (%),2019Q4,55 - 59 years,Male,Separated or divorced,80.9
ILO Participation Rates  (%),2019Q4,55 - 59 years,Male,All marital status,81.4
ILO Participation Rates  (%),2019Q4,55 - 59 years,Female,Single - never married,70.2
ILO Participation Rates  (%),2019Q4,55 - 59 years,Female,Married,64.2
ILO Participation Rates  (%),2019Q4,55 - 59 years,Female,Widowed,52.2
ILO Participation Rates  (%),2019Q4,55 - 59 years,Female,Separated or divorced,62.1
ILO Participation Rates  (%),2019Q4,55 - 59 years,Female,All marital status,64.3
ILO Participation Rates  (%),2019Q4,60 - 64 years,Both sexes,Single - never married,52.7
ILO Participation Rates  (%),2019Q4,60 - 64 years,Both sexes,Married,57.4
ILO Participation Rates  (%),2019Q4,60 - 64 years,Both sexes,Widowed,54.3
ILO Participation Rates  (%),2019Q4,60 - 64 years,Both sexes,Separated or divorced,55.9
ILO Participation Rates  (%),2019Q4,60 - 64 years,Both sexes,All marital status,56.4
ILO Participation Rates  (%),2019Q4,60 - 64 years,Male,Single - never married,50.0
ILO Participation Rates  (%),2019Q4,60 - 64 years,Male,Married,69.3
ILO Participation Rates  (%),2019Q4,60 - 64 years,Male,Widowed,66.3
ILO Participation Rates  (%),2019Q4,60 - 64 years,Male,Separated or divorced,58.5
ILO Participation Rates  (%),2019Q4,60 - 64 years,Male,All marital status,64.9
ILO Participation Rates  (%),2019Q4,60 - 64 years,Female,Single - never married,56.9
ILO Participation Rates  (%),2019Q4,60 - 64 years,Female,Married,45.5
ILO Participation Rates  (%),2019Q4,60 - 64 years,Female,Widowed,49.1
ILO Participation Rates  (%),2019Q4,60 - 64 years,Female,Separated or divorced,54.3
ILO Participation Rates  (%),2019Q4,60 - 64 years,Female,All marital status,48.1
ILO Participation Rates  (%),2019Q4,65 years and over,Both sexes,Single - never married,16.8
ILO Participation Rates  (%),2019Q4,65 years and over,Both sexes,Married,15.1
ILO Participation Rates  (%),2019Q4,65 years and over,Both sexes,Widowed,5.9
ILO Participation Rates  (%),2019Q4,65 years and over,Both sexes,Separated or divorced,15.1
ILO Participation Rates  (%),2019Q4,65 years and over,Both sexes,All marital status,13.2
ILO Participation Rates  (%),2019Q4,65 years and over,Male,Single - never married,21.2
ILO Participation Rates  (%),2019Q4,65 years and over,Male,Married,20.0
ILO Participation Rates  (%),2019Q4,65 years and over,Male,Widowed,10.3
ILO Participation Rates  (%),2019Q4,65 years and over,Male,Separated or divorced,16.2
ILO Participation Rates  (%),2019Q4,65 years and over,Male,All marital status,18.7
ILO Participation Rates  (%),2019Q4,65 years and over,Female,Single - never married,11.1
ILO Participation Rates  (%),2019Q4,65 years and over,Female,Married,9.6
ILO Participation Rates  (%),2019Q4,65 years and over,Female,Widowed,4.4
ILO Participation Rates  (%),2019Q4,65 years and over,Female,Separated or divorced,14.1
ILO Participation Rates  (%),2019Q4,65 years and over,Female,All marital status,8.3
