Statistic,Quarter,Sex,ILO Economic Status,value
Persons aged 15 years and over,2017Q2,Male,All ILO economic status,1864.4
Persons aged 15 years and over,2017Q2,Male,In labour force,1274.6
Persons aged 15 years and over,2017Q2,Male,In employment,1180.0
Persons aged 15 years and over,2017Q2,Male,In employment full-time,1040.7
Persons aged 15 years and over,2017Q2,Male,In employment part-time,139.3
Persons aged 15 years and over,2017Q2,Male,In employment part-time - not underemployed,98.7
Persons aged 15 years and over,2017Q2,Male,In employment part-time - underemployed,40.6
Persons aged 15 years and over,2017Q2,Male,Unemployed,94.7
Persons aged 15 years and over,2017Q2,Male,Unemployed seeking full-time work/future job-starter,84.3
Persons aged 15 years and over,2017Q2,Male,Unemployed seeking part-time work,7.8
Persons aged 15 years and over,2017Q2,Male,Not in labour force,589.8
Persons aged 15 years and over,2017Q2,Male,Potential additional labour force,19.2
Persons aged 15 years and over,2017Q2,Male,Others not in labour force,570.5
Persons aged 15 years and over,2017Q2,Male,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2017Q2,Female,All ILO economic status,1936.1
Persons aged 15 years and over,2017Q2,Female,In labour force,1073.6
Persons aged 15 years and over,2017Q2,Female,In employment,1007.5
Persons aged 15 years and over,2017Q2,Female,In employment full-time,691.4
Persons aged 15 years and over,2017Q2,Female,In employment part-time,316.1
Persons aged 15 years and over,2017Q2,Female,In employment part-time - not underemployed,261.4
Persons aged 15 years and over,2017Q2,Female,In employment part-time - underemployed,54.7
Persons aged 15 years and over,2017Q2,Female,Unemployed,66.1
Persons aged 15 years and over,2017Q2,Female,Unemployed seeking full-time work/future job-starter,47.3
Persons aged 15 years and over,2017Q2,Female,Unemployed seeking part-time work,18.7
Persons aged 15 years and over,2017Q2,Female,Not in labour force,862.5
Persons aged 15 years and over,2017Q2,Female,Potential additional labour force,14.4
Persons aged 15 years and over,2017Q2,Female,Others not in labour force,848.1
Persons aged 15 years and over,2017Q2,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2017Q3,Both sexes,All ILO economic status,3814.9
Persons aged 15 years and over,2017Q3,Both sexes,In labour force,2376.7
Persons aged 15 years and over,2017Q3,Both sexes,In employment,2212.3
Persons aged 15 years and over,2017Q3,Both sexes,In employment full-time,1773.5
Persons aged 15 years and over,2017Q3,Both sexes,In employment part-time,438.8
Persons aged 15 years and over,2017Q3,Both sexes,In employment part-time - not underemployed,322.5
Persons aged 15 years and over,2017Q3,Both sexes,In employment part-time - underemployed,116.3
Persons aged 15 years and over,2017Q3,Both sexes,Unemployed,164.4
Persons aged 15 years and over,2017Q3,Both sexes,Unemployed seeking full-time work/future job-starter,123.6
Persons aged 15 years and over,2017Q3,Both sexes,Unemployed seeking part-time work,33.2
Persons aged 15 years and over,2017Q3,Both sexes,Not in labour force,1438.2
Persons aged 15 years and over,2017Q3,Both sexes,Potential additional labour force,117.2
Persons aged 15 years and over,2017Q3,Both sexes,Others not in labour force,1321.0
Persons aged 15 years and over,2017Q3,Both sexes,Unemployed seeking work as self-employed,7.7
Persons aged 15 years and over,2017Q3,Male,All ILO economic status,1871.9
Persons aged 15 years and over,2017Q3,Male,In labour force,1293.5
Persons aged 15 years and over,2017Q3,Male,In employment,1201.2
Persons aged 15 years and over,2017Q3,Male,In employment full-time,1069.3
Persons aged 15 years and over,2017Q3,Male,In employment part-time,131.9
Persons aged 15 years and over,2017Q3,Male,In employment part-time - not underemployed,83.6
Persons aged 15 years and over,2017Q3,Male,In employment part-time - underemployed,48.3
Persons aged 15 years and over,2017Q3,Male,Unemployed,92.3
Persons aged 15 years and over,2017Q3,Male,Unemployed seeking full-time work/future job-starter,76.5
Persons aged 15 years and over,2017Q3,Male,Unemployed seeking part-time work,9.7
Persons aged 15 years and over,2017Q3,Male,Not in labour force,578.4
Persons aged 15 years and over,2017Q3,Male,Potential additional labour force,51.0
Persons aged 15 years and over,2017Q3,Male,Others not in labour force,527.4
Persons aged 15 years and over,2017Q3,Male,Unemployed seeking work as self-employed,6.1
Persons aged 15 years and over,2017Q3,Female,All ILO economic status,1943.0
Persons aged 15 years and over,2017Q3,Female,In labour force,1083.3
Persons aged 15 years and over,2017Q3,Female,In employment,1011.1
Persons aged 15 years and over,2017Q3,Female,In employment full-time,704.2
Persons aged 15 years and over,2017Q3,Female,In employment part-time,306.9
Persons aged 15 years and over,2017Q3,Female,In employment part-time - not underemployed,238.9
Persons aged 15 years and over,2017Q3,Female,In employment part-time - underemployed,68.0
Persons aged 15 years and over,2017Q3,Female,Unemployed,72.1
Persons aged 15 years and over,2017Q3,Female,Unemployed seeking full-time work/future job-starter,47.1
Persons aged 15 years and over,2017Q3,Female,Unemployed seeking part-time work,23.5
Persons aged 15 years and over,2017Q3,Female,Not in labour force,859.8
Persons aged 15 years and over,2017Q3,Female,Potential additional labour force,66.2
Persons aged 15 years and over,2017Q3,Female,Others not in labour force,793.6
Persons aged 15 years and over,2017Q3,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2017Q4,Both sexes,All ILO economic status,3836.1
Persons aged 15 years and over,2017Q4,Both sexes,In labour force,2379.7
Persons aged 15 years and over,2017Q4,Both sexes,In employment,2234.7
Persons aged 15 years and over,2017Q4,Both sexes,In employment full-time,1773.9
Persons aged 15 years and over,2017Q4,Both sexes,In employment part-time,460.8
Persons aged 15 years and over,2017Q4,Both sexes,In employment part-time - not underemployed,345.4
Persons aged 15 years and over,2017Q4,Both sexes,In employment part-time - underemployed,115.4
Persons aged 15 years and over,2017Q4,Both sexes,Unemployed,145.0
Persons aged 15 years and over,2017Q4,Both sexes,Unemployed seeking full-time work/future job-starter,104.1
Persons aged 15 years and over,2017Q4,Both sexes,Unemployed seeking part-time work,34.2
Persons aged 15 years and over,2017Q4,Both sexes,Not in labour force,1456.4
Persons aged 15 years and over,2017Q4,Both sexes,Potential additional labour force,112.5
Persons aged 15 years and over,2017Q4,Both sexes,Others not in labour force,1343.8
Persons aged 15 years and over,2017Q4,Both sexes,Unemployed seeking work as self-employed,6.7
Persons aged 15 years and over,2017Q4,Male,All ILO economic status,1883.8
Persons aged 15 years and over,2017Q4,Male,In labour force,1294.0
Persons aged 15 years and over,2017Q4,Male,In employment,1210.0
Persons aged 15 years and over,2017Q4,Male,In employment full-time,1070.5
Persons aged 15 years and over,2017Q4,Male,In employment part-time,139.5
Persons aged 15 years and over,2017Q4,Male,In employment part-time - not underemployed,93.1
Persons aged 15 years and over,2017Q4,Male,In employment part-time - underemployed,46.4
Persons aged 15 years and over,2017Q4,Male,Unemployed,84.0
Persons aged 15 years and over,2017Q4,Male,Unemployed seeking full-time work/future job-starter,67.1
Persons aged 15 years and over,2017Q4,Male,Unemployed seeking part-time work,11.8
Persons aged 15 years and over,2017Q4,Male,Not in labour force,589.8
Persons aged 15 years and over,2017Q4,Male,Potential additional labour force,52.8
Persons aged 15 years and over,2017Q4,Male,Others not in labour force,537.0
Persons aged 15 years and over,2017Q4,Male,Unemployed seeking work as self-employed,5.1
Persons aged 15 years and over,2017Q4,Female,All ILO economic status,1952.3
Persons aged 15 years and over,2017Q4,Female,In labour force,1085.7
Persons aged 15 years and over,2017Q4,Female,In employment,1024.7
Persons aged 15 years and over,2017Q4,Female,In employment full-time,703.4
Persons aged 15 years and over,2017Q4,Female,In employment part-time,321.3
Persons aged 15 years and over,2017Q4,Female,In employment part-time - not underemployed,252.4
Persons aged 15 years and over,2017Q4,Female,In employment part-time - underemployed,69.0
Persons aged 15 years and over,2017Q4,Female,Unemployed,61.0
Persons aged 15 years and over,2017Q4,Female,Unemployed seeking full-time work/future job-starter,37.0
Persons aged 15 years and over,2017Q4,Female,Unemployed seeking part-time work,22.5
Persons aged 15 years and over,2017Q4,Female,Not in labour force,866.6
Persons aged 15 years and over,2017Q4,Female,Potential additional labour force,59.8
Persons aged 15 years and over,2017Q4,Female,Others not in labour force,806.8
Persons aged 15 years and over,2017Q4,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2018Q1,Both sexes,All ILO economic status,3843.4
Persons aged 15 years and over,2018Q1,Both sexes,In labour force,2359.4
Persons aged 15 years and over,2018Q1,Both sexes,In employment,2225.3
Persons aged 15 years and over,2018Q1,Both sexes,In employment full-time,1770.2
Persons aged 15 years and over,2018Q1,Both sexes,In employment part-time,455.1
Persons aged 15 years and over,2018Q1,Both sexes,In employment part-time - not underemployed,341.4
Persons aged 15 years and over,2018Q1,Both sexes,In employment part-time - underemployed,113.8
Persons aged 15 years and over,2018Q1,Both sexes,Unemployed,134.1
Persons aged 15 years and over,2018Q1,Both sexes,Unemployed seeking full-time work/future job-starter,96.0
Persons aged 15 years and over,2018Q1,Both sexes,Unemployed seeking part-time work,30.8
Persons aged 15 years and over,2018Q1,Both sexes,Not in labour force,1484.0
Persons aged 15 years and over,2018Q1,Both sexes,Potential additional labour force,120.1
Persons aged 15 years and over,2018Q1,Both sexes,Others not in labour force,1363.9
Persons aged 15 years and over,2018Q1,Both sexes,Unemployed seeking work as self-employed,7.3
Persons aged 15 years and over,2018Q1,Male,All ILO economic status,1886.4
Persons aged 15 years and over,2018Q1,Male,In labour force,1285.1
Persons aged 15 years and over,2018Q1,Male,In employment,1210.7
Persons aged 15 years and over,2018Q1,Male,In employment full-time,1071.6
Persons aged 15 years and over,2018Q1,Male,In employment part-time,139.0
Persons aged 15 years and over,2018Q1,Male,In employment part-time - not underemployed,93.2
Persons aged 15 years and over,2018Q1,Male,In employment part-time - underemployed,45.9
Persons aged 15 years and over,2018Q1,Male,Unemployed,74.4
Persons aged 15 years and over,2018Q1,Male,Unemployed seeking full-time work/future job-starter,60.1
Persons aged 15 years and over,2018Q1,Male,Unemployed seeking part-time work,9.0
Persons aged 15 years and over,2018Q1,Male,Not in labour force,601.3
Persons aged 15 years and over,2018Q1,Male,Potential additional labour force,55.7
Persons aged 15 years and over,2018Q1,Male,Others not in labour force,545.6
Persons aged 15 years and over,2018Q1,Male,Unemployed seeking work as self-employed,5.3
Persons aged 15 years and over,2018Q1,Female,All ILO economic status,1957.0
Persons aged 15 years and over,2018Q1,Female,In labour force,1074.4
Persons aged 15 years and over,2018Q1,Female,In employment,1014.7
Persons aged 15 years and over,2018Q1,Female,In employment full-time,698.5
Persons aged 15 years and over,2018Q1,Female,In employment part-time,316.1
Persons aged 15 years and over,2018Q1,Female,In employment part-time - not underemployed,248.2
Persons aged 15 years and over,2018Q1,Female,In employment part-time - underemployed,67.9
Persons aged 15 years and over,2018Q1,Female,Unemployed,59.7
Persons aged 15 years and over,2018Q1,Female,Unemployed seeking full-time work/future job-starter,35.9
Persons aged 15 years and over,2018Q1,Female,Unemployed seeking part-time work,21.8
Persons aged 15 years and over,2018Q1,Female,Not in labour force,882.7
Persons aged 15 years and over,2018Q1,Female,Potential additional labour force,64.4
Persons aged 15 years and over,2018Q1,Female,Others not in labour force,818.3
Persons aged 15 years and over,2018Q1,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2018Q2,Both sexes,All ILO economic status,3870.5
Persons aged 15 years and over,2018Q2,Both sexes,In labour force,2407.5
Persons aged 15 years and over,2018Q2,Both sexes,In employment,2261.7
Persons aged 15 years and over,2018Q2,Both sexes,In employment full-time,1804.3
Persons aged 15 years and over,2018Q2,Both sexes,In employment part-time,457.4
Persons aged 15 years and over,2018Q2,Both sexes,In employment part-time - not underemployed,328.2
Persons aged 15 years and over,2018Q2,Both sexes,In employment part-time - underemployed,129.2
Persons aged 15 years and over,2018Q2,Both sexes,Unemployed,145.9
Persons aged 15 years and over,2018Q2,Both sexes,Unemployed seeking full-time work/future job-starter,105.7
Persons aged 15 years and over,2018Q2,Both sexes,Unemployed seeking part-time work,33.4
Persons aged 15 years and over,2018Q2,Both sexes,Not in labour force,1462.9
Persons aged 15 years and over,2018Q2,Both sexes,Potential additional labour force,134.9
Persons aged 15 years and over,2018Q2,Both sexes,Others not in labour force,1328.1
Persons aged 15 years and over,2018Q2,Both sexes,Unemployed seeking work as self-employed,6.8
Persons aged 15 years and over,2018Q2,Male,All ILO economic status,1900.2
Persons aged 15 years and over,2018Q2,Male,In labour force,1301.8
Persons aged 15 years and over,2018Q2,Male,In employment,1220.8
Persons aged 15 years and over,2018Q2,Male,In employment full-time,1075.3
Persons aged 15 years and over,2018Q2,Male,In employment part-time,145.4
Persons aged 15 years and over,2018Q2,Male,In employment part-time - not underemployed,89.7
Persons aged 15 years and over,2018Q2,Male,In employment part-time - underemployed,55.7
Persons aged 15 years and over,2018Q2,Male,Unemployed,81.1
Persons aged 15 years and over,2018Q2,Male,Unemployed seeking full-time work/future job-starter,66.6
Persons aged 15 years and over,2018Q2,Male,Unemployed seeking part-time work,10.5
Persons aged 15 years and over,2018Q2,Male,Not in labour force,598.3
Persons aged 15 years and over,2018Q2,Male,Potential additional labour force,62.7
Persons aged 15 years and over,2018Q2,Male,Others not in labour force,535.6
Persons aged 15 years and over,2018Q2,Male,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2018Q2,Female,All ILO economic status,1970.3
Persons aged 15 years and over,2018Q2,Female,In labour force,1105.7
Persons aged 15 years and over,2018Q2,Female,In employment,1040.9
Persons aged 15 years and over,2018Q2,Female,In employment full-time,728.9
Persons aged 15 years and over,2018Q2,Female,In employment part-time,312.0
Persons aged 15 years and over,2018Q2,Female,In employment part-time - not underemployed,238.5
Persons aged 15 years and over,2018Q2,Female,In employment part-time - underemployed,73.5
Persons aged 15 years and over,2018Q2,Female,Unemployed,64.8
Persons aged 15 years and over,2018Q2,Female,Unemployed seeking full-time work/future job-starter,39.2
Persons aged 15 years and over,2018Q2,Female,Unemployed seeking part-time work,22.9
Persons aged 15 years and over,2018Q2,Female,Not in labour force,864.6
Persons aged 15 years and over,2018Q2,Female,Potential additional labour force,72.2
Persons aged 15 years and over,2018Q2,Female,Others not in labour force,792.4
Persons aged 15 years and over,2018Q2,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2018Q3,Both sexes,All ILO economic status,3885.7
Persons aged 15 years and over,2018Q3,Both sexes,In labour force,2427.5
Persons aged 15 years and over,2018Q3,Both sexes,In employment,2282.7
Persons aged 15 years and over,2018Q3,Both sexes,In employment full-time,1820.3
Persons aged 15 years and over,2018Q3,Both sexes,In employment part-time,462.4
Persons aged 15 years and over,2018Q3,Both sexes,In employment part-time - not underemployed,350.2
Persons aged 15 years and over,2018Q3,Both sexes,In employment part-time - underemployed,112.2
Persons aged 15 years and over,2018Q3,Both sexes,Unemployed,144.8
Persons aged 15 years and over,2018Q3,Both sexes,Unemployed seeking full-time work/future job-starter,100.7
Persons aged 15 years and over,2018Q3,Both sexes,Unemployed seeking part-time work,37.6
Persons aged 15 years and over,2018Q3,Both sexes,Not in labour force,1458.2
Persons aged 15 years and over,2018Q3,Both sexes,Potential additional labour force,120.1
Persons aged 15 years and over,2018Q3,Both sexes,Others not in labour force,1338.1
Persons aged 15 years and over,2018Q3,Both sexes,Unemployed seeking work as self-employed,6.4
Persons aged 15 years and over,2018Q3,Male,All ILO economic status,1906.7
Persons aged 15 years and over,2018Q3,Male,In labour force,1314.2
Persons aged 15 years and over,2018Q3,Male,In employment,1237.2
Persons aged 15 years and over,2018Q3,Male,In employment full-time,1094.7
Persons aged 15 years and over,2018Q3,Male,In employment part-time,142.5
Persons aged 15 years and over,2018Q3,Male,In employment part-time - not underemployed,93.8
Persons aged 15 years and over,2018Q3,Male,In employment part-time - underemployed,48.7
Persons aged 15 years and over,2018Q3,Male,Unemployed,76.9
Persons aged 15 years and over,2018Q3,Male,Unemployed seeking full-time work/future job-starter,61.0
Persons aged 15 years and over,2018Q3,Male,Unemployed seeking part-time work,11.1
Persons aged 15 years and over,2018Q3,Male,Not in labour force,592.6
Persons aged 15 years and over,2018Q3,Male,Potential additional labour force,56.3
Persons aged 15 years and over,2018Q3,Male,Others not in labour force,536.3
Persons aged 15 years and over,2018Q3,Male,Unemployed seeking work as self-employed,4.8
Persons aged 15 years and over,2018Q3,Female,All ILO economic status,1978.9
Persons aged 15 years and over,2018Q3,Female,In labour force,1113.3
Persons aged 15 years and over,2018Q3,Female,In employment,1045.5
Persons aged 15 years and over,2018Q3,Female,In employment full-time,725.6
Persons aged 15 years and over,2018Q3,Female,In employment part-time,319.9
Persons aged 15 years and over,2018Q3,Female,In employment part-time - not underemployed,256.4
Persons aged 15 years and over,2018Q3,Female,In employment part-time - underemployed,63.5
Persons aged 15 years and over,2018Q3,Female,Unemployed,67.8
Persons aged 15 years and over,2018Q3,Female,Unemployed seeking full-time work/future job-starter,39.7
Persons aged 15 years and over,2018Q3,Female,Unemployed seeking part-time work,26.5
Persons aged 15 years and over,2018Q3,Female,Not in labour force,865.6
Persons aged 15 years and over,2018Q3,Female,Potential additional labour force,63.8
Persons aged 15 years and over,2018Q3,Female,Others not in labour force,801.8
Persons aged 15 years and over,2018Q3,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2018Q4,Both sexes,All ILO economic status,3904.9
Persons aged 15 years and over,2018Q4,Both sexes,In labour force,2420.9
Persons aged 15 years and over,2018Q4,Both sexes,In employment,2290.4
Persons aged 15 years and over,2018Q4,Both sexes,In employment full-time,1823.7
Persons aged 15 years and over,2018Q4,Both sexes,In employment part-time,466.7
Persons aged 15 years and over,2018Q4,Both sexes,In employment part-time - not underemployed,356.2
Persons aged 15 years and over,2018Q4,Both sexes,In employment part-time - underemployed,110.5
Persons aged 15 years and over,2018Q4,Both sexes,Unemployed,130.5
Persons aged 15 years and over,2018Q4,Both sexes,Unemployed seeking full-time work/future job-starter,91.0
Persons aged 15 years and over,2018Q4,Both sexes,Unemployed seeking part-time work,34.4
Persons aged 15 years and over,2018Q4,Both sexes,Not in labour force,1483.9
Persons aged 15 years and over,2018Q4,Both sexes,Potential additional labour force,109.8
Persons aged 15 years and over,2018Q4,Both sexes,Others not in labour force,1374.2
Persons aged 15 years and over,2018Q4,Both sexes,Unemployed seeking work as self-employed,5.0
Persons aged 15 years and over,2018Q4,Male,All ILO economic status,1917.1
Persons aged 15 years and over,2018Q4,Male,In labour force,1306.7
Persons aged 15 years and over,2018Q4,Male,In employment,1235.8
Persons aged 15 years and over,2018Q4,Male,In employment full-time,1095.8
Persons aged 15 years and over,2018Q4,Male,In employment part-time,140.0
Persons aged 15 years and over,2018Q4,Male,In employment part-time - not underemployed,93.3
Persons aged 15 years and over,2018Q4,Male,In employment part-time - underemployed,46.6
Persons aged 15 years and over,2018Q4,Male,Unemployed,71.0
Persons aged 15 years and over,2018Q4,Male,Unemployed seeking full-time work/future job-starter,56.9
Persons aged 15 years and over,2018Q4,Male,Unemployed seeking part-time work,11.2
Persons aged 15 years and over,2018Q4,Male,Not in labour force,610.4
Persons aged 15 years and over,2018Q4,Male,Potential additional labour force,51.6
Persons aged 15 years and over,2018Q4,Male,Others not in labour force,558.7
Persons aged 15 years and over,2018Q4,Male,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2018Q4,Female,All ILO economic status,1987.8
Persons aged 15 years and over,2018Q4,Female,In labour force,1114.2
Persons aged 15 years and over,2018Q4,Female,In employment,1054.7
Persons aged 15 years and over,2018Q4,Female,In employment full-time,727.9
Persons aged 15 years and over,2018Q4,Female,In employment part-time,326.7
Persons aged 15 years and over,2018Q4,Female,In employment part-time - not underemployed,262.8
Persons aged 15 years and over,2018Q4,Female,In employment part-time - underemployed,63.9
Persons aged 15 years and over,2018Q4,Female,Unemployed,59.5
Persons aged 15 years and over,2018Q4,Female,Unemployed seeking full-time work/future job-starter,34.1
Persons aged 15 years and over,2018Q4,Female,Unemployed seeking part-time work,23.3
Persons aged 15 years and over,2018Q4,Female,Not in labour force,873.6
Persons aged 15 years and over,2018Q4,Female,Potential additional labour force,58.1
Persons aged 15 years and over,2018Q4,Female,Others not in labour force,815.4
Persons aged 15 years and over,2018Q4,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2019Q1,Both sexes,All ILO economic status,3924.6
Persons aged 15 years and over,2019Q1,Both sexes,In labour force,2428.2
Persons aged 15 years and over,2019Q1,Both sexes,In employment,2312.8
Persons aged 15 years and over,2019Q1,Both sexes,In employment full-time,1837.1
Persons aged 15 years and over,2019Q1,Both sexes,In employment part-time,475.7
Persons aged 15 years and over,2019Q1,Both sexes,In employment part-time - not underemployed,368.5
Persons aged 15 years and over,2019Q1,Both sexes,In employment part-time - underemployed,107.2
Persons aged 15 years and over,2019Q1,Both sexes,Unemployed,115.4
Persons aged 15 years and over,2019Q1,Both sexes,Unemployed seeking full-time work/future job-starter,87.7
Persons aged 15 years and over,2019Q1,Both sexes,Unemployed seeking part-time work,25.0
Persons aged 15 years and over,2019Q1,Both sexes,Not in labour force,1496.4
Persons aged 15 years and over,2019Q1,Both sexes,Potential additional labour force,109.9
Persons aged 15 years and over,2019Q1,Both sexes,Others not in labour force,1386.4
Persons aged 15 years and over,2019Q1,Both sexes,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2019Q1,Male,All ILO economic status,1926.5
Persons aged 15 years and over,2019Q1,Male,In labour force,1310.0
Persons aged 15 years and over,2019Q1,Male,In employment,1243.8
Persons aged 15 years and over,2019Q1,Male,In employment full-time,1109.5
Persons aged 15 years and over,2019Q1,Male,In employment part-time,134.3
Persons aged 15 years and over,2019Q1,Male,In employment part-time - not underemployed,94.8
Persons aged 15 years and over,2019Q1,Male,In employment part-time - underemployed,39.5
Persons aged 15 years and over,2019Q1,Male,Unemployed,66.3
Persons aged 15 years and over,2019Q1,Male,Unemployed seeking full-time work/future job-starter,56.9
Persons aged 15 years and over,2019Q1,Male,Unemployed seeking part-time work,8.3
Persons aged 15 years and over,2019Q1,Male,Not in labour force,616.4
Persons aged 15 years and over,2019Q1,Male,Potential additional labour force,50.9
Persons aged 15 years and over,2019Q1,Male,Others not in labour force,565.5
Persons aged 15 years and over,2019Q1,Male,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2019Q1,Female,All ILO economic status,1998.1
Persons aged 15 years and over,2019Q1,Female,In labour force,1118.2
Persons aged 15 years and over,2019Q1,Female,In employment,1069.0
Persons aged 15 years and over,2019Q1,Female,In employment full-time,727.6
Persons aged 15 years and over,2019Q1,Female,In employment part-time,341.4
Persons aged 15 years and over,2019Q1,Female,In employment part-time - not underemployed,273.7
Persons aged 15 years and over,2019Q1,Female,In employment part-time - underemployed,67.7
Persons aged 15 years and over,2019Q1,Female,Unemployed,49.1
Persons aged 15 years and over,2019Q1,Female,Unemployed seeking full-time work/future job-starter,30.7
Persons aged 15 years and over,2019Q1,Female,Unemployed seeking part-time work,16.7
Persons aged 15 years and over,2019Q1,Female,Not in labour force,879.9
Persons aged 15 years and over,2019Q1,Female,Potential additional labour force,59.0
Persons aged 15 years and over,2019Q1,Female,Others not in labour force,820.9
Persons aged 15 years and over,2019Q1,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2019Q2,Both sexes,All ILO economic status,3942.9
Persons aged 15 years and over,2019Q2,Both sexes,In labour force,2443.7
Persons aged 15 years and over,2019Q2,Both sexes,In employment,2311.5
Persons aged 15 years and over,2019Q2,Both sexes,In employment full-time,1846.1
Persons aged 15 years and over,2019Q2,Both sexes,In employment part-time,465.4
Persons aged 15 years and over,2019Q2,Both sexes,In employment part-time - not underemployed,351.6
Persons aged 15 years and over,2019Q2,Both sexes,In employment part-time - underemployed,113.8
Persons aged 15 years and over,2019Q2,Both sexes,Unemployed,132.2
Persons aged 15 years and over,2019Q2,Both sexes,Unemployed seeking full-time work/future job-starter,95.5
Persons aged 15 years and over,2019Q2,Both sexes,Unemployed seeking part-time work,33.4
Persons aged 15 years and over,2019Q2,Both sexes,Not in labour force,1499.2
Persons aged 15 years and over,2019Q2,Both sexes,Potential additional labour force,129.1
Persons aged 15 years and over,2019Q2,Both sexes,Others not in labour force,1370.1
Persons aged 15 years and over,2019Q2,Both sexes,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2019Q2,Male,All ILO economic status,1935.5
Persons aged 15 years and over,2019Q2,Male,In labour force,1323.2
Persons aged 15 years and over,2019Q2,Male,In employment,1249.6
Persons aged 15 years and over,2019Q2,Male,In employment full-time,1117.7
Persons aged 15 years and over,2019Q2,Male,In employment part-time,131.9
Persons aged 15 years and over,2019Q2,Male,In employment part-time - not underemployed,87.4
Persons aged 15 years and over,2019Q2,Male,In employment part-time - underemployed,44.5
Persons aged 15 years and over,2019Q2,Male,Unemployed,73.6
Persons aged 15 years and over,2019Q2,Male,Unemployed seeking full-time work/future job-starter,61.5
Persons aged 15 years and over,2019Q2,Male,Unemployed seeking part-time work,10.3
Persons aged 15 years and over,2019Q2,Male,Not in labour force,612.3
Persons aged 15 years and over,2019Q2,Male,Potential additional labour force,58.5
Persons aged 15 years and over,2019Q2,Male,Others not in labour force,553.8
Persons aged 15 years and over,2019Q2,Male,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2019Q2,Female,All ILO economic status,2007.5
Persons aged 15 years and over,2019Q2,Female,In labour force,1120.5
Persons aged 15 years and over,2019Q2,Female,In employment,1061.9
Persons aged 15 years and over,2019Q2,Female,In employment full-time,728.4
Persons aged 15 years and over,2019Q2,Female,In employment part-time,333.5
Persons aged 15 years and over,2019Q2,Female,In employment part-time - not underemployed,264.2
Persons aged 15 years and over,2019Q2,Female,In employment part-time - underemployed,69.3
Persons aged 15 years and over,2019Q2,Female,Unemployed,58.6
Persons aged 15 years and over,2019Q2,Female,Unemployed seeking full-time work/future job-starter,34.0
Persons aged 15 years and over,2019Q2,Female,Unemployed seeking part-time work,23.2
Persons aged 15 years and over,2019Q2,Female,Not in labour force,887.0
Persons aged 15 years and over,2019Q2,Female,Potential additional labour force,70.6
Persons aged 15 years and over,2019Q2,Female,Others not in labour force,816.3
Persons aged 15 years and over,2019Q2,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2019Q3,Both sexes,All ILO economic status,3960.1
Persons aged 15 years and over,2019Q3,Both sexes,In labour force,2471.2
Persons aged 15 years and over,2019Q3,Both sexes,In employment,2341.6
Persons aged 15 years and over,2019Q3,Both sexes,In employment full-time,1864.7
Persons aged 15 years and over,2019Q3,Both sexes,In employment part-time,476.8
Persons aged 15 years and over,2019Q3,Both sexes,In employment part-time - not underemployed,364.1
Persons aged 15 years and over,2019Q3,Both sexes,In employment part-time - underemployed,112.8
Persons aged 15 years and over,2019Q3,Both sexes,Unemployed,129.6
Persons aged 15 years and over,2019Q3,Both sexes,Unemployed seeking full-time work/future job-starter,93.8
Persons aged 15 years and over,2019Q3,Both sexes,Unemployed seeking part-time work,33.5
Persons aged 15 years and over,2019Q3,Both sexes,Not in labour force,1489.0
Persons aged 15 years and over,2019Q3,Both sexes,Potential additional labour force,111.3
Persons aged 15 years and over,2019Q3,Both sexes,Others not in labour force,1377.7
Persons aged 15 years and over,2019Q3,Both sexes,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2019Q3,Male,All ILO economic status,1943.8
Persons aged 15 years and over,2019Q3,Male,In labour force,1342.5
Persons aged 15 years and over,2019Q3,Male,In employment,1269.4
Persons aged 15 years and over,2019Q3,Male,In employment full-time,1127.5
Persons aged 15 years and over,2019Q3,Male,In employment part-time,141.9
Persons aged 15 years and over,2019Q3,Male,In employment part-time - not underemployed,97.1
Persons aged 15 years and over,2019Q3,Male,In employment part-time - underemployed,44.8
Persons aged 15 years and over,2019Q3,Male,Unemployed,73.1
Persons aged 15 years and over,2019Q3,Male,Unemployed seeking full-time work/future job-starter,61.2
Persons aged 15 years and over,2019Q3,Male,Unemployed seeking part-time work,11.1
Persons aged 15 years and over,2019Q3,Male,Not in labour force,601.2
Persons aged 15 years and over,2019Q3,Male,Potential additional labour force,51.5
Persons aged 15 years and over,2019Q3,Male,Others not in labour force,549.7
Persons aged 15 years and over,2019Q3,Male,Unemployed seeking work as self-employed,
