Statistic,Quarter,Detailed Occupational Group,value
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,All occupational groups,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,"1 Managers, directors and senior officials",43.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,32.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,42.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services",30.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,29.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives",38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,30.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials",42.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,36.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,32.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,41.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services",30.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,29.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives",38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,30.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,X1 Other/Not stated,37.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,All occupational groups,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,"1 Managers, directors and senior officials",43.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,2 Professional,36.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,3 Associate professional and technical,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,4 Administrative and secreterial,32.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,5 Skilled trades,41.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,"6 Caring, leisure and other services",29.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,7 Sales and customer service,29.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,"8 Process, plant and machine operatives",38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,9 Elementary,30.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,X1 Other/Not stated,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,All occupational groups,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,"1 Managers, directors and senior officials",42.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,2 Professional,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,3 Associate professional and technical,37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,4 Administrative and secreterial,32.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,5 Skilled trades,42.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,"6 Caring, leisure and other services",29.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,7 Sales and customer service,29.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,"8 Process, plant and machine operatives",38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,9 Elementary,30.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,X1 Other/Not stated,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,All occupational groups,35.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,"1 Managers, directors and senior officials",42.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,2 Professional,36.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,3 Associate professional and technical,37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,4 Administrative and secreterial,32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,5 Skilled trades,42.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,"6 Caring, leisure and other services",29.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,7 Sales and customer service,29.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,"8 Process, plant and machine operatives",38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,9 Elementary,30.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,X1 Other/Not stated,35.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,All occupational groups,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,"1 Managers, directors and senior officials",42.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,2 Professional,36.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,3 Associate professional and technical,38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,4 Administrative and secreterial,32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,5 Skilled trades,42.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,"6 Caring, leisure and other services",30.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,7 Sales and customer service,29.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,"8 Process, plant and machine operatives",38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,9 Elementary,30.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,X1 Other/Not stated,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,All occupational groups,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,"1 Managers, directors and senior officials",42.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,2 Professional,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,3 Associate professional and technical,38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,4 Administrative and secreterial,32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,5 Skilled trades,41.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,"6 Caring, leisure and other services",30.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,7 Sales and customer service,29.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,"8 Process, plant and machine operatives",38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,9 Elementary,30.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,X1 Other/Not stated,37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,36.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials",42.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,36.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,41.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services",30.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,29.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives",38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,30.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials",43.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,37.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,32.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,44.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services",30.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,29.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q3,"8 Process, plant and machine operatives",39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q3,9 Elementary,30.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q3,X1 Other/Not stated,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q4,All occupational groups,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q4,"1 Managers, directors and senior officials",43.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q4,2 Professional,37.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q4,3 Associate professional and technical,38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q4,4 Administrative and secreterial,32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q4,5 Skilled trades,43.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q4,"6 Caring, leisure and other services",29.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q4,7 Sales and customer service,29.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q4,"8 Process, plant and machine operatives",39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q4,9 Elementary,29.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q4,X1 Other/Not stated,36.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q1,All occupational groups,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q1,"1 Managers, directors and senior officials",43.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q1,2 Professional,36.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q1,3 Associate professional and technical,38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q1,4 Administrative and secreterial,32.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q1,5 Skilled trades,43.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q1,"6 Caring, leisure and other services",30.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q1,7 Sales and customer service,29.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q1,"8 Process, plant and machine operatives",39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q1,9 Elementary,30.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q1,X1 Other/Not stated,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q2,All occupational groups,36.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q2,"1 Managers, directors and senior officials",43.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q2,2 Professional,37.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q2,3 Associate professional and technical,38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q2,4 Administrative and secreterial,32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q2,5 Skilled trades,43.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q2,"6 Caring, leisure and other services",30.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q2,7 Sales and customer service,30.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q2,"8 Process, plant and machine operatives",39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q2,9 Elementary,30.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q2,X1 Other/Not stated,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q3,All occupational groups,36.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q3,"1 Managers, directors and senior officials",43.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q3,2 Professional,37.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q3,3 Associate professional and technical,38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q3,4 Administrative and secreterial,33.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q3,5 Skilled trades,42.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q3,"6 Caring, leisure and other services",31.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q3,7 Sales and customer service,30.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q3,"8 Process, plant and machine operatives",39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q3,9 Elementary,30.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q3,X1 Other/Not stated,35.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q4,All occupational groups,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q4,"1 Managers, directors and senior officials",43.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q4,2 Professional,37.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q4,3 Associate professional and technical,38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q4,4 Administrative and secreterial,32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q4,5 Skilled trades,42.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q4,"6 Caring, leisure and other services",30.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q4,7 Sales and customer service,29.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q4,"8 Process, plant and machine operatives",39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q4,9 Elementary,29.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2018Q4,X1 Other/Not stated,38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q1,All occupational groups,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q1,"1 Managers, directors and senior officials",43.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q1,2 Professional,37.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q1,3 Associate professional and technical,38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q1,4 Administrative and secreterial,32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q1,5 Skilled trades,42.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q1,"6 Caring, leisure and other services",31.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q1,7 Sales and customer service,30.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q1,"8 Process, plant and machine operatives",39.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q1,9 Elementary,29.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q1,X1 Other/Not stated,37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q2,All occupational groups,36.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q2,"1 Managers, directors and senior officials",44.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q2,2 Professional,37.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q2,3 Associate professional and technical,38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q2,4 Administrative and secreterial,33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q2,5 Skilled trades,43.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q2,"6 Caring, leisure and other services",31.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q2,7 Sales and customer service,30.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q2,"8 Process, plant and machine operatives",40.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q2,9 Elementary,29.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q2,X1 Other/Not stated,37.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q3,All occupational groups,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q3,"1 Managers, directors and senior officials",44.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q3,2 Professional,37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q3,3 Associate professional and technical,38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q3,4 Administrative and secreterial,33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q3,5 Skilled trades,43.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q3,"6 Caring, leisure and other services",30.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q3,7 Sales and customer service,30.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q3,"8 Process, plant and machine operatives",39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q3,9 Elementary,30.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q3,X1 Other/Not stated,37.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,All occupational groups,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,"1 Managers, directors and senior officials",44.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,2 Professional,36.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,3 Associate professional and technical,37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,4 Administrative and secreterial,32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,5 Skilled trades,42.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,"6 Caring, leisure and other services",30.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,7 Sales and customer service,30.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,"8 Process, plant and machine operatives",38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,9 Elementary,29.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2019Q4,X1 Other/Not stated,38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,All occupational groups,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,"1 Managers, directors and senior officials",43.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,2 Professional,37.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,3 Associate professional and technical,38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,4 Administrative and secreterial,33.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,5 Skilled trades,42.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,"6 Caring, leisure and other services",30.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,7 Sales and customer service,29.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,"8 Process, plant and machine operatives",39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,9 Elementary,29.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q1,X1 Other/Not stated,40.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,All occupational groups,37.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,"1 Managers, directors and senior officials",43.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,2 Professional,37.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,3 Associate professional and technical,38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,4 Administrative and secreterial,33.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,5 Skilled trades,42.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,"6 Caring, leisure and other services",31.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,7 Sales and customer service,31.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,"8 Process, plant and machine operatives",39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,9 Elementary,31.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q2,X1 Other/Not stated,38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,All occupational groups,36.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,"1 Managers, directors and senior officials",42.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,2 Professional,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,3 Associate professional and technical,37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,4 Administrative and secreterial,33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,5 Skilled trades,42.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,"6 Caring, leisure and other services",31.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,7 Sales and customer service,30.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,"8 Process, plant and machine operatives",39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,9 Elementary,31.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q3,X1 Other/Not stated,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,All occupational groups,36.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,"1 Managers, directors and senior officials",43.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,2 Professional,37.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,3 Associate professional and technical,37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,4 Administrative and secreterial,33.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,5 Skilled trades,42.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,"6 Caring, leisure and other services",31.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,7 Sales and customer service,30.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,"8 Process, plant and machine operatives",39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,9 Elementary,31.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2020Q4,X1 Other/Not stated,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,All occupational groups,36.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,"1 Managers, directors and senior officials",41.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,2 Professional,36.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,3 Associate professional and technical,38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,4 Administrative and secreterial,33.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,5 Skilled trades,42.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,"6 Caring, leisure and other services",31.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,7 Sales and customer service,29.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,"8 Process, plant and machine operatives",38.0
