STATISTIC,Quarter,Age Group,value
Average hours worked per week for persons aged 15-89 years in Employment,2020Q4,20 - 24 years,31.3
Average hours worked per week for persons aged 15-89 years in Employment,2020Q4,25 - 34 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2020Q4,35 - 44 years,37.9
Average hours worked per week for persons aged 15-89 years in Employment,2020Q4,45 - 54 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2020Q4,55 - 59 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2020Q4,60 - 64 years,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2020Q4,65 years and over,33.8
Average hours worked per week for persons aged 15-89 years in Employment,2021Q1,15 - 19 years,19.2
Average hours worked per week for persons aged 15-89 years in Employment,2021Q1,15 - 64 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2021Q1,15 - 74 years,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2021Q1,15 years and over,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2021Q1,20 - 24 years,30.9
Average hours worked per week for persons aged 15-89 years in Employment,2021Q1,25 - 34 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2021Q1,35 - 44 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2021Q1,45 - 54 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2021Q1,55 - 59 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2021Q1,60 - 64 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2021Q1,65 years and over,32.5
Average hours worked per week for persons aged 15-89 years in Employment,2021Q2,15 - 19 years,22.5
Average hours worked per week for persons aged 15-89 years in Employment,2021Q2,15 - 64 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2021Q2,15 - 74 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2021Q2,15 years and over,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2021Q2,20 - 24 years,31.8
Average hours worked per week for persons aged 15-89 years in Employment,2021Q2,25 - 34 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2021Q2,35 - 44 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2021Q2,45 - 54 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2021Q2,55 - 59 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2021Q2,60 - 64 years,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2021Q2,65 years and over,32.6
Average hours worked per week for persons aged 15-89 years in Employment,2021Q3,15 - 19 years,23.4
Average hours worked per week for persons aged 15-89 years in Employment,2021Q3,15 - 64 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2021Q3,15 - 74 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2021Q3,15 years and over,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2021Q3,20 - 24 years,32.3
Average hours worked per week for persons aged 15-89 years in Employment,2021Q3,25 - 34 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2021Q3,35 - 44 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2021Q3,45 - 54 years,37.9
Average hours worked per week for persons aged 15-89 years in Employment,2021Q3,55 - 59 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2021Q3,60 - 64 years,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2021Q3,65 years and over,32.1
Average hours worked per week for persons aged 15-89 years in Employment,2021Q4,15 - 19 years,18.2
Average hours worked per week for persons aged 15-89 years in Employment,2021Q4,15 - 64 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2021Q4,15 - 74 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2021Q4,15 years and over,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2021Q4,20 - 24 years,30.7
Average hours worked per week for persons aged 15-89 years in Employment,2021Q4,25 - 34 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2021Q4,35 - 44 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2021Q4,45 - 54 years,37.9
Average hours worked per week for persons aged 15-89 years in Employment,2021Q4,55 - 59 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2021Q4,60 - 64 years,34.4
Average hours worked per week for persons aged 15-89 years in Employment,2021Q4,65 years and over,31.0
Average hours worked per week for persons aged 15-89 years in Employment,2022Q1,15 - 19 years,18.4
Average hours worked per week for persons aged 15-89 years in Employment,2022Q1,15 - 64 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2022Q1,15 - 74 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2022Q1,15 years and over,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2022Q1,20 - 24 years,30.8
Average hours worked per week for persons aged 15-89 years in Employment,2022Q1,25 - 34 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2022Q1,35 - 44 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2022Q1,45 - 54 years,37.9
Average hours worked per week for persons aged 15-89 years in Employment,2022Q1,55 - 59 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2022Q1,60 - 64 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2022Q1,65 years and over,31.2
Average hours worked per week for persons aged 15-89 years in Employment,2022Q2,15 - 19 years,20.7
Average hours worked per week for persons aged 15-89 years in Employment,2022Q2,15 - 64 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2022Q2,15 - 74 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2022Q2,15 years and over,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2022Q2,20 - 24 years,32.5
Average hours worked per week for persons aged 15-89 years in Employment,2022Q2,25 - 34 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2022Q2,35 - 44 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,2022Q2,45 - 54 years,38.1
Average hours worked per week for persons aged 15-89 years in Employment,2022Q2,55 - 59 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,2022Q2,60 - 64 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2022Q2,65 years and over,31.8
Average hours worked per week for persons aged 15-89 years in Employment,2022Q3,15 - 19 years,22.9
Average hours worked per week for persons aged 15-89 years in Employment,2022Q3,15 - 64 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2022Q3,15 - 74 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2022Q3,15 years and over,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2022Q3,20 - 24 years,33.3
Average hours worked per week for persons aged 15-89 years in Employment,2022Q3,25 - 34 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,2022Q3,35 - 44 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2022Q3,45 - 54 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2022Q3,55 - 59 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2022Q3,60 - 64 years,34.9
Average hours worked per week for persons aged 15-89 years in Employment,2022Q3,65 years and over,29.6
Average hours worked per week for persons aged 15-89 years in Employment,2022Q4,15 - 19 years,18.0
Average hours worked per week for persons aged 15-89 years in Employment,2022Q4,15 - 64 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2022Q4,15 - 74 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2022Q4,15 years and over,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2022Q4,20 - 24 years,30.6
Average hours worked per week for persons aged 15-89 years in Employment,2022Q4,25 - 34 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2022Q4,35 - 44 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2022Q4,45 - 54 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2022Q4,55 - 59 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2022Q4,60 - 64 years,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2022Q4,65 years and over,30.5
Average hours worked per week for persons aged 15-89 years in Employment,2023Q1,15 - 19 years,18.5
Average hours worked per week for persons aged 15-89 years in Employment,2023Q1,15 - 64 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2023Q1,15 - 74 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2023Q1,15 years and over,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2023Q1,20 - 24 years,31.2
Average hours worked per week for persons aged 15-89 years in Employment,2023Q1,25 - 34 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2023Q1,35 - 44 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2023Q1,45 - 54 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2023Q1,55 - 59 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2023Q1,60 - 64 years,34.6
Average hours worked per week for persons aged 15-89 years in Employment,2023Q1,65 years and over,31.3
Average hours worked per week for persons aged 15-89 years in Employment,2023Q2,15 - 19 years,19.7
Average hours worked per week for persons aged 15-89 years in Employment,2023Q2,15 - 64 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2023Q2,15 - 74 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2023Q2,15 years and over,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2023Q2,20 - 24 years,32.1
Average hours worked per week for persons aged 15-89 years in Employment,2023Q2,25 - 34 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2023Q2,35 - 44 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2023Q2,45 - 54 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,2023Q2,55 - 59 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2023Q2,60 - 64 years,34.7
Average hours worked per week for persons aged 15-89 years in Employment,2023Q2,65 years and over,31.3
Average hours worked per week for persons aged 15-89 years in Employment,2023Q3,15 - 19 years,21.7
Average hours worked per week for persons aged 15-89 years in Employment,2023Q3,15 - 64 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2023Q3,15 - 74 years,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2023Q3,15 years and over,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2023Q3,20 - 24 years,32.3
Average hours worked per week for persons aged 15-89 years in Employment,2023Q3,25 - 34 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2023Q3,35 - 44 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2023Q3,45 - 54 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2023Q3,55 - 59 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2023Q3,60 - 64 years,34.5
Average hours worked per week for persons aged 15-89 years in Employment,2023Q3,65 years and over,31.2
Average hours worked per week for persons aged 15-89 years in Employment,2023Q4,15 - 19 years,16.8
Average hours worked per week for persons aged 15-89 years in Employment,2023Q4,15 - 64 years,35.5
Average hours worked per week for persons aged 15-89 years in Employment,2023Q4,15 - 74 years,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2023Q4,15 years and over,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2023Q4,20 - 24 years,30.8
Average hours worked per week for persons aged 15-89 years in Employment,2023Q4,25 - 34 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2023Q4,35 - 44 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2023Q4,45 - 54 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2023Q4,55 - 59 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2023Q4,60 - 64 years,34.9
Average hours worked per week for persons aged 15-89 years in Employment,2023Q4,65 years and over,30.2
Average hours worked per week for persons aged 15-89 years in Employment,2024Q1,15 - 19 years,17.4
Average hours worked per week for persons aged 15-89 years in Employment,2024Q1,15 - 64 years,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2024Q1,15 - 74 years,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2024Q1,15 years and over,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2024Q1,20 - 24 years,31.1
Average hours worked per week for persons aged 15-89 years in Employment,2024Q1,25 - 34 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2024Q1,35 - 44 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2024Q1,45 - 54 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2024Q1,55 - 59 years,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2024Q1,60 - 64 years,34.8
Average hours worked per week for persons aged 15-89 years in Employment,2024Q1,65 years and over,30.7
Average hours worked per week for persons aged 15-89 years in Employment,2024Q2,15 - 19 years,18.7
Average hours worked per week for persons aged 15-89 years in Employment,2024Q2,15 - 64 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2024Q2,15 - 74 years,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2024Q2,15 years and over,35.5
Average hours worked per week for persons aged 15-89 years in Employment,2024Q2,20 - 24 years,31.7
Average hours worked per week for persons aged 15-89 years in Employment,2024Q2,25 - 34 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2024Q2,35 - 44 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2024Q2,45 - 54 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2024Q2,55 - 59 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2024Q2,60 - 64 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2024Q2,65 years and over,30.8
Average hours worked per week for persons aged 15-89 years in Employment,2024Q3,15 - 19 years,20.1
Average hours worked per week for persons aged 15-89 years in Employment,2024Q3,15 - 64 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2024Q3,15 - 74 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2024Q3,15 years and over,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2024Q3,20 - 24 years,32.4
Average hours worked per week for persons aged 15-89 years in Employment,2024Q3,25 - 34 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2024Q3,35 - 44 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2024Q3,45 - 54 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2024Q3,55 - 59 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2024Q3,60 - 64 years,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2024Q3,65 years and over,31.3
Average hours worked per week for persons aged 15-89 years in Employment,2024Q4,15 - 19 years,16.6
Average hours worked per week for persons aged 15-89 years in Employment,2024Q4,15 - 64 years,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2024Q4,15 - 74 years,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2024Q4,15 years and over,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2024Q4,20 - 24 years,29.8
Average hours worked per week for persons aged 15-89 years in Employment,2024Q4,25 - 34 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2024Q4,35 - 44 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2024Q4,45 - 54 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2024Q4,55 - 59 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2024Q4,60 - 64 years,34.4
Average hours worked per week for persons aged 15-89 years in Employment,2024Q4,65 years and over,30.7
Average hours worked per week for persons aged 15-89 years in Employment,2025Q1,15 - 19 years,16.3
Average hours worked per week for persons aged 15-89 years in Employment,2025Q1,15 - 64 years,35.5
Average hours worked per week for persons aged 15-89 years in Employment,2025Q1,15 - 74 years,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2025Q1,15 years and over,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2025Q1,20 - 24 years,30.0
Average hours worked per week for persons aged 15-89 years in Employment,2025Q1,25 - 34 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2025Q1,35 - 44 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2025Q1,45 - 54 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2025Q1,55 - 59 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2025Q1,60 - 64 years,34.4
Average hours worked per week for persons aged 15-89 years in Employment,2025Q1,65 years and over,31.1
