Statistic,Sex,NACE Rev 2 Economic Sector,Region,Quarter,value
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2004Q4,4.1
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2005Q1,4.2
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2005Q2,3.9
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2005Q3,3.8
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2005Q4,3.8
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2006Q1,3.7
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2006Q2,4.0
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2006Q3,4.2
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2006Q4,4.3
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2007Q1,4.4
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2007Q2,4.6
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2007Q3,4.6
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2007Q4,4.1
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2008Q1,4.0
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2008Q2,4.0
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2008Q3,4.3
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2008Q4,5.0
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2009Q1,4.8
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2009Q2,4.8
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2009Q3,5.0
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2009Q4,4.7
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2010Q1,4.8
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2010Q2,4.9
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2010Q3,4.8
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2010Q4,4.6
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2011Q1,4.2
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2011Q2,3.3
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2011Q3,3.3
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-East,2011Q4,3.9
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,1998Q1,1.9
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,1998Q2,2.1
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,1998Q3,1.9
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,1998Q4,2.0
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,1999Q1,2.3
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,1999Q2,2.5
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,1999Q3,3.0
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,1999Q4,3.0
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2000Q1,2.7
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2000Q2,3.2
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2000Q3,3.6
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2000Q4,3.3
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2001Q1,3.3
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2001Q2,3.1
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2001Q3,3.4
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2001Q4,3.1
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2002Q1,3.2
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2002Q2,3.6
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2002Q3,4.0
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2002Q4,3.8
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2003Q1,3.5
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2003Q2,3.5
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2003Q3,3.5
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2003Q4,4.1
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2004Q1,4.4
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2004Q2,4.7
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2004Q3,5.2
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2004Q4,4.9
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2005Q1,5.1
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2005Q2,5.2
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2005Q3,5.5
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2005Q4,5.8
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2006Q1,6.1
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2006Q2,5.7
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2006Q3,5.4
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2006Q4,4.7
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2007Q1,4.9
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2007Q2,4.9
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2007Q3,5.2
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2007Q4,5.2
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2008Q1,5.6
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2008Q2,5.6
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2008Q3,5.8
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2008Q4,6.0
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2009Q1,5.9
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2009Q2,5.0
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2009Q3,5.0
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2009Q4,4.8
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2010Q1,4.7
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2010Q2,4.9
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2010Q3,4.6
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2010Q4,5.5
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2011Q1,5.3
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2011Q2,5.9
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2011Q3,5.8
Person aged 15 years and over in Employment ,Female,"Public administration and defence, compulsory social security (O)",South-West,2011Q4,5.3
Person aged 15 years and over in Employment ,Female,Education (P),State,1998Q1,61.2
Person aged 15 years and over in Employment ,Female,Education (P),State,1998Q2,60.8
Person aged 15 years and over in Employment ,Female,Education (P),State,1998Q3,58.9
Person aged 15 years and over in Employment ,Female,Education (P),State,1998Q4,63.6
Person aged 15 years and over in Employment ,Female,Education (P),State,1999Q1,67.9
Person aged 15 years and over in Employment ,Female,Education (P),State,1999Q2,67.7
Person aged 15 years and over in Employment ,Female,Education (P),State,1999Q3,64.0
Person aged 15 years and over in Employment ,Female,Education (P),State,1999Q4,68.4
Person aged 15 years and over in Employment ,Female,Education (P),State,2000Q1,68.8
Person aged 15 years and over in Employment ,Female,Education (P),State,2000Q2,69.6
Person aged 15 years and over in Employment ,Female,Education (P),State,2000Q3,66.0
Person aged 15 years and over in Employment ,Female,Education (P),State,2000Q4,69.7
Person aged 15 years and over in Employment ,Female,Education (P),State,2001Q1,70.2
Person aged 15 years and over in Employment ,Female,Education (P),State,2001Q2,71.1
Person aged 15 years and over in Employment ,Female,Education (P),State,2001Q3,70.6
Person aged 15 years and over in Employment ,Female,Education (P),State,2001Q4,72.3
Person aged 15 years and over in Employment ,Female,Education (P),State,2002Q1,75.4
Person aged 15 years and over in Employment ,Female,Education (P),State,2002Q2,76.2
Person aged 15 years and over in Employment ,Female,Education (P),State,2002Q3,72.3
Person aged 15 years and over in Employment ,Female,Education (P),State,2002Q4,79.2
Person aged 15 years and over in Employment ,Female,Education (P),State,2003Q1,81.4
Person aged 15 years and over in Employment ,Female,Education (P),State,2003Q2,81.0
Person aged 15 years and over in Employment ,Female,Education (P),State,2003Q3,76.5
Person aged 15 years and over in Employment ,Female,Education (P),State,2003Q4,84.2
Person aged 15 years and over in Employment ,Female,Education (P),State,2004Q1,85.1
Person aged 15 years and over in Employment ,Female,Education (P),State,2004Q2,83.6
Person aged 15 years and over in Employment ,Female,Education (P),State,2004Q3,79.7
Person aged 15 years and over in Employment ,Female,Education (P),State,2004Q4,83.7
Person aged 15 years and over in Employment ,Female,Education (P),State,2005Q1,86.0
Person aged 15 years and over in Employment ,Female,Education (P),State,2005Q2,88.7
Person aged 15 years and over in Employment ,Female,Education (P),State,2005Q3,85.5
Person aged 15 years and over in Employment ,Female,Education (P),State,2005Q4,93.8
Person aged 15 years and over in Employment ,Female,Education (P),State,2006Q1,96.1
Person aged 15 years and over in Employment ,Female,Education (P),State,2006Q2,96.4
Person aged 15 years and over in Employment ,Female,Education (P),State,2006Q3,92.4
Person aged 15 years and over in Employment ,Female,Education (P),State,2006Q4,101.4
Person aged 15 years and over in Employment ,Female,Education (P),State,2007Q1,102.2
Person aged 15 years and over in Employment ,Female,Education (P),State,2007Q2,101.7
Person aged 15 years and over in Employment ,Female,Education (P),State,2007Q3,97.2
Person aged 15 years and over in Employment ,Female,Education (P),State,2007Q4,102.3
Person aged 15 years and over in Employment ,Female,Education (P),State,2008Q1,100.8
Person aged 15 years and over in Employment ,Female,Education (P),State,2008Q2,106.0
Person aged 15 years and over in Employment ,Female,Education (P),State,2008Q3,100.3
Person aged 15 years and over in Employment ,Female,Education (P),State,2008Q4,110.5
Person aged 15 years and over in Employment ,Female,Education (P),State,2009Q1,107.6
Person aged 15 years and over in Employment ,Female,Education (P),State,2009Q2,107.9
Person aged 15 years and over in Employment ,Female,Education (P),State,2009Q3,98.4
Person aged 15 years and over in Employment ,Female,Education (P),State,2009Q4,105.8
Person aged 15 years and over in Employment ,Female,Education (P),State,2010Q1,103.6
Person aged 15 years and over in Employment ,Female,Education (P),State,2010Q2,105.7
Person aged 15 years and over in Employment ,Female,Education (P),State,2010Q3,106.2
Person aged 15 years and over in Employment ,Female,Education (P),State,2010Q4,107.8
Person aged 15 years and over in Employment ,Female,Education (P),State,2011Q1,106.7
Person aged 15 years and over in Employment ,Female,Education (P),State,2011Q2,104.7
Person aged 15 years and over in Employment ,Female,Education (P),State,2011Q3,99.6
Person aged 15 years and over in Employment ,Female,Education (P),State,2011Q4,102.5
Person aged 15 years and over in Employment ,Female,Education (P),Border,1998Q1,5.1
Person aged 15 years and over in Employment ,Female,Education (P),Border,1998Q2,5.8
Person aged 15 years and over in Employment ,Female,Education (P),Border,1998Q3,5.9
Person aged 15 years and over in Employment ,Female,Education (P),Border,1998Q4,5.6
Person aged 15 years and over in Employment ,Female,Education (P),Border,1999Q1,6.5
Person aged 15 years and over in Employment ,Female,Education (P),Border,1999Q2,6.7
Person aged 15 years and over in Employment ,Female,Education (P),Border,1999Q3,6.2
Person aged 15 years and over in Employment ,Female,Education (P),Border,1999Q4,7.0
Person aged 15 years and over in Employment ,Female,Education (P),Border,2000Q1,7.7
Person aged 15 years and over in Employment ,Female,Education (P),Border,2000Q2,7.9
Person aged 15 years and over in Employment ,Female,Education (P),Border,2000Q3,7.1
Person aged 15 years and over in Employment ,Female,Education (P),Border,2000Q4,7.5
Person aged 15 years and over in Employment ,Female,Education (P),Border,2001Q1,7.7
Person aged 15 years and over in Employment ,Female,Education (P),Border,2001Q2,7.8
Person aged 15 years and over in Employment ,Female,Education (P),Border,2001Q3,7.6
Person aged 15 years and over in Employment ,Female,Education (P),Border,2001Q4,7.8
Person aged 15 years and over in Employment ,Female,Education (P),Border,2002Q1,8.0
Person aged 15 years and over in Employment ,Female,Education (P),Border,2002Q2,8.1
Person aged 15 years and over in Employment ,Female,Education (P),Border,2002Q3,7.8
Person aged 15 years and over in Employment ,Female,Education (P),Border,2002Q4,8.9
Person aged 15 years and over in Employment ,Female,Education (P),Border,2003Q1,9.7
Person aged 15 years and over in Employment ,Female,Education (P),Border,2003Q2,9.2
Person aged 15 years and over in Employment ,Female,Education (P),Border,2003Q3,8.8
Person aged 15 years and over in Employment ,Female,Education (P),Border,2003Q4,10.2
Person aged 15 years and over in Employment ,Female,Education (P),Border,2004Q1,9.8
Person aged 15 years and over in Employment ,Female,Education (P),Border,2004Q2,9.6
Person aged 15 years and over in Employment ,Female,Education (P),Border,2004Q3,10.0
Person aged 15 years and over in Employment ,Female,Education (P),Border,2004Q4,9.7
Person aged 15 years and over in Employment ,Female,Education (P),Border,2005Q1,8.4
Person aged 15 years and over in Employment ,Female,Education (P),Border,2005Q2,8.8
Person aged 15 years and over in Employment ,Female,Education (P),Border,2005Q3,8.6
Person aged 15 years and over in Employment ,Female,Education (P),Border,2005Q4,9.4
Person aged 15 years and over in Employment ,Female,Education (P),Border,2006Q1,10.3
Person aged 15 years and over in Employment ,Female,Education (P),Border,2006Q2,10.9
Person aged 15 years and over in Employment ,Female,Education (P),Border,2006Q3,11.7
Person aged 15 years and over in Employment ,Female,Education (P),Border,2006Q4,11.8
Person aged 15 years and over in Employment ,Female,Education (P),Border,2007Q1,11.1
Person aged 15 years and over in Employment ,Female,Education (P),Border,2007Q2,11.6
Person aged 15 years and over in Employment ,Female,Education (P),Border,2007Q3,10.0
Person aged 15 years and over in Employment ,Female,Education (P),Border,2007Q4,10.0
Person aged 15 years and over in Employment ,Female,Education (P),Border,2008Q1,11.0
Person aged 15 years and over in Employment ,Female,Education (P),Border,2008Q2,11.9
Person aged 15 years and over in Employment ,Female,Education (P),Border,2008Q3,11.4
Person aged 15 years and over in Employment ,Female,Education (P),Border,2008Q4,12.4
Person aged 15 years and over in Employment ,Female,Education (P),Border,2009Q1,12.3
Person aged 15 years and over in Employment ,Female,Education (P),Border,2009Q2,13.4
Person aged 15 years and over in Employment ,Female,Education (P),Border,2009Q3,10.4
Person aged 15 years and over in Employment ,Female,Education (P),Border,2009Q4,12.0
Person aged 15 years and over in Employment ,Female,Education (P),Border,2010Q1,11.7
Person aged 15 years and over in Employment ,Female,Education (P),Border,2010Q2,12.4
Person aged 15 years and over in Employment ,Female,Education (P),Border,2010Q3,12.2
Person aged 15 years and over in Employment ,Female,Education (P),Border,2010Q4,11.3
Person aged 15 years and over in Employment ,Female,Education (P),Border,2011Q1,11.4
Person aged 15 years and over in Employment ,Female,Education (P),Border,2011Q2,10.9
Person aged 15 years and over in Employment ,Female,Education (P),Border,2011Q3,11.4
Person aged 15 years and over in Employment ,Female,Education (P),Border,2011Q4,11.6
Person aged 15 years and over in Employment ,Female,Education (P),Midland,1998Q1,2.6
Person aged 15 years and over in Employment ,Female,Education (P),Midland,1998Q2,2.7
Person aged 15 years and over in Employment ,Female,Education (P),Midland,1998Q3,2.6
Person aged 15 years and over in Employment ,Female,Education (P),Midland,1998Q4,2.8
Person aged 15 years and over in Employment ,Female,Education (P),Midland,1999Q1,2.6
Person aged 15 years and over in Employment ,Female,Education (P),Midland,1999Q2,2.5
Person aged 15 years and over in Employment ,Female,Education (P),Midland,1999Q3,2.7
Person aged 15 years and over in Employment ,Female,Education (P),Midland,1999Q4,3.0
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2000Q1,3.2
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2000Q2,3.2
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2000Q3,2.9
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2000Q4,3.5
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2001Q1,3.1
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2001Q2,3.3
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2001Q3,3.4
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2001Q4,3.7
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2002Q1,3.5
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2002Q2,3.7
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2002Q3,3.3
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2002Q4,3.7
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2003Q1,4.1
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2003Q2,4.1
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2003Q3,3.8
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2003Q4,4.2
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2004Q1,3.2
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2004Q2,3.6
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2004Q3,3.5
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2004Q4,4.2
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2005Q1,4.4
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2005Q2,4.7
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2005Q3,4.9
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2005Q4,5.0
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2006Q1,4.8
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2006Q2,5.0
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2006Q3,5.3
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2006Q4,5.9
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2007Q1,5.6
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2007Q2,5.7
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2007Q3,4.9
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2007Q4,5.9
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2008Q1,5.4
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2008Q2,5.5
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2008Q3,4.9
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2008Q4,5.3
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2009Q1,4.8
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2009Q2,4.9
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2009Q3,5.3
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2009Q4,6.1
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2010Q1,5.7
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2010Q2,5.4
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2010Q3,4.0
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2010Q4,3.9
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2011Q1,4.8
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2011Q2,5.1
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2011Q3,4.4
Person aged 15 years and over in Employment ,Female,Education (P),Midland,2011Q4,5.6
Person aged 15 years and over in Employment ,Female,Education (P),West,1998Q1,5.5
Person aged 15 years and over in Employment ,Female,Education (P),West,1998Q2,5.4
Person aged 15 years and over in Employment ,Female,Education (P),West,1998Q3,4.8
Person aged 15 years and over in Employment ,Female,Education (P),West,1998Q4,5.5
Person aged 15 years and over in Employment ,Female,Education (P),West,1999Q1,6.0
Person aged 15 years and over in Employment ,Female,Education (P),West,1999Q2,6.0
Person aged 15 years and over in Employment ,Female,Education (P),West,1999Q3,5.7
Person aged 15 years and over in Employment ,Female,Education (P),West,1999Q4,6.2
Person aged 15 years and over in Employment ,Female,Education (P),West,2000Q1,6.2
Person aged 15 years and over in Employment ,Female,Education (P),West,2000Q2,6.0
Person aged 15 years and over in Employment ,Female,Education (P),West,2000Q3,5.6
Person aged 15 years and over in Employment ,Female,Education (P),West,2000Q4,6.3
Person aged 15 years and over in Employment ,Female,Education (P),West,2001Q1,6.3
Person aged 15 years and over in Employment ,Female,Education (P),West,2001Q2,6.0
Person aged 15 years and over in Employment ,Female,Education (P),West,2001Q3,6.8
Person aged 15 years and over in Employment ,Female,Education (P),West,2001Q4,6.9
Person aged 15 years and over in Employment ,Female,Education (P),West,2002Q1,7.8
Person aged 15 years and over in Employment ,Female,Education (P),West,2002Q2,7.7
Person aged 15 years and over in Employment ,Female,Education (P),West,2002Q3,7.2
Person aged 15 years and over in Employment ,Female,Education (P),West,2002Q4,7.9
Person aged 15 years and over in Employment ,Female,Education (P),West,2003Q1,7.5
Person aged 15 years and over in Employment ,Female,Education (P),West,2003Q2,7.1
Person aged 15 years and over in Employment ,Female,Education (P),West,2003Q3,6.7
Person aged 15 years and over in Employment ,Female,Education (P),West,2003Q4,8.1
Person aged 15 years and over in Employment ,Female,Education (P),West,2004Q1,8.3
Person aged 15 years and over in Employment ,Female,Education (P),West,2004Q2,8.4
Person aged 15 years and over in Employment ,Female,Education (P),West,2004Q3,7.6
Person aged 15 years and over in Employment ,Female,Education (P),West,2004Q4,7.7
Person aged 15 years and over in Employment ,Female,Education (P),West,2005Q1,7.8
Person aged 15 years and over in Employment ,Female,Education (P),West,2005Q2,8.2
Person aged 15 years and over in Employment ,Female,Education (P),West,2005Q3,7.1
Person aged 15 years and over in Employment ,Female,Education (P),West,2005Q4,7.7
Person aged 15 years and over in Employment ,Female,Education (P),West,2006Q1,8.6
Person aged 15 years and over in Employment ,Female,Education (P),West,2006Q2,9.0
Person aged 15 years and over in Employment ,Female,Education (P),West,2006Q3,7.7
Person aged 15 years and over in Employment ,Female,Education (P),West,2006Q4,10.6
Person aged 15 years and over in Employment ,Female,Education (P),West,2007Q1,11.3
Person aged 15 years and over in Employment ,Female,Education (P),West,2007Q2,10.1
Person aged 15 years and over in Employment ,Female,Education (P),West,2007Q3,9.6
Person aged 15 years and over in Employment ,Female,Education (P),West,2007Q4,11.1
Person aged 15 years and over in Employment ,Female,Education (P),West,2008Q1,10.7
Person aged 15 years and over in Employment ,Female,Education (P),West,2008Q2,11.6
Person aged 15 years and over in Employment ,Female,Education (P),West,2008Q3,10.1
Person aged 15 years and over in Employment ,Female,Education (P),West,2008Q4,11.8
Person aged 15 years and over in Employment ,Female,Education (P),West,2009Q1,9.8
Person aged 15 years and over in Employment ,Female,Education (P),West,2009Q2,10.0
Person aged 15 years and over in Employment ,Female,Education (P),West,2009Q3,10.2
Person aged 15 years and over in Employment ,Female,Education (P),West,2009Q4,10.6
Person aged 15 years and over in Employment ,Female,Education (P),West,2010Q1,10.9
Person aged 15 years and over in Employment ,Female,Education (P),West,2010Q2,11.0
Person aged 15 years and over in Employment ,Female,Education (P),West,2010Q3,9.6
Person aged 15 years and over in Employment ,Female,Education (P),West,2010Q4,10.6
Person aged 15 years and over in Employment ,Female,Education (P),West,2011Q1,10.8
Person aged 15 years and over in Employment ,Female,Education (P),West,2011Q2,10.7
Person aged 15 years and over in Employment ,Female,Education (P),West,2011Q3,10.2
Person aged 15 years and over in Employment ,Female,Education (P),West,2011Q4,10.4
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,1998Q1,20.2
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,1998Q2,20.1
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,1998Q3,19.2
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,1998Q4,20.8
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,1999Q1,21.9
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,1999Q2,21.2
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,1999Q3,19.9
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,1999Q4,20.8
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2000Q1,20.7
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2000Q2,21.0
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2000Q3,20.6
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2000Q4,21.3
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2001Q1,22.3
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2001Q2,22.8
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2001Q3,21.8
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2001Q4,22.5
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2002Q1,23.3
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2002Q2,22.9
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2002Q3,22.1
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2002Q4,24.2
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2003Q1,24.0
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2003Q2,23.5
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2003Q3,22.4
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2003Q4,23.2
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2004Q1,24.5
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2004Q2,24.5
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2004Q3,24.2
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2004Q4,26.0
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2005Q1,26.4
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2005Q2,26.7
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2005Q3,25.0
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2005Q4,28.0
Person aged 15 years and over in Employment ,Female,Education (P),Dublin,2006Q1,26.7
