Statistic,Quarter,Detailed Occupational Group,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment (ILO),2017Q1,X1 Other/Not stated,Not stated,7.2
Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,All NACE economic sectors,2187.4
Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,"Agriculture, forestry and fishing (A)",112.0
Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,Construction (F),128.3
Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),301.3
Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,Transportation and storage (H),92.9
Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,Accommodation and food service activities (I),161.0
Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,Information and communication (J),114.5
Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,"Professional, scientific and technical activities (M)",134.2
Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,Administrative and support service activities (N),94.5
Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,Public administration and defence; compulsory social security (O),99.1
Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,Education (P),157.1
Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,Human health and social work activities (Q),281.2
Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,Industry (B to E),280.1
Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,"Financial, insurance and real estate activities (K, L)",106.9
Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,Other NACE activities (R to U),116.8
Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,Industry and Construction (B to F),408.4
Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,Services (G to U),1659.4
Persons aged 15 years and over in Employment (ILO),2017Q2,All occupational groups,Not stated,7.6
Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials",All NACE economic sectors,191.9
Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials","Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials",Construction (F),6.9
Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials",Wholesale and retail trade; repair of motor vehicles and motorcycles (G),48.1
Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials",Transportation and storage (H),5.8
Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials",Accommodation and food service activities (I),22.7
Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials",Information and communication (J),13.8
Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials","Professional, scientific and technical activities (M)",13.4
Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials",Administrative and support service activities (N),6.9
Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials",Public administration and defence; compulsory social security (O),8.8
Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials",Education (P),
Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials",Human health and social work activities (Q),7.9
Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials",Industry (B to E),26.7
Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials","Financial, insurance and real estate activities (K, L)",15.2
Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials",Other NACE activities (R to U),8.8
Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials",Industry and Construction (B to F),33.6
Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials",Services (G to U),154.5
Persons aged 15 years and over in Employment (ILO),2017Q2,"1 Managers, directors and senior officials",Not stated,
Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,All NACE economic sectors,435.5
Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,Construction (F),7.4
Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),12.6
Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,Information and communication (J),47.0
Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,"Professional, scientific and technical activities (M)",62.3
Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,Public administration and defence; compulsory social security (O),11.1
Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,Education (P),107.4
Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,Human health and social work activities (Q),109.3
Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,Industry (B to E),37.8
Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,"Financial, insurance and real estate activities (K, L)",20.4
Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,Other NACE activities (R to U),12.6
Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,Industry and Construction (B to F),45.2
Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,Services (G to U),388.5
Persons aged 15 years and over in Employment (ILO),2017Q2,2 Professional,Not stated,
Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,All NACE economic sectors,275.5
Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,Construction (F),3.5
Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),31.9
Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,Transportation and storage (H),6.0
Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,Information and communication (J),28.0
Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,"Professional, scientific and technical activities (M)",28.1
Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,Administrative and support service activities (N),13.0
Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,Public administration and defence; compulsory social security (O),30.4
Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,Education (P),11.2
Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,Human health and social work activities (Q),22.2
Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,Industry (B to E),42.7
Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,"Financial, insurance and real estate activities (K, L)",30.5
Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,Other NACE activities (R to U),23.2
Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,Industry and Construction (B to F),46.1
Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,Services (G to U),227.6
Persons aged 15 years and over in Employment (ILO),2017Q2,3 Associate professional and technical,Not stated,
Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,All NACE economic sectors,211.1
Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,Construction (F),4.0
Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),23.1
Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,Transportation and storage (H),10.9
Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,Accommodation and food service activities (I),6.3
Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,Information and communication (J),7.9
Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,"Professional, scientific and technical activities (M)",14.7
Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,Administrative and support service activities (N),12.0
Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,Public administration and defence; compulsory social security (O),37.1
Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,Education (P),10.3
Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,Human health and social work activities (Q),21.2
Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,Industry (B to E),19.0
Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,"Financial, insurance and real estate activities (K, L)",28.5
Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,Other NACE activities (R to U),13.9
Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,Industry and Construction (B to F),23.0
Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,Services (G to U),185.9
Persons aged 15 years and over in Employment (ILO),2017Q2,4 Administrative and secreterial,Not stated,
Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,All NACE economic sectors,303.5
Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,"Agriculture, forestry and fishing (A)",81.3
Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,Construction (F),71.6
Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),24.6
Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,Accommodation and food service activities (I),31.2
Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,Information and communication (J),9.3
Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,"Professional, scientific and technical activities (M)",6.7
Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,Administrative and support service activities (N),10.1
Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,Education (P),
Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,Human health and social work activities (Q),4.0
Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,Industry (B to E),49.9
Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,Other NACE activities (R to U),6.5
Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,Industry and Construction (B to F),121.5
Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,Services (G to U),100.5
Persons aged 15 years and over in Employment (ILO),2017Q2,5 Skilled trades,Not stated,
Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services",All NACE economic sectors,176.6
Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services","Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services",Construction (F),
Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services",Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services",Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services",Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services",Information and communication (J),
Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services","Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services",Administrative and support service activities (N),5.5
Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services",Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services",Education (P),17.2
Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services",Human health and social work activities (Q),100.0
Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services",Industry (B to E),
Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services","Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services",Other NACE activities (R to U),38.3
Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services",Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services",Services (G to U),172.8
Persons aged 15 years and over in Employment (ILO),2017Q2,"6 Caring, leisure and other services",Not stated,
Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,All NACE economic sectors,173.6
Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,Construction (F),
Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),125.2
Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,Accommodation and food service activities (I),5.9
Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,Information and communication (J),5.2
Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,Administrative and support service activities (N),9.0
Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,Education (P),
Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,Industry (B to E),7.6
Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,"Financial, insurance and real estate activities (K, L)",7.7
Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,Industry and Construction (B to F),8.4
Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,Services (G to U),164.8
Persons aged 15 years and over in Employment (ILO),2017Q2,7 Sales and customer service,Not stated,
Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives",All NACE economic sectors,166.2
Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives","Agriculture, forestry and fishing (A)",5.9
Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives",Construction (F),16.3
Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives",Wholesale and retail trade; repair of motor vehicles and motorcycles (G),11.9
Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives",Transportation and storage (H),47.1
Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives",Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives",Information and communication (J),
Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives","Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives",Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives",Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives",Education (P),
Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives",Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives",Industry (B to E),68.3
Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives","Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives",Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives",Industry and Construction (B to F),84.6
Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives",Services (G to U),75.4
Persons aged 15 years and over in Employment (ILO),2017Q2,"8 Process, plant and machine operatives",Not stated,
Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,All NACE economic sectors,244.0
Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,"Agriculture, forestry and fishing (A)",14.1
Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,Construction (F),16.7
Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),21.9
Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,Transportation and storage (H),12.6
Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,Accommodation and food service activities (I),84.1
Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,Information and communication (J),
Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,Administrative and support service activities (N),33.5
Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,Public administration and defence; compulsory social security (O),3.9
Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,Education (P),4.5
Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,Human health and social work activities (Q),11.4
Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,Industry (B to E),26.6
Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,Other NACE activities (R to U),9.3
Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,Industry and Construction (B to F),43.3
Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,Services (G to U),186.1
Persons aged 15 years and over in Employment (ILO),2017Q2,9 Elementary,Not stated,
Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,All NACE economic sectors,9.6
Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,Construction (F),
Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,Information and communication (J),
Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,Education (P),
Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,Industry (B to E),
Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,Services (G to U),3.2
Persons aged 15 years and over in Employment (ILO),2017Q2,X1 Other/Not stated,Not stated,5.4
Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,All NACE economic sectors,2212.3
Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,"Agriculture, forestry and fishing (A)",111.7
Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,Construction (F),129.1
Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),304.3
Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,Transportation and storage (H),94.2
Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,Accommodation and food service activities (I),165.7
Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,Information and communication (J),117.0
Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,"Professional, scientific and technical activities (M)",133.2
Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,Administrative and support service activities (N),92.9
Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,Public administration and defence; compulsory social security (O),96.0
Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,Education (P),160.7
Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,Human health and social work activities (Q),282.9
Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,Industry (B to E),290.3
Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,"Financial, insurance and real estate activities (K, L)",108.4
Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,Other NACE activities (R to U),118.1
Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,Industry and Construction (B to F),419.4
Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,Services (G to U),1673.4
Persons aged 15 years and over in Employment (ILO),2017Q3,All occupational groups,Not stated,7.9
Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials",All NACE economic sectors,195.3
Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials","Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials",Construction (F),7.1
Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials",Wholesale and retail trade; repair of motor vehicles and motorcycles (G),45.3
Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials",Transportation and storage (H),8.4
Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials",Accommodation and food service activities (I),21.2
Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials",Information and communication (J),11.5
Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials","Professional, scientific and technical activities (M)",11.2
Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials",Administrative and support service activities (N),8.1
Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials",Public administration and defence; compulsory social security (O),5.0
Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials",Education (P),
Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials",Human health and social work activities (Q),15.2
Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials",Industry (B to E),28.9
Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials","Financial, insurance and real estate activities (K, L)",16.9
Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials",Other NACE activities (R to U),11.0
Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials",Industry and Construction (B to F),35.9
Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials",Services (G to U),155.7
Persons aged 15 years and over in Employment (ILO),2017Q3,"1 Managers, directors and senior officials",Not stated,
Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,All NACE economic sectors,439.0
Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,Construction (F),7.1
Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),11.6
Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,Information and communication (J),50.5
Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,"Professional, scientific and technical activities (M)",59.5
Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,Public administration and defence; compulsory social security (O),8.9
Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,Education (P),116.1
Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,Human health and social work activities (Q),106.7
Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,Industry (B to E),42.5
Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,"Financial, insurance and real estate activities (K, L)",18.3
Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,Other NACE activities (R to U),8.0
Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,Industry and Construction (B to F),49.6
Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,Services (G to U),387.8
Persons aged 15 years and over in Employment (ILO),2017Q3,2 Professional,Not stated,
Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,All NACE economic sectors,272.5
Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,Construction (F),
Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),24.2
Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,Transportation and storage (H),5.3
Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,Information and communication (J),36.1
Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,"Professional, scientific and technical activities (M)",28.9
Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,Administrative and support service activities (N),9.1
Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,Public administration and defence; compulsory social security (O),37.4
Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,Education (P),7.8
Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,Human health and social work activities (Q),20.5
Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,Industry (B to E),39.8
Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,"Financial, insurance and real estate activities (K, L)",35.2
Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,Other NACE activities (R to U),21.4
Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,Industry and Construction (B to F),42.2
