Statistic,Quarter,Reasons for being in Part-Time Employment,Sex,value
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,"School, education or training",Both sexes,108.5
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,"School, education or training",Male,50.1
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,"School, education or training",Female,58.3
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,Illness or disability,Both sexes,12.0
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,Illness or disability,Male,5.0
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,Illness or disability,Female,6.9
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,Looking after children or incapacitated adults,Both sexes,87.5
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,Looking after children or incapacitated adults,Male,5.8
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,Looking after children or incapacitated adults,Female,81.6
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,Other personal or family reasons,Both sexes,131.8
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,Other personal or family reasons,Male,19.7
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,Other personal or family reasons,Female,112.1
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,Could not find full-time employment,Both sexes,70.4
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,Could not find full-time employment,Male,33.5
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,Could not find full-time employment,Female,36.9
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,Other reasons,Both sexes,64.8
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,Other reasons,Male,26.6
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,Other reasons,Female,38.3
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,No answer given,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,No answer given,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q3,No answer given,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,All reasons for being in part-time employment,Both sexes,496.2
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,All reasons for being in part-time employment,Male,153.9
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,All reasons for being in part-time employment,Female,342.3
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,"School, education or training",Both sexes,119.9
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,"School, education or training",Male,56.1
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,"School, education or training",Female,63.7
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,Illness or disability,Both sexes,13.3
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,Illness or disability,Male,6.3
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,Illness or disability,Female,7.0
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,Looking after children or incapacitated adults,Both sexes,99.0
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,Looking after children or incapacitated adults,Male,6.0
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,Looking after children or incapacitated adults,Female,93.0
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,Other personal or family reasons,Both sexes,124.3
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,Other personal or family reasons,Male,19.9
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,Other personal or family reasons,Female,104.4
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,Could not find full-time employment,Both sexes,68.4
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,Could not find full-time employment,Male,36.0
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,Could not find full-time employment,Female,32.4
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,Other reasons,Both sexes,69.3
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,Other reasons,Male,28.4
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,Other reasons,Female,40.9
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,No answer given,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,No answer given,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2019Q4,No answer given,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,All reasons for being in part-time employment,Both sexes,484.3
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,All reasons for being in part-time employment,Male,142.8
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,All reasons for being in part-time employment,Female,341.5
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,"School, education or training",Both sexes,122.6
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,"School, education or training",Male,55.7
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,"School, education or training",Female,66.9
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,Illness or disability,Both sexes,13.3
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,Illness or disability,Male,5.7
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,Illness or disability,Female,7.5
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,Looking after children or incapacitated adults,Both sexes,93.5
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,Looking after children or incapacitated adults,Male,5.9
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,Looking after children or incapacitated adults,Female,87.6
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,Other personal or family reasons,Both sexes,123.8
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,Other personal or family reasons,Male,18.0
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,Other personal or family reasons,Female,105.8
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,Could not find full-time employment,Both sexes,63.2
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,Could not find full-time employment,Male,30.9
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,Could not find full-time employment,Female,32.3
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,Other reasons,Both sexes,66.7
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,Other reasons,Male,26.1
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,Other reasons,Female,40.6
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,No answer given,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,No answer given,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q1,No answer given,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,All reasons for being in part-time employment,Both sexes,371.3
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,All reasons for being in part-time employment,Male,111.9
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,All reasons for being in part-time employment,Female,259.3
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,"School, education or training",Both sexes,70.7
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,"School, education or training",Male,32.1
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,"School, education or training",Female,38.6
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,Illness or disability,Both sexes,11.1
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,Illness or disability,Male,5.0
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,Illness or disability,Female,6.1
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,Looking after children or incapacitated adults,Both sexes,77.1
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,Looking after children or incapacitated adults,Female,73.8
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,Other personal or family reasons,Both sexes,95.3
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,Other personal or family reasons,Male,16.2
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,Other personal or family reasons,Female,79.1
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,Could not find full-time employment,Both sexes,49.0
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,Could not find full-time employment,Male,24.8
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,Could not find full-time employment,Female,24.2
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,Other reasons,Both sexes,66.7
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,Other reasons,Male,30.1
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,Other reasons,Female,36.5
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,No answer given,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,No answer given,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q2,No answer given,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,All reasons for being in part-time employment,Both sexes,425.5
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,All reasons for being in part-time employment,Male,134.2
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,All reasons for being in part-time employment,Female,291.3
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,"School, education or training",Both sexes,88.7
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,"School, education or training",Male,41.3
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,"School, education or training",Female,47.4
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,Illness or disability,Both sexes,10.3
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,Illness or disability,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,Illness or disability,Female,6.1
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,Looking after children or incapacitated adults,Both sexes,84.5
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,Looking after children or incapacitated adults,Female,78.6
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,Other personal or family reasons,Both sexes,102.9
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,Other personal or family reasons,Male,15.3
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,Other personal or family reasons,Female,87.6
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,Could not find full-time employment,Both sexes,58.8
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,Could not find full-time employment,Male,31.2
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,Could not find full-time employment,Female,27.5
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,Other reasons,Both sexes,78.1
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,Other reasons,Male,35.5
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,Other reasons,Female,42.5
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,No answer given,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,No answer given,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q3,No answer given,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,All reasons for being in part-time employment,Both sexes,427.5
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,All reasons for being in part-time employment,Male,134.0
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,All reasons for being in part-time employment,Female,293.6
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,"School, education or training",Both sexes,91.2
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,"School, education or training",Male,42.0
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,"School, education or training",Female,49.2
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,Illness or disability,Both sexes,11.2
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,Illness or disability,Male,4.8
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,Illness or disability,Female,6.4
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,Looking after children or incapacitated adults,Both sexes,86.4
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,Looking after children or incapacitated adults,Female,80.7
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,Other personal or family reasons,Both sexes,101.4
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,Other personal or family reasons,Male,16.8
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,Other personal or family reasons,Female,84.7
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,Could not find full-time employment,Both sexes,53.7
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,Could not find full-time employment,Male,28.8
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,Could not find full-time employment,Female,24.9
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,Other reasons,Both sexes,82.6
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,Other reasons,Male,35.5
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,Other reasons,Female,47.1
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,No answer given,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,No answer given,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2020Q4,No answer given,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,All reasons for being in part-time employment,Both sexes,438.9
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,All reasons for being in part-time employment,Male,143.4
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,All reasons for being in part-time employment,Female,295.5
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,"School, education or training",Both sexes,96.5
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,"School, education or training",Male,46.0
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,"School, education or training",Female,50.6
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,Illness or disability,Both sexes,12.7
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,Illness or disability,Male,5.9
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,Illness or disability,Female,6.8
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,Looking after children or incapacitated adults,Both sexes,81.3
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,Looking after children or incapacitated adults,Female,75.6
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,Other personal or family reasons,Both sexes,56.6
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,Other personal or family reasons,Male,8.3
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,Other personal or family reasons,Female,48.3
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,Could not find full-time employment,Both sexes,52.6
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,Could not find full-time employment,Male,21.4
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,Could not find full-time employment,Female,31.2
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,Other reasons,Both sexes,129.9
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,Other reasons,Male,53.2
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,Other reasons,Female,76.8
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,No answer given,Both sexes,9.2
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,No answer given,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q1,No answer given,Female,6.3
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,All reasons for being in part-time employment,Both sexes,481.1
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,All reasons for being in part-time employment,Male,157.0
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,All reasons for being in part-time employment,Female,324.1
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,"School, education or training",Both sexes,104.7
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,"School, education or training",Male,48.1
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,"School, education or training",Female,56.6
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,Illness or disability,Both sexes,20.4
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,Illness or disability,Male,9.8
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,Illness or disability,Female,10.6
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,Looking after children or incapacitated adults,Both sexes,97.9
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,Looking after children or incapacitated adults,Female,91.7
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,Other personal or family reasons,Both sexes,62.7
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,Other personal or family reasons,Male,10.1
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,Other personal or family reasons,Female,52.6
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,Could not find full-time employment,Both sexes,62.2
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,Could not find full-time employment,Male,29.8
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,Could not find full-time employment,Female,32.4
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,Other reasons,Both sexes,128.3
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,Other reasons,Male,51.7
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,Other reasons,Female,76.6
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,No answer given,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,No answer given,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q2,No answer given,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,All reasons for being in part-time employment,Both sexes,540.0
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,All reasons for being in part-time employment,Male,169.1
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,All reasons for being in part-time employment,Female,370.8
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,"School, education or training",Both sexes,151.2
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,"School, education or training",Male,64.2
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,"School, education or training",Female,87.0
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,Illness or disability,Both sexes,16.9
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,Illness or disability,Male,7.6
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,Illness or disability,Female,9.2
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,Looking after children or incapacitated adults,Both sexes,113.6
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,Looking after children or incapacitated adults,Female,108.1
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,Other personal or family reasons,Both sexes,65.5
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,Other personal or family reasons,Male,8.8
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,Other personal or family reasons,Female,56.7
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,Could not find full-time employment,Both sexes,65.4
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,Could not find full-time employment,Male,31.3
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,Could not find full-time employment,Female,34.2
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,Other reasons,Both sexes,121.8
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,Other reasons,Male,50.1
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,Other reasons,Female,71.7
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,No answer given,Both sexes,5.5
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,No answer given,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q3,No answer given,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,All reasons for being in part-time employment,Both sexes,558.0
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,All reasons for being in part-time employment,Male,178.8
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,All reasons for being in part-time employment,Female,379.2
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,"School, education or training",Both sexes,157.5
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,"School, education or training",Male,64.6
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,"School, education or training",Female,92.9
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,Illness or disability,Both sexes,17.4
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,Illness or disability,Male,8.5
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,Illness or disability,Female,8.9
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,Looking after children or incapacitated adults,Both sexes,119.1
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,Looking after children or incapacitated adults,Male,6.5
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,Looking after children or incapacitated adults,Female,112.7
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,Other personal or family reasons,Both sexes,67.6
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,Other personal or family reasons,Male,11.3
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,Other personal or family reasons,Female,56.4
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,Could not find full-time employment,Both sexes,59.3
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,Could not find full-time employment,Male,27.6
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,Could not find full-time employment,Female,31.7
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,Other reasons,Both sexes,129.7
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,Other reasons,Male,57.3
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,Other reasons,Female,72.3
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,No answer given,Both sexes,7.3
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,No answer given,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2021Q4,No answer given,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,All reasons for being in part-time employment,Both sexes,540.5
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,All reasons for being in part-time employment,Male,172.0
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,All reasons for being in part-time employment,Female,368.5
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,"School, education or training",Both sexes,143.0
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,"School, education or training",Male,63.2
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,"School, education or training",Female,79.8
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,Illness or disability,Both sexes,16.1
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,Illness or disability,Male,7.4
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,Illness or disability,Female,8.7
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,Looking after children or incapacitated adults,Both sexes,123.0
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,Looking after children or incapacitated adults,Male,12.3
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,Looking after children or incapacitated adults,Female,110.7
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,Other personal or family reasons,Both sexes,59.2
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,Other personal or family reasons,Male,9.1
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,Other personal or family reasons,Female,50.1
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,Could not find full-time employment,Both sexes,50.5
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,Could not find full-time employment,Male,22.3
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,Could not find full-time employment,Female,28.2
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,Other reasons,Both sexes,134.3
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,Other reasons,Male,53.7
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,Other reasons,Female,80.6
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,No answer given,Both sexes,14.4
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,No answer given,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q1,No answer given,Female,10.3
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,All reasons for being in part-time employment,Both sexes,551.0
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,All reasons for being in part-time employment,Male,172.8
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,All reasons for being in part-time employment,Female,378.1
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,"School, education or training",Both sexes,141.0
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,"School, education or training",Male,56.7
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,"School, education or training",Female,84.3
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,Illness or disability,Both sexes,15.5
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,Illness or disability,Male,7.1
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,Illness or disability,Female,8.4
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,Looking after children or incapacitated adults,Both sexes,117.3
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,Looking after children or incapacitated adults,Male,8.1
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,Looking after children or incapacitated adults,Female,109.1
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,Other personal or family reasons,Both sexes,56.6
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,Other personal or family reasons,Male,8.6
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,Other personal or family reasons,Female,48.1
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,Could not find full-time employment,Both sexes,45.7
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,Could not find full-time employment,Male,23.4
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,Could not find full-time employment,Female,22.3
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,Other reasons,Both sexes,155.5
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,Other reasons,Male,62.7
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,Other reasons,Female,92.8
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,No answer given,Both sexes,19.3
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,No answer given,Male,6.2
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q2,No answer given,Female,13.1
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,All reasons for being in part-time employment,Both sexes,543.2
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,All reasons for being in part-time employment,Male,177.2
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,All reasons for being in part-time employment,Female,366.0
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,"School, education or training",Both sexes,131.2
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,"School, education or training",Male,58.1
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,"School, education or training",Female,73.2
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,Illness or disability,Both sexes,15.6
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,Illness or disability,Male,7.1
