Statistic,Nationality,NACE Rev 2 Economic Sector,Quarter,value
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2001Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2001Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2001Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2001Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2002Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2002Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2002Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2002Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2003Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2003Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2003Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2003Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2004Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2004Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2004Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2004Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2005Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2005Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2005Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2005Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2006Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2006Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2006Q3,2.8
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2006Q4,3.0
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2007Q1,3.2
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2007Q2,2.9
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2007Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2007Q4,2.5
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2008Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2008Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2008Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2008Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2009Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2009Q2,2.9
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2009Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2009Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2010Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2010Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2010Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2010Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2011Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2011Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2011Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2011Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2012Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2012Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2012Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2012Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2013Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2013Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2013Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2013Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2014Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2014Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2014Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2014Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2015Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2015Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2015Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2015Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2016Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2016Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2016Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2016Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2017Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2017Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2017Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2017Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2018Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2018Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2018Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2018Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2019Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2019Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2019Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Education (P),2019Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),1998Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),1998Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),1998Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),1998Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),1999Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),1999Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),1999Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),1999Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2000Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2000Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2000Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2000Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2001Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2001Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2001Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2001Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2002Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2002Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2002Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2002Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2003Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2003Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2003Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2003Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2004Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2004Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2004Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2004Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2005Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2005Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2005Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2005Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2006Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2006Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2006Q3,17.8
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2006Q4,17.4
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2007Q1,17.4
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2007Q2,18.1
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2007Q3,20.4
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2007Q4,18.7
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2008Q1,20.8
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2008Q2,19.9
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2008Q3,20.8
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2008Q4,20.8
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2009Q1,18.8
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2009Q2,20.0
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2009Q3,21.1
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2009Q4,19.8
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2010Q1,20.6
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2010Q2,21.9
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2010Q3,24.0
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2010Q4,23.1
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2011Q1,22.7
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2011Q2,22.6
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2011Q3,24.2
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2011Q4,21.4
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2012Q1,19.2
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2012Q2,18.7
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2012Q3,17.6
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2012Q4,17.9
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2013Q1,18.4
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2013Q2,17.5
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2013Q3,14.4
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2013Q4,11.7
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2014Q1,9.5
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2014Q2,8.1
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2014Q3,8.8
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2014Q4,8.3
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2015Q1,6.9
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2015Q2,8.4
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2015Q3,10.8
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2015Q4,9.3
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2016Q1,7.1
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2016Q2,9.2
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2016Q3,9.2
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2016Q4,11.7
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2017Q1,11.8
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2017Q2,13.8
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2017Q3,15.5
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2017Q4,10.3
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2018Q1,8.8
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2018Q2,12.7
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2018Q3,15.0
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2018Q4,18.0
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2019Q1,17.0
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2019Q2,19.7
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2019Q3,19.5
Persons aged 15 years and over in Employment,Other nationalities (7),Human health and social work activities (Q),2019Q4,18.9
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),1998Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),1998Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),1998Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),1998Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),1999Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),1999Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),1999Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),1999Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2000Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2000Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2000Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2000Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2001Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2001Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2001Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2001Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2002Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2002Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2002Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2002Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2003Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2003Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2003Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2003Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2004Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2004Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2004Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2004Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2005Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2005Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2005Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2005Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2006Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2006Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2006Q3,9.6
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2006Q4,12.8
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2007Q1,10.5
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2007Q2,10.5
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2007Q3,9.7
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2007Q4,8.1
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2008Q1,7.7
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2008Q2,7.6
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2008Q3,7.7
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2008Q4,7.6
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2009Q1,6.1
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2009Q2,7.8
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2009Q3,6.6
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2009Q4,8.2
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2010Q1,7.8
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2010Q2,8.0
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2010Q3,8.2
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2010Q4,8.1
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2011Q1,9.1
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2011Q2,8.9
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2011Q3,9.0
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2011Q4,9.9
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2012Q1,7.0
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2012Q2,6.0
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2012Q3,5.8
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2012Q4,4.6
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2013Q1,5.1
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2013Q2,4.5
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2013Q3,5.1
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2013Q4,4.6
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2014Q1,5.7
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2014Q2,5.3
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2014Q3,4.5
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2014Q4,5.9
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2015Q1,6.3
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2015Q2,6.0
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2015Q3,6.8
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2015Q4,5.7
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2016Q1,4.9
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2016Q2,5.1
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2016Q3,7.8
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2016Q4,5.1
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2017Q1,4.7
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2017Q2,6.7
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2017Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2017Q4,8.2
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2018Q1,8.2
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2018Q2,11.7
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2018Q3,8.9
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2018Q4,8.7
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2019Q1,7.9
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2019Q2,8.8
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2019Q3,7.9
Persons aged 15 years and over in Employment,Other nationalities (7),Industry (B to E),2019Q4,8.5
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",1998Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",1998Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",1998Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",1998Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",1999Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",1999Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",1999Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",1999Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2000Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2000Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2000Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2000Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2001Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2001Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2001Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2001Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2002Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2002Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2002Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2002Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2003Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2003Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2003Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2003Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2004Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2004Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2004Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2004Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2005Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2005Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2005Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2005Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2006Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2006Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2006Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2006Q4,2.9
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2007Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2007Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2007Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2007Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2008Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2008Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2008Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2008Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2009Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2009Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2009Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2009Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2010Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2010Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2010Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2010Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2011Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2011Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2011Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2011Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2012Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2012Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2012Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2012Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2013Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2013Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2013Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2013Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2014Q1,
