STATISTIC,Quarter,Sex,Usual Hours Worked,value
Persons aged 15-89 years in Employment,2009Q3,Female,35-39 hours,337.0
Persons aged 15-89 years in Employment,2009Q3,Female,40-44 hours,109.0
Persons aged 15-89 years in Employment,2009Q3,Female,45 hours and over,31.6
Persons aged 15-89 years in Employment,2009Q3,Female,Variable hours (see note),65.9
Persons aged 15-89 years in Employment,2009Q4,Both sexes,1-9 hours,41.2
Persons aged 15-89 years in Employment,2009Q4,Both sexes,10-19 hours,134.2
Persons aged 15-89 years in Employment,2009Q4,Both sexes,20-29 hours,251.8
Persons aged 15-89 years in Employment,2009Q4,Both sexes,30-34 hours,93.6
Persons aged 15-89 years in Employment,2009Q4,Both sexes,35-39 hours,666.8
Persons aged 15-89 years in Employment,2009Q4,Both sexes,40-44 hours,358.2
Persons aged 15-89 years in Employment,2009Q4,Both sexes,45 hours and over,188.6
Persons aged 15-89 years in Employment,2009Q4,Both sexes,Variable hours (see note),236.3
Persons aged 15-89 years in Employment,2009Q4,Male,1-9 hours,11.5
Persons aged 15-89 years in Employment,2009Q4,Male,10-19 hours,32.3
Persons aged 15-89 years in Employment,2009Q4,Male,20-29 hours,65.5
Persons aged 15-89 years in Employment,2009Q4,Male,30-34 hours,26.9
Persons aged 15-89 years in Employment,2009Q4,Male,35-39 hours,346.7
Persons aged 15-89 years in Employment,2009Q4,Male,40-44 hours,247.8
Persons aged 15-89 years in Employment,2009Q4,Male,45 hours and over,158.2
Persons aged 15-89 years in Employment,2009Q4,Male,Variable hours (see note),170.8
Persons aged 15-89 years in Employment,2009Q4,Female,1-9 hours,29.6
Persons aged 15-89 years in Employment,2009Q4,Female,10-19 hours,101.9
Persons aged 15-89 years in Employment,2009Q4,Female,20-29 hours,186.2
Persons aged 15-89 years in Employment,2009Q4,Female,30-34 hours,66.7
Persons aged 15-89 years in Employment,2009Q4,Female,35-39 hours,320.0
Persons aged 15-89 years in Employment,2009Q4,Female,40-44 hours,110.5
Persons aged 15-89 years in Employment,2009Q4,Female,45 hours and over,30.5
Persons aged 15-89 years in Employment,2009Q4,Female,Variable hours (see note),65.5
Persons aged 15-89 years in Employment,2010Q1,Both sexes,1-9 hours,46.1
Persons aged 15-89 years in Employment,2010Q1,Both sexes,10-19 hours,128.7
Persons aged 15-89 years in Employment,2010Q1,Both sexes,20-29 hours,244.7
Persons aged 15-89 years in Employment,2010Q1,Both sexes,30-34 hours,96.0
Persons aged 15-89 years in Employment,2010Q1,Both sexes,35-39 hours,664.8
Persons aged 15-89 years in Employment,2010Q1,Both sexes,40-44 hours,337.9
Persons aged 15-89 years in Employment,2010Q1,Both sexes,45 hours and over,180.3
Persons aged 15-89 years in Employment,2010Q1,Both sexes,Variable hours (see note),236.1
Persons aged 15-89 years in Employment,2010Q1,Male,1-9 hours,14.0
Persons aged 15-89 years in Employment,2010Q1,Male,10-19 hours,30.2
Persons aged 15-89 years in Employment,2010Q1,Male,20-29 hours,63.8
Persons aged 15-89 years in Employment,2010Q1,Male,30-34 hours,27.4
Persons aged 15-89 years in Employment,2010Q1,Male,35-39 hours,346.3
Persons aged 15-89 years in Employment,2010Q1,Male,40-44 hours,234.5
Persons aged 15-89 years in Employment,2010Q1,Male,45 hours and over,151.4
Persons aged 15-89 years in Employment,2010Q1,Male,Variable hours (see note),169.1
Persons aged 15-89 years in Employment,2010Q1,Female,1-9 hours,32.1
Persons aged 15-89 years in Employment,2010Q1,Female,10-19 hours,98.5
Persons aged 15-89 years in Employment,2010Q1,Female,20-29 hours,180.9
Persons aged 15-89 years in Employment,2010Q1,Female,30-34 hours,68.6
Persons aged 15-89 years in Employment,2010Q1,Female,35-39 hours,318.4
Persons aged 15-89 years in Employment,2010Q1,Female,40-44 hours,103.4
Persons aged 15-89 years in Employment,2010Q1,Female,45 hours and over,28.9
Persons aged 15-89 years in Employment,2010Q1,Female,Variable hours (see note),67.1
Persons aged 15-89 years in Employment,2010Q2,Both sexes,1-9 hours,38.7
Persons aged 15-89 years in Employment,2010Q2,Both sexes,10-19 hours,130.7
Persons aged 15-89 years in Employment,2010Q2,Both sexes,20-29 hours,247.4
Persons aged 15-89 years in Employment,2010Q2,Both sexes,30-34 hours,94.2
Persons aged 15-89 years in Employment,2010Q2,Both sexes,35-39 hours,647.8
Persons aged 15-89 years in Employment,2010Q2,Both sexes,40-44 hours,350.5
Persons aged 15-89 years in Employment,2010Q2,Both sexes,45 hours and over,188.5
Persons aged 15-89 years in Employment,2010Q2,Both sexes,Variable hours (see note),238.6
Persons aged 15-89 years in Employment,2010Q2,Male,1-9 hours,10.8
Persons aged 15-89 years in Employment,2010Q2,Male,10-19 hours,30.3
Persons aged 15-89 years in Employment,2010Q2,Male,20-29 hours,67.3
Persons aged 15-89 years in Employment,2010Q2,Male,30-34 hours,24.6
Persons aged 15-89 years in Employment,2010Q2,Male,35-39 hours,338.9
Persons aged 15-89 years in Employment,2010Q2,Male,40-44 hours,239.7
Persons aged 15-89 years in Employment,2010Q2,Male,45 hours and over,156.1
Persons aged 15-89 years in Employment,2010Q2,Male,Variable hours (see note),171.1
Persons aged 15-89 years in Employment,2010Q2,Female,1-9 hours,27.8
Persons aged 15-89 years in Employment,2010Q2,Female,10-19 hours,100.4
Persons aged 15-89 years in Employment,2010Q2,Female,20-29 hours,180.1
Persons aged 15-89 years in Employment,2010Q2,Female,30-34 hours,69.7
Persons aged 15-89 years in Employment,2010Q2,Female,35-39 hours,308.9
Persons aged 15-89 years in Employment,2010Q2,Female,40-44 hours,110.8
Persons aged 15-89 years in Employment,2010Q2,Female,45 hours and over,32.4
Persons aged 15-89 years in Employment,2010Q2,Female,Variable hours (see note),67.4
Persons aged 15-89 years in Employment,2010Q3,Both sexes,1-9 hours,40.6
Persons aged 15-89 years in Employment,2010Q3,Both sexes,10-19 hours,128.7
Persons aged 15-89 years in Employment,2010Q3,Both sexes,20-29 hours,248.3
Persons aged 15-89 years in Employment,2010Q3,Both sexes,30-34 hours,92.5
Persons aged 15-89 years in Employment,2010Q3,Both sexes,35-39 hours,653.5
Persons aged 15-89 years in Employment,2010Q3,Both sexes,40-44 hours,347.7
Persons aged 15-89 years in Employment,2010Q3,Both sexes,45 hours and over,188.1
Persons aged 15-89 years in Employment,2010Q3,Both sexes,Variable hours (see note),231.0
Persons aged 15-89 years in Employment,2010Q3,Male,1-9 hours,10.7
Persons aged 15-89 years in Employment,2010Q3,Male,10-19 hours,30.8
Persons aged 15-89 years in Employment,2010Q3,Male,20-29 hours,66.3
Persons aged 15-89 years in Employment,2010Q3,Male,30-34 hours,26.3
Persons aged 15-89 years in Employment,2010Q3,Male,35-39 hours,344.9
Persons aged 15-89 years in Employment,2010Q3,Male,40-44 hours,239.6
Persons aged 15-89 years in Employment,2010Q3,Male,45 hours and over,155.6
Persons aged 15-89 years in Employment,2010Q3,Male,Variable hours (see note),164.7
Persons aged 15-89 years in Employment,2010Q3,Female,1-9 hours,29.9
Persons aged 15-89 years in Employment,2010Q3,Female,10-19 hours,97.9
Persons aged 15-89 years in Employment,2010Q3,Female,20-29 hours,182.0
Persons aged 15-89 years in Employment,2010Q3,Female,30-34 hours,66.1
Persons aged 15-89 years in Employment,2010Q3,Female,35-39 hours,308.6
Persons aged 15-89 years in Employment,2010Q3,Female,40-44 hours,108.1
Persons aged 15-89 years in Employment,2010Q3,Female,45 hours and over,32.5
Persons aged 15-89 years in Employment,2010Q3,Female,Variable hours (see note),66.4
Persons aged 15-89 years in Employment,2010Q4,Both sexes,1-9 hours,46.9
Persons aged 15-89 years in Employment,2010Q4,Both sexes,10-19 hours,134.4
Persons aged 15-89 years in Employment,2010Q4,Both sexes,20-29 hours,248.9
Persons aged 15-89 years in Employment,2010Q4,Both sexes,30-34 hours,88.8
Persons aged 15-89 years in Employment,2010Q4,Both sexes,35-39 hours,619.0
Persons aged 15-89 years in Employment,2010Q4,Both sexes,40-44 hours,352.3
Persons aged 15-89 years in Employment,2010Q4,Both sexes,45 hours and over,182.7
Persons aged 15-89 years in Employment,2010Q4,Both sexes,Variable hours (see note),223.7
Persons aged 15-89 years in Employment,2010Q4,Male,1-9 hours,13.8
Persons aged 15-89 years in Employment,2010Q4,Male,10-19 hours,31.6
Persons aged 15-89 years in Employment,2010Q4,Male,20-29 hours,64.8
Persons aged 15-89 years in Employment,2010Q4,Male,30-34 hours,25.3
Persons aged 15-89 years in Employment,2010Q4,Male,35-39 hours,324.5
Persons aged 15-89 years in Employment,2010Q4,Male,40-44 hours,238.8
Persons aged 15-89 years in Employment,2010Q4,Male,45 hours and over,152.9
Persons aged 15-89 years in Employment,2010Q4,Male,Variable hours (see note),163.1
Persons aged 15-89 years in Employment,2010Q4,Female,1-9 hours,33.1
Persons aged 15-89 years in Employment,2010Q4,Female,10-19 hours,102.8
Persons aged 15-89 years in Employment,2010Q4,Female,20-29 hours,184.1
Persons aged 15-89 years in Employment,2010Q4,Female,30-34 hours,63.5
Persons aged 15-89 years in Employment,2010Q4,Female,35-39 hours,294.5
Persons aged 15-89 years in Employment,2010Q4,Female,40-44 hours,113.5
Persons aged 15-89 years in Employment,2010Q4,Female,45 hours and over,29.9
Persons aged 15-89 years in Employment,2010Q4,Female,Variable hours (see note),60.5
Persons aged 15-89 years in Employment,2011Q1,Both sexes,1-9 hours,52.4
Persons aged 15-89 years in Employment,2011Q1,Both sexes,10-19 hours,135.8
Persons aged 15-89 years in Employment,2011Q1,Both sexes,20-29 hours,254.1
Persons aged 15-89 years in Employment,2011Q1,Both sexes,30-34 hours,91.0
Persons aged 15-89 years in Employment,2011Q1,Both sexes,35-39 hours,591.5
Persons aged 15-89 years in Employment,2011Q1,Both sexes,40-44 hours,358.4
Persons aged 15-89 years in Employment,2011Q1,Both sexes,45 hours and over,187.1
Persons aged 15-89 years in Employment,2011Q1,Both sexes,Variable hours (see note),207.8
Persons aged 15-89 years in Employment,2011Q1,Male,1-9 hours,16.7
Persons aged 15-89 years in Employment,2011Q1,Male,10-19 hours,29.7
Persons aged 15-89 years in Employment,2011Q1,Male,20-29 hours,66.9
Persons aged 15-89 years in Employment,2011Q1,Male,30-34 hours,26.0
Persons aged 15-89 years in Employment,2011Q1,Male,35-39 hours,313.0
Persons aged 15-89 years in Employment,2011Q1,Male,40-44 hours,245.0
Persons aged 15-89 years in Employment,2011Q1,Male,45 hours and over,154.3
Persons aged 15-89 years in Employment,2011Q1,Male,Variable hours (see note),151.4
Persons aged 15-89 years in Employment,2011Q1,Female,1-9 hours,35.7
Persons aged 15-89 years in Employment,2011Q1,Female,10-19 hours,106.1
Persons aged 15-89 years in Employment,2011Q1,Female,20-29 hours,187.2
Persons aged 15-89 years in Employment,2011Q1,Female,30-34 hours,65.0
Persons aged 15-89 years in Employment,2011Q1,Female,35-39 hours,278.5
Persons aged 15-89 years in Employment,2011Q1,Female,40-44 hours,113.4
Persons aged 15-89 years in Employment,2011Q1,Female,45 hours and over,32.7
Persons aged 15-89 years in Employment,2011Q1,Female,Variable hours (see note),56.4
Persons aged 15-89 years in Employment,2011Q2,Both sexes,1-9 hours,44.3
Persons aged 15-89 years in Employment,2011Q2,Both sexes,10-19 hours,135.7
Persons aged 15-89 years in Employment,2011Q2,Both sexes,20-29 hours,252.1
Persons aged 15-89 years in Employment,2011Q2,Both sexes,30-34 hours,95.5
Persons aged 15-89 years in Employment,2011Q2,Both sexes,35-39 hours,597.6
Persons aged 15-89 years in Employment,2011Q2,Both sexes,40-44 hours,369.0
Persons aged 15-89 years in Employment,2011Q2,Both sexes,45 hours and over,202.2
Persons aged 15-89 years in Employment,2011Q2,Both sexes,Variable hours (see note),203.1
Persons aged 15-89 years in Employment,2011Q2,Male,1-9 hours,12.2
Persons aged 15-89 years in Employment,2011Q2,Male,10-19 hours,33.3
Persons aged 15-89 years in Employment,2011Q2,Male,20-29 hours,66.6
Persons aged 15-89 years in Employment,2011Q2,Male,30-34 hours,26.7
Persons aged 15-89 years in Employment,2011Q2,Male,35-39 hours,312.2
Persons aged 15-89 years in Employment,2011Q2,Male,40-44 hours,247.1
Persons aged 15-89 years in Employment,2011Q2,Male,45 hours and over,167.5
Persons aged 15-89 years in Employment,2011Q2,Male,Variable hours (see note),147.2
Persons aged 15-89 years in Employment,2011Q2,Female,1-9 hours,32.1
Persons aged 15-89 years in Employment,2011Q2,Female,10-19 hours,102.4
Persons aged 15-89 years in Employment,2011Q2,Female,20-29 hours,185.5
Persons aged 15-89 years in Employment,2011Q2,Female,30-34 hours,68.8
Persons aged 15-89 years in Employment,2011Q2,Female,35-39 hours,285.4
Persons aged 15-89 years in Employment,2011Q2,Female,40-44 hours,121.9
Persons aged 15-89 years in Employment,2011Q2,Female,45 hours and over,34.7
Persons aged 15-89 years in Employment,2011Q2,Female,Variable hours (see note),56.0
Persons aged 15-89 years in Employment,2011Q3,Both sexes,1-9 hours,41.8
Persons aged 15-89 years in Employment,2011Q3,Both sexes,10-19 hours,133.8
Persons aged 15-89 years in Employment,2011Q3,Both sexes,20-29 hours,251.5
Persons aged 15-89 years in Employment,2011Q3,Both sexes,30-34 hours,100.3
Persons aged 15-89 years in Employment,2011Q3,Both sexes,35-39 hours,588.2
Persons aged 15-89 years in Employment,2011Q3,Both sexes,40-44 hours,369.0
Persons aged 15-89 years in Employment,2011Q3,Both sexes,45 hours and over,200.3
Persons aged 15-89 years in Employment,2011Q3,Both sexes,Variable hours (see note),200.7
Persons aged 15-89 years in Employment,2011Q3,Male,1-9 hours,11.1
Persons aged 15-89 years in Employment,2011Q3,Male,10-19 hours,33.2
Persons aged 15-89 years in Employment,2011Q3,Male,20-29 hours,70.2
Persons aged 15-89 years in Employment,2011Q3,Male,30-34 hours,29.9
Persons aged 15-89 years in Employment,2011Q3,Male,35-39 hours,304.2
Persons aged 15-89 years in Employment,2011Q3,Male,40-44 hours,249.3
Persons aged 15-89 years in Employment,2011Q3,Male,45 hours and over,165.7
Persons aged 15-89 years in Employment,2011Q3,Male,Variable hours (see note),147.6
Persons aged 15-89 years in Employment,2011Q3,Female,1-9 hours,30.7
Persons aged 15-89 years in Employment,2011Q3,Female,10-19 hours,100.6
Persons aged 15-89 years in Employment,2011Q3,Female,20-29 hours,181.4
Persons aged 15-89 years in Employment,2011Q3,Female,30-34 hours,70.5
Persons aged 15-89 years in Employment,2011Q3,Female,35-39 hours,284.0
Persons aged 15-89 years in Employment,2011Q3,Female,40-44 hours,119.7
Persons aged 15-89 years in Employment,2011Q3,Female,45 hours and over,34.5
Persons aged 15-89 years in Employment,2011Q3,Female,Variable hours (see note),53.1
Persons aged 15-89 years in Employment,2011Q4,Both sexes,1-9 hours,41.6
Persons aged 15-89 years in Employment,2011Q4,Both sexes,10-19 hours,138.8
Persons aged 15-89 years in Employment,2011Q4,Both sexes,20-29 hours,252.3
Persons aged 15-89 years in Employment,2011Q4,Both sexes,30-34 hours,97.3
Persons aged 15-89 years in Employment,2011Q4,Both sexes,35-39 hours,594.5
Persons aged 15-89 years in Employment,2011Q4,Both sexes,40-44 hours,373.3
Persons aged 15-89 years in Employment,2011Q4,Both sexes,45 hours and over,190.8
Persons aged 15-89 years in Employment,2011Q4,Both sexes,Variable hours (see note),197.9
Persons aged 15-89 years in Employment,2011Q4,Male,1-9 hours,12.6
Persons aged 15-89 years in Employment,2011Q4,Male,10-19 hours,34.6
Persons aged 15-89 years in Employment,2011Q4,Male,20-29 hours,69.3
Persons aged 15-89 years in Employment,2011Q4,Male,30-34 hours,27.5
Persons aged 15-89 years in Employment,2011Q4,Male,35-39 hours,308.5
Persons aged 15-89 years in Employment,2011Q4,Male,40-44 hours,253.2
Persons aged 15-89 years in Employment,2011Q4,Male,45 hours and over,157.7
Persons aged 15-89 years in Employment,2011Q4,Male,Variable hours (see note),145.1
Persons aged 15-89 years in Employment,2011Q4,Female,1-9 hours,29.0
Persons aged 15-89 years in Employment,2011Q4,Female,10-19 hours,104.2
Persons aged 15-89 years in Employment,2011Q4,Female,20-29 hours,182.9
Persons aged 15-89 years in Employment,2011Q4,Female,30-34 hours,69.8
Persons aged 15-89 years in Employment,2011Q4,Female,35-39 hours,285.9
Persons aged 15-89 years in Employment,2011Q4,Female,40-44 hours,120.2
Persons aged 15-89 years in Employment,2011Q4,Female,45 hours and over,33.0
Persons aged 15-89 years in Employment,2011Q4,Female,Variable hours (see note),52.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,1-9 hours,45.5
Persons aged 15-89 years in Employment,2012Q1,Both sexes,10-19 hours,137.2
Persons aged 15-89 years in Employment,2012Q1,Both sexes,20-29 hours,246.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,30-34 hours,97.0
Persons aged 15-89 years in Employment,2012Q1,Both sexes,35-39 hours,568.5
Persons aged 15-89 years in Employment,2012Q1,Both sexes,40-44 hours,372.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,45 hours and over,197.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Variable hours (see note),197.0
Persons aged 15-89 years in Employment,2012Q1,Male,1-9 hours,12.7
Persons aged 15-89 years in Employment,2012Q1,Male,10-19 hours,33.7
Persons aged 15-89 years in Employment,2012Q1,Male,20-29 hours,67.3
Persons aged 15-89 years in Employment,2012Q1,Male,30-34 hours,28.8
Persons aged 15-89 years in Employment,2012Q1,Male,35-39 hours,292.3
Persons aged 15-89 years in Employment,2012Q1,Male,40-44 hours,248.6
Persons aged 15-89 years in Employment,2012Q1,Male,45 hours and over,163.9
Persons aged 15-89 years in Employment,2012Q1,Male,Variable hours (see note),144.1
Persons aged 15-89 years in Employment,2012Q1,Female,1-9 hours,32.8
Persons aged 15-89 years in Employment,2012Q1,Female,10-19 hours,103.5
Persons aged 15-89 years in Employment,2012Q1,Female,20-29 hours,179.7
Persons aged 15-89 years in Employment,2012Q1,Female,30-34 hours,68.2
Persons aged 15-89 years in Employment,2012Q1,Female,35-39 hours,276.2
Persons aged 15-89 years in Employment,2012Q1,Female,40-44 hours,124.2
Persons aged 15-89 years in Employment,2012Q1,Female,45 hours and over,33.8
Persons aged 15-89 years in Employment,2012Q1,Female,Variable hours (see note),52.9
Persons aged 15-89 years in Employment,2012Q2,Both sexes,1-9 hours,38.4
Persons aged 15-89 years in Employment,2012Q2,Both sexes,10-19 hours,124.1
Persons aged 15-89 years in Employment,2012Q2,Both sexes,20-29 hours,235.0
Persons aged 15-89 years in Employment,2012Q2,Both sexes,30-34 hours,90.9
Persons aged 15-89 years in Employment,2012Q2,Both sexes,35-39 hours,564.3
Persons aged 15-89 years in Employment,2012Q2,Both sexes,40-44 hours,371.6
Persons aged 15-89 years in Employment,2012Q2,Both sexes,45 hours and over,186.5
Persons aged 15-89 years in Employment,2012Q2,Both sexes,Variable hours (see note),265.9
Persons aged 15-89 years in Employment,2012Q2,Male,1-9 hours,10.7
Persons aged 15-89 years in Employment,2012Q2,Male,10-19 hours,33.3
Persons aged 15-89 years in Employment,2012Q2,Male,20-29 hours,63.9
Persons aged 15-89 years in Employment,2012Q2,Male,30-34 hours,24.7
Persons aged 15-89 years in Employment,2012Q2,Male,35-39 hours,281.7
Persons aged 15-89 years in Employment,2012Q2,Male,40-44 hours,247.9
Persons aged 15-89 years in Employment,2012Q2,Male,45 hours and over,154.8
Persons aged 15-89 years in Employment,2012Q2,Male,Variable hours (see note),181.4
Persons aged 15-89 years in Employment,2012Q2,Female,1-9 hours,27.7
Persons aged 15-89 years in Employment,2012Q2,Female,10-19 hours,90.8
Persons aged 15-89 years in Employment,2012Q2,Female,20-29 hours,171.2
Persons aged 15-89 years in Employment,2012Q2,Female,30-34 hours,66.2
Persons aged 15-89 years in Employment,2012Q2,Female,35-39 hours,282.6
Persons aged 15-89 years in Employment,2012Q2,Female,40-44 hours,123.7
Persons aged 15-89 years in Employment,2012Q2,Female,45 hours and over,31.8
Persons aged 15-89 years in Employment,2012Q2,Female,Variable hours (see note),84.5
Persons aged 15-89 years in Employment,2012Q3,Both sexes,1-9 hours,34.0
Persons aged 15-89 years in Employment,2012Q3,Both sexes,10-19 hours,122.2
Persons aged 15-89 years in Employment,2012Q3,Both sexes,20-29 hours,254.0
Persons aged 15-89 years in Employment,2012Q3,Both sexes,30-34 hours,95.6
Persons aged 15-89 years in Employment,2012Q3,Both sexes,35-39 hours,567.1
Persons aged 15-89 years in Employment,2012Q3,Both sexes,40-44 hours,385.8
Persons aged 15-89 years in Employment,2012Q3,Both sexes,45 hours and over,187.3
Persons aged 15-89 years in Employment,2012Q3,Both sexes,Variable hours (see note),242.3
Persons aged 15-89 years in Employment,2012Q3,Male,1-9 hours,9.1
Persons aged 15-89 years in Employment,2012Q3,Male,10-19 hours,32.2
Persons aged 15-89 years in Employment,2012Q3,Male,20-29 hours,75.5
Persons aged 15-89 years in Employment,2012Q3,Male,30-34 hours,27.6
Persons aged 15-89 years in Employment,2012Q3,Male,35-39 hours,284.5
Persons aged 15-89 years in Employment,2012Q3,Male,40-44 hours,261.1
Persons aged 15-89 years in Employment,2012Q3,Male,45 hours and over,152.5
Persons aged 15-89 years in Employment,2012Q3,Male,Variable hours (see note),168.6
Persons aged 15-89 years in Employment,2012Q3,Female,1-9 hours,24.9
Persons aged 15-89 years in Employment,2012Q3,Female,10-19 hours,90.0
Persons aged 15-89 years in Employment,2012Q3,Female,20-29 hours,178.5
Persons aged 15-89 years in Employment,2012Q3,Female,30-34 hours,68.0
Persons aged 15-89 years in Employment,2012Q3,Female,35-39 hours,282.6
Persons aged 15-89 years in Employment,2012Q3,Female,40-44 hours,124.7
Persons aged 15-89 years in Employment,2012Q3,Female,45 hours and over,34.8
Persons aged 15-89 years in Employment,2012Q3,Female,Variable hours (see note),73.7
Persons aged 15-89 years in Employment,2012Q4,Both sexes,1-9 hours,44.4
Persons aged 15-89 years in Employment,2012Q4,Both sexes,10-19 hours,122.2
Persons aged 15-89 years in Employment,2012Q4,Both sexes,20-29 hours,247.5
Persons aged 15-89 years in Employment,2012Q4,Both sexes,30-34 hours,89.8
Persons aged 15-89 years in Employment,2012Q4,Both sexes,35-39 hours,575.8
Persons aged 15-89 years in Employment,2012Q4,Both sexes,40-44 hours,392.9
Persons aged 15-89 years in Employment,2012Q4,Both sexes,45 hours and over,187.6
Persons aged 15-89 years in Employment,2012Q4,Both sexes,Variable hours (see note),232.7
Persons aged 15-89 years in Employment,2012Q4,Male,1-9 hours,14.6
Persons aged 15-89 years in Employment,2012Q4,Male,10-19 hours,33.8
Persons aged 15-89 years in Employment,2012Q4,Male,20-29 hours,68.0
Persons aged 15-89 years in Employment,2012Q4,Male,30-34 hours,26.1
Persons aged 15-89 years in Employment,2012Q4,Male,35-39 hours,294.4
Persons aged 15-89 years in Employment,2012Q4,Male,40-44 hours,263.1
Persons aged 15-89 years in Employment,2012Q4,Male,45 hours and over,153.1
Persons aged 15-89 years in Employment,2012Q4,Male,Variable hours (see note),158.7
Persons aged 15-89 years in Employment,2012Q4,Female,1-9 hours,29.8
Persons aged 15-89 years in Employment,2012Q4,Female,10-19 hours,88.4
Persons aged 15-89 years in Employment,2012Q4,Female,20-29 hours,179.5
Persons aged 15-89 years in Employment,2012Q4,Female,30-34 hours,63.7
Persons aged 15-89 years in Employment,2012Q4,Female,35-39 hours,281.4
Persons aged 15-89 years in Employment,2012Q4,Female,40-44 hours,129.8
Persons aged 15-89 years in Employment,2012Q4,Female,45 hours and over,34.5
Persons aged 15-89 years in Employment,2012Q4,Female,Variable hours (see note),74.0
Persons aged 15-89 years in Employment,2013Q1,Both sexes,1-9 hours,43.7
Persons aged 15-89 years in Employment,2013Q1,Both sexes,10-19 hours,124.8
Persons aged 15-89 years in Employment,2013Q1,Both sexes,20-29 hours,241.7
Persons aged 15-89 years in Employment,2013Q1,Both sexes,30-34 hours,98.2
Persons aged 15-89 years in Employment,2013Q1,Both sexes,35-39 hours,544.7
Persons aged 15-89 years in Employment,2013Q1,Both sexes,40-44 hours,399.4
Persons aged 15-89 years in Employment,2013Q1,Both sexes,45 hours and over,185.2
Persons aged 15-89 years in Employment,2013Q1,Both sexes,Variable hours (see note),255.7
Persons aged 15-89 years in Employment,2013Q1,Male,1-9 hours,13.4
Persons aged 15-89 years in Employment,2013Q1,Male,10-19 hours,35.4
Persons aged 15-89 years in Employment,2013Q1,Male,20-29 hours,67.6
Persons aged 15-89 years in Employment,2013Q1,Male,30-34 hours,27.5
Persons aged 15-89 years in Employment,2013Q1,Male,35-39 hours,279.1
Persons aged 15-89 years in Employment,2013Q1,Male,40-44 hours,271.1
Persons aged 15-89 years in Employment,2013Q1,Male,45 hours and over,150.3
Persons aged 15-89 years in Employment,2013Q1,Male,Variable hours (see note),173.6
Persons aged 15-89 years in Employment,2013Q1,Female,1-9 hours,30.3
Persons aged 15-89 years in Employment,2013Q1,Female,10-19 hours,89.4
Persons aged 15-89 years in Employment,2013Q1,Female,20-29 hours,174.1
Persons aged 15-89 years in Employment,2013Q1,Female,30-34 hours,70.7
Persons aged 15-89 years in Employment,2013Q1,Female,35-39 hours,265.6
Persons aged 15-89 years in Employment,2013Q1,Female,40-44 hours,128.4
Persons aged 15-89 years in Employment,2013Q1,Female,45 hours and over,34.8
Persons aged 15-89 years in Employment,2013Q1,Female,Variable hours (see note),82.0
Persons aged 15-89 years in Employment,2013Q2,Both sexes,1-9 hours,40.6
Persons aged 15-89 years in Employment,2013Q2,Both sexes,10-19 hours,120.5
Persons aged 15-89 years in Employment,2013Q2,Both sexes,20-29 hours,250.5
Persons aged 15-89 years in Employment,2013Q2,Both sexes,30-34 hours,97.3
Persons aged 15-89 years in Employment,2013Q2,Both sexes,35-39 hours,569.5
Persons aged 15-89 years in Employment,2013Q2,Both sexes,40-44 hours,395.9
Persons aged 15-89 years in Employment,2013Q2,Both sexes,45 hours and over,199.6
Persons aged 15-89 years in Employment,2013Q2,Both sexes,Variable hours (see note),250.2
Persons aged 15-89 years in Employment,2013Q2,Male,1-9 hours,11.5
Persons aged 15-89 years in Employment,2013Q2,Male,10-19 hours,33.6
Persons aged 15-89 years in Employment,2013Q2,Male,20-29 hours,72.9
Persons aged 15-89 years in Employment,2013Q2,Male,30-34 hours,26.1
Persons aged 15-89 years in Employment,2013Q2,Male,35-39 hours,294.1
Persons aged 15-89 years in Employment,2013Q2,Male,40-44 hours,263.9
Persons aged 15-89 years in Employment,2013Q2,Male,45 hours and over,161.8
Persons aged 15-89 years in Employment,2013Q2,Male,Variable hours (see note),170.5
Persons aged 15-89 years in Employment,2013Q2,Female,1-9 hours,29.1
Persons aged 15-89 years in Employment,2013Q2,Female,10-19 hours,87.0
Persons aged 15-89 years in Employment,2013Q2,Female,20-29 hours,177.7
Persons aged 15-89 years in Employment,2013Q2,Female,30-34 hours,71.2
Persons aged 15-89 years in Employment,2013Q2,Female,35-39 hours,275.4
Persons aged 15-89 years in Employment,2013Q2,Female,40-44 hours,132.0
Persons aged 15-89 years in Employment,2013Q2,Female,45 hours and over,37.8
Persons aged 15-89 years in Employment,2013Q2,Female,Variable hours (see note),79.7
Persons aged 15-89 years in Employment,2013Q3,Both sexes,1-9 hours,36.3
Persons aged 15-89 years in Employment,2013Q3,Both sexes,10-19 hours,113.2
Persons aged 15-89 years in Employment,2013Q3,Both sexes,20-29 hours,248.1
Persons aged 15-89 years in Employment,2013Q3,Both sexes,30-34 hours,95.8
Persons aged 15-89 years in Employment,2013Q3,Both sexes,35-39 hours,585.9
Persons aged 15-89 years in Employment,2013Q3,Both sexes,40-44 hours,425.0
Persons aged 15-89 years in Employment,2013Q3,Both sexes,45 hours and over,197.7
Persons aged 15-89 years in Employment,2013Q3,Both sexes,Variable hours (see note),259.9
Persons aged 15-89 years in Employment,2013Q3,Male,1-9 hours,8.8
Persons aged 15-89 years in Employment,2013Q3,Male,10-19 hours,34.6
