Statistic,Quarter,Sex,NACE Rev 2 Economic Sector,value
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q3,Female,Human health and social work activities (Q),230.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q3,Female,Industry (B to E),81.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q3,Female,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q3,Female,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q3,Female,"Financial, insurance and real estate activities (K,L)",56.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q3,Female,Other NACE activities (R to U),70.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q3,Female,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Both sexes,All NACE economic sectors,2370.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Both sexes,"Agriculture, forestry and fishing (A)",107.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Both sexes,Construction (F),148.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",306.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Both sexes,Transportation and storage (H),107.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Both sexes,Accommodation and food service activities (I),182.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Both sexes,Information and communication (J),128.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Both sexes,"Professional, scientific and technical activities (M)",140.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Both sexes,Administrative and support service activities (N),113.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Both sexes,"Public administration and defence, compulsory social security (O)",117.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Both sexes,Education (P),191.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Both sexes,Human health and social work activities (Q),296.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Both sexes,Industry (B to E),290.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Both sexes,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Both sexes,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",116.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Both sexes,Other NACE activities (R to U),119.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Both sexes,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Male,All NACE economic sectors,1280.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Male,"Agriculture, forestry and fishing (A)",93.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Male,Construction (F),135.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",158.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Male,Transportation and storage (H),88.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Male,Accommodation and food service activities (I),82.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Male,Information and communication (J),90.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Male,"Professional, scientific and technical activities (M)",75.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Male,Administrative and support service activities (N),67.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Male,"Public administration and defence, compulsory social security (O)",55.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Male,Education (P),52.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Male,Human health and social work activities (Q),63.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Male,Industry (B to E),207.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Male,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Male,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Male,"Financial, insurance and real estate activities (K,L)",59.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Male,Other NACE activities (R to U),48.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Male,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Female,All NACE economic sectors,1087.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Female,"Agriculture, forestry and fishing (A)",14.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Female,Construction (F),12.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",149.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Female,Transportation and storage (H),19.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Female,Accommodation and food service activities (I),99.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Female,Information and communication (J),37.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Female,"Professional, scientific and technical activities (M)",66.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Female,Administrative and support service activities (N),46.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Female,"Public administration and defence, compulsory social security (O)",61.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Female,Education (P),139.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Female,Human health and social work activities (Q),233.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Female,Industry (B to E),82.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Female,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Female,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Female,"Financial, insurance and real estate activities (K,L)",57.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Female,Other NACE activities (R to U),70.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2019Q4,Female,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Both sexes,All NACE economic sectors,2386.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Both sexes,"Agriculture, forestry and fishing (A)",108.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Both sexes,Construction (F),149.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",314.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Both sexes,Transportation and storage (H),104.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Both sexes,Accommodation and food service activities (I),177.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Both sexes,Information and communication (J),130.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Both sexes,"Professional, scientific and technical activities (M)",153.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Both sexes,Administrative and support service activities (N),112.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Both sexes,"Public administration and defence, compulsory social security (O)",115.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Both sexes,Education (P),192.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Both sexes,Human health and social work activities (Q),295.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Both sexes,Industry (B to E),287.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Both sexes,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Both sexes,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",120.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Both sexes,Other NACE activities (R to U),117.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Both sexes,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Male,All NACE economic sectors,1289.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Male,"Agriculture, forestry and fishing (A)",93.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Male,Construction (F),137.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",160.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Male,Transportation and storage (H),85.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Male,Accommodation and food service activities (I),78.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Male,Information and communication (J),87.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Male,"Professional, scientific and technical activities (M)",84.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Male,Administrative and support service activities (N),66.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Male,"Public administration and defence, compulsory social security (O)",58.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Male,Education (P),48.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Male,Human health and social work activities (Q),65.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Male,Industry (B to E),209.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Male,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Male,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Male,"Financial, insurance and real estate activities (K,L)",61.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Male,Other NACE activities (R to U),47.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Male,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Female,All NACE economic sectors,1097.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Female,"Agriculture, forestry and fishing (A)",15.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Female,Construction (F),11.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",151.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Female,Transportation and storage (H),19.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Female,Accommodation and food service activities (I),99.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Female,Information and communication (J),41.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Female,"Professional, scientific and technical activities (M)",67.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Female,Administrative and support service activities (N),46.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Female,"Public administration and defence, compulsory social security (O)",57.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Female,Education (P),143.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Female,Human health and social work activities (Q),231.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Female,Industry (B to E),79.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Female,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Female,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Female,"Financial, insurance and real estate activities (K,L)",59.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Female,Other NACE activities (R to U),70.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q1,Female,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Both sexes,All NACE economic sectors,2156.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Both sexes,"Agriculture, forestry and fishing (A)",100.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Both sexes,Construction (F),126.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",278.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Both sexes,Transportation and storage (H),91.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Both sexes,Accommodation and food service activities (I),110.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Both sexes,Information and communication (J),136.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Both sexes,"Professional, scientific and technical activities (M)",139.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Both sexes,Administrative and support service activities (N),86.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Both sexes,"Public administration and defence, compulsory social security (O)",117.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Both sexes,Education (P),178.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Both sexes,Human health and social work activities (Q),284.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Both sexes,Industry (B to E),292.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Both sexes,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Both sexes,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",129.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Both sexes,Other NACE activities (R to U),86.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Both sexes,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Male,All NACE economic sectors,1189.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Male,"Agriculture, forestry and fishing (A)",84.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Male,Construction (F),116.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",149.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Male,Transportation and storage (H),73.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Male,Accommodation and food service activities (I),52.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Male,Information and communication (J),95.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Male,"Professional, scientific and technical activities (M)",76.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Male,Administrative and support service activities (N),54.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Male,"Public administration and defence, compulsory social security (O)",57.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Male,Education (P),50.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Male,Human health and social work activities (Q),64.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Male,Industry (B to E),206.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Male,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Male,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Male,"Financial, insurance and real estate activities (K,L)",65.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Male,Other NACE activities (R to U),38.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Male,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Female,All NACE economic sectors,969.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Female,"Agriculture, forestry and fishing (A)",15.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Female,Construction (F),10.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",127.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Female,Transportation and storage (H),17.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Female,Accommodation and food service activities (I),57.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Female,Information and communication (J),40.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Female,"Professional, scientific and technical activities (M)",63.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Female,Administrative and support service activities (N),31.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Female,"Public administration and defence, compulsory social security (O)",60.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Female,Education (P),126.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Female,Human health and social work activities (Q),221.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Female,Industry (B to E),85.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Female,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Female,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Female,"Financial, insurance and real estate activities (K,L)",64.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Female,Other NACE activities (R to U),47.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q2,Female,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Both sexes,All NACE economic sectors,2268.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Both sexes,"Agriculture, forestry and fishing (A)",101.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Both sexes,Construction (F),132.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",303.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Both sexes,Transportation and storage (H),100.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Both sexes,Accommodation and food service activities (I),133.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Both sexes,Information and communication (J),126.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Both sexes,"Professional, scientific and technical activities (M)",142.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Both sexes,Administrative and support service activities (N),91.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Both sexes,"Public administration and defence, compulsory social security (O)",120.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Both sexes,Education (P),187.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Both sexes,Human health and social work activities (Q),294.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Both sexes,Industry (B to E),298.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Both sexes,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Both sexes,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Both sexes,"Financial, insurance and real estate activities (K,L)",124.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Both sexes,Other NACE activities (R to U),102.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Both sexes,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Male,All NACE economic sectors,1232.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Male,"Agriculture, forestry and fishing (A)",86.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Male,Construction (F),123.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",161.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Male,Transportation and storage (H),81.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Male,Accommodation and food service activities (I),65.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Male,Information and communication (J),91.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Male,"Professional, scientific and technical activities (M)",76.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Male,Administrative and support service activities (N),55.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Male,"Public administration and defence, compulsory social security (O)",56.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Male,Education (P),52.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Male,Human health and social work activities (Q),65.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Male,Industry (B to E),205.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Male,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Male,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Male,"Financial, insurance and real estate activities (K,L)",67.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Male,Other NACE activities (R to U),43.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Male,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Female,All NACE economic sectors,1037.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Female,"Agriculture, forestry and fishing (A)",14.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Female,Construction (F),9.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",145.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Female,Transportation and storage (H),18.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Female,Accommodation and food service activities (I),69.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Female,Information and communication (J),39.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Female,"Professional, scientific and technical activities (M)",64.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Female,Administrative and support service activities (N),35.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Female,"Public administration and defence, compulsory social security (O)",64.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Female,Education (P),136.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Female,Human health and social work activities (Q),228.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Female,Industry (B to E),91.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Female,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Female,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Female,"Financial, insurance and real estate activities (K,L)",55.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Female,Other NACE activities (R to U),59.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q3,Female,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Both sexes,All NACE economic sectors,2300.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Both sexes,"Agriculture, forestry and fishing (A)",106.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Both sexes,Construction (F),136.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",310.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Both sexes,Transportation and storage (H),106.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Both sexes,Accommodation and food service activities (I),128.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Both sexes,Information and communication (J),141.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Both sexes,"Professional, scientific and technical activities (M)",143.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Both sexes,Administrative and support service activities (N),82.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Both sexes,"Public administration and defence, compulsory social security (O)",122.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Both sexes,Education (P),195.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Both sexes,Human health and social work activities (Q),295.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Both sexes,Industry (B to E),303.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Both sexes,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Both sexes,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",126.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Both sexes,Other NACE activities (R to U),98.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Both sexes,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Male,All NACE economic sectors,1247.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Male,"Agriculture, forestry and fishing (A)",89.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Male,Construction (F),128.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",162.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Male,Transportation and storage (H),86.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Male,Accommodation and food service activities (I),61.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Male,Information and communication (J),100.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Male,"Professional, scientific and technical activities (M)",79.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Male,Administrative and support service activities (N),50.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Male,"Public administration and defence, compulsory social security (O)",58.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Male,Education (P),51.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Male,Human health and social work activities (Q),64.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Male,Industry (B to E),213.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Male,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Male,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Male,"Financial, insurance and real estate activities (K,L)",63.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Male,Other NACE activities (R to U),38.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Male,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Female,All NACE economic sectors,1050.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Female,"Agriculture, forestry and fishing (A)",16.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Female,Construction (F),8.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",150.0
