STATISTIC,Quarter,Broad NACE Rev 2 Economic Sector,Sex,value
Persons aged 15-89 years in Employment,2018Q3,Services (G to U),Female,937.5
Persons aged 15-89 years in Employment,2018Q4,All NACE economic sectors,Both sexes,2290.4
Persons aged 15-89 years in Employment,2018Q4,All NACE economic sectors,Male,1235.8
Persons aged 15-89 years in Employment,2018Q4,All NACE economic sectors,Female,1054.7
Persons aged 15-89 years in Employment,2018Q4,"Agriculture, forestry and fishing (A)",Both sexes,105.1
Persons aged 15-89 years in Employment,2018Q4,"Agriculture, forestry and fishing (A)",Male,91.9
Persons aged 15-89 years in Employment,2018Q4,"Agriculture, forestry and fishing (A)",Female,13.3
Persons aged 15-89 years in Employment,2018Q4,Industry and Construction (B to F),Both sexes,423.3
Persons aged 15-89 years in Employment,2018Q4,Industry and Construction (B to F),Male,335.6
Persons aged 15-89 years in Employment,2018Q4,Industry and Construction (B to F),Female,87.6
Persons aged 15-89 years in Employment,2018Q4,Services (G to U),Both sexes,1755.8
Persons aged 15-89 years in Employment,2018Q4,Services (G to U),Male,804.2
Persons aged 15-89 years in Employment,2018Q4,Services (G to U),Female,951.6
Persons aged 15-89 years in Employment,2019Q1,All NACE economic sectors,Both sexes,2312.8
Persons aged 15-89 years in Employment,2019Q1,All NACE economic sectors,Male,1243.8
Persons aged 15-89 years in Employment,2019Q1,All NACE economic sectors,Female,1069.0
Persons aged 15-89 years in Employment,2019Q1,"Agriculture, forestry and fishing (A)",Both sexes,104.7
Persons aged 15-89 years in Employment,2019Q1,"Agriculture, forestry and fishing (A)",Male,92.1
Persons aged 15-89 years in Employment,2019Q1,"Agriculture, forestry and fishing (A)",Female,12.6
Persons aged 15-89 years in Employment,2019Q1,Industry and Construction (B to F),Both sexes,433.8
Persons aged 15-89 years in Employment,2019Q1,Industry and Construction (B to F),Male,339.6
Persons aged 15-89 years in Employment,2019Q1,Industry and Construction (B to F),Female,94.2
Persons aged 15-89 years in Employment,2019Q1,Services (G to U),Both sexes,1767.5
Persons aged 15-89 years in Employment,2019Q1,Services (G to U),Male,808.0
Persons aged 15-89 years in Employment,2019Q1,Services (G to U),Female,959.6
Persons aged 15-89 years in Employment,2019Q2,All NACE economic sectors,Both sexes,2311.5
Persons aged 15-89 years in Employment,2019Q2,All NACE economic sectors,Male,1249.6
Persons aged 15-89 years in Employment,2019Q2,All NACE economic sectors,Female,1061.9
Persons aged 15-89 years in Employment,2019Q2,"Agriculture, forestry and fishing (A)",Both sexes,102.0
Persons aged 15-89 years in Employment,2019Q2,"Agriculture, forestry and fishing (A)",Male,89.6
Persons aged 15-89 years in Employment,2019Q2,"Agriculture, forestry and fishing (A)",Female,12.4
Persons aged 15-89 years in Employment,2019Q2,Industry and Construction (B to F),Both sexes,430.8
Persons aged 15-89 years in Employment,2019Q2,Industry and Construction (B to F),Male,338.3
Persons aged 15-89 years in Employment,2019Q2,Industry and Construction (B to F),Female,92.5
Persons aged 15-89 years in Employment,2019Q2,Services (G to U),Both sexes,1771.8
Persons aged 15-89 years in Employment,2019Q2,Services (G to U),Male,818.2
Persons aged 15-89 years in Employment,2019Q2,Services (G to U),Female,953.6
Persons aged 15-89 years in Employment,2019Q3,All NACE economic sectors,Both sexes,2341.6
Persons aged 15-89 years in Employment,2019Q3,All NACE economic sectors,Male,1269.4
Persons aged 15-89 years in Employment,2019Q3,All NACE economic sectors,Female,1072.2
Persons aged 15-89 years in Employment,2019Q3,"Agriculture, forestry and fishing (A)",Both sexes,100.7
Persons aged 15-89 years in Employment,2019Q3,"Agriculture, forestry and fishing (A)",Male,88.2
Persons aged 15-89 years in Employment,2019Q3,"Agriculture, forestry and fishing (A)",Female,12.5
Persons aged 15-89 years in Employment,2019Q3,Industry and Construction (B to F),Both sexes,447.0
Persons aged 15-89 years in Employment,2019Q3,Industry and Construction (B to F),Male,351.3
Persons aged 15-89 years in Employment,2019Q3,Industry and Construction (B to F),Female,95.6
Persons aged 15-89 years in Employment,2019Q3,Services (G to U),Both sexes,1788.3
Persons aged 15-89 years in Employment,2019Q3,Services (G to U),Male,826.8
Persons aged 15-89 years in Employment,2019Q3,Services (G to U),Female,961.4
Persons aged 15-89 years in Employment,2019Q4,All NACE economic sectors,Both sexes,2377.8
Persons aged 15-89 years in Employment,2019Q4,All NACE economic sectors,Male,1283.4
Persons aged 15-89 years in Employment,2019Q4,All NACE economic sectors,Female,1094.4
Persons aged 15-89 years in Employment,2019Q4,"Agriculture, forestry and fishing (A)",Both sexes,108.5
Persons aged 15-89 years in Employment,2019Q4,"Agriculture, forestry and fishing (A)",Male,94.1
Persons aged 15-89 years in Employment,2019Q4,"Agriculture, forestry and fishing (A)",Female,14.3
Persons aged 15-89 years in Employment,2019Q4,Industry and Construction (B to F),Both sexes,436.3
Persons aged 15-89 years in Employment,2019Q4,Industry and Construction (B to F),Male,340.5
Persons aged 15-89 years in Employment,2019Q4,Industry and Construction (B to F),Female,95.8
Persons aged 15-89 years in Employment,2019Q4,Services (G to U),Both sexes,1826.7
Persons aged 15-89 years in Employment,2019Q4,Services (G to U),Male,845.5
Persons aged 15-89 years in Employment,2019Q4,Services (G to U),Female,981.2
Persons aged 15-89 years in Employment,2020Q1,All NACE economic sectors,Both sexes,2368.8
Persons aged 15-89 years in Employment,2020Q1,All NACE economic sectors,Male,1279.6
Persons aged 15-89 years in Employment,2020Q1,All NACE economic sectors,Female,1089.2
Persons aged 15-89 years in Employment,2020Q1,"Agriculture, forestry and fishing (A)",Both sexes,109.3
Persons aged 15-89 years in Employment,2020Q1,"Agriculture, forestry and fishing (A)",Male,93.5
Persons aged 15-89 years in Employment,2020Q1,"Agriculture, forestry and fishing (A)",Female,15.8
Persons aged 15-89 years in Employment,2020Q1,Industry and Construction (B to F),Both sexes,435.0
Persons aged 15-89 years in Employment,2020Q1,Industry and Construction (B to F),Male,346.5
Persons aged 15-89 years in Employment,2020Q1,Industry and Construction (B to F),Female,88.5
Persons aged 15-89 years in Employment,2020Q1,Services (G to U),Both sexes,1820.1
Persons aged 15-89 years in Employment,2020Q1,Services (G to U),Male,837.1
Persons aged 15-89 years in Employment,2020Q1,Services (G to U),Female,983.0
Persons aged 15-89 years in Employment,2020Q2,All NACE economic sectors,Both sexes,2161.3
Persons aged 15-89 years in Employment,2020Q2,All NACE economic sectors,Male,1187.6
Persons aged 15-89 years in Employment,2020Q2,All NACE economic sectors,Female,973.7
Persons aged 15-89 years in Employment,2020Q2,"Agriculture, forestry and fishing (A)",Both sexes,99.4
Persons aged 15-89 years in Employment,2020Q2,"Agriculture, forestry and fishing (A)",Male,85.0
Persons aged 15-89 years in Employment,2020Q2,"Agriculture, forestry and fishing (A)",Female,14.5
Persons aged 15-89 years in Employment,2020Q2,Industry and Construction (B to F),Both sexes,416.8
Persons aged 15-89 years in Employment,2020Q2,Industry and Construction (B to F),Male,321.3
Persons aged 15-89 years in Employment,2020Q2,Industry and Construction (B to F),Female,95.4
Persons aged 15-89 years in Employment,2020Q2,Services (G to U),Both sexes,1640.6
Persons aged 15-89 years in Employment,2020Q2,Services (G to U),Male,778.5
Persons aged 15-89 years in Employment,2020Q2,Services (G to U),Female,862.1
Persons aged 15-89 years in Employment,2020Q3,All NACE economic sectors,Both sexes,2275.0
Persons aged 15-89 years in Employment,2020Q3,All NACE economic sectors,Male,1240.7
Persons aged 15-89 years in Employment,2020Q3,All NACE economic sectors,Female,1034.3
Persons aged 15-89 years in Employment,2020Q3,"Agriculture, forestry and fishing (A)",Both sexes,100.2
Persons aged 15-89 years in Employment,2020Q3,"Agriculture, forestry and fishing (A)",Male,85.3
Persons aged 15-89 years in Employment,2020Q3,"Agriculture, forestry and fishing (A)",Female,14.8
Persons aged 15-89 years in Employment,2020Q3,Industry and Construction (B to F),Both sexes,437.2
Persons aged 15-89 years in Employment,2020Q3,Industry and Construction (B to F),Male,333.4
Persons aged 15-89 years in Employment,2020Q3,Industry and Construction (B to F),Female,103.8
Persons aged 15-89 years in Employment,2020Q3,Services (G to U),Both sexes,1733.8
Persons aged 15-89 years in Employment,2020Q3,Services (G to U),Male,820.0
Persons aged 15-89 years in Employment,2020Q3,Services (G to U),Female,913.9
Persons aged 15-89 years in Employment,2020Q4,All NACE economic sectors,Both sexes,2305.1
Persons aged 15-89 years in Employment,2020Q4,All NACE economic sectors,Male,1249.3
Persons aged 15-89 years in Employment,2020Q4,All NACE economic sectors,Female,1055.7
Persons aged 15-89 years in Employment,2020Q4,"Agriculture, forestry and fishing (A)",Both sexes,107.8
Persons aged 15-89 years in Employment,2020Q4,"Agriculture, forestry and fishing (A)",Male,90.8
Persons aged 15-89 years in Employment,2020Q4,"Agriculture, forestry and fishing (A)",Female,17.0
Persons aged 15-89 years in Employment,2020Q4,Industry and Construction (B to F),Both sexes,437.3
Persons aged 15-89 years in Employment,2020Q4,Industry and Construction (B to F),Male,338.5
Persons aged 15-89 years in Employment,2020Q4,Industry and Construction (B to F),Female,98.8
Persons aged 15-89 years in Employment,2020Q4,Services (G to U),Both sexes,1755.7
Persons aged 15-89 years in Employment,2020Q4,Services (G to U),Male,818.2
Persons aged 15-89 years in Employment,2020Q4,Services (G to U),Female,937.5
Persons aged 15-89 years in Employment,2021Q1,All NACE economic sectors,Both sexes,2259.9
Persons aged 15-89 years in Employment,2021Q1,All NACE economic sectors,Male,1217.6
Persons aged 15-89 years in Employment,2021Q1,All NACE economic sectors,Female,1042.3
Persons aged 15-89 years in Employment,2021Q1,"Agriculture, forestry and fishing (A)",Both sexes,108.6
Persons aged 15-89 years in Employment,2021Q1,"Agriculture, forestry and fishing (A)",Male,92.6
Persons aged 15-89 years in Employment,2021Q1,"Agriculture, forestry and fishing (A)",Female,16.0
Persons aged 15-89 years in Employment,2021Q1,Industry and Construction (B to F),Both sexes,433.2
Persons aged 15-89 years in Employment,2021Q1,Industry and Construction (B to F),Male,336.7
Persons aged 15-89 years in Employment,2021Q1,Industry and Construction (B to F),Female,96.5
Persons aged 15-89 years in Employment,2021Q1,Services (G to U),Both sexes,1715.3
Persons aged 15-89 years in Employment,2021Q1,Services (G to U),Male,786.6
Persons aged 15-89 years in Employment,2021Q1,Services (G to U),Female,928.8
Persons aged 15-89 years in Employment,2021Q2,All NACE economic sectors,Both sexes,2382.2
Persons aged 15-89 years in Employment,2021Q2,All NACE economic sectors,Male,1282.3
Persons aged 15-89 years in Employment,2021Q2,All NACE economic sectors,Female,1099.9
Persons aged 15-89 years in Employment,2021Q2,"Agriculture, forestry and fishing (A)",Both sexes,110.0
Persons aged 15-89 years in Employment,2021Q2,"Agriculture, forestry and fishing (A)",Male,96.7
Persons aged 15-89 years in Employment,2021Q2,"Agriculture, forestry and fishing (A)",Female,13.3
Persons aged 15-89 years in Employment,2021Q2,Industry and Construction (B to F),Both sexes,445.4
Persons aged 15-89 years in Employment,2021Q2,Industry and Construction (B to F),Male,343.4
Persons aged 15-89 years in Employment,2021Q2,Industry and Construction (B to F),Female,102.0
Persons aged 15-89 years in Employment,2021Q2,Services (G to U),Both sexes,1821.3
Persons aged 15-89 years in Employment,2021Q2,Services (G to U),Male,840.1
Persons aged 15-89 years in Employment,2021Q2,Services (G to U),Female,981.3
Persons aged 15-89 years in Employment,2021Q3,All NACE economic sectors,Both sexes,2515.0
Persons aged 15-89 years in Employment,2021Q3,All NACE economic sectors,Male,1340.3
Persons aged 15-89 years in Employment,2021Q3,All NACE economic sectors,Female,1174.7
Persons aged 15-89 years in Employment,2021Q3,"Agriculture, forestry and fishing (A)",Both sexes,109.4
Persons aged 15-89 years in Employment,2021Q3,"Agriculture, forestry and fishing (A)",Male,94.1
Persons aged 15-89 years in Employment,2021Q3,"Agriculture, forestry and fishing (A)",Female,15.3
Persons aged 15-89 years in Employment,2021Q3,Industry and Construction (B to F),Both sexes,461.0
Persons aged 15-89 years in Employment,2021Q3,Industry and Construction (B to F),Male,353.4
Persons aged 15-89 years in Employment,2021Q3,Industry and Construction (B to F),Female,107.6
Persons aged 15-89 years in Employment,2021Q3,Services (G to U),Both sexes,1939.7
Persons aged 15-89 years in Employment,2021Q3,Services (G to U),Male,889.8
Persons aged 15-89 years in Employment,2021Q3,Services (G to U),Female,1049.8
Persons aged 15-89 years in Employment,2021Q4,All NACE economic sectors,Both sexes,2551.4
Persons aged 15-89 years in Employment,2021Q4,All NACE economic sectors,Male,1353.7
Persons aged 15-89 years in Employment,2021Q4,All NACE economic sectors,Female,1197.7
Persons aged 15-89 years in Employment,2021Q4,"Agriculture, forestry and fishing (A)",Both sexes,109.6
Persons aged 15-89 years in Employment,2021Q4,"Agriculture, forestry and fishing (A)",Male,94.6
Persons aged 15-89 years in Employment,2021Q4,"Agriculture, forestry and fishing (A)",Female,15.0
Persons aged 15-89 years in Employment,2021Q4,Industry and Construction (B to F),Both sexes,479.0
Persons aged 15-89 years in Employment,2021Q4,Industry and Construction (B to F),Male,364.7
Persons aged 15-89 years in Employment,2021Q4,Industry and Construction (B to F),Female,114.2
Persons aged 15-89 years in Employment,2021Q4,Services (G to U),Both sexes,1955.3
Persons aged 15-89 years in Employment,2021Q4,Services (G to U),Male,891.0
Persons aged 15-89 years in Employment,2021Q4,Services (G to U),Female,1064.3
Persons aged 15-89 years in Employment,2022Q1,All NACE economic sectors,Both sexes,2559.4
Persons aged 15-89 years in Employment,2022Q1,All NACE economic sectors,Male,1360.6
Persons aged 15-89 years in Employment,2022Q1,All NACE economic sectors,Female,1198.8
Persons aged 15-89 years in Employment,2022Q1,"Agriculture, forestry and fishing (A)",Both sexes,106.3
Persons aged 15-89 years in Employment,2022Q1,"Agriculture, forestry and fishing (A)",Male,90.6
Persons aged 15-89 years in Employment,2022Q1,"Agriculture, forestry and fishing (A)",Female,15.7
Persons aged 15-89 years in Employment,2022Q1,Industry and Construction (B to F),Both sexes,483.8
Persons aged 15-89 years in Employment,2022Q1,Industry and Construction (B to F),Male,371.3
Persons aged 15-89 years in Employment,2022Q1,Industry and Construction (B to F),Female,112.5
Persons aged 15-89 years in Employment,2022Q1,Services (G to U),Both sexes,1961.6
Persons aged 15-89 years in Employment,2022Q1,Services (G to U),Male,893.5
Persons aged 15-89 years in Employment,2022Q1,Services (G to U),Female,1068.1
Persons aged 15-89 years in Employment,2022Q2,All NACE economic sectors,Both sexes,2601.2
Persons aged 15-89 years in Employment,2022Q2,All NACE economic sectors,Male,1388.5
Persons aged 15-89 years in Employment,2022Q2,All NACE economic sectors,Female,1212.8
Persons aged 15-89 years in Employment,2022Q2,"Agriculture, forestry and fishing (A)",Both sexes,108.3
Persons aged 15-89 years in Employment,2022Q2,"Agriculture, forestry and fishing (A)",Male,93.5
Persons aged 15-89 years in Employment,2022Q2,"Agriculture, forestry and fishing (A)",Female,14.8
Persons aged 15-89 years in Employment,2022Q2,Industry and Construction (B to F),Both sexes,496.6
Persons aged 15-89 years in Employment,2022Q2,Industry and Construction (B to F),Male,380.7
Persons aged 15-89 years in Employment,2022Q2,Industry and Construction (B to F),Female,115.8
Persons aged 15-89 years in Employment,2022Q2,Services (G to U),Both sexes,1987.1
Persons aged 15-89 years in Employment,2022Q2,Services (G to U),Male,909.2
Persons aged 15-89 years in Employment,2022Q2,Services (G to U),Female,1077.9
Persons aged 15-89 years in Employment,2022Q3,All NACE economic sectors,Both sexes,2602.6
Persons aged 15-89 years in Employment,2022Q3,All NACE economic sectors,Male,1400.2
Persons aged 15-89 years in Employment,2022Q3,All NACE economic sectors,Female,1202.4
Persons aged 15-89 years in Employment,2022Q3,"Agriculture, forestry and fishing (A)",Both sexes,97.1
Persons aged 15-89 years in Employment,2022Q3,"Agriculture, forestry and fishing (A)",Male,85.0
Persons aged 15-89 years in Employment,2022Q3,"Agriculture, forestry and fishing (A)",Female,12.1
Persons aged 15-89 years in Employment,2022Q3,Industry and Construction (B to F),Both sexes,508.6
Persons aged 15-89 years in Employment,2022Q3,Industry and Construction (B to F),Male,389.0
Persons aged 15-89 years in Employment,2022Q3,Industry and Construction (B to F),Female,119.6
Persons aged 15-89 years in Employment,2022Q3,Services (G to U),Both sexes,1986.5
Persons aged 15-89 years in Employment,2022Q3,Services (G to U),Male,920.8
Persons aged 15-89 years in Employment,2022Q3,Services (G to U),Female,1065.7
Persons aged 15-89 years in Employment,2022Q4,All NACE economic sectors,Both sexes,2616.7
Persons aged 15-89 years in Employment,2022Q4,All NACE economic sectors,Male,1393.3
Persons aged 15-89 years in Employment,2022Q4,All NACE economic sectors,Female,1223.4
Persons aged 15-89 years in Employment,2022Q4,"Agriculture, forestry and fishing (A)",Both sexes,103.5
Persons aged 15-89 years in Employment,2022Q4,"Agriculture, forestry and fishing (A)",Male,86.0
Persons aged 15-89 years in Employment,2022Q4,"Agriculture, forestry and fishing (A)",Female,17.6
Persons aged 15-89 years in Employment,2022Q4,Industry and Construction (B to F),Both sexes,492.3
Persons aged 15-89 years in Employment,2022Q4,Industry and Construction (B to F),Male,377.5
Persons aged 15-89 years in Employment,2022Q4,Industry and Construction (B to F),Female,114.8
Persons aged 15-89 years in Employment,2022Q4,Services (G to U),Both sexes,2011.4
Persons aged 15-89 years in Employment,2022Q4,Services (G to U),Male,924.3
Persons aged 15-89 years in Employment,2022Q4,Services (G to U),Female,1087.1
Persons aged 15-89 years in Employment,2023Q1,All NACE economic sectors,Both sexes,2652.7
Persons aged 15-89 years in Employment,2023Q1,All NACE economic sectors,Male,1410.3
Persons aged 15-89 years in Employment,2023Q1,All NACE economic sectors,Female,1242.4
Persons aged 15-89 years in Employment,2023Q1,"Agriculture, forestry and fishing (A)",Both sexes,102.0
Persons aged 15-89 years in Employment,2023Q1,"Agriculture, forestry and fishing (A)",Male,85.5
Persons aged 15-89 years in Employment,2023Q1,"Agriculture, forestry and fishing (A)",Female,16.4
Persons aged 15-89 years in Employment,2023Q1,Industry and Construction (B to F),Both sexes,497.4
Persons aged 15-89 years in Employment,2023Q1,Industry and Construction (B to F),Male,380.9
Persons aged 15-89 years in Employment,2023Q1,Industry and Construction (B to F),Female,116.5
Persons aged 15-89 years in Employment,2023Q1,Services (G to U),Both sexes,2045.8
Persons aged 15-89 years in Employment,2023Q1,Services (G to U),Male,939.1
Persons aged 15-89 years in Employment,2023Q1,Services (G to U),Female,1106.7
Persons aged 15-89 years in Employment,2023Q2,All NACE economic sectors,Both sexes,2682.7
Persons aged 15-89 years in Employment,2023Q2,All NACE economic sectors,Male,1408.5
Persons aged 15-89 years in Employment,2023Q2,All NACE economic sectors,Female,1274.1
Persons aged 15-89 years in Employment,2023Q2,"Agriculture, forestry and fishing (A)",Both sexes,101.9
Persons aged 15-89 years in Employment,2023Q2,"Agriculture, forestry and fishing (A)",Male,86.6
Persons aged 15-89 years in Employment,2023Q2,"Agriculture, forestry and fishing (A)",Female,15.3
Persons aged 15-89 years in Employment,2023Q2,Industry and Construction (B to F),Both sexes,493.1
Persons aged 15-89 years in Employment,2023Q2,Industry and Construction (B to F),Male,374.2
Persons aged 15-89 years in Employment,2023Q2,Industry and Construction (B to F),Female,119.0
Persons aged 15-89 years in Employment,2023Q2,Services (G to U),Both sexes,2083.1
Persons aged 15-89 years in Employment,2023Q2,Services (G to U),Male,945.2
Persons aged 15-89 years in Employment,2023Q2,Services (G to U),Female,1137.9
Persons aged 15-89 years in Employment,2023Q3,All NACE economic sectors,Both sexes,2696.2
Persons aged 15-89 years in Employment,2023Q3,All NACE economic sectors,Male,1426.4
Persons aged 15-89 years in Employment,2023Q3,All NACE economic sectors,Female,1269.9
Persons aged 15-89 years in Employment,2023Q3,"Agriculture, forestry and fishing (A)",Both sexes,114.7
Persons aged 15-89 years in Employment,2023Q3,"Agriculture, forestry and fishing (A)",Male,97.3
Persons aged 15-89 years in Employment,2023Q3,"Agriculture, forestry and fishing (A)",Female,17.4
Persons aged 15-89 years in Employment,2023Q3,Industry and Construction (B to F),Both sexes,494.6
Persons aged 15-89 years in Employment,2023Q3,Industry and Construction (B to F),Male,370.4
Persons aged 15-89 years in Employment,2023Q3,Industry and Construction (B to F),Female,124.3
Persons aged 15-89 years in Employment,2023Q3,Services (G to U),Both sexes,2078.0
Persons aged 15-89 years in Employment,2023Q3,Services (G to U),Male,952.6
Persons aged 15-89 years in Employment,2023Q3,Services (G to U),Female,1125.4
Persons aged 15-89 years in Employment,2023Q4,All NACE economic sectors,Both sexes,2706.4
Persons aged 15-89 years in Employment,2023Q4,All NACE economic sectors,Male,1433.8
Persons aged 15-89 years in Employment,2023Q4,All NACE economic sectors,Female,1272.6
Persons aged 15-89 years in Employment,2023Q4,"Agriculture, forestry and fishing (A)",Both sexes,112.9
Persons aged 15-89 years in Employment,2023Q4,"Agriculture, forestry and fishing (A)",Male,97.5
Persons aged 15-89 years in Employment,2023Q4,"Agriculture, forestry and fishing (A)",Female,15.4
Persons aged 15-89 years in Employment,2023Q4,Industry and Construction (B to F),Both sexes,481.7
Persons aged 15-89 years in Employment,2023Q4,Industry and Construction (B to F),Male,362.7
Persons aged 15-89 years in Employment,2023Q4,Industry and Construction (B to F),Female,119.0
Persons aged 15-89 years in Employment,2023Q4,Services (G to U),Both sexes,2104.3
Persons aged 15-89 years in Employment,2023Q4,Services (G to U),Male,969.9
Persons aged 15-89 years in Employment,2023Q4,Services (G to U),Female,1134.5
Persons aged 15-89 years in Employment,2024Q1,All NACE economic sectors,Both sexes,2704.2
Persons aged 15-89 years in Employment,2024Q1,All NACE economic sectors,Male,1431.9
Persons aged 15-89 years in Employment,2024Q1,All NACE economic sectors,Female,1272.3
Persons aged 15-89 years in Employment,2024Q1,"Agriculture, forestry and fishing (A)",Both sexes,108.5
Persons aged 15-89 years in Employment,2024Q1,"Agriculture, forestry and fishing (A)",Male,94.5
Persons aged 15-89 years in Employment,2024Q1,"Agriculture, forestry and fishing (A)",Female,14.0
Persons aged 15-89 years in Employment,2024Q1,Industry and Construction (B to F),Both sexes,495.2
Persons aged 15-89 years in Employment,2024Q1,Industry and Construction (B to F),Male,379.5
Persons aged 15-89 years in Employment,2024Q1,Industry and Construction (B to F),Female,115.6
Persons aged 15-89 years in Employment,2024Q1,Services (G to U),Both sexes,2091.9
Persons aged 15-89 years in Employment,2024Q1,Services (G to U),Male,952.9
Persons aged 15-89 years in Employment,2024Q1,Services (G to U),Female,1139.1
Persons aged 15-89 years in Employment,2024Q2,All NACE economic sectors,Both sexes,2754.2
Persons aged 15-89 years in Employment,2024Q2,All NACE economic sectors,Male,1448.2
Persons aged 15-89 years in Employment,2024Q2,All NACE economic sectors,Female,1306.0
Persons aged 15-89 years in Employment,2024Q2,"Agriculture, forestry and fishing (A)",Both sexes,104.7
Persons aged 15-89 years in Employment,2024Q2,"Agriculture, forestry and fishing (A)",Male,90.7
Persons aged 15-89 years in Employment,2024Q2,"Agriculture, forestry and fishing (A)",Female,14.0
Persons aged 15-89 years in Employment,2024Q2,Industry and Construction (B to F),Both sexes,502.6
Persons aged 15-89 years in Employment,2024Q2,Industry and Construction (B to F),Male,373.1
Persons aged 15-89 years in Employment,2024Q2,Industry and Construction (B to F),Female,129.5
Persons aged 15-89 years in Employment,2024Q2,Services (G to U),Both sexes,2136.5
Persons aged 15-89 years in Employment,2024Q2,Services (G to U),Male,976.8
Persons aged 15-89 years in Employment,2024Q2,Services (G to U),Female,1159.7
Persons aged 15-89 years in Employment,2024Q3,All NACE economic sectors,Both sexes,2794.8
Persons aged 15-89 years in Employment,2024Q3,All NACE economic sectors,Male,1477.8
Persons aged 15-89 years in Employment,2024Q3,All NACE economic sectors,Female,1317.0
Persons aged 15-89 years in Employment,2024Q3,"Agriculture, forestry and fishing (A)",Both sexes,112.9
Persons aged 15-89 years in Employment,2024Q3,"Agriculture, forestry and fishing (A)",Male,96.5
Persons aged 15-89 years in Employment,2024Q3,"Agriculture, forestry and fishing (A)",Female,16.4
Persons aged 15-89 years in Employment,2024Q3,Industry and Construction (B to F),Both sexes,519.4
Persons aged 15-89 years in Employment,2024Q3,Industry and Construction (B to F),Male,389.6
Persons aged 15-89 years in Employment,2024Q3,Industry and Construction (B to F),Female,129.8
Persons aged 15-89 years in Employment,2024Q3,Services (G to U),Both sexes,2158.1
Persons aged 15-89 years in Employment,2024Q3,Services (G to U),Male,989.3
Persons aged 15-89 years in Employment,2024Q3,Services (G to U),Female,1168.9
Persons aged 15-89 years in Employment,2024Q4,All NACE economic sectors,Both sexes,2776.4
Persons aged 15-89 years in Employment,2024Q4,All NACE economic sectors,Male,1465.8
Persons aged 15-89 years in Employment,2024Q4,All NACE economic sectors,Female,1310.6
Persons aged 15-89 years in Employment,2024Q4,"Agriculture, forestry and fishing (A)",Both sexes,107.7
Persons aged 15-89 years in Employment,2024Q4,"Agriculture, forestry and fishing (A)",Male,91.3
Persons aged 15-89 years in Employment,2024Q4,"Agriculture, forestry and fishing (A)",Female,16.5
Persons aged 15-89 years in Employment,2024Q4,Industry and Construction (B to F),Both sexes,508.3
Persons aged 15-89 years in Employment,2024Q4,Industry and Construction (B to F),Male,383.8
Persons aged 15-89 years in Employment,2024Q4,Industry and Construction (B to F),Female,124.5
Persons aged 15-89 years in Employment,2024Q4,Services (G to U),Both sexes,2153.8
Persons aged 15-89 years in Employment,2024Q4,Services (G to U),Male,987.4
Persons aged 15-89 years in Employment,2024Q4,Services (G to U),Female,1166.4
Persons aged 15-89 years in Employment,2025Q1,All NACE economic sectors,Both sexes,2794.1
Persons aged 15-89 years in Employment,2025Q1,All NACE economic sectors,Male,1470.2
Persons aged 15-89 years in Employment,2025Q1,All NACE economic sectors,Female,1323.9
Persons aged 15-89 years in Employment,2025Q1,"Agriculture, forestry and fishing (A)",Both sexes,107.6
Persons aged 15-89 years in Employment,2025Q1,"Agriculture, forestry and fishing (A)",Male,90.7
Persons aged 15-89 years in Employment,2025Q1,"Agriculture, forestry and fishing (A)",Female,16.9
Persons aged 15-89 years in Employment,2025Q1,Industry and Construction (B to F),Both sexes,510.4
Persons aged 15-89 years in Employment,2025Q1,Industry and Construction (B to F),Male,387.8
Persons aged 15-89 years in Employment,2025Q1,Industry and Construction (B to F),Female,122.6
Persons aged 15-89 years in Employment,2025Q1,Services (G to U),Both sexes,2169.7
Persons aged 15-89 years in Employment,2025Q1,Services (G to U),Male,988.4
Persons aged 15-89 years in Employment,2025Q1,Services (G to U),Female,1181.3
