Statistic,Quarter,Age Group,Sex,value
Unemployed Persons aged 15 years and over,2007Q2,15 - 24 years,Female,20.1
Unemployed Persons aged 15 years and over,2007Q2,15 - 64 years,Both sexes,
Unemployed Persons aged 15 years and over,2007Q2,15 - 64 years,Male,
Unemployed Persons aged 15 years and over,2007Q2,15 - 64 years,Female,
Unemployed Persons aged 15 years and over,2007Q2,15 - 74 years,Both sexes,
Unemployed Persons aged 15 years and over,2007Q2,15 - 74 years,Male,
Unemployed Persons aged 15 years and over,2007Q2,15 - 74 years,Female,
Unemployed Persons aged 15 years and over,2007Q2,15 years and over,Both sexes,120.1
Unemployed Persons aged 15 years and over,2007Q2,15 years and over,Male,66.7
Unemployed Persons aged 15 years and over,2007Q2,15 years and over,Female,53.4
Unemployed Persons aged 15 years and over,2007Q2,20 - 24 years,Both sexes,24.8
Unemployed Persons aged 15 years and over,2007Q2,20 - 24 years,Male,13.8
Unemployed Persons aged 15 years and over,2007Q2,20 - 24 years,Female,11.0
Unemployed Persons aged 15 years and over,2007Q2,25 - 34 years,Both sexes,30.7
Unemployed Persons aged 15 years and over,2007Q2,25 - 34 years,Male,16.7
Unemployed Persons aged 15 years and over,2007Q2,25 - 34 years,Female,13.9
Unemployed Persons aged 15 years and over,2007Q2,35 - 44 years,Both sexes,20.3
Unemployed Persons aged 15 years and over,2007Q2,35 - 44 years,Male,10.1
Unemployed Persons aged 15 years and over,2007Q2,35 - 44 years,Female,10.2
Unemployed Persons aged 15 years and over,2007Q2,45 - 54 years,Both sexes,15.4
Unemployed Persons aged 15 years and over,2007Q2,45 - 54 years,Male,8.5
Unemployed Persons aged 15 years and over,2007Q2,45 - 54 years,Female,6.8
Unemployed Persons aged 15 years and over,2007Q2,55 - 59 years,Both sexes,4.2
Unemployed Persons aged 15 years and over,2007Q2,55 - 59 years,Male,2.4
Unemployed Persons aged 15 years and over,2007Q2,55 - 59 years,Female,1.7
Unemployed Persons aged 15 years and over,2007Q2,60 - 64 years,Both sexes,1.4
Unemployed Persons aged 15 years and over,2007Q2,60 - 64 years,Male,
Unemployed Persons aged 15 years and over,2007Q2,60 - 64 years,Female,
Unemployed Persons aged 15 years and over,2007Q2,65 years and over,Both sexes,
Unemployed Persons aged 15 years and over,2007Q2,65 years and over,Male,
Unemployed Persons aged 15 years and over,2007Q2,65 years and over,Female,
Unemployed Persons aged 15 years and over,2007Q2,25 - 74 years,Both sexes,72.4
Unemployed Persons aged 15 years and over,2007Q2,25 - 74 years,Male,39.1
Unemployed Persons aged 15 years and over,2007Q2,25 - 74 years,Female,33.3
Unemployed Persons aged 15 years and over,2007Q3,15 - 19 years,Both sexes,19.2
Unemployed Persons aged 15 years and over,2007Q3,15 - 19 years,Male,12.6
Unemployed Persons aged 15 years and over,2007Q3,15 - 19 years,Female,6.5
Unemployed Persons aged 15 years and over,2007Q3,15 - 24 years,Both sexes,45.1
Unemployed Persons aged 15 years and over,2007Q3,15 - 24 years,Male,27.3
Unemployed Persons aged 15 years and over,2007Q3,15 - 24 years,Female,17.8
Unemployed Persons aged 15 years and over,2007Q3,15 - 64 years,Both sexes,
Unemployed Persons aged 15 years and over,2007Q3,15 - 64 years,Male,
Unemployed Persons aged 15 years and over,2007Q3,15 - 64 years,Female,
Unemployed Persons aged 15 years and over,2007Q3,15 - 74 years,Both sexes,
Unemployed Persons aged 15 years and over,2007Q3,15 - 74 years,Male,
Unemployed Persons aged 15 years and over,2007Q3,15 - 74 years,Female,
Unemployed Persons aged 15 years and over,2007Q3,15 years and over,Both sexes,119.7
Unemployed Persons aged 15 years and over,2007Q3,15 years and over,Male,67.6
Unemployed Persons aged 15 years and over,2007Q3,15 years and over,Female,52.1
Unemployed Persons aged 15 years and over,2007Q3,20 - 24 years,Both sexes,25.9
Unemployed Persons aged 15 years and over,2007Q3,20 - 24 years,Male,14.7
Unemployed Persons aged 15 years and over,2007Q3,20 - 24 years,Female,11.3
Unemployed Persons aged 15 years and over,2007Q3,25 - 34 years,Both sexes,33.7
Unemployed Persons aged 15 years and over,2007Q3,25 - 34 years,Male,18.3
Unemployed Persons aged 15 years and over,2007Q3,25 - 34 years,Female,15.4
Unemployed Persons aged 15 years and over,2007Q3,35 - 44 years,Both sexes,20.5
Unemployed Persons aged 15 years and over,2007Q3,35 - 44 years,Male,10.5
Unemployed Persons aged 15 years and over,2007Q3,35 - 44 years,Female,10.0
Unemployed Persons aged 15 years and over,2007Q3,45 - 54 years,Both sexes,14.3
Unemployed Persons aged 15 years and over,2007Q3,45 - 54 years,Male,7.7
Unemployed Persons aged 15 years and over,2007Q3,45 - 54 years,Female,6.6
Unemployed Persons aged 15 years and over,2007Q3,55 - 59 years,Both sexes,4.1
Unemployed Persons aged 15 years and over,2007Q3,55 - 59 years,Male,2.5
Unemployed Persons aged 15 years and over,2007Q3,55 - 59 years,Female,
Unemployed Persons aged 15 years and over,2007Q3,60 - 64 years,Both sexes,1.7
Unemployed Persons aged 15 years and over,2007Q3,60 - 64 years,Male,
Unemployed Persons aged 15 years and over,2007Q3,60 - 64 years,Female,
Unemployed Persons aged 15 years and over,2007Q3,65 years and over,Both sexes,
Unemployed Persons aged 15 years and over,2007Q3,65 years and over,Male,
Unemployed Persons aged 15 years and over,2007Q3,65 years and over,Female,
Unemployed Persons aged 15 years and over,2007Q3,25 - 74 years,Both sexes,74.6
Unemployed Persons aged 15 years and over,2007Q3,25 - 74 years,Male,40.4
Unemployed Persons aged 15 years and over,2007Q3,25 - 74 years,Female,34.2
Unemployed Persons aged 15 years and over,2007Q4,15 - 19 years,Both sexes,15.1
Unemployed Persons aged 15 years and over,2007Q4,15 - 19 years,Male,9.6
Unemployed Persons aged 15 years and over,2007Q4,15 - 19 years,Female,5.5
Unemployed Persons aged 15 years and over,2007Q4,15 - 24 years,Both sexes,38.9
Unemployed Persons aged 15 years and over,2007Q4,15 - 24 years,Male,23.9
Unemployed Persons aged 15 years and over,2007Q4,15 - 24 years,Female,15.0
Unemployed Persons aged 15 years and over,2007Q4,15 - 64 years,Both sexes,
Unemployed Persons aged 15 years and over,2007Q4,15 - 64 years,Male,
Unemployed Persons aged 15 years and over,2007Q4,15 - 64 years,Female,
Unemployed Persons aged 15 years and over,2007Q4,15 - 74 years,Both sexes,
Unemployed Persons aged 15 years and over,2007Q4,15 - 74 years,Male,
Unemployed Persons aged 15 years and over,2007Q4,15 - 74 years,Female,
Unemployed Persons aged 15 years and over,2007Q4,15 years and over,Both sexes,114.7
Unemployed Persons aged 15 years and over,2007Q4,15 years and over,Male,69.0
Unemployed Persons aged 15 years and over,2007Q4,15 years and over,Female,45.7
Unemployed Persons aged 15 years and over,2007Q4,20 - 24 years,Both sexes,23.9
Unemployed Persons aged 15 years and over,2007Q4,20 - 24 years,Male,14.4
Unemployed Persons aged 15 years and over,2007Q4,20 - 24 years,Female,9.5
Unemployed Persons aged 15 years and over,2007Q4,25 - 34 years,Both sexes,34.1
Unemployed Persons aged 15 years and over,2007Q4,25 - 34 years,Male,21.0
Unemployed Persons aged 15 years and over,2007Q4,25 - 34 years,Female,13.1
Unemployed Persons aged 15 years and over,2007Q4,35 - 44 years,Both sexes,20.8
Unemployed Persons aged 15 years and over,2007Q4,35 - 44 years,Male,11.3
Unemployed Persons aged 15 years and over,2007Q4,35 - 44 years,Female,9.5
Unemployed Persons aged 15 years and over,2007Q4,45 - 54 years,Both sexes,15.1
Unemployed Persons aged 15 years and over,2007Q4,45 - 54 years,Male,9.3
Unemployed Persons aged 15 years and over,2007Q4,45 - 54 years,Female,5.8
Unemployed Persons aged 15 years and over,2007Q4,55 - 59 years,Both sexes,3.7
Unemployed Persons aged 15 years and over,2007Q4,55 - 59 years,Male,2.5
Unemployed Persons aged 15 years and over,2007Q4,55 - 59 years,Female,
Unemployed Persons aged 15 years and over,2007Q4,60 - 64 years,Both sexes,1.9
Unemployed Persons aged 15 years and over,2007Q4,60 - 64 years,Male,
Unemployed Persons aged 15 years and over,2007Q4,60 - 64 years,Female,
Unemployed Persons aged 15 years and over,2007Q4,65 years and over,Both sexes,
Unemployed Persons aged 15 years and over,2007Q4,65 years and over,Male,
Unemployed Persons aged 15 years and over,2007Q4,65 years and over,Female,
Unemployed Persons aged 15 years and over,2007Q4,25 - 74 years,Both sexes,75.8
Unemployed Persons aged 15 years and over,2007Q4,25 - 74 years,Male,45.0
Unemployed Persons aged 15 years and over,2007Q4,25 - 74 years,Female,30.7
Unemployed Persons aged 15 years and over,2008Q1,15 - 19 years,Both sexes,15.8
Unemployed Persons aged 15 years and over,2008Q1,15 - 19 years,Male,10.7
Unemployed Persons aged 15 years and over,2008Q1,15 - 19 years,Female,5.1
Unemployed Persons aged 15 years and over,2008Q1,15 - 24 years,Both sexes,42.2
Unemployed Persons aged 15 years and over,2008Q1,15 - 24 years,Male,28.4
Unemployed Persons aged 15 years and over,2008Q1,15 - 24 years,Female,13.8
Unemployed Persons aged 15 years and over,2008Q1,15 - 64 years,Both sexes,
Unemployed Persons aged 15 years and over,2008Q1,15 - 64 years,Male,
Unemployed Persons aged 15 years and over,2008Q1,15 - 64 years,Female,
Unemployed Persons aged 15 years and over,2008Q1,15 - 74 years,Both sexes,
Unemployed Persons aged 15 years and over,2008Q1,15 - 74 years,Male,
Unemployed Persons aged 15 years and over,2008Q1,15 - 74 years,Female,
Unemployed Persons aged 15 years and over,2008Q1,15 years and over,Both sexes,124.4
Unemployed Persons aged 15 years and over,2008Q1,15 years and over,Male,78.7
Unemployed Persons aged 15 years and over,2008Q1,15 years and over,Female,45.7
Unemployed Persons aged 15 years and over,2008Q1,20 - 24 years,Both sexes,26.4
Unemployed Persons aged 15 years and over,2008Q1,20 - 24 years,Male,17.7
Unemployed Persons aged 15 years and over,2008Q1,20 - 24 years,Female,8.7
Unemployed Persons aged 15 years and over,2008Q1,25 - 34 years,Both sexes,35.2
Unemployed Persons aged 15 years and over,2008Q1,25 - 34 years,Male,21.1
Unemployed Persons aged 15 years and over,2008Q1,25 - 34 years,Female,14.1
Unemployed Persons aged 15 years and over,2008Q1,35 - 44 years,Both sexes,22.9
Unemployed Persons aged 15 years and over,2008Q1,35 - 44 years,Male,13.4
Unemployed Persons aged 15 years and over,2008Q1,35 - 44 years,Female,9.5
Unemployed Persons aged 15 years and over,2008Q1,45 - 54 years,Both sexes,17.0
Unemployed Persons aged 15 years and over,2008Q1,45 - 54 years,Male,10.9
Unemployed Persons aged 15 years and over,2008Q1,45 - 54 years,Female,6.1
Unemployed Persons aged 15 years and over,2008Q1,55 - 59 years,Both sexes,4.9
Unemployed Persons aged 15 years and over,2008Q1,55 - 59 years,Male,3.5
Unemployed Persons aged 15 years and over,2008Q1,55 - 59 years,Female,
Unemployed Persons aged 15 years and over,2008Q1,60 - 64 years,Both sexes,1.9
Unemployed Persons aged 15 years and over,2008Q1,60 - 64 years,Male,
Unemployed Persons aged 15 years and over,2008Q1,60 - 64 years,Female,
Unemployed Persons aged 15 years and over,2008Q1,65 years and over,Both sexes,
Unemployed Persons aged 15 years and over,2008Q1,65 years and over,Male,
Unemployed Persons aged 15 years and over,2008Q1,65 years and over,Female,
Unemployed Persons aged 15 years and over,2008Q1,25 - 74 years,Both sexes,82.2
Unemployed Persons aged 15 years and over,2008Q1,25 - 74 years,Male,50.3
Unemployed Persons aged 15 years and over,2008Q1,25 - 74 years,Female,31.9
Unemployed Persons aged 15 years and over,2008Q2,15 - 19 years,Both sexes,24.0
Unemployed Persons aged 15 years and over,2008Q2,15 - 19 years,Male,15.1
Unemployed Persons aged 15 years and over,2008Q2,15 - 19 years,Female,8.9
Unemployed Persons aged 15 years and over,2008Q2,15 - 24 years,Both sexes,56.2
Unemployed Persons aged 15 years and over,2008Q2,15 - 24 years,Male,36.4
Unemployed Persons aged 15 years and over,2008Q2,15 - 24 years,Female,19.9
Unemployed Persons aged 15 years and over,2008Q2,15 - 64 years,Both sexes,
Unemployed Persons aged 15 years and over,2008Q2,15 - 64 years,Male,
Unemployed Persons aged 15 years and over,2008Q2,15 - 64 years,Female,
Unemployed Persons aged 15 years and over,2008Q2,15 - 74 years,Both sexes,
Unemployed Persons aged 15 years and over,2008Q2,15 - 74 years,Male,
Unemployed Persons aged 15 years and over,2008Q2,15 - 74 years,Female,
Unemployed Persons aged 15 years and over,2008Q2,15 years and over,Both sexes,144.5
Unemployed Persons aged 15 years and over,2008Q2,15 years and over,Male,91.1
Unemployed Persons aged 15 years and over,2008Q2,15 years and over,Female,53.4
Unemployed Persons aged 15 years and over,2008Q2,20 - 24 years,Both sexes,32.2
Unemployed Persons aged 15 years and over,2008Q2,20 - 24 years,Male,21.2
Unemployed Persons aged 15 years and over,2008Q2,20 - 24 years,Female,11.0
Unemployed Persons aged 15 years and over,2008Q2,25 - 34 years,Both sexes,39.8
Unemployed Persons aged 15 years and over,2008Q2,25 - 34 years,Male,24.7
Unemployed Persons aged 15 years and over,2008Q2,25 - 34 years,Female,15.1
Unemployed Persons aged 15 years and over,2008Q2,35 - 44 years,Both sexes,23.6
Unemployed Persons aged 15 years and over,2008Q2,35 - 44 years,Male,14.8
Unemployed Persons aged 15 years and over,2008Q2,35 - 44 years,Female,8.8
Unemployed Persons aged 15 years and over,2008Q2,45 - 54 years,Both sexes,16.9
Unemployed Persons aged 15 years and over,2008Q2,45 - 54 years,Male,10.1
Unemployed Persons aged 15 years and over,2008Q2,45 - 54 years,Female,6.9
Unemployed Persons aged 15 years and over,2008Q2,55 - 59 years,Both sexes,5.4
Unemployed Persons aged 15 years and over,2008Q2,55 - 59 years,Male,3.4
Unemployed Persons aged 15 years and over,2008Q2,55 - 59 years,Female,2.0
Unemployed Persons aged 15 years and over,2008Q2,60 - 64 years,Both sexes,2.4
Unemployed Persons aged 15 years and over,2008Q2,60 - 64 years,Male,1.6
Unemployed Persons aged 15 years and over,2008Q2,60 - 64 years,Female,
Unemployed Persons aged 15 years and over,2008Q2,65 years and over,Both sexes,
Unemployed Persons aged 15 years and over,2008Q2,65 years and over,Male,
Unemployed Persons aged 15 years and over,2008Q2,65 years and over,Female,
Unemployed Persons aged 15 years and over,2008Q2,25 - 74 years,Both sexes,88.2
Unemployed Persons aged 15 years and over,2008Q2,25 - 74 years,Male,54.7
Unemployed Persons aged 15 years and over,2008Q2,25 - 74 years,Female,33.5
Unemployed Persons aged 15 years and over,2008Q3,15 - 19 years,Both sexes,27.3
Unemployed Persons aged 15 years and over,2008Q3,15 - 19 years,Male,15.9
Unemployed Persons aged 15 years and over,2008Q3,15 - 19 years,Female,11.3
Unemployed Persons aged 15 years and over,2008Q3,15 - 24 years,Both sexes,71.5
Unemployed Persons aged 15 years and over,2008Q3,15 - 24 years,Male,43.9
Unemployed Persons aged 15 years and over,2008Q3,15 - 24 years,Female,27.6
Unemployed Persons aged 15 years and over,2008Q3,15 - 64 years,Both sexes,
Unemployed Persons aged 15 years and over,2008Q3,15 - 64 years,Male,
Unemployed Persons aged 15 years and over,2008Q3,15 - 64 years,Female,
Unemployed Persons aged 15 years and over,2008Q3,15 - 74 years,Both sexes,
Unemployed Persons aged 15 years and over,2008Q3,15 - 74 years,Male,
Unemployed Persons aged 15 years and over,2008Q3,15 - 74 years,Female,
Unemployed Persons aged 15 years and over,2008Q3,15 years and over,Both sexes,180.9
Unemployed Persons aged 15 years and over,2008Q3,15 years and over,Male,110.8
Unemployed Persons aged 15 years and over,2008Q3,15 years and over,Female,70.0
Unemployed Persons aged 15 years and over,2008Q3,20 - 24 years,Both sexes,44.3
Unemployed Persons aged 15 years and over,2008Q3,20 - 24 years,Male,28.0
Unemployed Persons aged 15 years and over,2008Q3,20 - 24 years,Female,16.3
Unemployed Persons aged 15 years and over,2008Q3,25 - 34 years,Both sexes,47.4
Unemployed Persons aged 15 years and over,2008Q3,25 - 34 years,Male,28.1
Unemployed Persons aged 15 years and over,2008Q3,25 - 34 years,Female,19.4
Unemployed Persons aged 15 years and over,2008Q3,35 - 44 years,Both sexes,31.8
Unemployed Persons aged 15 years and over,2008Q3,35 - 44 years,Male,19.6
Unemployed Persons aged 15 years and over,2008Q3,35 - 44 years,Female,12.2
Unemployed Persons aged 15 years and over,2008Q3,45 - 54 years,Both sexes,20.9
Unemployed Persons aged 15 years and over,2008Q3,45 - 54 years,Male,13.6
Unemployed Persons aged 15 years and over,2008Q3,45 - 54 years,Female,7.3
Unemployed Persons aged 15 years and over,2008Q3,55 - 59 years,Both sexes,6.2
Unemployed Persons aged 15 years and over,2008Q3,55 - 59 years,Male,3.8
Unemployed Persons aged 15 years and over,2008Q3,55 - 59 years,Female,2.4
Unemployed Persons aged 15 years and over,2008Q3,60 - 64 years,Both sexes,2.8
Unemployed Persons aged 15 years and over,2008Q3,60 - 64 years,Male,1.6
Unemployed Persons aged 15 years and over,2008Q3,60 - 64 years,Female,
Unemployed Persons aged 15 years and over,2008Q3,65 years and over,Both sexes,
Unemployed Persons aged 15 years and over,2008Q3,65 years and over,Male,
Unemployed Persons aged 15 years and over,2008Q3,65 years and over,Female,
Unemployed Persons aged 15 years and over,2008Q3,25 - 74 years,Both sexes,109.3
Unemployed Persons aged 15 years and over,2008Q3,25 - 74 years,Male,66.9
Unemployed Persons aged 15 years and over,2008Q3,25 - 74 years,Female,42.4
Unemployed Persons aged 15 years and over,2008Q4,15 - 19 years,Both sexes,24.0
Unemployed Persons aged 15 years and over,2008Q4,15 - 19 years,Male,15.6
Unemployed Persons aged 15 years and over,2008Q4,15 - 19 years,Female,8.4
Unemployed Persons aged 15 years and over,2008Q4,15 - 24 years,Both sexes,65.8
Unemployed Persons aged 15 years and over,2008Q4,15 - 24 years,Male,44.8
Unemployed Persons aged 15 years and over,2008Q4,15 - 24 years,Female,21.0
Unemployed Persons aged 15 years and over,2008Q4,15 - 64 years,Both sexes,
Unemployed Persons aged 15 years and over,2008Q4,15 - 64 years,Male,
Unemployed Persons aged 15 years and over,2008Q4,15 - 64 years,Female,
Unemployed Persons aged 15 years and over,2008Q4,15 - 74 years,Both sexes,
Unemployed Persons aged 15 years and over,2008Q4,15 - 74 years,Male,
Unemployed Persons aged 15 years and over,2008Q4,15 - 74 years,Female,
Unemployed Persons aged 15 years and over,2008Q4,15 years and over,Both sexes,189.4
Unemployed Persons aged 15 years and over,2008Q4,15 years and over,Male,124.6
Unemployed Persons aged 15 years and over,2008Q4,15 years and over,Female,64.8
Unemployed Persons aged 15 years and over,2008Q4,20 - 24 years,Both sexes,41.8
Unemployed Persons aged 15 years and over,2008Q4,20 - 24 years,Male,29.2
Unemployed Persons aged 15 years and over,2008Q4,20 - 24 years,Female,12.6
Unemployed Persons aged 15 years and over,2008Q4,25 - 34 years,Both sexes,57.1
Unemployed Persons aged 15 years and over,2008Q4,25 - 34 years,Male,37.4
Unemployed Persons aged 15 years and over,2008Q4,25 - 34 years,Female,19.7
Unemployed Persons aged 15 years and over,2008Q4,35 - 44 years,Both sexes,32.9
Unemployed Persons aged 15 years and over,2008Q4,35 - 44 years,Male,21.1
Unemployed Persons aged 15 years and over,2008Q4,35 - 44 years,Female,11.9
Unemployed Persons aged 15 years and over,2008Q4,45 - 54 years,Both sexes,23.7
Unemployed Persons aged 15 years and over,2008Q4,45 - 54 years,Male,14.7
Unemployed Persons aged 15 years and over,2008Q4,45 - 54 years,Female,9.0
Unemployed Persons aged 15 years and over,2008Q4,55 - 59 years,Both sexes,7.1
Unemployed Persons aged 15 years and over,2008Q4,55 - 59 years,Male,4.6
Unemployed Persons aged 15 years and over,2008Q4,55 - 59 years,Female,2.5
Unemployed Persons aged 15 years and over,2008Q4,60 - 64 years,Both sexes,2.5
Unemployed Persons aged 15 years and over,2008Q4,60 - 64 years,Male,1.9
Unemployed Persons aged 15 years and over,2008Q4,60 - 64 years,Female,
Unemployed Persons aged 15 years and over,2008Q4,65 years and over,Both sexes,
Unemployed Persons aged 15 years and over,2008Q4,65 years and over,Male,
Unemployed Persons aged 15 years and over,2008Q4,65 years and over,Female,
Unemployed Persons aged 15 years and over,2008Q4,25 - 74 years,Both sexes,123.6
Unemployed Persons aged 15 years and over,2008Q4,25 - 74 years,Male,79.8
Unemployed Persons aged 15 years and over,2008Q4,25 - 74 years,Female,43.8
Unemployed Persons aged 15 years and over,2009Q1,15 - 19 years,Both sexes,24.2
Unemployed Persons aged 15 years and over,2009Q1,15 - 19 years,Male,16.6
Unemployed Persons aged 15 years and over,2009Q1,15 - 19 years,Female,7.6
Unemployed Persons aged 15 years and over,2009Q1,15 - 24 years,Both sexes,75.5
Unemployed Persons aged 15 years and over,2009Q1,15 - 24 years,Male,51.9
Unemployed Persons aged 15 years and over,2009Q1,15 - 24 years,Female,23.6
Unemployed Persons aged 15 years and over,2009Q1,15 - 64 years,Both sexes,
Unemployed Persons aged 15 years and over,2009Q1,15 - 64 years,Male,
Unemployed Persons aged 15 years and over,2009Q1,15 - 64 years,Female,
Unemployed Persons aged 15 years and over,2009Q1,15 - 74 years,Both sexes,
Unemployed Persons aged 15 years and over,2009Q1,15 - 74 years,Male,
Unemployed Persons aged 15 years and over,2009Q1,15 - 74 years,Female,
Unemployed Persons aged 15 years and over,2009Q1,15 years and over,Both sexes,247.6
Unemployed Persons aged 15 years and over,2009Q1,15 years and over,Male,166.7
Unemployed Persons aged 15 years and over,2009Q1,15 years and over,Female,81.0
Unemployed Persons aged 15 years and over,2009Q1,20 - 24 years,Both sexes,51.3
Unemployed Persons aged 15 years and over,2009Q1,20 - 24 years,Male,35.3
Unemployed Persons aged 15 years and over,2009Q1,20 - 24 years,Female,16.0
Unemployed Persons aged 15 years and over,2009Q1,25 - 34 years,Both sexes,77.6
Unemployed Persons aged 15 years and over,2009Q1,25 - 34 years,Male,51.2
Unemployed Persons aged 15 years and over,2009Q1,25 - 34 years,Female,26.3
Unemployed Persons aged 15 years and over,2009Q1,35 - 44 years,Both sexes,47.1
Unemployed Persons aged 15 years and over,2009Q1,35 - 44 years,Male,31.8
Unemployed Persons aged 15 years and over,2009Q1,35 - 44 years,Female,15.3
Unemployed Persons aged 15 years and over,2009Q1,45 - 54 years,Both sexes,32.4
Unemployed Persons aged 15 years and over,2009Q1,45 - 54 years,Male,21.5
Unemployed Persons aged 15 years and over,2009Q1,45 - 54 years,Female,10.9
Unemployed Persons aged 15 years and over,2009Q1,55 - 59 years,Both sexes,9.8
Unemployed Persons aged 15 years and over,2009Q1,55 - 59 years,Male,6.9
Unemployed Persons aged 15 years and over,2009Q1,55 - 59 years,Female,2.8
Unemployed Persons aged 15 years and over,2009Q1,60 - 64 years,Both sexes,4.8
Unemployed Persons aged 15 years and over,2009Q1,60 - 64 years,Male,3.0
Unemployed Persons aged 15 years and over,2009Q1,60 - 64 years,Female,
Unemployed Persons aged 15 years and over,2009Q1,65 years and over,Both sexes,
Unemployed Persons aged 15 years and over,2009Q1,65 years and over,Male,
Unemployed Persons aged 15 years and over,2009Q1,65 years and over,Female,
Unemployed Persons aged 15 years and over,2009Q1,25 - 74 years,Both sexes,172.2
Unemployed Persons aged 15 years and over,2009Q1,25 - 74 years,Male,114.7
Unemployed Persons aged 15 years and over,2009Q1,25 - 74 years,Female,57.4
Unemployed Persons aged 15 years and over,2009Q2,15 - 19 years,Both sexes,37.9
Unemployed Persons aged 15 years and over,2009Q2,15 - 19 years,Male,23.6
Unemployed Persons aged 15 years and over,2009Q2,15 - 19 years,Female,14.4
Unemployed Persons aged 15 years and over,2009Q2,15 - 24 years,Both sexes,104.9
Unemployed Persons aged 15 years and over,2009Q2,15 - 24 years,Male,69.1
Unemployed Persons aged 15 years and over,2009Q2,15 - 24 years,Female,35.7
Unemployed Persons aged 15 years and over,2009Q2,15 - 64 years,Both sexes,
Unemployed Persons aged 15 years and over,2009Q2,15 - 64 years,Male,
Unemployed Persons aged 15 years and over,2009Q2,15 - 64 years,Female,
Unemployed Persons aged 15 years and over,2009Q2,15 - 74 years,Both sexes,
Unemployed Persons aged 15 years and over,2009Q2,15 - 74 years,Male,
Unemployed Persons aged 15 years and over,2009Q2,15 - 74 years,Female,
Unemployed Persons aged 15 years and over,2009Q2,15 years and over,Both sexes,299.4
Unemployed Persons aged 15 years and over,2009Q2,15 years and over,Male,201.4
Unemployed Persons aged 15 years and over,2009Q2,15 years and over,Female,98.1
Unemployed Persons aged 15 years and over,2009Q2,20 - 24 years,Both sexes,66.9
Unemployed Persons aged 15 years and over,2009Q2,20 - 24 years,Male,45.6
Unemployed Persons aged 15 years and over,2009Q2,20 - 24 years,Female,21.3
Unemployed Persons aged 15 years and over,2009Q2,25 - 34 years,Both sexes,89.9
Unemployed Persons aged 15 years and over,2009Q2,25 - 34 years,Male,60.5
Unemployed Persons aged 15 years and over,2009Q2,25 - 34 years,Female,29.5
Unemployed Persons aged 15 years and over,2009Q2,35 - 44 years,Both sexes,54.9
Unemployed Persons aged 15 years and over,2009Q2,35 - 44 years,Male,36.5
Unemployed Persons aged 15 years and over,2009Q2,35 - 44 years,Female,18.4
Unemployed Persons aged 15 years and over,2009Q2,45 - 54 years,Both sexes,34.6
Unemployed Persons aged 15 years and over,2009Q2,45 - 54 years,Male,24.1
Unemployed Persons aged 15 years and over,2009Q2,45 - 54 years,Female,10.5
Unemployed Persons aged 15 years and over,2009Q2,55 - 59 years,Both sexes,9.4
Unemployed Persons aged 15 years and over,2009Q2,55 - 59 years,Male,6.4
Unemployed Persons aged 15 years and over,2009Q2,55 - 59 years,Female,3.0
Unemployed Persons aged 15 years and over,2009Q2,60 - 64 years,Both sexes,5.2
Unemployed Persons aged 15 years and over,2009Q2,60 - 64 years,Male,4.5
Unemployed Persons aged 15 years and over,2009Q2,60 - 64 years,Female,
Unemployed Persons aged 15 years and over,2009Q2,65 years and over,Both sexes,
Unemployed Persons aged 15 years and over,2009Q2,65 years and over,Male,
Unemployed Persons aged 15 years and over,2009Q2,65 years and over,Female,
Unemployed Persons aged 15 years and over,2009Q2,25 - 74 years,Both sexes,194.6
Unemployed Persons aged 15 years and over,2009Q2,25 - 74 years,Male,132.2
Unemployed Persons aged 15 years and over,2009Q2,25 - 74 years,Female,62.3
Unemployed Persons aged 15 years and over,2009Q3,15 - 19 years,Both sexes,35.2
Unemployed Persons aged 15 years and over,2009Q3,15 - 19 years,Male,21.7
Unemployed Persons aged 15 years and over,2009Q3,15 - 19 years,Female,13.5
Unemployed Persons aged 15 years and over,2009Q3,15 - 24 years,Both sexes,103.2
Unemployed Persons aged 15 years and over,2009Q3,15 - 24 years,Male,67.9
Unemployed Persons aged 15 years and over,2009Q3,15 - 24 years,Female,35.3
Unemployed Persons aged 15 years and over,2009Q3,15 - 64 years,Both sexes,
Unemployed Persons aged 15 years and over,2009Q3,15 - 64 years,Male,
Unemployed Persons aged 15 years and over,2009Q3,15 - 64 years,Female,
Unemployed Persons aged 15 years and over,2009Q3,15 - 74 years,Both sexes,
Unemployed Persons aged 15 years and over,2009Q3,15 - 74 years,Male,
Unemployed Persons aged 15 years and over,2009Q3,15 - 74 years,Female,
Unemployed Persons aged 15 years and over,2009Q3,15 years and over,Both sexes,315.1
Unemployed Persons aged 15 years and over,2009Q3,15 years and over,Male,204.2
Unemployed Persons aged 15 years and over,2009Q3,15 years and over,Female,110.8
Unemployed Persons aged 15 years and over,2009Q3,20 - 24 years,Both sexes,68.0
Unemployed Persons aged 15 years and over,2009Q3,20 - 24 years,Male,46.2
Unemployed Persons aged 15 years and over,2009Q3,20 - 24 years,Female,21.8
Unemployed Persons aged 15 years and over,2009Q3,25 - 34 years,Both sexes,94.4
Unemployed Persons aged 15 years and over,2009Q3,25 - 34 years,Male,61.5
Unemployed Persons aged 15 years and over,2009Q3,25 - 34 years,Female,32.9
Unemployed Persons aged 15 years and over,2009Q3,35 - 44 years,Both sexes,57.8
Unemployed Persons aged 15 years and over,2009Q3,35 - 44 years,Male,35.6
