Statistic,Quarter,Permanency of Employment,NACE Rev 2 Economic Sector,value
Employees aged 15 years and over in Employment (ILO),2022Q2,Permanent employees,Education (P),175.8
Employees aged 15 years and over in Employment (ILO),2022Q2,Permanent employees,Human health and social work activities (Q),297.3
Employees aged 15 years and over in Employment (ILO),2022Q2,Permanent employees,Industry (B to E),286.5
Employees aged 15 years and over in Employment (ILO),2022Q2,Permanent employees,"Financial, insurance and real estate activities (K, L)",119.4
Employees aged 15 years and over in Employment (ILO),2022Q2,Permanent employees,Other NACE activities (R to U),63.9
Employees aged 15 years and over in Employment (ILO),2022Q2,Permanent employees,Industry and Construction (B to F),395.6
Employees aged 15 years and over in Employment (ILO),2022Q2,Permanent employees,Services (G to U),1593.7
Employees aged 15 years and over in Employment (ILO),2022Q2,Permanent employees,Not stated,5.5
Employees aged 15 years and over in Employment (ILO),2022Q2,Temporary employees,All NACE economic sectors,199.5
Employees aged 15 years and over in Employment (ILO),2022Q2,Temporary employees,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),2022Q2,Temporary employees,Construction (F),8.4
Employees aged 15 years and over in Employment (ILO),2022Q2,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),29.7
Employees aged 15 years and over in Employment (ILO),2022Q2,Temporary employees,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2022Q2,Temporary employees,Accommodation and food service activities (I),27.9
Employees aged 15 years and over in Employment (ILO),2022Q2,Temporary employees,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2022Q2,Temporary employees,"Professional, scientific and technical activities (M)",8.4
Employees aged 15 years and over in Employment (ILO),2022Q2,Temporary employees,Administrative and support service activities (N),9.2
Employees aged 15 years and over in Employment (ILO),2022Q2,Temporary employees,Public administration and defence; compulsory social security (O),6.4
Employees aged 15 years and over in Employment (ILO),2022Q2,Temporary employees,Education (P),32.8
Employees aged 15 years and over in Employment (ILO),2022Q2,Temporary employees,Human health and social work activities (Q),25.7
Employees aged 15 years and over in Employment (ILO),2022Q2,Temporary employees,Industry (B to E),17.1
Employees aged 15 years and over in Employment (ILO),2022Q2,Temporary employees,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2022Q2,Temporary employees,Other NACE activities (R to U),13.4
Employees aged 15 years and over in Employment (ILO),2022Q2,Temporary employees,Industry and Construction (B to F),25.5
Employees aged 15 years and over in Employment (ILO),2022Q2,Temporary employees,Services (G to U),168.7
Employees aged 15 years and over in Employment (ILO),2022Q2,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2022Q2,Not stated,All NACE economic sectors,15.9
Employees aged 15 years and over in Employment (ILO),2022Q2,Not stated,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),2022Q2,Not stated,Construction (F),
Employees aged 15 years and over in Employment (ILO),2022Q2,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Employees aged 15 years and over in Employment (ILO),2022Q2,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2022Q2,Not stated,Accommodation and food service activities (I),
Employees aged 15 years and over in Employment (ILO),2022Q2,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2022Q2,Not stated,"Professional, scientific and technical activities (M)",
Employees aged 15 years and over in Employment (ILO),2022Q2,Not stated,Administrative and support service activities (N),
Employees aged 15 years and over in Employment (ILO),2022Q2,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),2022Q2,Not stated,Education (P),
Employees aged 15 years and over in Employment (ILO),2022Q2,Not stated,Human health and social work activities (Q),
Employees aged 15 years and over in Employment (ILO),2022Q2,Not stated,Industry (B to E),
Employees aged 15 years and over in Employment (ILO),2022Q2,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2022Q2,Not stated,Other NACE activities (R to U),
Employees aged 15 years and over in Employment (ILO),2022Q2,Not stated,Industry and Construction (B to F),
Employees aged 15 years and over in Employment (ILO),2022Q2,Not stated,Services (G to U),11.4
Employees aged 15 years and over in Employment (ILO),2022Q2,Not stated,Not stated,
Employees aged 15 years and over in Employment (ILO),2022Q3,All employees,All NACE economic sectors,2237.0
Employees aged 15 years and over in Employment (ILO),2022Q3,All employees,"Agriculture, forestry and fishing (A)",23.6
Employees aged 15 years and over in Employment (ILO),2022Q3,All employees,Construction (F),123.1
Employees aged 15 years and over in Employment (ILO),2022Q3,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),286.0
Employees aged 15 years and over in Employment (ILO),2022Q3,All employees,Transportation and storage (H),89.7
Employees aged 15 years and over in Employment (ILO),2022Q3,All employees,Accommodation and food service activities (I),155.3
Employees aged 15 years and over in Employment (ILO),2022Q3,All employees,Information and communication (J),149.5
Employees aged 15 years and over in Employment (ILO),2022Q3,All employees,"Professional, scientific and technical activities (M)",129.6
Employees aged 15 years and over in Employment (ILO),2022Q3,All employees,Administrative and support service activities (N),95.0
Employees aged 15 years and over in Employment (ILO),2022Q3,All employees,Public administration and defence; compulsory social security (O),134.4
Employees aged 15 years and over in Employment (ILO),2022Q3,All employees,Education (P),200.2
Employees aged 15 years and over in Employment (ILO),2022Q3,All employees,Human health and social work activities (Q),325.8
Employees aged 15 years and over in Employment (ILO),2022Q3,All employees,Industry (B to E),314.5
Employees aged 15 years and over in Employment (ILO),2022Q3,All employees,"Financial, insurance and real estate activities (K, L)",120.5
Employees aged 15 years and over in Employment (ILO),2022Q3,All employees,Other NACE activities (R to U),81.4
Employees aged 15 years and over in Employment (ILO),2022Q3,All employees,Industry and Construction (B to F),437.6
Employees aged 15 years and over in Employment (ILO),2022Q3,All employees,Services (G to U),1767.3
Employees aged 15 years and over in Employment (ILO),2022Q3,All employees,Not stated,8.4
Employees aged 15 years and over in Employment (ILO),2022Q3,Permanent employees,All NACE economic sectors,2026.7
Employees aged 15 years and over in Employment (ILO),2022Q3,Permanent employees,"Agriculture, forestry and fishing (A)",17.6
Employees aged 15 years and over in Employment (ILO),2022Q3,Permanent employees,Construction (F),112.4
Employees aged 15 years and over in Employment (ILO),2022Q3,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),256.8
Employees aged 15 years and over in Employment (ILO),2022Q3,Permanent employees,Transportation and storage (H),85.5
Employees aged 15 years and over in Employment (ILO),2022Q3,Permanent employees,Accommodation and food service activities (I),120.0
Employees aged 15 years and over in Employment (ILO),2022Q3,Permanent employees,Information and communication (J),143.9
Employees aged 15 years and over in Employment (ILO),2022Q3,Permanent employees,"Professional, scientific and technical activities (M)",118.3
Employees aged 15 years and over in Employment (ILO),2022Q3,Permanent employees,Administrative and support service activities (N),82.8
Employees aged 15 years and over in Employment (ILO),2022Q3,Permanent employees,Public administration and defence; compulsory social security (O),127.9
Employees aged 15 years and over in Employment (ILO),2022Q3,Permanent employees,Education (P),175.5
Employees aged 15 years and over in Employment (ILO),2022Q3,Permanent employees,Human health and social work activities (Q),303.9
Employees aged 15 years and over in Employment (ILO),2022Q3,Permanent employees,Industry (B to E),297.1
Employees aged 15 years and over in Employment (ILO),2022Q3,Permanent employees,"Financial, insurance and real estate activities (K, L)",114.1
Employees aged 15 years and over in Employment (ILO),2022Q3,Permanent employees,Other NACE activities (R to U),66.6
Employees aged 15 years and over in Employment (ILO),2022Q3,Permanent employees,Industry and Construction (B to F),409.5
Employees aged 15 years and over in Employment (ILO),2022Q3,Permanent employees,Services (G to U),1595.3
Employees aged 15 years and over in Employment (ILO),2022Q3,Permanent employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2022Q3,Temporary employees,All NACE economic sectors,190.3
Employees aged 15 years and over in Employment (ILO),2022Q3,Temporary employees,"Agriculture, forestry and fishing (A)",5.7
Employees aged 15 years and over in Employment (ILO),2022Q3,Temporary employees,Construction (F),9.2
Employees aged 15 years and over in Employment (ILO),2022Q3,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),27.2
Employees aged 15 years and over in Employment (ILO),2022Q3,Temporary employees,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2022Q3,Temporary employees,Accommodation and food service activities (I),33.7
Employees aged 15 years and over in Employment (ILO),2022Q3,Temporary employees,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2022Q3,Temporary employees,"Professional, scientific and technical activities (M)",10.2
Employees aged 15 years and over in Employment (ILO),2022Q3,Temporary employees,Administrative and support service activities (N),10.4
Employees aged 15 years and over in Employment (ILO),2022Q3,Temporary employees,Public administration and defence; compulsory social security (O),5.8
Employees aged 15 years and over in Employment (ILO),2022Q3,Temporary employees,Education (P),24.0
Employees aged 15 years and over in Employment (ILO),2022Q3,Temporary employees,Human health and social work activities (Q),19.9
Employees aged 15 years and over in Employment (ILO),2022Q3,Temporary employees,Industry (B to E),14.9
Employees aged 15 years and over in Employment (ILO),2022Q3,Temporary employees,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2022Q3,Temporary employees,Other NACE activities (R to U),13.2
Employees aged 15 years and over in Employment (ILO),2022Q3,Temporary employees,Industry and Construction (B to F),24.1
Employees aged 15 years and over in Employment (ILO),2022Q3,Temporary employees,Services (G to U),159.6
Employees aged 15 years and over in Employment (ILO),2022Q3,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2022Q3,Not stated,All NACE economic sectors,20.0
Employees aged 15 years and over in Employment (ILO),2022Q3,Not stated,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),2022Q3,Not stated,Construction (F),
Employees aged 15 years and over in Employment (ILO),2022Q3,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Employees aged 15 years and over in Employment (ILO),2022Q3,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2022Q3,Not stated,Accommodation and food service activities (I),
Employees aged 15 years and over in Employment (ILO),2022Q3,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2022Q3,Not stated,"Professional, scientific and technical activities (M)",
Employees aged 15 years and over in Employment (ILO),2022Q3,Not stated,Administrative and support service activities (N),
Employees aged 15 years and over in Employment (ILO),2022Q3,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),2022Q3,Not stated,Education (P),
Employees aged 15 years and over in Employment (ILO),2022Q3,Not stated,Human health and social work activities (Q),
Employees aged 15 years and over in Employment (ILO),2022Q3,Not stated,Industry (B to E),
Employees aged 15 years and over in Employment (ILO),2022Q3,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2022Q3,Not stated,Other NACE activities (R to U),
Employees aged 15 years and over in Employment (ILO),2022Q3,Not stated,Industry and Construction (B to F),
Employees aged 15 years and over in Employment (ILO),2022Q3,Not stated,Services (G to U),12.5
Employees aged 15 years and over in Employment (ILO),2022Q3,Not stated,Not stated,
Employees aged 15 years and over in Employment (ILO),2022Q4,All employees,All NACE economic sectors,2254.2
Employees aged 15 years and over in Employment (ILO),2022Q4,All employees,"Agriculture, forestry and fishing (A)",25.6
Employees aged 15 years and over in Employment (ILO),2022Q4,All employees,Construction (F),117.3
Employees aged 15 years and over in Employment (ILO),2022Q4,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),289.8
Employees aged 15 years and over in Employment (ILO),2022Q4,All employees,Transportation and storage (H),97.1
Employees aged 15 years and over in Employment (ILO),2022Q4,All employees,Accommodation and food service activities (I),156.1
Employees aged 15 years and over in Employment (ILO),2022Q4,All employees,Information and communication (J),152.5
Employees aged 15 years and over in Employment (ILO),2022Q4,All employees,"Professional, scientific and technical activities (M)",132.7
Employees aged 15 years and over in Employment (ILO),2022Q4,All employees,Administrative and support service activities (N),95.8
Employees aged 15 years and over in Employment (ILO),2022Q4,All employees,Public administration and defence; compulsory social security (O),139.9
Employees aged 15 years and over in Employment (ILO),2022Q4,All employees,Education (P),199.2
Employees aged 15 years and over in Employment (ILO),2022Q4,All employees,Human health and social work activities (Q),323.5
Employees aged 15 years and over in Employment (ILO),2022Q4,All employees,Industry (B to E),307.1
Employees aged 15 years and over in Employment (ILO),2022Q4,All employees,"Financial, insurance and real estate activities (K, L)",126.7
Employees aged 15 years and over in Employment (ILO),2022Q4,All employees,Other NACE activities (R to U),83.0
Employees aged 15 years and over in Employment (ILO),2022Q4,All employees,Industry and Construction (B to F),424.4
Employees aged 15 years and over in Employment (ILO),2022Q4,All employees,Services (G to U),1796.3
Employees aged 15 years and over in Employment (ILO),2022Q4,All employees,Not stated,7.9
Employees aged 15 years and over in Employment (ILO),2022Q4,Permanent employees,All NACE economic sectors,2052.3
Employees aged 15 years and over in Employment (ILO),2022Q4,Permanent employees,"Agriculture, forestry and fishing (A)",22.6
Employees aged 15 years and over in Employment (ILO),2022Q4,Permanent employees,Construction (F),111.2
Employees aged 15 years and over in Employment (ILO),2022Q4,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),256.5
Employees aged 15 years and over in Employment (ILO),2022Q4,Permanent employees,Transportation and storage (H),92.6
Employees aged 15 years and over in Employment (ILO),2022Q4,Permanent employees,Accommodation and food service activities (I),125.2
Employees aged 15 years and over in Employment (ILO),2022Q4,Permanent employees,Information and communication (J),147.5
Employees aged 15 years and over in Employment (ILO),2022Q4,Permanent employees,"Professional, scientific and technical activities (M)",123.7
Employees aged 15 years and over in Employment (ILO),2022Q4,Permanent employees,Administrative and support service activities (N),85.8
Employees aged 15 years and over in Employment (ILO),2022Q4,Permanent employees,Public administration and defence; compulsory social security (O),133.8
Employees aged 15 years and over in Employment (ILO),2022Q4,Permanent employees,Education (P),172.6
Employees aged 15 years and over in Employment (ILO),2022Q4,Permanent employees,Human health and social work activities (Q),300.5
Employees aged 15 years and over in Employment (ILO),2022Q4,Permanent employees,Industry (B to E),290.2
Employees aged 15 years and over in Employment (ILO),2022Q4,Permanent employees,"Financial, insurance and real estate activities (K, L)",118.8
Employees aged 15 years and over in Employment (ILO),2022Q4,Permanent employees,Other NACE activities (R to U),68.3
Employees aged 15 years and over in Employment (ILO),2022Q4,Permanent employees,Industry and Construction (B to F),401.4
Employees aged 15 years and over in Employment (ILO),2022Q4,Permanent employees,Services (G to U),1625.3
Employees aged 15 years and over in Employment (ILO),2022Q4,Permanent employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2022Q4,Temporary employees,All NACE economic sectors,176.8
Employees aged 15 years and over in Employment (ILO),2022Q4,Temporary employees,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),2022Q4,Temporary employees,Construction (F),
Employees aged 15 years and over in Employment (ILO),2022Q4,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),29.6
Employees aged 15 years and over in Employment (ILO),2022Q4,Temporary employees,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2022Q4,Temporary employees,Accommodation and food service activities (I),25.8
Employees aged 15 years and over in Employment (ILO),2022Q4,Temporary employees,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2022Q4,Temporary employees,"Professional, scientific and technical activities (M)",7.7
Employees aged 15 years and over in Employment (ILO),2022Q4,Temporary employees,Administrative and support service activities (N),8.2
Employees aged 15 years and over in Employment (ILO),2022Q4,Temporary employees,Public administration and defence; compulsory social security (O),6.1
Employees aged 15 years and over in Employment (ILO),2022Q4,Temporary employees,Education (P),26.3
Employees aged 15 years and over in Employment (ILO),2022Q4,Temporary employees,Human health and social work activities (Q),20.5
Employees aged 15 years and over in Employment (ILO),2022Q4,Temporary employees,Industry (B to E),15.2
Employees aged 15 years and over in Employment (ILO),2022Q4,Temporary employees,"Financial, insurance and real estate activities (K, L)",6.9
Employees aged 15 years and over in Employment (ILO),2022Q4,Temporary employees,Other NACE activities (R to U),13.0
Employees aged 15 years and over in Employment (ILO),2022Q4,Temporary employees,Industry and Construction (B to F),20.2
Employees aged 15 years and over in Employment (ILO),2022Q4,Temporary employees,Services (G to U),152.6
Employees aged 15 years and over in Employment (ILO),2022Q4,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2022Q4,Not stated,All NACE economic sectors,25.2
Employees aged 15 years and over in Employment (ILO),2022Q4,Not stated,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),2022Q4,Not stated,Construction (F),
Employees aged 15 years and over in Employment (ILO),2022Q4,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Employees aged 15 years and over in Employment (ILO),2022Q4,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2022Q4,Not stated,Accommodation and food service activities (I),
Employees aged 15 years and over in Employment (ILO),2022Q4,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2022Q4,Not stated,"Professional, scientific and technical activities (M)",
Employees aged 15 years and over in Employment (ILO),2022Q4,Not stated,Administrative and support service activities (N),
Employees aged 15 years and over in Employment (ILO),2022Q4,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),2022Q4,Not stated,Education (P),
Employees aged 15 years and over in Employment (ILO),2022Q4,Not stated,Human health and social work activities (Q),
Employees aged 15 years and over in Employment (ILO),2022Q4,Not stated,Industry (B to E),
Employees aged 15 years and over in Employment (ILO),2022Q4,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2022Q4,Not stated,Other NACE activities (R to U),
Employees aged 15 years and over in Employment (ILO),2022Q4,Not stated,Industry and Construction (B to F),
Employees aged 15 years and over in Employment (ILO),2022Q4,Not stated,Services (G to U),18.3
Employees aged 15 years and over in Employment (ILO),2022Q4,Not stated,Not stated,
Employees aged 15 years and over in Employment (ILO),2023Q1,All employees,All NACE economic sectors,2284.9
Employees aged 15 years and over in Employment (ILO),2023Q1,All employees,"Agriculture, forestry and fishing (A)",26.2
Employees aged 15 years and over in Employment (ILO),2023Q1,All employees,Construction (F),115.5
Employees aged 15 years and over in Employment (ILO),2023Q1,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),304.0
Employees aged 15 years and over in Employment (ILO),2023Q1,All employees,Transportation and storage (H),91.0
Employees aged 15 years and over in Employment (ILO),2023Q1,All employees,Accommodation and food service activities (I),155.9
Employees aged 15 years and over in Employment (ILO),2023Q1,All employees,Information and communication (J),155.6
Employees aged 15 years and over in Employment (ILO),2023Q1,All employees,"Professional, scientific and technical activities (M)",133.9
Employees aged 15 years and over in Employment (ILO),2023Q1,All employees,Administrative and support service activities (N),98.2
Employees aged 15 years and over in Employment (ILO),2023Q1,All employees,Public administration and defence; compulsory social security (O),140.9
Employees aged 15 years and over in Employment (ILO),2023Q1,All employees,Education (P),203.9
Employees aged 15 years and over in Employment (ILO),2023Q1,All employees,Human health and social work activities (Q),331.2
Employees aged 15 years and over in Employment (ILO),2023Q1,All employees,Industry (B to E),312.3
Employees aged 15 years and over in Employment (ILO),2023Q1,All employees,"Financial, insurance and real estate activities (K, L)",127.1
Employees aged 15 years and over in Employment (ILO),2023Q1,All employees,Other NACE activities (R to U),82.9
Employees aged 15 years and over in Employment (ILO),2023Q1,All employees,Industry and Construction (B to F),427.8
Employees aged 15 years and over in Employment (ILO),2023Q1,All employees,Services (G to U),1824.5
Employees aged 15 years and over in Employment (ILO),2023Q1,All employees,Not stated,6.4
Employees aged 15 years and over in Employment (ILO),2023Q1,Permanent employees,All NACE economic sectors,2081.3
Employees aged 15 years and over in Employment (ILO),2023Q1,Permanent employees,"Agriculture, forestry and fishing (A)",22.5
Employees aged 15 years and over in Employment (ILO),2023Q1,Permanent employees,Construction (F),104.3
Employees aged 15 years and over in Employment (ILO),2023Q1,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),274.6
Employees aged 15 years and over in Employment (ILO),2023Q1,Permanent employees,Transportation and storage (H),86.9
Employees aged 15 years and over in Employment (ILO),2023Q1,Permanent employees,Accommodation and food service activities (I),129.4
Employees aged 15 years and over in Employment (ILO),2023Q1,Permanent employees,Information and communication (J),148.5
Employees aged 15 years and over in Employment (ILO),2023Q1,Permanent employees,"Professional, scientific and technical activities (M)",125.1
Employees aged 15 years and over in Employment (ILO),2023Q1,Permanent employees,Administrative and support service activities (N),88.3
Employees aged 15 years and over in Employment (ILO),2023Q1,Permanent employees,Public administration and defence; compulsory social security (O),133.3
Employees aged 15 years and over in Employment (ILO),2023Q1,Permanent employees,Education (P),173.0
Employees aged 15 years and over in Employment (ILO),2023Q1,Permanent employees,Human health and social work activities (Q),305.2
Employees aged 15 years and over in Employment (ILO),2023Q1,Permanent employees,Industry (B to E),297.8
Employees aged 15 years and over in Employment (ILO),2023Q1,Permanent employees,"Financial, insurance and real estate activities (K, L)",121.2
Employees aged 15 years and over in Employment (ILO),2023Q1,Permanent employees,Other NACE activities (R to U),67.8
Employees aged 15 years and over in Employment (ILO),2023Q1,Permanent employees,Industry and Construction (B to F),402.1
Employees aged 15 years and over in Employment (ILO),2023Q1,Permanent employees,Services (G to U),1653.3
Employees aged 15 years and over in Employment (ILO),2023Q1,Permanent employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2023Q1,Temporary employees,All NACE economic sectors,182.9
Employees aged 15 years and over in Employment (ILO),2023Q1,Temporary employees,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),2023Q1,Temporary employees,Construction (F),9.6
Employees aged 15 years and over in Employment (ILO),2023Q1,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),26.5
Employees aged 15 years and over in Employment (ILO),2023Q1,Temporary employees,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2023Q1,Temporary employees,Accommodation and food service activities (I),24.5
Employees aged 15 years and over in Employment (ILO),2023Q1,Temporary employees,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2023Q1,Temporary employees,"Professional, scientific and technical activities (M)",7.8
Employees aged 15 years and over in Employment (ILO),2023Q1,Temporary employees,Administrative and support service activities (N),7.7
Employees aged 15 years and over in Employment (ILO),2023Q1,Temporary employees,Public administration and defence; compulsory social security (O),7.4
Employees aged 15 years and over in Employment (ILO),2023Q1,Temporary employees,Education (P),29.1
Employees aged 15 years and over in Employment (ILO),2023Q1,Temporary employees,Human health and social work activities (Q),24.1
Employees aged 15 years and over in Employment (ILO),2023Q1,Temporary employees,Industry (B to E),14.0
Employees aged 15 years and over in Employment (ILO),2023Q1,Temporary employees,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2023Q1,Temporary employees,Other NACE activities (R to U),13.3
Employees aged 15 years and over in Employment (ILO),2023Q1,Temporary employees,Industry and Construction (B to F),23.6
Employees aged 15 years and over in Employment (ILO),2023Q1,Temporary employees,Services (G to U),155.3
Employees aged 15 years and over in Employment (ILO),2023Q1,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2023Q1,Not stated,All NACE economic sectors,20.7
Employees aged 15 years and over in Employment (ILO),2023Q1,Not stated,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),2023Q1,Not stated,Construction (F),
Employees aged 15 years and over in Employment (ILO),2023Q1,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Employees aged 15 years and over in Employment (ILO),2023Q1,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2023Q1,Not stated,Accommodation and food service activities (I),
Employees aged 15 years and over in Employment (ILO),2023Q1,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2023Q1,Not stated,"Professional, scientific and technical activities (M)",
Employees aged 15 years and over in Employment (ILO),2023Q1,Not stated,Administrative and support service activities (N),
Employees aged 15 years and over in Employment (ILO),2023Q1,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),2023Q1,Not stated,Education (P),
Employees aged 15 years and over in Employment (ILO),2023Q1,Not stated,Human health and social work activities (Q),
Employees aged 15 years and over in Employment (ILO),2023Q1,Not stated,Industry (B to E),
Employees aged 15 years and over in Employment (ILO),2023Q1,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2023Q1,Not stated,Other NACE activities (R to U),
Employees aged 15 years and over in Employment (ILO),2023Q1,Not stated,Industry and Construction (B to F),
Employees aged 15 years and over in Employment (ILO),2023Q1,Not stated,Services (G to U),15.9
Employees aged 15 years and over in Employment (ILO),2023Q1,Not stated,Not stated,
Employees aged 15 years and over in Employment (ILO),2023Q2,All employees,All NACE economic sectors,2318.6
Employees aged 15 years and over in Employment (ILO),2023Q2,All employees,"Agriculture, forestry and fishing (A)",24.6
Employees aged 15 years and over in Employment (ILO),2023Q2,All employees,Construction (F),127.9
Employees aged 15 years and over in Employment (ILO),2023Q2,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),304.2
Employees aged 15 years and over in Employment (ILO),2023Q2,All employees,Transportation and storage (H),94.7
Employees aged 15 years and over in Employment (ILO),2023Q2,All employees,Accommodation and food service activities (I),164.7
Employees aged 15 years and over in Employment (ILO),2023Q2,All employees,Information and communication (J),160.5
Employees aged 15 years and over in Employment (ILO),2023Q2,All employees,"Professional, scientific and technical activities (M)",141.1
Employees aged 15 years and over in Employment (ILO),2023Q2,All employees,Administrative and support service activities (N),95.0
Employees aged 15 years and over in Employment (ILO),2023Q2,All employees,Public administration and defence; compulsory social security (O),143.7
Employees aged 15 years and over in Employment (ILO),2023Q2,All employees,Education (P),209.5
Employees aged 15 years and over in Employment (ILO),2023Q2,All employees,Human health and social work activities (Q),338.4
Employees aged 15 years and over in Employment (ILO),2023Q2,All employees,Industry (B to E),296.5
Employees aged 15 years and over in Employment (ILO),2023Q2,All employees,"Financial, insurance and real estate activities (K, L)",130.2
Employees aged 15 years and over in Employment (ILO),2023Q2,All employees,Other NACE activities (R to U),83.2
Employees aged 15 years and over in Employment (ILO),2023Q2,All employees,Industry and Construction (B to F),424.3
Employees aged 15 years and over in Employment (ILO),2023Q2,All employees,Services (G to U),1865.4
Employees aged 15 years and over in Employment (ILO),2023Q2,All employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2023Q2,Permanent employees,All NACE economic sectors,2108.5
Employees aged 15 years and over in Employment (ILO),2023Q2,Permanent employees,"Agriculture, forestry and fishing (A)",21.6
Employees aged 15 years and over in Employment (ILO),2023Q2,Permanent employees,Construction (F),119.5
Employees aged 15 years and over in Employment (ILO),2023Q2,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),271.3
Employees aged 15 years and over in Employment (ILO),2023Q2,Permanent employees,Transportation and storage (H),89.5
Employees aged 15 years and over in Employment (ILO),2023Q2,Permanent employees,Accommodation and food service activities (I),129.3
Employees aged 15 years and over in Employment (ILO),2023Q2,Permanent employees,Information and communication (J),153.8
Employees aged 15 years and over in Employment (ILO),2023Q2,Permanent employees,"Professional, scientific and technical activities (M)",134.4
Employees aged 15 years and over in Employment (ILO),2023Q2,Permanent employees,Administrative and support service activities (N),83.2
Employees aged 15 years and over in Employment (ILO),2023Q2,Permanent employees,Public administration and defence; compulsory social security (O),138.6
Employees aged 15 years and over in Employment (ILO),2023Q2,Permanent employees,Education (P),173.8
Employees aged 15 years and over in Employment (ILO),2023Q2,Permanent employees,Human health and social work activities (Q),313.8
Employees aged 15 years and over in Employment (ILO),2023Q2,Permanent employees,Industry (B to E),283.8
Employees aged 15 years and over in Employment (ILO),2023Q2,Permanent employees,"Financial, insurance and real estate activities (K, L)",123.8
Employees aged 15 years and over in Employment (ILO),2023Q2,Permanent employees,Other NACE activities (R to U),69.3
Employees aged 15 years and over in Employment (ILO),2023Q2,Permanent employees,Industry and Construction (B to F),403.3
Employees aged 15 years and over in Employment (ILO),2023Q2,Permanent employees,Services (G to U),1680.6
Employees aged 15 years and over in Employment (ILO),2023Q2,Permanent employees,Not stated,
