Statistic,Quarter,NUTS3 regions,Extent of working at home,value
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Dublin,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Mid-East,Person usually works at home,31.5
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Mid-East,Person sometimes works at home,7.8
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Mid-East,Person never works at home,60.4
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Mid-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Mid-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Midland,Person usually works at home,26.8
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Midland,Person sometimes works at home,7.6
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Midland,Person never works at home,65.1
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Midland,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Midland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Mid-West,Person usually works at home,26.1
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Mid-West,Person sometimes works at home,7.9
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Mid-West,Person never works at home,65.8
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Mid-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Mid-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,South-East,Person usually works at home,25.6
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,South-East,Person sometimes works at home,8.9
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,South-East,Person never works at home,65.2
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,South-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,South-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,South-West,Person usually works at home,27.6
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,South-West,Person sometimes works at home,7.3
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,South-West,Person never works at home,64.2
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,South-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,South-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,West,Person usually works at home,27.1
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,West,Person sometimes works at home,6.1
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,West,Person never works at home,66.6
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Ireland,Person usually works at home,32.5
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Ireland,Person sometimes works at home,7.5
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Ireland,Person never works at home,59.6
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Ireland,Not stated,0.4
Proportion of total persons aged 15 years and over in employment (ILO),2021Q2,Ireland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Border,Person usually works at home,19.8
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Border,Person sometimes works at home,5.6
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Border,Person never works at home,74.3
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Border,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Border,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Dublin,Person usually works at home,42.5
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Dublin,Person sometimes works at home,6.6
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Dublin,Person never works at home,50.6
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Dublin,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Dublin,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Mid-East,Person usually works at home,29.7
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Mid-East,Person sometimes works at home,7.2
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Mid-East,Person never works at home,62.5
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Mid-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Mid-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Midland,Person usually works at home,21.7
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Midland,Person sometimes works at home,7.4
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Midland,Person never works at home,70.7
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Midland,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Midland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Mid-West,Person usually works at home,23.7
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Mid-West,Person sometimes works at home,6.9
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Mid-West,Person never works at home,69.5
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Mid-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Mid-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,South-East,Person usually works at home,22.1
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,South-East,Person sometimes works at home,9.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,South-East,Person never works at home,68.5
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,South-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,South-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,South-West,Person usually works at home,25.7
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,South-West,Person sometimes works at home,6.2
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,South-West,Person never works at home,67.5
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,South-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,South-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,West,Person usually works at home,24.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,West,Person sometimes works at home,6.1
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,West,Person never works at home,69.3
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Ireland,Person usually works at home,30.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Ireland,Person sometimes works at home,6.8
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Ireland,Person never works at home,62.9
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Ireland,Not stated,0.4
Proportion of total persons aged 15 years and over in employment (ILO),2021Q3,Ireland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Border,Person usually works at home,17.9
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Border,Person sometimes works at home,8.4
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Border,Person never works at home,72.9
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Border,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Border,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Dublin,Person usually works at home,40.8
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Dublin,Person sometimes works at home,8.7
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Dublin,Person never works at home,50.1
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Dublin,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Dublin,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Mid-East,Person usually works at home,26.7
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Mid-East,Person sometimes works at home,8.7
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Mid-East,Person never works at home,64.3
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Mid-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Mid-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Midland,Person usually works at home,20.7
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Midland,Person sometimes works at home,7.5
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Midland,Person never works at home,71.2
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Midland,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Midland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Mid-West,Person usually works at home,21.6
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Mid-West,Person sometimes works at home,8.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Mid-West,Person never works at home,70.2
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Mid-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Mid-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,South-East,Person usually works at home,24.2
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,South-East,Person sometimes works at home,7.7
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,South-East,Person never works at home,67.8
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,South-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,South-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,South-West,Person usually works at home,24.6
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,South-West,Person sometimes works at home,8.5
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,South-West,Person never works at home,66.5
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,South-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,South-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,West,Person usually works at home,23.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,West,Person sometimes works at home,7.7
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,West,Person never works at home,68.8
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Ireland,Person usually works at home,28.6
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Ireland,Person sometimes works at home,8.3
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Ireland,Person never works at home,62.6
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Ireland,Not stated,0.4
Proportion of total persons aged 15 years and over in employment (ILO),2021Q4,Ireland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Border,Person usually works at home,22.3
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Border,Person sometimes works at home,7.4
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Border,Person never works at home,70.1
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Border,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Border,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Dublin,Person usually works at home,39.2
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Dublin,Person sometimes works at home,10.1
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Dublin,Person never works at home,50.2
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Dublin,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Dublin,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Mid-East,Person usually works at home,26.1
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Mid-East,Person sometimes works at home,9.4
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Mid-East,Person never works at home,64.3
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Mid-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Mid-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Midland,Person usually works at home,21.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Midland,Person sometimes works at home,9.7
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Midland,Person never works at home,69.2
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Midland,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Midland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Mid-West,Person usually works at home,21.8
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Mid-West,Person sometimes works at home,9.5
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Mid-West,Person never works at home,68.5
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Mid-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Mid-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,South-East,Person usually works at home,23.8
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,South-East,Person sometimes works at home,11.2
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,South-East,Person never works at home,64.7
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,South-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,South-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,South-West,Person usually works at home,23.5
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,South-West,Person sometimes works at home,9.9
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,South-West,Person never works at home,66.2
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,South-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,South-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,West,Person usually works at home,22.3
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,West,Person sometimes works at home,9.5
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,West,Person never works at home,68.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Ireland,Person usually works at home,28.1
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Ireland,Person sometimes works at home,9.7
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Ireland,Person never works at home,61.8
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Ireland,Not stated,0.3
Proportion of total persons aged 15 years and over in employment (ILO),2022Q1,Ireland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Border,Person usually works at home,18.4
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Border,Person sometimes works at home,8.7
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Border,Person never works at home,72.8
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Border,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Border,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Dublin,Person usually works at home,34.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Dublin,Person sometimes works at home,11.6
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Dublin,Person never works at home,54.1
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Dublin,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Dublin,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Mid-East,Person usually works at home,23.3
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Mid-East,Person sometimes works at home,11.2
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Mid-East,Person never works at home,65.4
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Mid-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Mid-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Midland,Person usually works at home,20.7
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Midland,Person sometimes works at home,9.5
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Midland,Person never works at home,69.6
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Midland,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Midland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Mid-West,Person usually works at home,18.4
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Mid-West,Person sometimes works at home,9.9
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Mid-West,Person never works at home,71.4
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Mid-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Mid-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,South-East,Person usually works at home,20.7
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,South-East,Person sometimes works at home,11.3
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,South-East,Person never works at home,68.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,South-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,South-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,South-West,Person usually works at home,21.5
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,South-West,Person sometimes works at home,10.8
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,South-West,Person never works at home,67.4
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,South-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,South-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,West,Person usually works at home,20.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,West,Person sometimes works at home,10.2
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,West,Person never works at home,69.6
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Ireland,Person usually works at home,24.7
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Ireland,Person sometimes works at home,10.7
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Ireland,Person never works at home,64.3
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Ireland,Not stated,0.2
Proportion of total persons aged 15 years and over in employment (ILO),2022Q2,Ireland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Border,Person usually works at home,13.8
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Border,Person sometimes works at home,7.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Border,Person never works at home,78.8
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Border,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Border,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Dublin,Person usually works at home,30.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Dublin,Person sometimes works at home,12.4
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Dublin,Person never works at home,57.2
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Dublin,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Dublin,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Mid-East,Person usually works at home,23.6
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Mid-East,Person sometimes works at home,10.8
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Mid-East,Person never works at home,65.5
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Mid-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Mid-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Midland,Person usually works at home,21.3
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Midland,Person sometimes works at home,8.1
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Midland,Person never works at home,70.1
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Midland,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Midland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Mid-West,Person usually works at home,18.6
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Mid-West,Person sometimes works at home,9.3
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Mid-West,Person never works at home,71.5
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Mid-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Mid-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,South-East,Person usually works at home,18.3
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,South-East,Person sometimes works at home,11.2
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,South-East,Person never works at home,69.9
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,South-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,South-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,South-West,Person usually works at home,20.6
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,South-West,Person sometimes works at home,10.4
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,South-West,Person never works at home,68.3
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,South-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,South-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,West,Person usually works at home,15.9
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,West,Person sometimes works at home,9.5
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,West,Person never works at home,73.6
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Ireland,Person usually works at home,22.6
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Ireland,Person sometimes works at home,10.5
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Ireland,Person never works at home,66.4
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Ireland,Not stated,0.5
Proportion of total persons aged 15 years and over in employment (ILO),2022Q3,Ireland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Border,Person usually works at home,15.3
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Border,Person sometimes works at home,8.4
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Border,Person never works at home,76.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Border,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Border,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Dublin,Person usually works at home,28.8
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Dublin,Person sometimes works at home,15.2
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Dublin,Person never works at home,55.5
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Dublin,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Dublin,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Mid-East,Person usually works at home,22.4
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Mid-East,Person sometimes works at home,12.7
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Mid-East,Person never works at home,64.9
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Mid-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Mid-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Midland,Person usually works at home,22.7
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Midland,Person sometimes works at home,10.1
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Midland,Person never works at home,66.9
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Midland,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Midland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Mid-West,Person usually works at home,17.1
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Mid-West,Person sometimes works at home,11.2
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Mid-West,Person never works at home,71.2
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Mid-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Mid-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,South-East,Person usually works at home,17.5
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,South-East,Person sometimes works at home,12.5
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,South-East,Person never works at home,69.6
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,South-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,South-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,South-West,Person usually works at home,18.4
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,South-West,Person sometimes works at home,12.4
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,South-West,Person never works at home,68.3
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,South-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,South-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,West,Person usually works at home,16.5
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,West,Person sometimes works at home,10.6
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,West,Person never works at home,72.1
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Ireland,Person usually works at home,21.8
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Ireland,Person sometimes works at home,12.6
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Ireland,Person never works at home,65.2
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Ireland,Not stated,0.5
Proportion of total persons aged 15 years and over in employment (ILO),2022Q4,Ireland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Border,Person usually works at home,12.7
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Border,Person sometimes works at home,8.7
