Statistic,Quarterly,Full and Part Time Status,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,Transportation and storage (H),110.2
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,Accommodation and food service activities (I),178.9
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,Information and communication (J),152.4
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,"Professional, scientific and technical activities (M)",166.6
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,Administrative and support service activities (N),103.5
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,Public administration and defence; compulsory social security (O),126.8
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,Education (P),212.4
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,Human health and social work activities (Q),315.1
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,Industry (B to E),312.4
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,"Financial, insurance and real estate activities (K, L)",140.6
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,Other NACE activities (R to U),119.4
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,Industry and Construction (B to F),461.0
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,Services (G to U),1939.7
Persons aged 15 years and over in Employment (ILO),2021Q3,All employment status,Not stated,
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,All NACE economic sectors,1975.1
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,"Agriculture, forestry and fishing (A)",82.5
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,Construction (F),137.5
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),203.6
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,Transportation and storage (H),91.8
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,Accommodation and food service activities (I),95.3
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,Information and communication (J),143.2
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,"Professional, scientific and technical activities (M)",140.8
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,Administrative and support service activities (N),73.3
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,Public administration and defence; compulsory social security (O),115.1
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,Education (P),169.7
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,Human health and social work activities (Q),230.9
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,Industry (B to E),287.1
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,"Financial, insurance and real estate activities (K, L)",128.1
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,Other NACE activities (R to U),73.0
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,Industry and Construction (B to F),424.6
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,Services (G to U),1464.7
Persons aged 15 years and over in Employment (ILO),2021Q3,Full-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,All NACE economic sectors,540.0
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,"Agriculture, forestry and fishing (A)",26.9
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,Construction (F),11.0
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),110.4
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,Transportation and storage (H),18.4
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,Accommodation and food service activities (I),83.6
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,Information and communication (J),9.1
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,"Professional, scientific and technical activities (M)",25.8
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,Administrative and support service activities (N),30.2
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,Public administration and defence; compulsory social security (O),11.7
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,Education (P),42.7
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,Human health and social work activities (Q),84.2
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,Industry (B to E),25.3
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,"Financial, insurance and real estate activities (K, L)",12.5
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,Other NACE activities (R to U),46.4
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,Industry and Construction (B to F),36.4
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,Services (G to U),475.0
Persons aged 15 years and over in Employment (ILO),2021Q3,Part-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,All NACE economic sectors,2551.4
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,"Agriculture, forestry and fishing (A)",109.6
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,Construction (F),161.0
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),310.9
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,Transportation and storage (H),107.7
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,Accommodation and food service activities (I),162.9
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,Information and communication (J),172.9
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,"Professional, scientific and technical activities (M)",176.1
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,Administrative and support service activities (N),96.5
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,Public administration and defence; compulsory social security (O),137.1
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,Education (P),215.4
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,Human health and social work activities (Q),327.7
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,Industry (B to E),317.9
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,"Financial, insurance and real estate activities (K, L)",134.3
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,Other NACE activities (R to U),113.8
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,Industry and Construction (B to F),479.0
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,Services (G to U),1955.3
Persons aged 15 years and over in Employment (ILO),2021Q4,All employment status,Not stated,7.5
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,All NACE economic sectors,1993.4
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,"Agriculture, forestry and fishing (A)",80.1
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,Construction (F),146.5
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),202.7
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,Transportation and storage (H),87.2
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,Accommodation and food service activities (I),78.1
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,Information and communication (J),162.5
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,"Professional, scientific and technical activities (M)",149.1
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,Administrative and support service activities (N),67.8
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,Public administration and defence; compulsory social security (O),125.6
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,Education (P),170.7
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,Human health and social work activities (Q),232.6
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,Industry (B to E),289.9
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,"Financial, insurance and real estate activities (K, L)",124.2
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,Other NACE activities (R to U),69.8
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,Industry and Construction (B to F),436.4
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,Services (G to U),1470.4
Persons aged 15 years and over in Employment (ILO),2021Q4,Full-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,All NACE economic sectors,558.0
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,"Agriculture, forestry and fishing (A)",29.5
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,Construction (F),14.5
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),108.2
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,Transportation and storage (H),20.5
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,Accommodation and food service activities (I),84.8
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,Information and communication (J),10.4
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,"Professional, scientific and technical activities (M)",26.9
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,Administrative and support service activities (N),28.7
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,Public administration and defence; compulsory social security (O),11.5
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,Education (P),44.7
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,Human health and social work activities (Q),95.1
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,Industry (B to E),28.0
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,"Financial, insurance and real estate activities (K, L)",10.1
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,Other NACE activities (R to U),44.0
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,Industry and Construction (B to F),42.5
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,Services (G to U),484.9
Persons aged 15 years and over in Employment (ILO),2021Q4,Part-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,All NACE economic sectors,2559.4
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,"Agriculture, forestry and fishing (A)",106.3
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,Construction (F),163.1
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),306.4
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,Transportation and storage (H),115.1
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,Accommodation and food service activities (I),163.3
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,Information and communication (J),169.0
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,"Professional, scientific and technical activities (M)",165.9
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,Administrative and support service activities (N),103.8
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,Public administration and defence; compulsory social security (O),137.7
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,Education (P),216.6
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,Human health and social work activities (Q),334.9
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,Industry (B to E),320.8
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,"Financial, insurance and real estate activities (K, L)",138.2
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,Other NACE activities (R to U),110.8
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,Industry and Construction (B to F),483.8
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,Services (G to U),1961.6
Persons aged 15 years and over in Employment (ILO),2022Q1,All employment status,Not stated,7.8
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,All NACE economic sectors,2018.9
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,"Agriculture, forestry and fishing (A)",77.8
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,Construction (F),148.2
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),204.7
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,Transportation and storage (H),99.3
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,Accommodation and food service activities (I),83.2
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,Information and communication (J),161.0
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,"Professional, scientific and technical activities (M)",142.0
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,Administrative and support service activities (N),72.7
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,Public administration and defence; compulsory social security (O),126.2
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,Education (P),166.4
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,Human health and social work activities (Q),239.2
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,Industry (B to E),297.9
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,"Financial, insurance and real estate activities (K, L)",126.0
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,Other NACE activities (R to U),68.3
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,Industry and Construction (B to F),446.1
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,Services (G to U),1488.9
Persons aged 15 years and over in Employment (ILO),2022Q1,Full-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,All NACE economic sectors,540.5
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,"Agriculture, forestry and fishing (A)",28.4
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,Construction (F),14.8
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),101.7
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,Transportation and storage (H),15.8
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,Accommodation and food service activities (I),80.1
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,Information and communication (J),8.0
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,"Professional, scientific and technical activities (M)",23.8
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,Administrative and support service activities (N),31.1
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,Public administration and defence; compulsory social security (O),11.5
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,Education (P),50.2
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,Human health and social work activities (Q),95.7
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,Industry (B to E),22.9
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,"Financial, insurance and real estate activities (K, L)",12.2
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,Other NACE activities (R to U),42.4
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,Industry and Construction (B to F),37.7
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,Services (G to U),472.7
Persons aged 15 years and over in Employment (ILO),2022Q1,Part-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,All NACE economic sectors,2601.2
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,"Agriculture, forestry and fishing (A)",108.3
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,Construction (F),171.0
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),325.5
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,Transportation and storage (H),112.6
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,Accommodation and food service activities (I),168.8
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,Information and communication (J),169.6
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,"Professional, scientific and technical activities (M)",169.7
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,Administrative and support service activities (N),107.3
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,Public administration and defence; compulsory social security (O),130.2
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,Education (P),220.7
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,Human health and social work activities (Q),340.3
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,Industry (B to E),325.6
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,"Financial, insurance and real estate activities (K, L)",132.5
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,Other NACE activities (R to U),109.9
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,Industry and Construction (B to F),496.6
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,Services (G to U),1987.1
Persons aged 15 years and over in Employment (ILO),2022Q2,All employment status,Not stated,9.2
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,All NACE economic sectors,2050.3
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,"Agriculture, forestry and fishing (A)",79.9
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,Construction (F),156.0
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),216.5
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,Transportation and storage (H),94.9
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,Accommodation and food service activities (I),88.7
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,Information and communication (J),163.4
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,"Professional, scientific and technical activities (M)",144.2
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,Administrative and support service activities (N),74.7
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,Public administration and defence; compulsory social security (O),118.2
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,Education (P),172.8
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,Human health and social work activities (Q),245.2
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,Industry (B to E),303.8
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,"Financial, insurance and real estate activities (K, L)",123.7
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,Other NACE activities (R to U),60.3
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,Industry and Construction (B to F),459.8
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,Services (G to U),1502.6
Persons aged 15 years and over in Employment (ILO),2022Q2,Full-time,Not stated,8.0
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,All NACE economic sectors,551.0
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,"Agriculture, forestry and fishing (A)",28.4
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,Construction (F),15.0
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),109.1
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,Transportation and storage (H),17.7
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,Accommodation and food service activities (I),80.2
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,Information and communication (J),6.2
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,"Professional, scientific and technical activities (M)",25.6
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,Administrative and support service activities (N),32.6
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,Public administration and defence; compulsory social security (O),11.9
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,Education (P),47.9
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,Human health and social work activities (Q),95.1
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,Industry (B to E),21.8
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,"Financial, insurance and real estate activities (K, L)",8.9
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,Other NACE activities (R to U),49.6
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,Industry and Construction (B to F),36.8
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,Services (G to U),484.6
Persons aged 15 years and over in Employment (ILO),2022Q2,Part-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,All NACE economic sectors,2602.6
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,"Agriculture, forestry and fishing (A)",97.1
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,Construction (F),173.1
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),319.2
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,Transportation and storage (H),110.9
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,Accommodation and food service activities (I),171.8
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,Information and communication (J),164.4
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,"Professional, scientific and technical activities (M)",168.9
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,Administrative and support service activities (N),112.2
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,Public administration and defence; compulsory social security (O),135.4
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,Education (P),211.4
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,Human health and social work activities (Q),346.2
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,Industry (B to E),335.4
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,"Financial, insurance and real estate activities (K, L)",129.5
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,Other NACE activities (R to U),116.7
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,Industry and Construction (B to F),508.6
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,Services (G to U),1986.5
Persons aged 15 years and over in Employment (ILO),2022Q3,All employment status,Not stated,10.4
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,All NACE economic sectors,2059.3
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,"Agriculture, forestry and fishing (A)",72.2
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,Construction (F),160.0
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),208.1
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,Transportation and storage (H),93.6
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,Accommodation and food service activities (I),91.2
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,Information and communication (J),156.0
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,"Professional, scientific and technical activities (M)",142.5
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,Administrative and support service activities (N),81.2
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,Public administration and defence; compulsory social security (O),124.4
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,Education (P),169.5
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,Human health and social work activities (Q),249.9
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,Industry (B to E),312.6
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,"Financial, insurance and real estate activities (K, L)",118.3
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,Other NACE activities (R to U),71.7
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,Industry and Construction (B to F),472.6
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,Services (G to U),1506.5
Persons aged 15 years and over in Employment (ILO),2022Q3,Full-time,Not stated,8.0
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,All NACE economic sectors,543.2
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,"Agriculture, forestry and fishing (A)",24.9
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,Construction (F),13.1
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),111.1
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,Transportation and storage (H),17.3
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,Accommodation and food service activities (I),80.6
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,Information and communication (J),8.4
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,"Professional, scientific and technical activities (M)",26.3
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,Administrative and support service activities (N),30.9
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,Public administration and defence; compulsory social security (O),11.0
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,Education (P),41.9
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,Human health and social work activities (Q),96.4
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,Industry (B to E),22.8
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,"Financial, insurance and real estate activities (K, L)",11.1
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,Other NACE activities (R to U),45.0
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,Industry and Construction (B to F),36.0
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,Services (G to U),480.0
Persons aged 15 years and over in Employment (ILO),2022Q3,Part-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,All NACE economic sectors,2616.7
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,"Agriculture, forestry and fishing (A)",103.5
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,Construction (F),165.4
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),324.2
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,Transportation and storage (H),115.0
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,Accommodation and food service activities (I),171.2
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,Information and communication (J),168.2
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,"Professional, scientific and technical activities (M)",173.7
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,Administrative and support service activities (N),110.8
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,Public administration and defence; compulsory social security (O),141.2
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,Education (P),209.4
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,Human health and social work activities (Q),343.9
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,Industry (B to E),326.9
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,"Financial, insurance and real estate activities (K, L)",135.7
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,Other NACE activities (R to U),118.1
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,Industry and Construction (B to F),492.3
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,Services (G to U),2011.4
Persons aged 15 years and over in Employment (ILO),2022Q4,All employment status,Not stated,9.4
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,All NACE economic sectors,2055.4
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,"Agriculture, forestry and fishing (A)",77.8
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,Construction (F),153.2
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),210.7
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,Transportation and storage (H),99.0
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,Accommodation and food service activities (I),87.4
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,Information and communication (J),160.5
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,"Professional, scientific and technical activities (M)",147.0
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,Administrative and support service activities (N),76.5
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,Public administration and defence; compulsory social security (O),131.4
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,Education (P),158.4
